,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedadagrad,0,0,100,0.01,1,9,0.0885,0.09116,0.0353,0.03614,4.08408125,4.058977578125,4.5842134765625,4.58388603515625
1,CIFAR100,fedadagrad,0,0,100,0.01,1,19,0.1372,0.13974,0.0711,0.07264,4.02158955078125,3.94596078125,4.5396474609375,4.53821326171875
2,CIFAR100,fedadagrad,0,0,100,0.01,1,29,0.1504,0.1588,0.0904,0.09762,4.0134779296875,3.89614783203125,4.495185546875,4.492257265625
3,CIFAR100,fedadagrad,0,0,100,0.01,1,39,0.1754,0.18816,0.1304,0.13264,3.9559515625,3.789111904296875,4.401630859375,4.3951355859375
4,CIFAR100,fedadagrad,0,0,100,0.01,1,49,0.187,0.21082,0.1737,0.18108,3.87658310546875,3.66241296875,4.2090115234375,4.1939488671875
5,CIFAR100,fedadagrad,0,0,100,0.01,1,59,0.201,0.22404,0.2026,0.21752,3.7403109375,3.4997766796875,3.9802375,3.951987587890625
6,CIFAR100,fedadagrad,0,0,100,0.01,1,69,0.2177,0.2377,0.2267,0.24408,3.614939453125,3.402487783203125,3.786582421875,3.741602216796875
7,CIFAR100,fedadagrad,0,0,100,0.01,1,79,0.2142,0.23542,0.2356,0.25722,3.8135306640625,3.57647076171875,3.65683984375,3.599800830078125
8,CIFAR100,fedadagrad,0,0,100,0.01,1,89,0.2165,0.23948,0.243,0.26792,4.00136669921875,3.696287958984375,3.54220390625,3.47343474609375
9,CIFAR100,fedadagrad,0,0,100,0.01,1,99,0.2429,0.2697,0.2567,0.28354,3.606541015625,3.303349658203125,3.4016173828125,3.3158681640625
10,CIFAR100,fedadagrad,0,0,100,0.01,1,109,0.2536,0.28532,0.2677,0.29684,3.6157240234375,3.303469521484375,3.26680263671875,3.16081689453125
11,CIFAR100,fedadagrad,0,0,100,0.01,1,119,0.2594,0.28958,0.28,0.31274,3.479334375,3.19879630859375,3.139503515625,3.010247841796875
12,CIFAR100,fedadagrad,0,0,100,0.01,1,129,0.2654,0.30102,0.2923,0.32694,3.4449318359375,3.124846611328125,3.0164900390625,2.8619390625
13,CIFAR100,fedadagrad,0,0,100,0.01,1,139,0.2912,0.32464,0.3013,0.34064,3.21601728515625,2.90953884765625,2.90609697265625,2.72794849609375
14,CIFAR100,fedadagrad,0,0,100,0.01,1,149,0.2877,0.3283,0.3119,0.35574,3.3058380859375,2.935158818359375,2.83558212890625,2.64224095703125
15,CIFAR100,fedadagrad,0,0,100,0.01,1,159,0.2948,0.33344,0.3215,0.36436,3.43069482421875,3.04408134765625,2.805861328125,2.609640048828125
16,CIFAR100,fedadagrad,0,0,100,0.01,1,169,0.3036,0.33956,0.3286,0.3736,3.3725646484375,3.00458998046875,2.75079931640625,2.538010869140625
17,CIFAR100,fedadagrad,0,0,100,0.01,1,179,0.3108,0.35938,0.3372,0.38364,3.2983693359375,2.887423212890625,2.68387451171875,2.44868921875
18,CIFAR100,fedadagrad,0,0,100,0.01,1,189,0.3196,0.36644,0.3421,0.3882,3.19966396484375,2.7839942578125,2.66329990234375,2.425550517578125
19,CIFAR100,fedadagrad,0,0,100,0.01,1,199,0.3233,0.38108,0.3473,0.39876,3.1755626953125,2.714759375,2.6270958984375,2.379246796875
20,CIFAR100,fedadagrad,0,0,100,0.01,1,209,0.3422,0.40244,0.359,0.41468,2.9645373046875,2.485729130859375,2.565512109375,2.273049619140625
21,CIFAR100,fedadagrad,0,0,100,0.01,1,219,0.3362,0.39056,0.3661,0.424,3.210047265625,2.7231091015625,2.55134638671875,2.208710361328125
22,CIFAR100,fedadagrad,0,0,100,0.01,1,229,0.3309,0.38674,0.3718,0.43286,3.095823046875,2.634124541015625,2.53913974609375,2.162686962890625
23,CIFAR100,fedadagrad,0,0,100,0.01,1,239,0.3407,0.40094,0.3767,0.4397,3.0440921875,2.54704568359375,2.51827060546875,2.127029208984375
24,CIFAR100,fedadagrad,0,0,100,0.01,1,249,0.3374,0.39654,0.3787,0.44796,3.1011912109375,2.624272353515625,2.49856240234375,2.091029755859375
