,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedadagrad,0,0,100,0.01,2,9,0.0922,0.09476,0.0269,0.0261,4.039309375,4.02979076171875,4.59100859375,4.59077857421875
1,CIFAR100,fedadagrad,0,0,100,0.01,2,19,0.1395,0.14444,0.0587,0.0574,3.8482908203125,3.795575458984375,4.5558912109375,4.55479732421875
2,CIFAR100,fedadagrad,0,0,100,0.01,2,29,0.1549,0.16672,0.0961,0.10118,4.1247451171875,3.97339662109375,4.4937267578125,4.49040603515625
3,CIFAR100,fedadagrad,0,0,100,0.01,2,39,0.1607,0.17472,0.1271,0.13096,4.3412802734375,4.13952337890625,4.4258185546875,4.41960017578125
4,CIFAR100,fedadagrad,0,0,100,0.01,2,49,0.1736,0.18746,0.1443,0.1517,3.92350703125,3.77244171875,4.363537109375,4.353446875
5,CIFAR100,fedadagrad,0,0,100,0.01,2,59,0.1837,0.20512,0.1684,0.18122,3.84575966796875,3.65074044921875,4.2394119140625,4.22274298828125
6,CIFAR100,fedadagrad,0,0,100,0.01,2,69,0.2062,0.22976,0.1953,0.21322,3.8601763671875,3.61515841796875,4.06679453125,4.040473310546875
7,CIFAR100,fedadagrad,0,0,100,0.01,2,79,0.2168,0.23954,0.2187,0.23878,3.725428125,3.494761376953125,3.824239453125,3.7832202734375
8,CIFAR100,fedadagrad,0,0,100,0.01,2,89,0.2334,0.25796,0.2319,0.25216,3.67974697265625,3.428806494140625,3.6646552734375,3.61210234375
9,CIFAR100,fedadagrad,0,0,100,0.01,2,99,0.2402,0.27128,0.2519,0.27064,3.576960546875,3.26752099609375,3.551590625,3.48791109375
10,CIFAR100,fedadagrad,0,0,100,0.01,2,109,0.2606,0.29202,0.2617,0.2814,3.4395373046875,3.1449353515625,3.4248021484375,3.34708080078125
11,CIFAR100,fedadagrad,0,0,100,0.01,2,119,0.2501,0.28002,0.2738,0.2962,3.4602337890625,3.209422265625,3.23878564453125,3.139095576171875
12,CIFAR100,fedadagrad,0,0,100,0.01,2,129,0.2748,0.3084,0.2852,0.31312,3.463178515625,3.136985546875,3.11155712890625,2.99156953125
13,CIFAR100,fedadagrad,0,0,100,0.01,2,139,0.2682,0.30542,0.2891,0.3214,3.50094638671875,3.15671583984375,3.02038505859375,2.88372650390625
14,CIFAR100,fedadagrad,0,0,100,0.01,2,149,0.2797,0.3189,0.2949,0.33144,3.37405478515625,3.02852451171875,2.95795478515625,2.810144091796875
15,CIFAR100,fedadagrad,0,0,100,0.01,2,159,0.2812,0.31692,0.3031,0.34124,3.342733984375,2.998110927734375,2.8764501953125,2.709935927734375
16,CIFAR100,fedadagrad,0,0,100,0.01,2,169,0.3019,0.3393,0.3131,0.35768,3.31424736328125,2.95445072265625,2.75996650390625,2.544764921875
17,CIFAR100,fedadagrad,0,0,100,0.01,2,179,0.3017,0.34394,0.32,0.36304,3.3936146484375,3.01519041015625,2.73556435546875,2.512837685546875
18,CIFAR100,fedadagrad,0,0,100,0.01,2,189,0.3087,0.35284,0.3325,0.37778,3.19340087890625,2.77910974609375,2.68182744140625,2.43036080078125
19,CIFAR100,fedadagrad,0,0,100,0.01,2,199,0.3158,0.36764,0.3393,0.39036,3.181862890625,2.7634540625,2.64522158203125,2.362734736328125
20,CIFAR100,fedadagrad,0,0,100,0.01,2,209,0.3256,0.37324,0.3445,0.39884,3.2231005859375,2.7902430078125,2.618685546875,2.3219296875
21,CIFAR100,fedadagrad,0,0,100,0.01,2,219,0.3209,0.37892,0.3506,0.40586,3.06569208984375,2.640995654296875,2.59107890625,2.28590951171875
22,CIFAR100,fedadagrad,0,0,100,0.01,2,229,0.3288,0.39094,0.3555,0.41708,3.11073232421875,2.640173505859375,2.56008232421875,2.240853984375
23,CIFAR100,fedadagrad,0,0,100,0.01,2,239,0.328,0.38626,0.3579,0.41982,3.18749072265625,2.6943736328125,2.54751552734375,2.2261516796875
24,CIFAR100,fedadagrad,0,0,100,0.01,2,249,0.3265,0.38084,0.3654,0.42528,3.22731689453125,2.7339882421875,2.54971650390625,2.189013203125
25,CIFAR100,fedadagrad,0,0,100,0.01,2,259,0.3375,0.3893,0.3668,0.43142,3.102660546875,2.63096951171875,2.55009306640625,2.1649840771484374
26,CIFAR100,fedadagrad,0,0,100,0.01,2,269,0.3358,0.39212,0.3722,0.43672,3.23280234375,2.69605677734375,2.53533515625,2.1378125537109374
27,CIFAR100,fedadagrad,0,0,100,0.01,2,279,0.3373,0.4012,0.3751,0.44044,3.150783984375,2.596082138671875,2.52401435546875,2.1210690869140625
28,CIFAR100,fedadagrad,0,0,100,0.01,2,289,0.3307,0.4019,0.3789,0.44746,3.1839974609375,2.614740244140625,2.52023447265625,2.09561037109375
29,CIFAR100,fedadagrad,0,0,100,0.01,2,299,0.3453,0.41122,0.3795,0.45438,3.02231806640625,2.48318609375,2.50938994140625,2.072659951171875
30,CIFAR100,fedadagrad,0,0,100,0.01,2,309,0.3498,0.41464,0.3809,0.4611,3.05289033203125,2.505377509765625,2.49914345703125,2.0487842919921877
31,CIFAR100,fedadagrad,0,0,100,0.01,2,319,0.3475,0.41266,0.3887,0.46684,3.03431875,2.503485302734375,2.49067451171875,2.019428466796875
32,CIFAR100,fedadagrad,0,0,100,0.01,2,329,0.3452,0.41348,0.392,0.46906,3.09384267578125,2.52838236328125,2.4807763671875,2.0069392431640627
33,CIFAR100,fedadagrad,0,0,100,0.01,2,339,0.336,0.39976,0.3929,0.4721,3.12059130859375,2.585286044921875,2.47113896484375,1.98840896484375
34,CIFAR100,fedadagrad,0,0,100,0.01,2,349,0.3549,0.41652,0.3967,0.47472,3.04962021484375,2.489205615234375,2.4574990234375,1.973314580078125
35,CIFAR100,fedadagrad,0,0,100,0.01,2,359,0.3576,0.42516,0.3996,0.47706,3.0275697265625,2.44916423828125,2.45105810546875,1.96039126953125
36,CIFAR100,fedadagrad,0,0,100,0.01,2,369,0.362,0.4384,0.4001,0.4823,2.90040087890625,2.3346177099609373,2.45085498046875,1.940606015625
37,CIFAR100,fedadagrad,0,0,100,0.01,2,379,0.3683,0.43808,0.4043,0.48494,3.00295087890625,2.401154697265625,2.4378056640625,1.92504806640625
38,CIFAR100,fedadagrad,0,0,100,0.01,2,389,0.3679,0.4402,0.4105,0.4883,2.86255244140625,2.282509541015625,2.42760205078125,1.9097197021484376
39,CIFAR100,fedadagrad,0,0,100,0.01,2,399,0.375,0.44872,0.4092,0.49158,3.04299169921875,2.3779250146484374,2.41859794921875,1.893553056640625
40,CIFAR100,fedadagrad,0,0,100,0.01,2,409,0.3818,0.46044,0.4101,0.49582,2.8175927734375,2.19315564453125,2.4123294921875,1.8748882763671875
41,CIFAR100,fedadagrad,0,0,100,0.01,2,419,0.3774,0.45332,0.4116,0.49748,2.94839609375,2.2940284619140625,2.40477890625,1.863301494140625
42,CIFAR100,fedadagrad,0,0,100,0.01,2,429,0.3697,0.44736,0.4141,0.50216,2.96909990234375,2.323724033203125,2.3947921875,1.84946267578125
43,CIFAR100,fedadagrad,0,0,100,0.01,2,439,0.3833,0.45686,0.4166,0.50592,2.8565689453125,2.2397540576171875,2.38346767578125,1.831095654296875
44,CIFAR100,fedadagrad,0,0,100,0.01,2,449,0.3781,0.44958,0.4182,0.51108,3.0306712890625,2.38433939453125,2.39536142578125,1.81767044921875
45,CIFAR100,fedadagrad,0,0,100,0.01,2,459,0.3683,0.44918,0.422,0.5133,2.9497388671875,2.3178756884765623,2.39007060546875,1.8097583203125
46,CIFAR100,fedadagrad,0,0,100,0.01,2,469,0.3735,0.4513,0.4248,0.51644,2.90193291015625,2.2643268017578126,2.3896599609375,1.7947947705078124
47,CIFAR100,fedadagrad,0,0,100,0.01,2,479,0.3752,0.44528,0.4266,0.51834,2.98979443359375,2.345382626953125,2.3869458984375,1.784122861328125
48,CIFAR100,fedadagrad,0,0,100,0.01,2,489,0.3796,0.4553,0.4286,0.51958,2.89962001953125,2.2428735888671874,2.382234375,1.775075380859375
49,CIFAR100,fedadagrad,0,0,100,0.01,2,499,0.3685,0.45578,0.4285,0.52288,2.89448779296875,2.245468525390625,2.37749951171875,1.7601224951171874
50,CIFAR100,fedadagrad,0,0,100,0.01,2,509,0.3833,0.47186,0.4284,0.5271,2.9002025390625,2.200285009765625,2.38244052734375,1.7453833544921875
51,CIFAR100,fedadagrad,0,0,100,0.01,2,519,0.3888,0.47052,0.4304,0.52894,2.85151484375,2.1858661962890626,2.37821103515625,1.734481611328125
52,CIFAR100,fedadagrad,0,0,100,0.01,2,529,0.3887,0.47398,0.4326,0.5313,2.84652265625,2.1657936279296877,2.37249716796875,1.7256671923828124
53,CIFAR100,fedadagrad,0,0,100,0.01,2,539,0.3968,0.48236,0.4349,0.53566,2.80963828125,2.1074361474609375,2.38992392578125,1.714298701171875
54,CIFAR100,fedadagrad,0,0,100,0.01,2,549,0.3945,0.48538,0.4352,0.53964,2.82842890625,2.0983503955078127,2.3902544921875,1.7014505615234374
55,CIFAR100,fedadagrad,0,0,100,0.01,2,559,0.3964,0.4987,0.4342,0.54246,2.77233544921875,2.0123875341796875,2.39203466796875,1.6940016259765625
56,CIFAR100,fedadagrad,0,0,100,0.01,2,569,0.4091,0.50262,0.4353,0.54488,2.7427666015625,2.0003607958984375,2.39013818359375,1.6805082666015625
57,CIFAR100,fedadagrad,0,0,100,0.01,2,579,0.4063,0.50148,0.4367,0.54788,2.684162109375,1.9609002783203124,2.38123798828125,1.664422060546875
58,CIFAR100,fedadagrad,0,0,100,0.01,2,589,0.4076,0.5009,0.4419,0.5522,2.7228439453125,1.9855071630859376,2.37932734375,1.6478510205078125
59,CIFAR100,fedadagrad,0,0,100,0.01,2,599,0.4081,0.50344,0.4436,0.55478,2.684726953125,1.957613603515625,2.3707396484375,1.634228466796875
60,CIFAR100,fedadagrad,0,0,100,0.01,2,609,0.4024,0.49994,0.4445,0.55734,2.811571484375,2.0288040380859376,2.36999072265625,1.62152298828125
61,CIFAR100,fedadagrad,0,0,100,0.01,2,619,0.4095,0.50944,0.445,0.56362,2.6685408203125,1.9166938037109376,2.38139619140625,1.606277890625
62,CIFAR100,fedadagrad,0,0,100,0.01,2,629,0.4069,0.49662,0.447,0.56442,2.75138056640625,2.0073037109375,2.377476171875,1.5976298681640626
63,CIFAR100,fedadagrad,0,0,100,0.01,2,639,0.406,0.49866,0.4461,0.56572,2.76203251953125,1.9997712158203125,2.3705822265625,1.58691548828125
64,CIFAR100,fedadagrad,0,0,100,0.01,2,649,0.414,0.51232,0.4476,0.56776,2.76953857421875,1.9796526318359375,2.3685947265625,1.5803789501953125
65,CIFAR100,fedadagrad,0,0,100,0.01,2,659,0.3962,0.49588,0.4488,0.5697,2.81830078125,2.031970732421875,2.36288232421875,1.5715878076171874
66,CIFAR100,fedadagrad,0,0,100,0.01,2,669,0.4078,0.50422,0.4486,0.57186,2.7257716796875,1.9742041259765626,2.36349423828125,1.566985166015625
67,CIFAR100,fedadagrad,0,0,100,0.01,2,679,0.4028,0.49654,0.4474,0.57332,2.707053125,1.9769161279296874,2.361887890625,1.5621032568359374
68,CIFAR100,fedadagrad,0,0,100,0.01,2,689,0.4099,0.49744,0.4484,0.57462,2.780451171875,2.0124968701171877,2.356394140625,1.554673427734375
69,CIFAR100,fedadagrad,0,0,100,0.01,2,699,0.4078,0.50486,0.451,0.5751,2.71225517578125,1.9433861669921875,2.35028974609375,1.547322880859375
70,CIFAR100,fedadagrad,0,0,100,0.01,2,709,0.4079,0.50938,0.4506,0.5753,2.7155638671875,1.93572029296875,2.34924521484375,1.5433019580078124
71,CIFAR100,fedadagrad,0,0,100,0.01,2,719,0.4101,0.5078,0.4516,0.57608,2.72578876953125,1.937190458984375,2.34525654296875,1.5353704736328124
72,CIFAR100,fedadagrad,0,0,100,0.01,2,729,0.3985,0.5039,0.4491,0.5773,2.7658001953125,1.972807216796875,2.34373896484375,1.5278784521484374
73,CIFAR100,fedadagrad,0,0,100,0.01,2,739,0.4037,0.50522,0.45,0.57848,2.73061318359375,1.9528301904296874,2.34380009765625,1.524290439453125
74,CIFAR100,fedadagrad,0,0,100,0.01,2,749,0.404,0.50752,0.4509,0.58088,2.7666404296875,1.968208037109375,2.34232587890625,1.5179669873046875
75,CIFAR100,fedadagrad,0,0,100,0.01,2,759,0.4092,0.51988,0.4528,0.5827,2.68098056640625,1.8803298291015624,2.33902412109375,1.512456904296875
76,CIFAR100,fedadagrad,0,0,100,0.01,2,769,0.4154,0.52568,0.4543,0.58468,2.69746123046875,1.8706001806640624,2.3420255859375,1.5076083544921874
77,CIFAR100,fedadagrad,0,0,100,0.01,2,779,0.4132,0.52154,0.454,0.58528,2.71227578125,1.8840505712890625,2.3438275390625,1.5030611279296875
78,CIFAR100,fedadagrad,0,0,100,0.01,2,789,0.4113,0.51968,0.4523,0.5861,2.83096533203125,1.954692109375,2.3443818359375,1.4982284765625
79,CIFAR100,fedadagrad,0,0,100,0.01,2,799,0.4062,0.51922,0.452,0.58734,2.71243369140625,1.8903038330078126,2.3448896484375,1.4940469091796875
80,CIFAR100,fedadagrad,0,0,100,0.01,2,809,0.4129,0.51954,0.453,0.588,2.74688828125,1.9174404541015626,2.348104296875,1.4899674365234374
81,CIFAR100,fedadagrad,0,0,100,0.01,2,819,0.4179,0.53444,0.4514,0.58842,2.6903560546875,1.8313039599609375,2.35172333984375,1.4846063134765626
82,CIFAR100,fedadagrad,0,0,100,0.01,2,829,0.4117,0.52372,0.4516,0.58996,2.69703486328125,1.8632676611328125,2.35004697265625,1.48078177734375
83,CIFAR100,fedadagrad,0,0,100,0.01,2,839,0.4173,0.53202,0.4523,0.59092,2.69124853515625,1.83244509765625,2.3484962890625,1.4752176513671875
84,CIFAR100,fedadagrad,0,0,100,0.01,2,849,0.4264,0.54362,0.4511,0.59238,2.61591787109375,1.7611545166015625,2.349534765625,1.4719151318359376
85,CIFAR100,fedadagrad,0,0,100,0.01,2,859,0.4206,0.532,0.4537,0.59244,2.75985244140625,1.8573238720703125,2.3497197265625,1.4682964208984375
86,CIFAR100,fedadagrad,0,0,100,0.01,2,869,0.4215,0.53402,0.4566,0.59432,2.622090625,1.8028042724609374,2.34456689453125,1.4600938134765624
