,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedadagrad,0,0,100,0.01,1,9,0.0932,0.09698,0.0253,0.02608,4.01412158203125,3.998410029296875,4.5828064453125,4.58249568359375
1,CIFAR100,fedadagrad,0,0,100,0.01,1,19,0.1445,0.1486,0.073,0.07422,3.7920015625,3.7317911328125,4.5344734375,4.53264109375
2,CIFAR100,fedadagrad,0,0,100,0.01,1,29,0.1629,0.17,0.1086,0.10988,3.85078916015625,3.757487353515625,4.4893248046875,4.48607259765625
3,CIFAR100,fedadagrad,0,0,100,0.01,1,39,0.2031,0.21534,0.1558,0.15682,3.6548095703125,3.51910736328125,4.3874375,4.38052998046875
4,CIFAR100,fedadagrad,0,0,100,0.01,1,49,0.2199,0.2377,0.2049,0.20858,3.4986890625,3.325755302734375,4.1848947265625,4.16972939453125
5,CIFAR100,fedadagrad,0,0,100,0.01,1,59,0.2366,0.25902,0.2275,0.24334,3.311122265625,3.160617119140625,3.9542828125,3.927294541015625
6,CIFAR100,fedadagrad,0,0,100,0.01,1,69,0.2441,0.26912,0.2461,0.26984,3.3974716796875,3.174184638671875,3.7437677734375,3.704437412109375
7,CIFAR100,fedadagrad,0,0,100,0.01,1,79,0.2418,0.26154,0.2581,0.28524,3.45250126953125,3.27590923828125,3.604180078125,3.554366083984375
8,CIFAR100,fedadagrad,0,0,100,0.01,1,89,0.2495,0.2775,0.2679,0.29788,3.52483232421875,3.27822283203125,3.48170869140625,3.421040205078125
9,CIFAR100,fedadagrad,0,0,100,0.01,1,99,0.2841,0.30806,0.2827,0.31488,3.1790576171875,2.96019515625,3.33065830078125,3.25505244140625
10,CIFAR100,fedadagrad,0,0,100,0.01,1,109,0.2852,0.31926,0.2959,0.33106,3.2987203125,3.017594990234375,3.172580078125,3.0815199609375
11,CIFAR100,fedadagrad,0,0,100,0.01,1,119,0.2859,0.3251,0.309,0.34874,3.0825521484375,2.830222060546875,3.021418359375,2.91164775390625
12,CIFAR100,fedadagrad,0,0,100,0.01,1,129,0.2906,0.32986,0.3212,0.3663,3.09434365234375,2.82042958984375,2.8775419921875,2.7465980078125
13,CIFAR100,fedadagrad,0,0,100,0.01,1,139,0.3145,0.3548,0.3367,0.38226,2.99918056640625,2.68516373046875,2.74932841796875,2.594444658203125
14,CIFAR100,fedadagrad,0,0,100,0.01,1,149,0.3126,0.35532,0.3478,0.3954,3.02129169921875,2.727238916015625,2.6743447265625,2.50377703125
15,CIFAR100,fedadagrad,0,0,100,0.01,1,159,0.3185,0.36532,0.3573,0.4025,2.99719912109375,2.65273572265625,2.64253564453125,2.466372802734375
16,CIFAR100,fedadagrad,0,0,100,0.01,1,169,0.3293,0.3729,0.362,0.41206,3.02532978515625,2.685855830078125,2.58060244140625,2.388903203125
17,CIFAR100,fedadagrad,0,0,100,0.01,1,179,0.3431,0.39352,0.3686,0.42244,2.8277220703125,2.484546123046875,2.50918798828125,2.296006103515625
18,CIFAR100,fedadagrad,0,0,100,0.01,1,189,0.3451,0.40194,0.3727,0.42584,2.9420919921875,2.551370751953125,2.491553515625,2.274686416015625
19,CIFAR100,fedadagrad,0,0,100,0.01,1,199,0.3569,0.4147,0.3797,0.43586,2.80308740234375,2.384838994140625,2.46040625,2.23228732421875
20,CIFAR100,fedadagrad,0,0,100,0.01,1,209,0.3611,0.4165,0.3891,0.44958,2.82237529296875,2.382660087890625,2.3967732421875,2.128817177734375
