,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedadagrad,0,0,100,0.01,1,9,0.0496,0.04806,0.0306,0.0312,4.3172173828125,4.31150255859375,4.5856693359375,4.58522361328125
1,CIFAR100,fedadagrad,0,0,100,0.01,1,19,0.1306,0.13304,0.0645,0.06384,3.71460419921875,3.687841708984375,4.5421611328125,4.54111640625
2,CIFAR100,fedadagrad,0,0,100,0.01,1,29,0.1636,0.17076,0.0946,0.09796,3.67266181640625,3.613556630859375,4.5025115234375,4.5010202734375
3,CIFAR100,fedadagrad,0,0,100,0.01,1,39,0.2138,0.21888,0.1437,0.14438,3.41427646484375,3.32308833984375,4.41318125,4.4098316796875
4,CIFAR100,fedadagrad,0,0,100,0.01,1,49,0.2147,0.2282,0.1887,0.192,3.30984501953125,3.207025498046875,4.2253763671875,4.21598998046875
5,CIFAR100,fedadagrad,0,0,100,0.01,1,59,0.238,0.2517,0.2225,0.23086,3.2314595703125,3.11108166015625,4.0162583984375,3.997653544921875
6,CIFAR100,fedadagrad,0,0,100,0.01,1,69,0.2552,0.27778,0.2526,0.26654,3.09636396484375,2.961423076171875,3.8216060546875,3.792625869140625
7,CIFAR100,fedadagrad,0,0,100,0.01,1,79,0.2641,0.27648,0.2664,0.28538,3.1634638671875,3.04199333984375,3.6857130859375,3.649425478515625
8,CIFAR100,fedadagrad,0,0,100,0.01,1,89,0.2535,0.27552,0.2836,0.29992,3.2449859375,3.080421181640625,3.5572634765625,3.513886337890625
9,CIFAR100,fedadagrad,0,0,100,0.01,1,99,0.2738,0.29946,0.2981,0.3195,3.0794373046875,2.9138377734375,3.39060615234375,3.336786064453125
10,CIFAR100,fedadagrad,0,0,100,0.01,1,109,0.2981,0.32908,0.3124,0.33714,2.985783984375,2.788177314453125,3.22547509765625,3.159716572265625
11,CIFAR100,fedadagrad,0,0,100,0.01,1,119,0.2983,0.32612,0.3242,0.35354,2.95129921875,2.74554193359375,3.06407041015625,2.9854542578125
12,CIFAR100,fedadagrad,0,0,100,0.01,1,129,0.296,0.33076,0.3373,0.36776,2.92114111328125,2.698880849609375,2.90451357421875,2.80983220703125
13,CIFAR100,fedadagrad,0,0,100,0.01,1,139,0.3212,0.35664,0.3491,0.38314,2.872393359375,2.6334612109375,2.76198974609375,2.649183212890625
14,CIFAR100,fedadagrad,0,0,100,0.01,1,149,0.3265,0.36444,0.3559,0.39542,2.779720703125,2.53749439453125,2.684972265625,2.55893916015625
15,CIFAR100,fedadagrad,0,0,100,0.01,1,159,0.325,0.36964,0.3585,0.40136,2.8465169921875,2.56881353515625,2.65508505859375,2.52372380859375
16,CIFAR100,fedadagrad,0,0,100,0.01,1,169,0.3353,0.37298,0.3667,0.41014,2.7610841796875,2.51748345703125,2.59062373046875,2.445439345703125
17,CIFAR100,fedadagrad,0,0,100,0.01,1,179,0.3384,0.39002,0.3734,0.4215,2.7278388671875,2.454386884765625,2.51518779296875,2.3512621875
18,CIFAR100,fedadagrad,0,0,100,0.01,1,189,0.3594,0.4048,0.3803,0.42712,2.7072494140625,2.396893798828125,2.49718779296875,2.327811015625
19,CIFAR100,fedadagrad,0,0,100,0.01,1,199,0.3639,0.41312,0.3862,0.43602,2.62473583984375,2.320640322265625,2.47024990234375,2.291506728515625
