,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedadagrad,0,0.3,100,0.01,1,9,0.0475,0.05038,0.0281,0.02872,4.7235486328125,4.7062230859375,4.5887837890625,4.58859154296875
1,CIFAR100,fedadagrad,0,0.3,100,0.01,1,19,0.1044,0.10696,0.0639,0.06744,4.166525,4.09866431640625,4.5557626953125,4.55512392578125
2,CIFAR100,fedadagrad,0,0.3,100,0.01,1,29,0.1286,0.13392,0.0854,0.09452,4.151498046875,4.06441703125,4.520383984375,4.5182460546875
3,CIFAR100,fedadagrad,0,0.3,100,0.01,1,39,0.1521,0.165,0.1323,0.14172,3.9802900390625,3.821897255859375,4.4447861328125,4.4389216796875
4,CIFAR100,fedadagrad,0,0.3,100,0.01,1,49,0.1768,0.19028,0.1719,0.1865,3.72374443359375,3.596878291015625,4.292433984375,4.27802794921875
5,CIFAR100,fedadagrad,0,0.3,100,0.01,1,59,0.1713,0.18698,0.2007,0.22102,3.8596994140625,3.710005927734375,4.10558671875,4.079264365234375
6,CIFAR100,fedadagrad,0,0.3,100,0.01,1,69,0.187,0.21024,0.2234,0.242,3.66059951171875,3.4923010546875,3.929120703125,3.890596953125
7,CIFAR100,fedadagrad,0,0.3,100,0.01,1,79,0.1781,0.20174,0.2388,0.25642,4.053521875,3.813618486328125,3.815621875,3.7683531640625
8,CIFAR100,fedadagrad,0,0.3,100,0.01,1,89,0.181,0.19984,0.2451,0.2685,4.03804375,3.8450748046875,3.704782421875,3.648033544921875
9,CIFAR100,fedadagrad,0,0.3,100,0.01,1,99,0.2196,0.2455,0.2587,0.28386,3.6485509765625,3.432357392578125,3.56565126953125,3.495721728515625
10,CIFAR100,fedadagrad,0,0.3,100,0.01,1,109,0.2363,0.25646,0.2685,0.29614,3.50756669921875,3.288526455078125,3.42431494140625,3.339266201171875
11,CIFAR100,fedadagrad,0,0.3,100,0.01,1,119,0.212,0.2317,0.279,0.30916,3.6187158203125,3.402510498046875,3.27944306640625,3.177377880859375
12,CIFAR100,fedadagrad,0,0.3,100,0.01,1,129,0.2432,0.2697,0.291,0.32236,3.4552919921875,3.188118759765625,3.13089033203125,3.008007958984375
13,CIFAR100,fedadagrad,0,0.3,100,0.01,1,139,0.262,0.28524,0.3,0.33752,3.30552177734375,3.04601365234375,3.00425439453125,2.85922208984375
14,CIFAR100,fedadagrad,0,0.3,100,0.01,1,149,0.2807,0.30842,0.3101,0.35196,3.2811814453125,3.005748955078125,2.92631318359375,2.764456845703125
15,CIFAR100,fedadagrad,0,0.3,100,0.01,1,159,0.2613,0.29166,0.3169,0.3593,3.3911564453125,3.08374251953125,2.8964236328125,2.7295907421875
16,CIFAR100,fedadagrad,0,0.3,100,0.01,1,169,0.2605,0.2904,0.3234,0.36956,3.423219140625,3.12355689453125,2.82904970703125,2.647479560546875
17,CIFAR100,fedadagrad,0,0.3,100,0.01,1,179,0.2741,0.31118,0.3344,0.37922,3.289656640625,2.96100544921875,2.75000322265625,2.549798037109375
18,CIFAR100,fedadagrad,0,0.3,100,0.01,1,189,0.2853,0.3238,0.3379,0.3852,3.2289107421875,2.85943740234375,2.7268255859375,2.52495525390625
19,CIFAR100,fedadagrad,0,0.3,100,0.01,1,199,0.2997,0.34206,0.3416,0.39344,3.16876923828125,2.784652236328125,2.6930859375,2.483311953125
