,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedadagrad,0,0.3,100,0.01,2,9,0.0672,0.07222,0.0132,0.01344,4.2802970703125,4.274308125,4.5922001953125,4.59205404296875
1,CIFAR100,fedadagrad,0,0.3,100,0.01,2,19,0.1029,0.10746,0.0552,0.05898,4.2480046875,4.201981484375,4.5620373046875,4.5615340234375
2,CIFAR100,fedadagrad,0,0.3,100,0.01,2,29,0.1264,0.13706,0.0889,0.09518,4.1741033203125,4.0992348828125,4.5086265625,4.50655951171875
3,CIFAR100,fedadagrad,0,0.3,100,0.01,2,39,0.1292,0.14182,0.1198,0.12696,4.25492265625,4.1358715625,4.4463544921875,4.442029296875
4,CIFAR100,fedadagrad,0,0.3,100,0.01,2,49,0.1325,0.1411,0.1504,0.15414,4.3730068359375,4.2466560546875,4.390893359375,4.383761015625
5,CIFAR100,fedadagrad,0,0.3,100,0.01,2,59,0.1675,0.1813,0.178,0.1837,3.986640625,3.842512763671875,4.2773177734375,4.264283671875
6,CIFAR100,fedadagrad,0,0.3,100,0.01,2,69,0.1838,0.19974,0.1996,0.2102,3.8591826171875,3.682041826171875,4.121265625,4.09944796875
7,CIFAR100,fedadagrad,0,0.3,100,0.01,2,79,0.1914,0.20128,0.2189,0.23078,3.68741435546875,3.55681314453125,3.9196794921875,3.885404130859375
8,CIFAR100,fedadagrad,0,0.3,100,0.01,2,89,0.2167,0.23138,0.2326,0.24518,3.715589453125,3.5365528125,3.7888095703125,3.74509744140625
9,CIFAR100,fedadagrad,0,0.3,100,0.01,2,99,0.2153,0.24014,0.248,0.2658,3.536701953125,3.334231083984375,3.67558876953125,3.6219606640625
10,CIFAR100,fedadagrad,0,0.3,100,0.01,2,109,0.235,0.25564,0.2599,0.27932,3.5064052734375,3.3081148046875,3.55819609375,3.495437021484375
11,CIFAR100,fedadagrad,0,0.3,100,0.01,2,119,0.2157,0.23456,0.27,0.29364,3.52979267578125,3.351404228515625,3.37832099609375,3.29925873046875
12,CIFAR100,fedadagrad,0,0.3,100,0.01,2,129,0.2502,0.27436,0.2818,0.30966,3.43977802734375,3.197133369140625,3.24348837890625,3.15077921875
13,CIFAR100,fedadagrad,0,0.3,100,0.01,2,139,0.2372,0.26188,0.2907,0.31888,3.53055966796875,3.2874820703125,3.1373150390625,3.032892470703125
14,CIFAR100,fedadagrad,0,0.3,100,0.01,2,149,0.2586,0.28866,0.301,0.32912,3.3359587890625,3.08362162109375,3.0675412109375,2.95292052734375
15,CIFAR100,fedadagrad,0,0.3,100,0.01,2,159,0.2592,0.28978,0.3101,0.34028,3.303705859375,3.042498779296875,2.974458203125,2.845212724609375
16,CIFAR100,fedadagrad,0,0.3,100,0.01,2,169,0.2807,0.30878,0.3217,0.35304,3.15945712890625,2.89434560546875,2.804370703125,2.640319677734375
17,CIFAR100,fedadagrad,0,0.3,100,0.01,2,179,0.2697,0.30086,0.3279,0.35868,3.42779560546875,3.12585138671875,2.7750900390625,2.605797099609375
18,CIFAR100,fedadagrad,0,0.3,100,0.01,2,189,0.2808,0.31732,0.3394,0.3721,3.119403515625,2.82424064453125,2.70055185546875,2.509753916015625
19,CIFAR100,fedadagrad,0,0.3,100,0.01,2,199,0.2903,0.33268,0.3489,0.38316,3.11228837890625,2.803404951171875,2.64111044921875,2.42951044921875
20,CIFAR100,fedadagrad,0,0.3,100,0.01,2,209,0.3078,0.34764,0.3548,0.39234,3.11494443359375,2.758362373046875,2.60833759765625,2.3849587109375
21,CIFAR100,fedadagrad,0,0.3,100,0.01,2,219,0.3068,0.35288,0.3565,0.40164,2.917966015625,2.596069658203125,2.579571484375,2.345971552734375
22,CIFAR100,fedadagrad,0,0.3,100,0.01,2,229,0.32,0.36822,0.3648,0.41226,2.9724984375,2.592612138671875,2.543537109375,2.294842568359375
23,CIFAR100,fedadagrad,0,0.3,100,0.01,2,239,0.2949,0.34438,0.3672,0.41542,3.1381642578125,2.740106533203125,2.53222939453125,2.27910400390625
24,CIFAR100,fedadagrad,0,0.3,100,0.01,2,249,0.3001,0.34296,0.3746,0.42308,3.178686328125,2.773531044921875,2.49302607421875,2.20628189453125
25,CIFAR100,fedadagrad,0,0.3,100,0.01,2,259,0.3143,0.35858,0.3768,0.42954,2.99712685546875,2.639688642578125,2.472408984375,2.165489189453125
26,CIFAR100,fedadagrad,0,0.3,100,0.01,2,269,0.3128,0.3634,0.381,0.43466,3.03976669921875,2.639890888671875,2.45018447265625,2.135847734375
27,CIFAR100,fedadagrad,0,0.3,100,0.01,2,279,0.3178,0.36516,0.3826,0.43768,3.09493173828125,2.682848740234375,2.4353806640625,2.1189711328125
28,CIFAR100,fedadagrad,0,0.3,100,0.01,2,289,0.3139,0.36466,0.3889,0.44324,3.12680498046875,2.69135701171875,2.41657451171875,2.086235556640625
29,CIFAR100,fedadagrad,0,0.3,100,0.01,2,299,0.332,0.3772,0.3914,0.44646,3.01814375,2.585528095703125,2.40384072265625,2.06432412109375
30,CIFAR100,fedadagrad,0,0.3,100,0.01,2,309,0.3292,0.38586,0.3961,0.45268,2.9592783203125,2.515476162109375,2.3878263671875,2.03855791015625
31,CIFAR100,fedadagrad,0,0.3,100,0.01,2,319,0.3352,0.38778,0.3997,0.46002,2.847412109375,2.44132498046875,2.37058828125,2.0072116015625
32,CIFAR100,fedadagrad,0,0.3,100,0.01,2,329,0.3377,0.39124,0.3991,0.46252,2.9967291015625,2.531504384765625,2.3619439453125,1.9943112109375
33,CIFAR100,fedadagrad,0,0.3,100,0.01,2,339,0.326,0.38252,0.4034,0.4676,2.890531640625,2.482956474609375,2.350946875,1.97402189453125
34,CIFAR100,fedadagrad,0,0.3,100,0.01,2,349,0.3303,0.3776,0.4043,0.47084,3.07789375,2.595380625,2.34127626953125,1.96149390625
35,CIFAR100,fedadagrad,0,0.3,100,0.01,2,359,0.3332,0.39382,0.4058,0.47476,2.937230078125,2.476212744140625,2.3304462890625,1.9456926025390624
36,CIFAR100,fedadagrad,0,0.3,100,0.01,2,369,0.3405,0.399,0.4087,0.47964,2.8844248046875,2.434212705078125,2.3181142578125,1.9192183349609375
37,CIFAR100,fedadagrad,0,0.3,100,0.01,2,379,0.3448,0.40312,0.4095,0.48058,2.9043859375,2.4383619921875,2.3117431640625,1.911036572265625
38,CIFAR100,fedadagrad,0,0.3,100,0.01,2,389,0.3499,0.40646,0.4103,0.48372,2.81323408203125,2.352894853515625,2.30178173828125,1.897781083984375
39,CIFAR100,fedadagrad,0,0.3,100,0.01,2,399,0.3721,0.43576,0.4165,0.4866,2.776593359375,2.2869561328125,2.293310546875,1.882800205078125
40,CIFAR100,fedadagrad,0,0.3,100,0.01,2,409,0.3629,0.43022,0.4181,0.4921,2.74154169921875,2.240672822265625,2.2859103515625,1.865945947265625
41,CIFAR100,fedadagrad,0,0.3,100,0.01,2,419,0.3539,0.414,0.4191,0.49366,2.8933591796875,2.381100380859375,2.28088720703125,1.8570959375
42,CIFAR100,fedadagrad,0,0.3,100,0.01,2,429,0.3326,0.39036,0.4209,0.4962,3.080378515625,2.571551884765625,2.273351171875,1.847227294921875
43,CIFAR100,fedadagrad,0,0.3,100,0.01,2,439,0.3539,0.4238,0.4224,0.4991,2.796864453125,2.284640556640625,2.26943515625,1.83404322265625
44,CIFAR100,fedadagrad,0,0.3,100,0.01,2,449,0.3494,0.41428,0.4232,0.50418,2.994685546875,2.4445378515625,2.268348828125,1.812478759765625
45,CIFAR100,fedadagrad,0,0.3,100,0.01,2,459,0.368,0.42406,0.4231,0.50518,2.7905357421875,2.30070666015625,2.26301220703125,1.8058962841796875
46,CIFAR100,fedadagrad,0,0.3,100,0.01,2,469,0.342,0.4032,0.423,0.50926,2.87318359375,2.384942783203125,2.25959306640625,1.790066826171875
47,CIFAR100,fedadagrad,0,0.3,100,0.01,2,479,0.3587,0.41364,0.4275,0.5124,2.82404658203125,2.353564453125,2.2530353515625,1.77994392578125
48,CIFAR100,fedadagrad,0,0.3,100,0.01,2,489,0.3606,0.42256,0.4294,0.51344,2.773618359375,2.304855302734375,2.24735673828125,1.7729476806640625
49,CIFAR100,fedadagrad,0,0.3,100,0.01,2,499,0.3562,0.41486,0.4308,0.5169,2.82651728515625,2.36948642578125,2.23741796875,1.7589721337890625
