,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedadagrad,0,0.3,100,0.01,1,9,0.0593,0.0585,0.0253,0.02464,4.5825359375,4.5768319140625,4.59244140625,4.5924904296875
1,CIFAR100,fedadagrad,0,0.3,100,0.01,1,19,0.0956,0.10008,0.0639,0.0639,4.036984375,4.008306806640625,4.5636947265625,4.5635436328125
2,CIFAR100,fedadagrad,0,0.3,100,0.01,1,29,0.1188,0.12664,0.0867,0.0856,4.039701171875,3.9718058984375,4.530434765625,4.52964005859375
3,CIFAR100,fedadagrad,0,0.3,100,0.01,1,39,0.1664,0.17254,0.1226,0.1266,3.7680546875,3.672817158203125,4.452557421875,4.44962990234375
4,CIFAR100,fedadagrad,0,0.3,100,0.01,1,49,0.1592,0.17196,0.1695,0.17446,3.69700634765625,3.5968537890625,4.301081640625,4.29298087890625
5,CIFAR100,fedadagrad,0,0.3,100,0.01,1,59,0.1932,0.1999,0.199,0.20742,3.5601373046875,3.449369453125,4.120729296875,4.105217041015625
6,CIFAR100,fedadagrad,0,0.3,100,0.01,1,69,0.1959,0.21584,0.2239,0.23764,3.59171669921875,3.4245919921875,3.953176171875,3.928188564453125
7,CIFAR100,fedadagrad,0,0.3,100,0.01,1,79,0.1874,0.19996,0.2336,0.2508,3.898990625,3.7286811328125,3.8395142578125,3.80683720703125
8,CIFAR100,fedadagrad,0,0.3,100,0.01,1,89,0.1765,0.19658,0.2423,0.2623,3.82808828125,3.664448759765625,3.7329220703125,3.692040478515625
9,CIFAR100,fedadagrad,0,0.3,100,0.01,1,99,0.2326,0.25112,0.2546,0.28046,3.4384033203125,3.233673779296875,3.59712333984375,3.5446009375
10,CIFAR100,fedadagrad,0,0.3,100,0.01,1,109,0.2383,0.26086,0.2684,0.29538,3.434959765625,3.232958251953125,3.45593701171875,3.390521259765625
11,CIFAR100,fedadagrad,0,0.3,100,0.01,1,119,0.2294,0.25618,0.2803,0.31068,3.386188671875,3.180207900390625,3.30503818359375,3.223933818359375
12,CIFAR100,fedadagrad,0,0.3,100,0.01,1,129,0.2366,0.2585,0.2941,0.32406,3.334373046875,3.128381826171875,3.14832158203125,3.04901255859375
13,CIFAR100,fedadagrad,0,0.3,100,0.01,1,139,0.2584,0.2957,0.3038,0.33988,3.19191689453125,2.949381513671875,3.00508701171875,2.886230380859375
14,CIFAR100,fedadagrad,0,0.3,100,0.01,1,149,0.2671,0.29148,0.3165,0.35286,3.23323193359375,2.986726953125,2.92101474609375,2.78739416015625
15,CIFAR100,fedadagrad,0,0.3,100,0.01,1,159,0.2658,0.29982,0.3223,0.3609,3.243884765625,2.987118798828125,2.88701025390625,2.74910197265625
16,CIFAR100,fedadagrad,0,0.3,100,0.01,1,169,0.2826,0.31676,0.3273,0.3686,3.0696140625,2.836490908203125,2.81624013671875,2.6666560546875
17,CIFAR100,fedadagrad,0,0.3,100,0.01,1,179,0.2836,0.32612,0.3358,0.37962,3.12948173828125,2.830382763671875,2.72739716796875,2.56260328125
18,CIFAR100,fedadagrad,0,0.3,100,0.01,1,189,0.3038,0.34328,0.3398,0.38394,2.9481408203125,2.638304169921875,2.70803369140625,2.5402891796875
19,CIFAR100,fedadagrad,0,0.3,100,0.01,1,199,0.3014,0.34334,0.3476,0.3945,2.990972265625,2.68329734375,2.671515234375,2.49716099609375
20,CIFAR100,fedadagrad,0,0.3,100,0.01,1,209,0.3231,0.36864,0.356,0.40866,2.7834849609375,2.479467568359375,2.57127451171875,2.370849990234375
21,CIFAR100,fedadagrad,0,0.3,100,0.01,1,219,0.3133,0.35872,0.3632,0.41676,2.98377744140625,2.6314420703125,2.4933203125,2.26171611328125
22,CIFAR100,fedadagrad,0,0.3,100,0.01,1,229,0.2898,0.32836,0.3681,0.4256,3.0917693359375,2.77516791015625,2.45396044921875,2.201580712890625
23,CIFAR100,fedadagrad,0,0.3,100,0.01,1,239,0.3113,0.35738,0.3739,0.43214,2.9144822265625,2.5886711328125,2.434625390625,2.17279927734375
24,CIFAR100,fedadagrad,0,0.3,100,0.01,1,249,0.2968,0.3395,0.3765,0.43808,3.0564373046875,2.712050107421875,2.415246484375,2.1445712890625
25,CIFAR100,fedadagrad,0,0.3,100,0.01,1,259,0.2956,0.34244,0.3817,0.4433,3.05500341796875,2.693621455078125,2.39932841796875,2.1030578125
26,CIFAR100,fedadagrad,0,0.3,100,0.01,1,269,0.321,0.36278,0.3841,0.44784,2.95554482421875,2.608802958984375,2.38691796875,2.08366390625
27,CIFAR100,fedadagrad,0,0.3,100,0.01,1,279,0.3107,0.36304,0.383,0.45132,2.95488583984375,2.593576171875,2.37440693359375,2.063119423828125
28,CIFAR100,fedadagrad,0,0.3,100,0.01,1,289,0.3173,0.36606,0.3901,0.45652,2.9555595703125,2.5814385546875,2.36121064453125,2.032832998046875
29,CIFAR100,fedadagrad,0,0.3,100,0.01,1,299,0.3291,0.3784,0.3916,0.46062,2.880112109375,2.51047466796875,2.35053623046875,2.01101494140625
30,CIFAR100,fedadagrad,0,0.3,100,0.01,1,309,0.3308,0.37716,0.3924,0.46508,2.914719140625,2.52825935546875,2.340023046875,1.992798125
31,CIFAR100,fedadagrad,0,0.3,100,0.01,1,319,0.3322,0.37848,0.3951,0.46834,2.8852353515625,2.5190791796875,2.32709521484375,1.9748842578125
32,CIFAR100,fedadagrad,0,0.3,100,0.01,1,329,0.3408,0.39744,0.4016,0.4737,2.77204560546875,2.367654814453125,2.31661044921875,1.951606923828125
33,CIFAR100,fedadagrad,0,0.3,100,0.01,1,339,0.352,0.39918,0.4051,0.47874,2.73001689453125,2.348246923828125,2.30643310546875,1.9318794189453126
34,CIFAR100,fedadagrad,0,0.3,100,0.01,1,349,0.3479,0.3919,0.4099,0.48646,2.7750205078125,2.3965420703125,2.2976353515625,1.9011918603515625
35,CIFAR100,fedadagrad,0,0.3,100,0.01,1,359,0.3325,0.38124,0.4105,0.48796,2.9098998046875,2.516074287109375,2.290239453125,1.891602314453125
36,CIFAR100,fedadagrad,0,0.3,100,0.01,1,369,0.3511,0.40556,0.4125,0.49214,2.75637021484375,2.342368876953125,2.28129755859375,1.8729421630859375
37,CIFAR100,fedadagrad,0,0.3,100,0.01,1,379,0.3448,0.39894,0.4135,0.49448,2.89616943359375,2.429547939453125,2.27815859375,1.859686318359375
38,CIFAR100,fedadagrad,0,0.3,100,0.01,1,389,0.3685,0.42584,0.4155,0.49652,2.648237890625,2.2114273828125,2.2748984375,1.8465253662109375
39,CIFAR100,fedadagrad,0,0.3,100,0.01,1,399,0.3413,0.4071,0.418,0.49832,2.89201279296875,2.37434271484375,2.27028095703125,1.8376120947265624
40,CIFAR100,fedadagrad,0,0.3,100,0.01,1,409,0.3424,0.40892,0.4195,0.50306,2.80849140625,2.348866025390625,2.2665671875,1.82439044921875
41,CIFAR100,fedadagrad,0,0.3,100,0.01,1,419,0.3489,0.41076,0.4219,0.50488,2.75578642578125,2.31703126953125,2.26158896484375,1.8143213330078125
42,CIFAR100,fedadagrad,0,0.3,100,0.01,1,429,0.3469,0.41234,0.4243,0.50754,2.76972607421875,2.307682666015625,2.25645166015625,1.8028076611328125
