,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedadagrad,0,0.3,100,0.01,2,9,0.018,0.01864,0.0226,0.02398,5.6530515625,5.643824375,4.6011974609375,4.6009866015625
1,CIFAR100,fedadagrad,0,0.3,100,0.01,2,19,0.021,0.02086,0.0197,0.02158,4.7826033203125,4.76849458984375,4.596571484375,4.59613939453125
2,CIFAR100,fedadagrad,0,0.3,100,0.01,2,29,0.035,0.03646,0.0243,0.0263,5.1102892578125,5.09234837890625,4.5885984375,4.5882059765625
3,CIFAR100,fedadagrad,0,0.3,100,0.01,2,39,0.0451,0.04524,0.0316,0.03462,4.581820703125,4.5648216015625,4.57679765625,4.5763706640625
4,CIFAR100,fedadagrad,0,0.3,100,0.01,2,49,0.0641,0.06268,0.0367,0.03792,4.2489099609375,4.2261530859375,4.56224296875,4.561854921875
5,CIFAR100,fedadagrad,0,0.3,100,0.01,2,59,0.0546,0.05674,0.0451,0.0506,4.7410265625,4.7180298046875,4.537723828125,4.5371714453125
6,CIFAR100,fedadagrad,0,0.3,100,0.01,2,69,0.0812,0.08254,0.062,0.06342,4.2058427734375,4.182313115234375,4.4981857421875,4.49696884765625
7,CIFAR100,fedadagrad,0,0.3,100,0.01,2,79,0.0928,0.09684,0.0755,0.0776,4.04169033203125,4.0215320703125,4.4397572265625,4.4376542578125
8,CIFAR100,fedadagrad,0,0.3,100,0.01,2,89,0.1018,0.10208,0.0852,0.08628,3.965238671875,3.93792208984375,4.3971912109375,4.39419810546875
9,CIFAR100,fedadagrad,0,0.3,100,0.01,2,99,0.1104,0.11696,0.0952,0.09746,3.8150591796875,3.795189990234375,4.3490048828125,4.34485818359375
10,CIFAR100,fedadagrad,0,0.3,100,0.01,2,109,0.1298,0.13222,0.1062,0.10666,3.8075931640625,3.77314443359375,4.2930271484375,4.287878515625
11,CIFAR100,fedadagrad,0,0.3,100,0.01,2,119,0.1162,0.11916,0.1153,0.12076,3.79538662109375,3.76987232421875,4.19749296875,4.19071205078125
12,CIFAR100,fedadagrad,0,0.3,100,0.01,2,129,0.1472,0.15258,0.1305,0.13252,3.6813845703125,3.633596357421875,4.102359765625,4.093740703125
13,CIFAR100,fedadagrad,0,0.3,100,0.01,2,139,0.1391,0.14624,0.1394,0.14034,3.7232525390625,3.66138205078125,4.02865693359375,4.0178644921875
14,CIFAR100,fedadagrad,0,0.3,100,0.01,2,149,0.1419,0.15038,0.143,0.14858,3.62509736328125,3.5727523828125,3.96038798828125,3.947296865234375
15,CIFAR100,fedadagrad,0,0.3,100,0.01,2,159,0.1517,0.15586,0.1519,0.15804,3.61129736328125,3.564860458984375,3.869178125,3.852497509765625
16,CIFAR100,fedadagrad,0,0.3,100,0.01,2,169,0.18,0.1875,0.1684,0.17322,3.42536494140625,3.372268271484375,3.68628173828125,3.6623605078125
17,CIFAR100,fedadagrad,0,0.3,100,0.01,2,179,0.1727,0.1766,0.177,0.1811,3.4898009765625,3.42596443359375,3.64752880859375,3.6220082421875
18,CIFAR100,fedadagrad,0,0.3,100,0.01,2,189,0.1905,0.19974,0.1963,0.1966,3.3689232421875,3.311771982421875,3.54281044921875,3.51299806640625
19,CIFAR100,fedadagrad,0,0.3,100,0.01,2,199,0.2092,0.21146,0.2109,0.21246,3.33527666015625,3.260207509765625,3.44250791015625,3.406889638671875
20,CIFAR100,fedadagrad,0,0.3,100,0.01,2,209,0.205,0.21324,0.2213,0.22222,3.308607421875,3.23143982421875,3.3834267578125,3.343466337890625
21,CIFAR100,fedadagrad,0,0.3,100,0.01,2,219,0.2127,0.21988,0.2276,0.2328,3.2843068359375,3.21311197265625,3.33032578125,3.286678037109375
