,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedavg,0,0,100,0.01,5,9,0.1225,0.12468,0.0309,0.03126,3.7977267578125,3.783293037109375,4.5883654296875,4.58814
1,CIFAR100,fedavg,0,0,100,0.01,5,19,0.1276,0.13476,0.0544,0.05556,3.956755859375,3.89722826171875,4.54712421875,4.54620689453125
2,CIFAR100,fedavg,0,0,100,0.01,5,29,0.1318,0.13682,0.0813,0.08638,4.1193048828125,4.02860625,4.5007841796875,4.498775234375
3,CIFAR100,fedavg,0,0,100,0.01,5,39,0.1724,0.1863,0.1205,0.12532,4.009054296875,3.878927099609375,4.446292578125,4.4421607421875
4,CIFAR100,fedavg,0,0,100,0.01,5,49,0.2225,0.24618,0.1684,0.17602,3.48944375,3.287996181640625,4.3319283203125,4.32222841796875
5,CIFAR100,fedavg,0,0,100,0.01,5,59,0.1841,0.205,0.1897,0.2025,4.1105765625,3.910527099609375,4.2583115234375,4.2432831640625
6,CIFAR100,fedavg,0,0,100,0.01,5,69,0.1886,0.20968,0.2233,0.24,4.17263125,3.94576701171875,4.0943720703125,4.06759220703125
7,CIFAR100,fedavg,0,0,100,0.01,5,79,0.2374,0.27478,0.2423,0.26538,3.5354373046875,3.235999833984375,3.92018994140625,3.87934853515625
8,CIFAR100,fedavg,0,0,100,0.01,5,89,0.2223,0.25288,0.2614,0.28348,3.92702861328125,3.63528943359375,3.77387900390625,3.71980361328125
9,CIFAR100,fedavg,0,0,100,0.01,5,99,0.2181,0.25366,0.2735,0.30174,4.03436025390625,3.700154619140625,3.62005947265625,3.549912841796875
10,CIFAR100,fedavg,0,0,100,0.01,5,109,0.2214,0.2524,0.2785,0.31162,4.0576234375,3.720330791015625,3.5184552734375,3.436501904296875
11,CIFAR100,fedavg,0,0,100,0.01,5,119,0.2447,0.27598,0.2927,0.33218,4.131336328125,3.734287705078125,3.3727896484375,3.267696689453125
12,CIFAR100,fedavg,0,0,100,0.01,5,129,0.2825,0.33416,0.3045,0.3481,3.3392673828125,2.94600830078125,3.1964888671875,3.06156427734375
13,CIFAR100,fedavg,0,0,100,0.01,5,139,0.2978,0.36316,0.3161,0.36632,3.32732294921875,2.806020830078125,3.08348349609375,2.92315318359375
14,CIFAR100,fedavg,0,0,100,0.01,5,149,0.2332,0.27492,0.3231,0.3772,4.0462220703125,3.57473244140625,2.95350908203125,2.764243447265625
15,CIFAR100,fedavg,0,0,100,0.01,5,159,0.246,0.29416,0.333,0.39294,4.0512078125,3.57340205078125,2.8516853515625,2.6317412109375
16,CIFAR100,fedavg,0,0,100,0.01,5,169,0.3047,0.35436,0.3405,0.40532,3.24614208984375,2.793265810546875,2.711741015625,2.441701943359375
17,CIFAR100,fedavg,0,0,100,0.01,5,179,0.2528,0.29608,0.3472,0.4134,4.054402734375,3.5491285546875,2.67314306640625,2.386688447265625
18,CIFAR100,fedavg,0,0,100,0.01,5,189,0.2951,0.35066,0.354,0.42032,3.27074521484375,2.82464923828125,2.627812109375,2.318478984375
19,CIFAR100,fedavg,0,0,100,0.01,5,199,0.3015,0.3501,0.3605,0.42692,3.34159736328125,2.87332212890625,2.59809013671875,2.27099994140625
20,CIFAR100,fedavg,0,0,100,0.01,5,209,0.3363,0.41264,0.3645,0.43128,3.0810994140625,2.499306484375,2.57870029296875,2.245765654296875
21,CIFAR100,fedavg,0,0,100,0.01,5,219,0.2969,0.363,0.3684,0.43764,3.86749892578125,3.19907990234375,2.564240625,2.224809931640625
22,CIFAR100,fedavg,0,0,100,0.01,5,229,0.2922,0.34922,0.3737,0.44378,3.5662091796875,3.032266943359375,2.53621708984375,2.175308896484375
23,CIFAR100,fedavg,0,0,100,0.01,5,239,0.2796,0.33338,0.3774,0.45,3.91453359375,3.334006240234375,2.51410380859375,2.1387612890625
24,CIFAR100,fedavg,0,0,100,0.01,5,249,0.2767,0.32722,0.3839,0.4633,3.8558208984375,3.324155009765625,2.48070869140625,2.0607196875
25,CIFAR100,fedavg,0,0,100,0.01,5,259,0.3519,0.42472,0.386,0.4712,3.09075322265625,2.521384716796875,2.45762568359375,2.01818859375
26,CIFAR100,fedavg,0,0,100,0.01,5,269,0.2849,0.3386,0.3896,0.47746,3.7375455078125,3.18548283203125,2.4452359375,1.98861494140625
27,CIFAR100,fedavg,0,0,100,0.01,5,279,0.3349,0.4085,0.3935,0.48478,3.22235087890625,2.615636611328125,2.4378412109375,1.957027607421875
28,CIFAR100,fedavg,0,0,100,0.01,5,289,0.2679,0.318,0.3979,0.49286,3.7462755859375,3.24626353515625,2.44016533203125,1.917259755859375
29,CIFAR100,fedavg,0,0,100,0.01,5,299,0.3564,0.43272,0.4037,0.49722,3.055392578125,2.458296328125,2.42116484375,1.8929070703125
30,CIFAR100,fedavg,0,0,100,0.01,5,309,0.3099,0.37476,0.4057,0.50456,3.53727294921875,2.943838173828125,2.422343359375,1.864972099609375
31,CIFAR100,fedavg,0,0,100,0.01,5,319,0.3321,0.40314,0.4104,0.5095,3.32318974609375,2.717494443359375,2.40692822265625,1.84041814453125
32,CIFAR100,fedavg,0,0,100,0.01,5,329,0.3553,0.43802,0.4101,0.51188,3.10579140625,2.45086896484375,2.39563212890625,1.8243004052734375
33,CIFAR100,fedavg,0,0,100,0.01,5,339,0.3337,0.41238,0.4159,0.51598,3.246255859375,2.605924111328125,2.38388896484375,1.80418857421875
34,CIFAR100,fedavg,0,0,100,0.01,5,349,0.3533,0.43692,0.4178,0.52138,3.067320703125,2.443678720703125,2.37086767578125,1.7877829052734375
