,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedavg,0,0,100,0.01,5,9,0.1188,0.11478,0.0145,0.01446,3.84422958984375,3.836572998046875,4.5897419921875,4.58974869140625
1,CIFAR100,fedavg,0,0,100,0.01,5,19,0.1284,0.1318,0.0499,0.05244,3.91118046875,3.8608873828125,4.5511927734375,4.5506562109375
2,CIFAR100,fedavg,0,0,100,0.01,5,29,0.149,0.16274,0.0922,0.09538,3.8706099609375,3.763106318359375,4.5018193359375,4.499745703125
3,CIFAR100,fedavg,0,0,100,0.01,5,39,0.1664,0.1799,0.1291,0.13218,3.89760498046875,3.76204705078125,4.445150390625,4.44098697265625
4,CIFAR100,fedavg,0,0,100,0.01,5,49,0.215,0.2416,0.175,0.17986,3.50788564453125,3.300482861328125,4.32202421875,4.31229943359375
5,CIFAR100,fedavg,0,0,100,0.01,5,59,0.1985,0.21788,0.1908,0.20496,3.970123828125,3.7344221484375,4.2382970703125,4.22306271484375
6,CIFAR100,fedavg,0,0,100,0.01,5,69,0.2025,0.22196,0.2168,0.2373,3.9217509765625,3.66790404296875,4.06698037109375,4.03951330078125
7,CIFAR100,fedavg,0,0,100,0.01,5,79,0.2359,0.2731,0.2365,0.26018,3.60020263671875,3.2877962109375,3.8873052734375,3.84390140625
8,CIFAR100,fedavg,0,0,100,0.01,5,89,0.2225,0.25262,0.2457,0.27606,3.875791015625,3.5535137109375,3.7425951171875,3.684207265625
9,CIFAR100,fedavg,0,0,100,0.01,5,99,0.2114,0.25218,0.2598,0.29142,3.97456923828125,3.588148056640625,3.58951015625,3.512536923828125
10,CIFAR100,fedavg,0,0,100,0.01,5,109,0.2233,0.2612,0.268,0.30092,3.9246453125,3.562975126953125,3.486301171875,3.395325166015625
11,CIFAR100,fedavg,0,0,100,0.01,5,119,0.2411,0.28652,0.2852,0.3205,3.8684408203125,3.416356328125,3.346272265625,3.22985818359375
12,CIFAR100,fedavg,0,0,100,0.01,5,129,0.2796,0.3275,0.2954,0.336,3.353713671875,2.949480546875,3.18298076171875,3.0343096484375
13,CIFAR100,fedavg,0,0,100,0.01,5,139,0.297,0.35626,0.3043,0.352,3.343293359375,2.81667384765625,3.08612138671875,2.912414267578125
14,CIFAR100,fedavg,0,0,100,0.01,5,149,0.2539,0.30302,0.3104,0.36098,3.8436201171875,3.36383326171875,2.9773482421875,2.7714925
15,CIFAR100,fedavg,0,0,100,0.01,5,159,0.2663,0.31882,0.3193,0.3747,3.742494140625,3.22894955078125,2.892528515625,2.654723974609375
16,CIFAR100,fedavg,0,0,100,0.01,5,169,0.3018,0.35466,0.3265,0.38736,3.2100888671875,2.75145736328125,2.78029619140625,2.4864059375
17,CIFAR100,fedavg,0,0,100,0.01,5,179,0.2632,0.31624,0.3326,0.39598,3.7991349609375,3.26042990234375,2.74853056640625,2.438481796875
18,CIFAR100,fedavg,0,0,100,0.01,5,189,0.2986,0.35626,0.3347,0.40302,3.373015625,2.860184248046875,2.71160498046875,2.375847978515625
19,CIFAR100,fedavg,0,0,100,0.01,5,199,0.3102,0.3735,0.3384,0.40974,3.25213037109375,2.725601396484375,2.67963134765625,2.326573427734375
20,CIFAR100,fedavg,0,0,100,0.01,5,209,0.3309,0.40852,0.345,0.41702,3.1217974609375,2.5192421875,2.6535248046875,2.29556990234375
