,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedavg,0,0,100,0.01,4,9,0.1045,0.10584,0.0224,0.02454,3.89955859375,3.882284541015625,4.5899126953125,4.589845234375
1,CIFAR100,fedavg,0,0,100,0.01,4,19,0.1186,0.12412,0.0512,0.0546,4.08055,4.008888125,4.5527197265625,4.55238765625
2,CIFAR100,fedavg,0,0,100,0.01,4,29,0.1497,0.16218,0.0988,0.09984,3.9850830078125,3.880312646484375,4.4928234375,4.49105294921875
3,CIFAR100,fedavg,0,0,100,0.01,4,39,0.1934,0.21042,0.1468,0.15242,3.63978525390625,3.466366806640625,4.38692890625,4.38073908203125
4,CIFAR100,fedavg,0,0,100,0.01,4,49,0.1938,0.21568,0.1774,0.18262,3.7067908203125,3.517613251953125,4.28149765625,4.26952056640625
5,CIFAR100,fedavg,0,0,100,0.01,4,59,0.1757,0.19348,0.1994,0.20448,4.0754376953125,3.84676373046875,4.18452734375,4.1644840625
6,CIFAR100,fedavg,0,0,100,0.01,4,69,0.2166,0.25332,0.2114,0.22286,3.75405751953125,3.45823861328125,4.08870458984375,4.059757548828125
7,CIFAR100,fedavg,0,0,100,0.01,4,79,0.2054,0.2333,0.2352,0.2489,4.14886953125,3.824430185546875,3.8915294921875,3.8444617578125
8,CIFAR100,fedavg,0,0,100,0.01,4,89,0.1999,0.22348,0.2505,0.27192,4.26905703125,3.969274384765625,3.76852412109375,3.706303193359375
9,CIFAR100,fedavg,0,0,100,0.01,4,99,0.231,0.25866,0.2657,0.29764,4.2621447265625,3.861421044921875,3.453275,3.35046369140625
10,CIFAR100,fedavg,0,0,100,0.01,4,109,0.2532,0.29544,0.2742,0.31154,3.6519328125,3.2513700390625,3.35231962890625,3.2299101953125
11,CIFAR100,fedavg,0,0,100,0.01,4,119,0.2332,0.26754,0.2825,0.32812,4.2186666015625,3.78383474609375,3.20676904296875,3.052799248046875
12,CIFAR100,fedavg,0,0,100,0.01,4,129,0.233,0.27198,0.2906,0.33772,4.1894958984375,3.74619736328125,3.13013974609375,2.957013984375
13,CIFAR100,fedavg,0,0,100,0.01,4,139,0.2924,0.34718,0.2993,0.35086,3.43631357421875,2.9476377734375,3.0651189453125,2.87537943359375
14,CIFAR100,fedavg,0,0,100,0.01,4,149,0.2534,0.2949,0.3059,0.36212,4.0164423828125,3.546279912109375,3.01680859375,2.81227193359375
15,CIFAR100,fedavg,0,0,100,0.01,4,159,0.2503,0.29486,0.3139,0.37158,4.1569166015625,3.66841509765625,2.991890625,2.77931267578125
16,CIFAR100,fedavg,0,0,100,0.01,4,169,0.255,0.30684,0.32,0.3782,3.96457919921875,3.430223935546875,2.94134091796875,2.714794140625
17,CIFAR100,fedavg,0,0,100,0.01,4,179,0.262,0.31108,0.3262,0.38874,4.06455048828125,3.507096767578125,2.838187109375,2.5745721484375
18,CIFAR100,fedavg,0,0,100,0.01,4,189,0.2935,0.35336,0.331,0.3958,3.452673828125,2.9204271875,2.80986416015625,2.53730201171875
19,CIFAR100,fedavg,0,0,100,0.01,4,199,0.2915,0.35206,0.3392,0.40776,3.76922001953125,3.1447285546875,2.72738349609375,2.417879736328125
20,CIFAR100,fedavg,0,0,100,0.01,4,209,0.2759,0.33078,0.3469,0.42032,3.8458318359375,3.277456337890625,2.666642578125,2.32094791015625
21,CIFAR100,fedavg,0,0,100,0.01,4,219,0.2853,0.33826,0.3511,0.42726,3.91919736328125,3.3387256640625,2.6378419921875,2.27043396484375
22,CIFAR100,fedavg,0,0,100,0.01,4,229,0.3232,0.39484,0.3605,0.44074,3.12638603515625,2.5543430078125,2.5923453125,2.187408232421875
23,CIFAR100,fedavg,0,0,100,0.01,4,239,0.2891,0.34336,0.3629,0.4451,3.68386943359375,3.121810849609375,2.57971220703125,2.137314345703125
24,CIFAR100,fedavg,0,0,100,0.01,4,249,0.3079,0.3855,0.3677,0.4555,3.30981298828125,2.689391181640625,2.5559423828125,2.088388818359375
25,CIFAR100,fedavg,0,0,100,0.01,4,259,0.3374,0.41504,0.3741,0.46482,3.284575390625,2.58487109375,2.5349091796875,2.041393564453125
26,CIFAR100,fedavg,0,0,100,0.01,4,269,0.2906,0.35766,0.3785,0.47088,3.78799609375,3.121261572265625,2.52063115234375,2.01034953125
27,CIFAR100,fedavg,0,0,100,0.01,4,279,0.3434,0.43036,0.3831,0.48058,3.1948521484375,2.482174736328125,2.501433203125,1.976501875
