,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedavg,0,0,100,0.01,4,9,0.1082,0.10842,0.0209,0.0209,3.90966904296875,3.898689501953125,4.5931849609375,4.59295890625
1,CIFAR100,fedavg,0,0,100,0.01,4,19,0.1226,0.13072,0.0484,0.0513,3.92278515625,3.854134296875,4.5583763671875,4.5577717578125
2,CIFAR100,fedavg,0,0,100,0.01,4,29,0.126,0.1354,0.0947,0.09848,4.05517783203125,3.984257392578125,4.4946939453125,4.4927620703125
3,CIFAR100,fedavg,0,0,100,0.01,4,39,0.217,0.2294,0.1421,0.14746,3.33229853515625,3.218872900390625,4.3855796875,4.38029279296875
4,CIFAR100,fedavg,0,0,100,0.01,4,49,0.2275,0.23946,0.1776,0.181,3.288676953125,3.159864326171875,4.2753291015625,4.26608150390625
5,CIFAR100,fedavg,0,0,100,0.01,4,59,0.2146,0.23178,0.2008,0.20998,3.4407005859375,3.27819703125,4.16836328125,4.15380021484375
6,CIFAR100,fedavg,0,0,100,0.01,4,69,0.27,0.30212,0.2198,0.23122,3.0857564453125,2.89608501953125,4.0636841796875,4.04389951171875
7,CIFAR100,fedavg,0,0,100,0.01,4,79,0.2472,0.27076,0.2473,0.26652,3.59150029296875,3.3530151953125,3.84225576171875,3.81027521484375
8,CIFAR100,fedavg,0,0,100,0.01,4,89,0.264,0.29132,0.2699,0.29614,3.30124775390625,3.081772548828125,3.7014939453125,3.658407412109375
9,CIFAR100,fedavg,0,0,100,0.01,4,99,0.2656,0.2976,0.301,0.32954,3.2319841796875,3.001496318359375,3.3431205078125,3.27119271484375
10,CIFAR100,fedavg,0,0,100,0.01,4,109,0.3227,0.36392,0.3185,0.3513,2.93102275390625,2.649506494140625,3.21052685546875,3.12331337890625
11,CIFAR100,fedavg,0,0,100,0.01,4,119,0.3097,0.34472,0.335,0.3744,3.26626103515625,2.953287490234375,3.0235486328125,2.912608203125
12,CIFAR100,fedavg,0,0,100,0.01,4,129,0.284,0.32292,0.3468,0.38944,3.2907212890625,2.970056455078125,2.923097265625,2.797139462890625
13,CIFAR100,fedavg,0,0,100,0.01,4,139,0.3636,0.42368,0.3586,0.4067,2.6623564453125,2.310909609375,2.8245833984375,2.68250349609375
14,CIFAR100,fedavg,0,0,100,0.01,4,149,0.3166,0.36174,0.3683,0.42032,3.222970703125,2.865827587890625,2.76314248046875,2.609349033203125
15,CIFAR100,fedavg,0,0,100,0.01,4,159,0.3099,0.3555,0.3758,0.4312,3.28696552734375,2.8967603125,2.72444931640625,2.562266328125
16,CIFAR100,fedavg,0,0,100,0.01,4,169,0.3225,0.37676,0.3847,0.43958,3.0371720703125,2.631899638671875,2.656309765625,2.47974751953125
17,CIFAR100,fedavg,0,0,100,0.01,4,179,0.3152,0.36794,0.3946,0.45394,3.454089453125,2.978022431640625,2.53237958984375,2.325784365234375
