,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedavg,0,0,100,0.01,3,9,0.1123,0.10826,0.0106,0.01054,3.92172275390625,3.901170830078125,4.5964041015625,4.596143125
1,CIFAR100,fedavg,0,0,100,0.01,3,19,0.1674,0.17644,0.0451,0.04592,3.57473056640625,3.513987646484375,4.56918828125,4.5681345703125
2,CIFAR100,fedavg,0,0,100,0.01,3,29,0.1498,0.1588,0.1052,0.10588,4.095140234375,3.98075701171875,4.494112890625,4.49059095703125
3,CIFAR100,fedavg,0,0,100,0.01,3,39,0.159,0.17166,0.1565,0.16102,3.98879326171875,3.854201162109375,4.388451953125,4.38058318359375
4,CIFAR100,fedavg,0,0,100,0.01,3,49,0.1724,0.1906,0.183,0.18934,4.2241513671875,4.05447529296875,4.298592578125,4.28613046875
5,CIFAR100,fedavg,0,0,100,0.01,3,59,0.1842,0.20176,0.2005,0.21426,4.5155453125,4.26976857421875,4.18306953125,4.16293306640625
6,CIFAR100,fedavg,0,0,100,0.01,3,69,0.2086,0.22882,0.2208,0.23484,4.159259375,3.890979306640625,4.07772099609375,4.04865349609375
7,CIFAR100,fedavg,0,0,100,0.01,3,79,0.1987,0.2222,0.2365,0.26324,4.2232328125,3.895136669921875,3.870501953125,3.82446421875
8,CIFAR100,fedavg,0,0,100,0.01,3,89,0.2013,0.23554,0.2536,0.27992,4.28055390625,3.9014841796875,3.7521447265625,3.69320333984375
9,CIFAR100,fedavg,0,0,100,0.01,3,99,0.2492,0.28616,0.2644,0.29414,3.61498671875,3.27790810546875,3.60476669921875,3.530030927734375
10,CIFAR100,fedavg,0,0,100,0.01,3,109,0.2842,0.33108,0.2868,0.32464,3.371922265625,2.9519975390625,3.33302197265625,3.221814423828125
11,CIFAR100,fedavg,0,0,100,0.01,3,119,0.2732,0.3252,0.3037,0.3505,3.51518505859375,3.063772001953125,3.04658828125,2.88423427734375
