,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedavg,0,0,100,0.01,2,9,0.0968,0.09964,0.0125,0.01196,4.0738046875,4.044438095703125,4.59391328125,4.59375033203125
1,CIFAR100,fedavg,0,0,100,0.01,2,19,0.1489,0.15242,0.0556,0.05622,3.8408369140625,3.774125400390625,4.5490443359375,4.5479847265625
2,CIFAR100,fedavg,0,0,100,0.01,2,29,0.1366,0.1495,0.1214,0.12416,4.6297955078125,4.51420251953125,4.459989453125,4.45593171875
3,CIFAR100,fedavg,0,0,100,0.01,2,39,0.1496,0.16326,0.1531,0.15794,4.2048732421875,4.0605101171875,4.3644642578125,4.355674453125
4,CIFAR100,fedavg,0,0,100,0.01,2,49,0.1665,0.18338,0.1757,0.18276,4.1429052734375,3.954795966796875,4.2796984375,4.26533619140625
5,CIFAR100,fedavg,0,0,100,0.01,2,59,0.1768,0.19158,0.1984,0.20714,4.09552333984375,3.898496513671875,4.1211724609375,4.095523671875
6,CIFAR100,fedavg,0,0,100,0.01,2,69,0.2146,0.2433,0.2189,0.23248,3.73773798828125,3.481369736328125,3.92516123046875,3.882339736328125
7,CIFAR100,fedavg,0,0,100,0.01,2,79,0.237,0.26856,0.2322,0.25068,3.55677236328125,3.2821408203125,3.7010697265625,3.6355901953125
8,CIFAR100,fedavg,0,0,100,0.01,2,89,0.2086,0.23726,0.2418,0.26258,4.02544501953125,3.7542159765625,3.5624376953125,3.480043037109375
9,CIFAR100,fedavg,0,0,100,0.01,2,99,0.2736,0.31246,0.2524,0.27938,3.3807869140625,3.0455530859375,3.454144921875,3.351568857421875
10,CIFAR100,fedavg,0,0,100,0.01,2,109,0.2256,0.25546,0.2623,0.29144,3.99767197265625,3.6698623046875,3.350190625,3.227702314453125
11,CIFAR100,fedavg,0,0,100,0.01,2,119,0.2621,0.30124,0.2712,0.3029,3.67872978515625,3.31376982421875,3.22366201171875,3.071926826171875
