,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedavg,0,0,100,0.01,1,9,0.0844,0.08552,0.0217,0.02194,4.1525958984375,4.136908603515625,4.586782421875,4.5868641796875
1,CIFAR100,fedavg,0,0,100,0.01,1,19,0.1331,0.13764,0.068,0.06718,3.92206953125,3.888705009765625,4.5259853515625,4.5251723828125
2,CIFAR100,fedavg,0,0,100,0.01,1,29,0.1644,0.1811,0.1107,0.11148,3.75827119140625,3.669515791015625,4.4237484375,4.4204721875
3,CIFAR100,fedavg,0,0,100,0.01,1,39,0.1817,0.20298,0.1492,0.15422,3.7325685546875,3.597827421875,4.2810994140625,4.27204552734375
4,CIFAR100,fedavg,0,0,100,0.01,1,49,0.2012,0.22216,0.179,0.18762,3.7059587890625,3.5091021484375,4.11903515625,4.10009234375
5,CIFAR100,fedavg,0,0,100,0.01,1,59,0.186,0.20262,0.202,0.21194,3.8146396484375,3.6447896484375,3.89532607421875,3.858010078125
6,CIFAR100,fedavg,0,0,100,0.01,1,69,0.2059,0.22422,0.2183,0.22916,3.85581689453125,3.64312580078125,3.72594775390625,3.6716015234375
7,CIFAR100,fedavg,0,0,100,0.01,1,79,0.2277,0.2556,0.2267,0.24294,3.63959990234375,3.3944315625,3.59236513671875,3.520771005859375
8,CIFAR100,fedavg,0,0,100,0.01,1,89,0.2086,0.24008,0.2312,0.251,3.87438232421875,3.575985244140625,3.511934375,3.426961201171875
9,CIFAR100,fedavg,0,0,100,0.01,1,99,0.2146,0.24196,0.2389,0.26182,4.1937087890625,3.8613062890625,3.4203501953125,3.31635751953125
10,CIFAR100,fedavg,0,0,100,0.01,1,109,0.2251,0.25786,0.2441,0.2715,4.1546078125,3.754172734375,3.3264833984375,3.1989215234375
11,CIFAR100,fedavg,0,0,100,0.01,1,119,0.2644,0.31248,0.2591,0.2896,3.371147265625,2.994176015625,3.25399208984375,3.10009787109375
12,CIFAR100,fedavg,0,0,100,0.01,1,129,0.2614,0.30816,0.2741,0.31192,3.44680595703125,3.06131384765625,3.1468130859375,2.95012966796875
13,CIFAR100,fedavg,0,0,100,0.01,1,139,0.2712,0.3197,0.2871,0.32856,3.444151171875,3.02316830078125,3.0820509765625,2.856278125
14,CIFAR100,fedavg,0,0,100,0.01,1,149,0.2723,0.32,0.2995,0.34492,3.55161533203125,3.1158155859375,3.01385625,2.741238994140625
15,CIFAR100,fedavg,0,0,100,0.01,1,159,0.2487,0.2887,0.3035,0.35138,3.66995068359375,3.260019150390625,2.99278857421875,2.706194951171875
16,CIFAR100,fedavg,0,0,100,0.01,1,169,0.2492,0.29478,0.3095,0.36158,3.5912650390625,3.148938857421875,2.9633701171875,2.65297876953125
17,CIFAR100,fedavg,0,0,100,0.01,1,179,0.2747,0.31886,0.3171,0.37228,3.701446484375,3.222041708984375,2.9278099609375,2.591443681640625
18,CIFAR100,fedavg,0,0,100,0.01,1,189,0.3173,0.3758,0.3265,0.3852,3.15079716796875,2.669365791015625,2.8921025390625,2.511441748046875
19,CIFAR100,fedavg,0,0,100,0.01,1,199,0.2673,0.31866,0.3327,0.3946,3.5819787109375,3.080039345703125,2.86380703125,2.46292828125
20,CIFAR100,fedavg,0,0,100,0.01,1,209,0.3022,0.37012,0.3405,0.40416,3.259315234375,2.718471025390625,2.8404244140625,2.40717728515625
21,CIFAR100,fedavg,0,0,100,0.01,1,219,0.2751,0.3257,0.3464,0.41142,3.4890654296875,3.014824482421875,2.830809765625,2.368116845703125
22,CIFAR100,fedavg,0,0,100,0.01,1,229,0.3346,0.4002,0.3496,0.4165,3.124718359375,2.554107587890625,2.818666015625,2.337226669921875
23,CIFAR100,fedavg,0,0,100,0.01,1,239,0.2727,0.33206,0.3545,0.42548,3.5588033203125,3.009713623046875,2.79566181640625,2.29045052734375
24,CIFAR100,fedavg,0,0,100,0.01,1,249,0.2807,0.34104,0.3571,0.42994,3.4699666015625,2.928583564453125,2.79425771484375,2.267957880859375
25,CIFAR100,fedavg,0,0,100,0.01,1,259,0.312,0.38394,0.3597,0.43664,3.12477578125,2.580066533203125,2.77198544921875,2.237698095703125
26,CIFAR100,fedavg,0,0,100,0.01,1,269,0.3089,0.3823,0.3622,0.44282,3.1550146484375,2.621586767578125,2.760952734375,2.20724234375
