,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedavg,0,0,100,0.1,2,9,0.1494,0.15108,0.1186,0.11842,3.6259986328125,3.606829560546875,4.2786837890625,4.27723919921875
1,CIFAR100,fedavg,0,0,100,0.1,2,19,0.205,0.21104,0.1834,0.18912,3.3568484375,3.269679765625,3.6169216796875,3.59077642578125
2,CIFAR100,fedavg,0,0,100,0.1,2,29,0.2398,0.25686,0.2305,0.2442,3.260261328125,3.063557509765625,3.225781640625,3.122577412109375
3,CIFAR100,fedavg,0,0,100,0.1,2,39,0.2487,0.28176,0.2533,0.28056,3.2694123046875,2.959932685546875,3.120065625,2.913227666015625
4,CIFAR100,fedavg,0,0,100,0.1,2,49,0.2688,0.30952,0.269,0.30392,3.2429728515625,2.83867875,3.08786220703125,2.795322109375
5,CIFAR100,fedavg,0,0,100,0.1,2,59,0.2681,0.32612,0.2806,0.32728,3.27223115234375,2.771554365234375,3.073583984375,2.69196947265625
6,CIFAR100,fedavg,0,0,100,0.1,2,69,0.2883,0.34926,0.2928,0.35166,3.226837890625,2.649114287109375,3.0833505859375,2.57863056640625
7,CIFAR100,fedavg,0,0,100,0.1,2,79,0.2904,0.36348,0.2983,0.37156,3.25334580078125,2.58847232421875,3.0762890625,2.489106513671875
8,CIFAR100,fedavg,0,0,100,0.1,2,89,0.2948,0.37324,0.304,0.388,3.2373529296875,2.526865869140625,3.07911923828125,2.40901125
9,CIFAR100,fedavg,0,0,100,0.1,2,99,0.3089,0.40106,0.313,0.40518,3.1584537109375,2.376611376953125,3.07257158203125,2.3243630859375
10,CIFAR100,fedavg,0,0,100,0.1,2,109,0.3121,0.4067,0.3212,0.42048,3.1869169921875,2.34973201171875,3.0695240234375,2.248246259765625
11,CIFAR100,fedavg,0,0,100,0.1,2,119,0.3135,0.4264,0.3251,0.43294,3.131672265625,2.247173798828125,3.04164912109375,2.1865741259765623
12,CIFAR100,fedavg,0,0,100,0.1,2,129,0.3175,0.42334,0.3292,0.44282,3.19562861328125,2.28226517578125,3.02937509765625,2.1369003125
