,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedavg,0,0,100,0.1,1,9,0.1389,0.1404,0.101,0.10504,3.70190634765625,3.672468154296875,4.3660904296875,4.36271912109375
1,CIFAR100,fedavg,0,0,100,0.1,1,19,0.2005,0.20992,0.1833,0.18542,3.379807421875,3.287037197265625,3.69073505859375,3.655646884765625
2,CIFAR100,fedavg,0,0,100,0.1,1,29,0.2217,0.2423,0.2152,0.22562,3.33310078125,3.14619181640625,3.32620810546875,3.22890373046875
3,CIFAR100,fedavg,0,0,100,0.1,1,39,0.2484,0.2745,0.2396,0.26426,3.3191982421875,3.016961044921875,3.17460146484375,2.9905511328125
4,CIFAR100,fedavg,0,0,100,0.1,1,49,0.2423,0.28702,0.2632,0.29934,3.38182412109375,2.976822138671875,3.12929521484375,2.821781875
5,CIFAR100,fedavg,0,0,100,0.1,1,59,0.2699,0.32372,0.2781,0.32628,3.29321083984375,2.795227841796875,3.142962890625,2.7202884375
6,CIFAR100,fedavg,0,0,100,0.1,1,69,0.2721,0.33096,0.2876,0.34442,3.39283515625,2.814460283203125,3.1347486328125,2.633704560546875
7,CIFAR100,fedavg,0,0,100,0.1,1,79,0.2829,0.35204,0.2956,0.36218,3.351864453125,2.6711773828125,3.15460048828125,2.562463818359375
8,CIFAR100,fedavg,0,0,100,0.1,1,89,0.2815,0.36176,0.3026,0.38044,3.4628626953125,2.681992822265625,3.15326123046875,2.471635849609375
9,CIFAR100,fedavg,0,0,100,0.1,1,99,0.2969,0.37612,0.3081,0.39318,3.33429228515625,2.554073837890625,3.1507814453125,2.401155
10,CIFAR100,fedavg,0,0,100,0.1,1,109,0.2994,0.39352,0.313,0.40708,3.36907421875,2.487492314453125,3.15162490234375,2.334785791015625
11,CIFAR100,fedavg,0,0,100,0.1,1,119,0.3084,0.40102,0.3186,0.4197,3.3244291015625,2.420024765625,3.1508513671875,2.274106044921875
12,CIFAR100,fedavg,0,0,100,0.1,1,129,0.318,0.42004,0.3252,0.43502,3.2887076171875,2.322518359375,3.1384845703125,2.2039367578125
13,CIFAR100,fedavg,0,0,100,0.1,1,139,0.3214,0.42762,0.332,0.44968,3.27260625,2.27946865234375,3.13471484375,2.1374741015625
14,CIFAR100,fedavg,0,0,100,0.1,1,149,0.3277,0.4418,0.3397,0.4614,3.22206630859375,2.19801716796875,3.11714501953125,2.077408369140625
15,CIFAR100,fedavg,0,0,100,0.1,1,159,0.3317,0.45544,0.3415,0.46998,3.255633984375,2.145750966796875,3.11243486328125,2.027734990234375
16,CIFAR100,fedavg,0,0,100,0.1,1,169,0.3325,0.46692,0.3443,0.48252,3.2807087890625,2.091066552734375,3.10567373046875,1.9686300244140624
17,CIFAR100,fedavg,0,0,100,0.1,1,179,0.3181,0.44614,0.3476,0.49136,3.35031796875,2.19534916015625,3.111779296875,1.9207551611328124
18,CIFAR100,fedavg,0,0,100,0.1,1,189,0.3338,0.47564,0.3473,0.50292,3.27254912109375,2.02593400390625,3.10241923828125,1.8711842236328124
19,CIFAR100,fedavg,0,0,100,0.1,1,199,0.3425,0.48472,0.3494,0.5104,3.27771728515625,2.011578505859375,3.08930830078125,1.8302091259765625
20,CIFAR100,fedavg,0,0,100,0.1,1,209,0.3382,0.48816,0.353,0.51656,3.235603125,1.96728349609375,3.0866712890625,1.80184216796875
21,CIFAR100,fedavg,0,0,100,0.1,1,219,0.3485,0.5147,0.3585,0.5262,3.16294560546875,1.8337023583984375,3.0705755859375,1.755054248046875
22,CIFAR100,fedavg,0,0,100,0.1,1,229,0.3413,0.50268,0.3585,0.53214,3.2369765625,1.899433154296875,3.06829091796875,1.7282711376953126
23,CIFAR100,fedavg,0,0,100,0.1,1,239,0.3405,0.49754,0.3611,0.53826,3.29090966796875,1.9510911572265626,3.07121181640625,1.7018245361328126
24,CIFAR100,fedavg,0,0,100,0.1,1,249,0.3424,0.50614,0.3616,0.54714,3.259691015625,1.8837451904296876,3.05089501953125,1.661510654296875
25,CIFAR100,fedavg,0,0,100,0.1,1,259,0.3537,0.53522,0.3652,0.55204,3.17765732421875,1.7285700390625,3.04480966796875,1.6263714501953126
26,CIFAR100,fedavg,0,0,100,0.1,1,269,0.3525,0.5369,0.3664,0.55824,3.215989453125,1.7332719189453125,3.0544126953125,1.597696796875
27,CIFAR100,fedavg,0,0,100,0.1,1,279,0.3564,0.5395,0.3695,0.5653,3.16795107421875,1.7130279296875,3.04445595703125,1.569536669921875
28,CIFAR100,fedavg,0,0,100,0.1,1,289,0.3549,0.54054,0.3693,0.57282,3.191885546875,1.6998735546875,3.04259267578125,1.5394162646484375
29,CIFAR100,fedavg,0,0,100,0.1,1,299,0.3536,0.54406,0.3704,0.57858,3.2280923828125,1.6947158447265624,3.035305859375,1.5100511767578124
30,CIFAR100,fedavg,0,0,100,0.1,1,309,0.3589,0.5615,0.3713,0.586,3.1553708984375,1.600461259765625,3.03619345703125,1.486299404296875
31,CIFAR100,fedavg,0,0,100,0.1,1,319,0.3601,0.5698,0.3733,0.59016,3.16623486328125,1.5692134716796875,3.04594169921875,1.4610615283203126
32,CIFAR100,fedavg,0,0,100,0.1,1,329,0.3686,0.57888,0.374,0.59822,3.1507990234375,1.5303572900390625,3.04915947265625,1.4312026953125
