,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedavg,0,0.3,100,0.01,2,9,0.0673,0.06548,0.0179,0.02022,4.4750712890625,4.464376328125,4.5971873046875,4.5969875
1,CIFAR100,fedavg,0,0.3,100,0.01,2,19,0.0828,0.08824,0.0325,0.03482,4.3876462890625,4.3565415234375,4.5626716796875,4.562020859375
2,CIFAR100,fedavg,0,0.3,100,0.01,2,29,0.083,0.08814,0.0797,0.0807,5.379626953125,5.2999372265625,4.4921611328125,4.48991318359375
3,CIFAR100,fedavg,0,0.3,100,0.01,2,39,0.1012,0.10572,0.1204,0.1228,5.2085478515625,5.13367599609375,4.4121642578125,4.40735279296875
4,CIFAR100,fedavg,0,0.3,100,0.01,2,49,0.137,0.14382,0.1494,0.14952,4.4289,4.31908146484375,4.34314765625,4.335204140625
5,CIFAR100,fedavg,0,0.3,100,0.01,2,59,0.1351,0.1433,0.1791,0.1887,4.7866396484375,4.68743908203125,4.2175390625,4.203045078125
6,CIFAR100,fedavg,0,0.3,100,0.01,2,69,0.1878,0.20542,0.2147,0.2237,3.7600796875,3.569090712890625,4.064157421875,4.041105400390625
7,CIFAR100,fedavg,0,0.3,100,0.01,2,79,0.2198,0.2397,0.2418,0.25724,3.5032513671875,3.32026369140625,3.85813916015625,3.8227573046875
8,CIFAR100,fedavg,0,0.3,100,0.01,2,89,0.1493,0.16832,0.2603,0.27654,4.8685578125,4.6101226171875,3.71222021484375,3.66601724609375
9,CIFAR100,fedavg,0,0.3,100,0.01,2,99,0.2687,0.3017,0.2745,0.29834,3.256623046875,2.970358251953125,3.59974990234375,3.54069712890625
10,CIFAR100,fedavg,0,0.3,100,0.01,2,109,0.1847,0.19952,0.2888,0.315,4.8699884765625,4.612180078125,3.4726919921875,3.399811318359375
11,CIFAR100,fedavg,0,0.3,100,0.01,2,119,0.216,0.24452,0.3012,0.33006,4.01295751953125,3.692106708984375,3.2804765625,3.18561494140625
12,CIFAR100,fedavg,0,0.3,100,0.01,2,129,0.255,0.2918,0.313,0.34758,3.44796220703125,3.12259330078125,3.1348509765625,3.016991298828125
