,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedavg,0,0.3,100,0.01,5,9,0.0655,0.06698,0.0176,0.01866,4.2820802734375,4.2682152734375,4.596808203125,4.5964916796875
1,CIFAR100,fedavg,0,0.3,100,0.01,5,19,0.0644,0.06544,0.0307,0.0304,5.32488515625,5.29919291015625,4.57216015625,4.5715439453125
2,CIFAR100,fedavg,0,0.3,100,0.01,5,29,0.0991,0.10318,0.0517,0.05072,4.8678814453125,4.79351390625,4.53760546875,4.5362687109375
3,CIFAR100,fedavg,0,0.3,100,0.01,5,39,0.1114,0.1151,0.0875,0.0872,4.3805630859375,4.3049766015625,4.49494453125,4.4921266796875
4,CIFAR100,fedavg,0,0.3,100,0.01,5,49,0.188,0.20332,0.1352,0.14068,3.55999072265625,3.445489248046875,4.4020076171875,4.395297890625
5,CIFAR100,fedavg,0,0.3,100,0.01,5,59,0.1271,0.13188,0.1616,0.16966,4.802359375,4.65090650390625,4.33835859375,4.32841986328125
6,CIFAR100,fedavg,0,0.3,100,0.01,5,69,0.1211,0.1304,0.2041,0.21516,5.068946875,4.93074869140625,4.1989888671875,4.181243828125
7,CIFAR100,fedavg,0,0.3,100,0.01,5,79,0.1999,0.22306,0.2324,0.2483,3.82589970703125,3.602271650390625,4.04625224609375,4.017511875
8,CIFAR100,fedavg,0,0.3,100,0.01,5,89,0.1243,0.13696,0.2518,0.26832,5.130812109375,4.88502109375,3.91461962890625,3.875338388671875
9,CIFAR100,fedavg,0,0.3,100,0.01,5,99,0.1556,0.16952,0.2657,0.2892,4.872198046875,4.61489423828125,3.76924609375,3.71616337890625
10,CIFAR100,fedavg,0,0.3,100,0.01,5,109,0.1701,0.1882,0.2776,0.302,4.8259943359375,4.56386607421875,3.6633818359375,3.600397890625
11,CIFAR100,fedavg,0,0.3,100,0.01,5,119,0.1673,0.1876,0.2942,0.32834,5.2254888671875,4.92434357421875,3.50180859375,3.419736787109375
12,CIFAR100,fedavg,0,0.3,100,0.01,5,129,0.2296,0.26758,0.3051,0.34646,3.52061298828125,3.207491748046875,3.312596484375,3.20704796875
13,CIFAR100,fedavg,0,0.3,100,0.01,5,139,0.2709,0.31468,0.319,0.36386,3.4136263671875,3.0378485546875,3.192911328125,3.066509599609375
14,CIFAR100,fedavg,0,0.3,100,0.01,5,149,0.1693,0.18834,0.3256,0.37652,5.029812890625,4.67937482421875,3.0450890625,2.89421748046875
15,CIFAR100,fedavg,0,0.3,100,0.01,5,159,0.1954,0.22086,0.3363,0.39266,4.472900390625,4.1088068359375,2.92913310546875,2.751694287109375
16,CIFAR100,fedavg,0,0.3,100,0.01,5,169,0.2685,0.30568,0.3456,0.404,3.47445966796875,3.08589916015625,2.75117099609375,2.531601416015625
17,CIFAR100,fedavg,0,0.3,100,0.01,5,179,0.18,0.20934,0.3511,0.41162,4.692840234375,4.27578396484375,2.70785859375,2.473838251953125
18,CIFAR100,fedavg,0,0.3,100,0.01,5,189,0.2499,0.28902,0.3567,0.42124,3.5356826171875,3.158174140625,2.6509154296875,2.395297958984375
19,CIFAR100,fedavg,0,0.3,100,0.01,5,199,0.2731,0.30856,0.3627,0.42906,3.45736533203125,3.0653965234375,2.61047431640625,2.339231552734375
20,CIFAR100,fedavg,0,0.3,100,0.01,5,209,0.3194,0.38466,0.3653,0.43416,2.99882861328125,2.5450069921875,2.59218037109375,2.3158642578125
21,CIFAR100,fedavg,0,0.3,100,0.01,5,219,0.2492,0.29116,0.3703,0.43978,4.1925734375,3.678519140625,2.57363681640625,2.289816494140625
22,CIFAR100,fedavg,0,0.3,100,0.01,5,229,0.2156,0.24406,0.3761,0.44724,4.6350751953125,4.1435166015625,2.536874609375,2.23217443359375
23,CIFAR100,fedavg,0,0.3,100,0.01,5,239,0.2178,0.25374,0.3775,0.45204,4.610452734375,4.11397939453125,2.51270908203125,2.19703849609375
24,CIFAR100,fedavg,0,0.3,100,0.01,5,249,0.1921,0.22016,0.3829,0.46186,5.0549123046875,4.56474771484375,2.45983017578125,2.104482490234375
25,CIFAR100,fedavg,0,0.3,100,0.01,5,259,0.3163,0.38606,0.3835,0.47034,3.0565185546875,2.550170458984375,2.43196044921875,2.05054935546875
26,CIFAR100,fedavg,0,0.3,100,0.01,5,269,0.1995,0.22846,0.3886,0.47554,5.1148609375,4.6278553125,2.4179908203125,2.019971953125
27,CIFAR100,fedavg,0,0.3,100,0.01,5,279,0.2768,0.33288,0.3921,0.48074,3.56426240234375,3.0369562890625,2.40071826171875,1.9809380859375
28,CIFAR100,fedavg,0,0.3,100,0.01,5,289,0.2073,0.24662,0.3965,0.48644,4.7313900390625,4.231504609375,2.38390693359375,1.932200263671875
29,CIFAR100,fedavg,0,0.3,100,0.01,5,299,0.3044,0.37502,0.3972,0.49268,3.140814453125,2.61953673828125,2.3691326171875,1.91138873046875
30,CIFAR100,fedavg,0,0.3,100,0.01,5,309,0.2354,0.27138,0.4,0.49864,4.58128828125,4.05920017578125,2.363196484375,1.875849384765625
31,CIFAR100,fedavg,0,0.3,100,0.01,5,319,0.2794,0.3496,0.4034,0.50356,3.641042578125,3.001509931640625,2.350948828125,1.85265115234375
32,CIFAR100,fedavg,0,0.3,100,0.01,5,329,0.3106,0.3792,0.4061,0.50736,3.2963685546875,2.700525556640625,2.33962587890625,1.836526181640625
33,CIFAR100,fedavg,0,0.3,100,0.01,5,339,0.2855,0.3406,0.4093,0.5112,3.51667578125,2.978149599609375,2.329898046875,1.81709005859375
34,CIFAR100,fedavg,0,0.3,100,0.01,5,349,0.3165,0.37924,0.4131,0.5159,3.293017578125,2.71876740234375,2.3210845703125,1.801443193359375
35,CIFAR100,fedavg,0,0.3,100,0.01,5,359,0.28,0.33584,0.4157,0.51846,3.4215833984375,2.905949267578125,2.311892578125,1.791850927734375
36,CIFAR100,fedavg,0,0.3,100,0.01,5,369,0.2112,0.2487,0.4209,0.52308,4.6026779296875,4.0683977734375,2.30230458984375,1.77189005859375
