,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedavg,0,0.3,100,0.01,2,9,0.0714,0.07304,0.0206,0.02026,4.2785173828125,4.2669840625,4.5949099609375,4.5947669140625
1,CIFAR100,fedavg,0,0.3,100,0.01,2,19,0.1179,0.1194,0.0633,0.06574,3.88711943359375,3.858633369140625,4.5575626953125,4.5566624609375
2,CIFAR100,fedavg,0,0.3,100,0.01,2,29,0.1112,0.11316,0.1083,0.1129,4.4840814453125,4.431365859375,4.47803671875,4.47550345703125
3,CIFAR100,fedavg,0,0.3,100,0.01,2,39,0.1199,0.1311,0.1378,0.1407,4.3330162109375,4.25257173828125,4.3916048828125,4.38617166015625
4,CIFAR100,fedavg,0,0.3,100,0.01,2,49,0.1444,0.1516,0.1577,0.16402,4.22355859375,4.128911875,4.3127666015625,4.30382744140625
5,CIFAR100,fedavg,0,0.3,100,0.01,2,59,0.1462,0.15522,0.1908,0.19926,4.4113619140625,4.2559428515625,4.1711736328125,4.15462458984375
6,CIFAR100,fedavg,0,0.3,100,0.01,2,69,0.204,0.22796,0.2175,0.23262,3.6143697265625,3.408844873046875,3.999726171875,3.97148955078125
7,CIFAR100,fedavg,0,0.3,100,0.01,2,79,0.2222,0.24358,0.2431,0.25954,3.473283203125,3.266051787109375,3.78657021484375,3.74199955078125
8,CIFAR100,fedavg,0,0.3,100,0.01,2,89,0.1526,0.1663,0.2557,0.2775,4.5439962890625,4.2615973828125,3.64025810546875,3.582361416015625
9,CIFAR100,fedavg,0,0.3,100,0.01,2,99,0.2509,0.29174,0.2695,0.29554,3.36043232421875,3.04909697265625,3.54120576171875,3.46885138671875
10,CIFAR100,fedavg,0,0.3,100,0.01,2,109,0.1968,0.21856,0.2792,0.30892,4.26476015625,3.96185994140625,3.4287103515625,3.3411707421875
11,CIFAR100,fedavg,0,0.3,100,0.01,2,119,0.214,0.243,0.2879,0.32358,3.88927294921875,3.568235166015625,3.2566244140625,3.14499255859375
12,CIFAR100,fedavg,0,0.3,100,0.01,2,129,0.2574,0.29194,0.2989,0.33896,3.439628515625,3.10047037109375,3.1253818359375,2.98961701171875
13,CIFAR100,fedavg,0,0.3,100,0.01,2,139,0.1799,0.20452,0.3064,0.34604,4.322512890625,4.01601029296875,3.0347341796875,2.88030498046875
14,CIFAR100,fedavg,0,0.3,100,0.01,2,149,0.1909,0.22022,0.3127,0.35564,4.4670984375,4.10410439453125,2.97557822265625,2.80679833984375
15,CIFAR100,fedavg,0,0.3,100,0.01,2,159,0.1948,0.21906,0.3178,0.36442,4.5317845703125,4.15046375,2.9003599609375,2.707977236328125
16,CIFAR100,fedavg,0,0.3,100,0.01,2,169,0.2006,0.22864,0.3238,0.37916,4.2402671875,3.862731875,2.76334873046875,2.5160054296875
17,CIFAR100,fedavg,0,0.3,100,0.01,2,179,0.2127,0.24752,0.3282,0.38514,4.4352650390625,3.9789690234375,2.74297763671875,2.48520146484375
18,CIFAR100,fedavg,0,0.3,100,0.01,2,189,0.2679,0.3173,0.3393,0.39586,3.56349072265625,3.08072599609375,2.6922623046875,2.40133166015625
19,CIFAR100,fedavg,0,0.3,100,0.01,2,199,0.273,0.3323,0.3456,0.40754,3.45218955078125,2.937793994140625,2.649742578125,2.328411435546875
20,CIFAR100,fedavg,0,0.3,100,0.01,2,209,0.2243,0.2604,0.3536,0.4155,4.2527255859375,3.7517655859375,2.623747265625,2.288682314453125
21,CIFAR100,fedavg,0,0.3,100,0.01,2,219,0.212,0.25258,0.361,0.42416,4.29999296875,3.841139296875,2.600277734375,2.251060322265625
22,CIFAR100,fedavg,0,0.3,100,0.01,2,229,0.2344,0.2735,0.363,0.43348,4.06326728515625,3.55135064453125,2.57680283203125,2.208258056640625
23,CIFAR100,fedavg,0,0.3,100,0.01,2,239,0.2239,0.26824,0.3628,0.43724,4.3821615234375,3.818514521484375,2.5663390625,2.189819775390625
24,CIFAR100,fedavg,0,0.3,100,0.01,2,249,0.3082,0.37248,0.3649,0.44494,3.11491630859375,2.620047978515625,2.543694921875,2.126709541015625
25,CIFAR100,fedavg,0,0.3,100,0.01,2,259,0.2232,0.26076,0.3689,0.451,4.218545703125,3.753711240234375,2.53148818359375,2.09002451171875
26,CIFAR100,fedavg,0,0.3,100,0.01,2,269,0.2995,0.36386,0.373,0.45936,3.332700390625,2.76003166015625,2.513059765625,2.058338232421875
27,CIFAR100,fedavg,0,0.3,100,0.01,2,279,0.2929,0.36238,0.3752,0.46362,3.4513890625,2.838050234375,2.50216484375,2.04251966796875
28,CIFAR100,fedavg,0,0.3,100,0.01,2,289,0.2389,0.27622,0.3783,0.46838,4.0960390625,3.596593740234375,2.49569775390625,2.017007119140625
29,CIFAR100,fedavg,0,0.3,100,0.01,2,299,0.2373,0.27966,0.3843,0.47418,4.143296875,3.594444970703125,2.48385517578125,1.9934357763671875
30,CIFAR100,fedavg,0,0.3,100,0.01,2,309,0.2472,0.2881,0.3852,0.47824,3.96409453125,3.430335673828125,2.47216201171875,1.9686355908203126
31,CIFAR100,fedavg,0,0.3,100,0.01,2,319,0.3222,0.3901,0.3868,0.48452,3.02386943359375,2.485460234375,2.456544140625,1.9385070654296874
