,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedavg,0,0.3,100,0.01,1,9,0.0605,0.0597,0.0212,0.02334,4.2465736328125,4.24193150390625,4.597776953125,4.59750044921875
1,CIFAR100,fedavg,0,0.3,100,0.01,1,19,0.1023,0.10206,0.0464,0.0484,4.0443890625,4.003812900390625,4.55968671875,4.5587757421875
2,CIFAR100,fedavg,0,0.3,100,0.01,1,29,0.1539,0.16212,0.0804,0.08198,3.719771875,3.636536064453125,4.5117064453125,4.50956943359375
3,CIFAR100,fedavg,0,0.3,100,0.01,1,39,0.1522,0.1591,0.1334,0.13754,3.87794287109375,3.747371806640625,4.4126611328125,4.4068407421875
4,CIFAR100,fedavg,0,0.3,100,0.01,1,49,0.2061,0.22258,0.1805,0.1887,3.6116681640625,3.45901212890625,4.234134765625,4.21997318359375
5,CIFAR100,fedavg,0,0.3,100,0.01,1,59,0.2118,0.2307,0.2106,0.22512,3.44293525390625,3.27295826171875,4.0287810546875,4.00238904296875
6,CIFAR100,fedavg,0,0.3,100,0.01,1,69,0.1416,0.15072,0.2378,0.25516,4.60780546875,4.4349343359375,3.85470234375,3.8138775
7,CIFAR100,fedavg,0,0.3,100,0.01,1,79,0.1947,0.21166,0.2509,0.2704,3.79967900390625,3.568029541015625,3.74935205078125,3.69843431640625
8,CIFAR100,fedavg,0,0.3,100,0.01,1,89,0.1704,0.18702,0.2578,0.28384,4.210935546875,4.020301240234375,3.641762109375,3.5795783984375
9,CIFAR100,fedavg,0,0.3,100,0.01,1,99,0.2208,0.25302,0.2701,0.3,3.652307421875,3.37192458984375,3.50278486328125,3.4229051953125
10,CIFAR100,fedavg,0,0.3,100,0.01,1,109,0.1605,0.18184,0.2802,0.31368,5.131553125,4.75739583984375,3.3602888671875,3.259430947265625
11,CIFAR100,fedavg,0,0.3,100,0.01,1,119,0.2508,0.2872,0.2902,0.32842,3.379816015625,3.048976904296875,3.21566533203125,3.088094033203125
12,CIFAR100,fedavg,0,0.3,100,0.01,1,129,0.2184,0.2512,0.2985,0.34204,3.64961015625,3.33671080078125,3.07724296875,2.92170255859375
13,CIFAR100,fedavg,0,0.3,100,0.01,1,139,0.2448,0.28354,0.3123,0.3564,3.616775,3.246661884765625,2.95679677734375,2.76861482421875
14,CIFAR100,fedavg,0,0.3,100,0.01,1,149,0.2485,0.27772,0.3194,0.36962,3.59911611328125,3.253767763671875,2.892689453125,2.68303763671875
15,CIFAR100,fedavg,0,0.3,100,0.01,1,159,0.1545,0.17294,0.324,0.37688,4.8999390625,4.57848501953125,2.87164990234375,2.65367677734375
16,CIFAR100,fedavg,0,0.3,100,0.01,1,169,0.1913,0.21014,0.3328,0.38664,4.4933033203125,4.1315195703125,2.8161859375,2.57803068359375
17,CIFAR100,fedavg,0,0.3,100,0.01,1,179,0.22,0.24638,0.3379,0.3979,4.2777076171875,3.844890654296875,2.74317314453125,2.476175966796875
18,CIFAR100,fedavg,0,0.3,100,0.01,1,189,0.2925,0.34822,0.3375,0.40288,3.30814228515625,2.812568046875,2.72177119140625,2.448820615234375
19,CIFAR100,fedavg,0,0.3,100,0.01,1,199,0.2779,0.33146,0.3464,0.41308,3.24597265625,2.781482353515625,2.68947626953125,2.403487509765625
20,CIFAR100,fedavg,0,0.3,100,0.01,1,209,0.2705,0.31946,0.3539,0.42532,3.4316015625,2.964478525390625,2.61078974609375,2.28184314453125
21,CIFAR100,fedavg,0,0.3,100,0.01,1,219,0.2697,0.3269,0.3612,0.4344,3.55247158203125,2.9969741796875,2.565632421875,2.18750638671875
22,CIFAR100,fedavg,0,0.3,100,0.01,1,229,0.2438,0.28368,0.3652,0.44164,4.286900390625,3.756487587890625,2.54644599609375,2.13716068359375
23,CIFAR100,fedavg,0,0.3,100,0.01,1,239,0.2128,0.2407,0.372,0.448,4.4818638671875,4.063932744140625,2.53205625,2.108711474609375
