,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedavg,0,0.3,100,0.01,2,9,0.0672,0.06576,0.0215,0.02372,4.451997265625,4.43532755859375,4.5952630859375,4.5953131640625
1,CIFAR100,fedavg,0,0.3,100,0.01,2,19,0.0997,0.10354,0.0663,0.0705,4.1391353515625,4.1055380078125,4.55625546875,4.55547560546875
2,CIFAR100,fedavg,0,0.3,100,0.01,2,29,0.0759,0.08116,0.1063,0.11068,5.684393359375,5.60823078125,4.478828125,4.47573859375
3,CIFAR100,fedavg,0,0.3,100,0.01,2,39,0.1017,0.10806,0.1323,0.13972,4.7869515625,4.70367375,4.3924634765625,4.38672505859375
4,CIFAR100,fedavg,0,0.3,100,0.01,2,49,0.1357,0.13852,0.1576,0.16246,4.567905078125,4.47492056640625,4.3147169921875,4.30623044921875
5,CIFAR100,fedavg,0,0.3,100,0.01,2,59,0.13,0.1406,0.1911,0.19724,4.873565625,4.7310173046875,4.1683744140625,4.15392046875
6,CIFAR100,fedavg,0,0.3,100,0.01,2,69,0.1947,0.20826,0.2197,0.23056,3.80091650390625,3.614635400390625,3.99027294921875,3.966517216796875
7,CIFAR100,fedavg,0,0.3,100,0.01,2,79,0.2253,0.24128,0.2448,0.25642,3.45274931640625,3.262020712890625,3.77066318359375,3.73231353515625
8,CIFAR100,fedavg,0,0.3,100,0.01,2,89,0.1682,0.1796,0.2597,0.27338,4.8043037109375,4.5282085546875,3.621163671875,3.57055763671875
9,CIFAR100,fedavg,0,0.3,100,0.01,2,99,0.2616,0.29274,0.2747,0.2944,3.33691396484375,3.02546775390625,3.5151640625,3.44974416015625
10,CIFAR100,fedavg,0,0.3,100,0.01,2,109,0.1822,0.19988,0.2832,0.30964,4.6650130859375,4.3753903125,3.3978845703125,3.317230830078125
11,CIFAR100,fedavg,0,0.3,100,0.01,2,119,0.2214,0.24346,0.2977,0.32636,4.0798423828125,3.75903056640625,3.22063359375,3.11742580078125
12,CIFAR100,fedavg,0,0.3,100,0.01,2,129,0.2612,0.29514,0.3114,0.34116,3.34748623046875,3.03405822265625,3.085151953125,2.9583385546875
13,CIFAR100,fedavg,0,0.3,100,0.01,2,139,0.1579,0.17896,0.3146,0.35072,5.0924865234375,4.7975008203125,2.9877935546875,2.84093234375
14,CIFAR100,fedavg,0,0.3,100,0.01,2,149,0.1726,0.19068,0.3241,0.363,5.1264607421875,4.79846091796875,2.92649814453125,2.762683642578125
15,CIFAR100,fedavg,0,0.3,100,0.01,2,159,0.1852,0.20716,0.332,0.37284,4.581556640625,4.26862126953125,2.84729755859375,2.66128765625
16,CIFAR100,fedavg,0,0.3,100,0.01,2,169,0.1978,0.21942,0.3439,0.38966,4.732053515625,4.36530111328125,2.6985091796875,2.463756455078125
17,CIFAR100,fedavg,0,0.3,100,0.01,2,179,0.192,0.22258,0.3463,0.39598,4.92013671875,4.50106970703125,2.67574130859375,2.433054111328125
18,CIFAR100,fedavg,0,0.3,100,0.01,2,189,0.2729,0.31482,0.3541,0.40808,3.4944267578125,3.09237966796875,2.61998408203125,2.349629833984375
19,CIFAR100,fedavg,0,0.3,100,0.01,2,199,0.265,0.31342,0.3604,0.42012,3.622020703125,3.1251103125,2.56987802734375,2.2728103515625
20,CIFAR100,fedavg,0,0.3,100,0.01,2,209,0.2149,0.2403,0.3671,0.42836,4.71563359375,4.24402384765625,2.54492734375,2.23248029296875
21,CIFAR100,fedavg,0,0.3,100,0.01,2,219,0.1994,0.22494,0.3738,0.43578,4.4165896484375,4.024307109375,2.5209517578125,2.19321474609375
22,CIFAR100,fedavg,0,0.3,100,0.01,2,229,0.1801,0.21586,0.3794,0.44374,4.7816302734375,4.2945833203125,2.4956130859375,2.151183984375
23,CIFAR100,fedavg,0,0.3,100,0.01,2,239,0.2088,0.23618,0.3824,0.44754,4.747651953125,4.245714453125,2.48256259765625,2.132647421875
24,CIFAR100,fedavg,0,0.3,100,0.01,2,249,0.3129,0.36278,0.3857,0.45576,3.19820517578125,2.71466359375,2.45573125,2.066544716796875
25,CIFAR100,fedavg,0,0.3,100,0.01,2,259,0.2074,0.2378,0.3876,0.46208,4.3348064453125,3.928852841796875,2.44298828125,2.0314651953125
26,CIFAR100,fedavg,0,0.3,100,0.01,2,269,0.3055,0.35636,0.3898,0.46804,3.4127853515625,2.871801533203125,2.42433232421875,2.0026903759765626
27,CIFAR100,fedavg,0,0.3,100,0.01,2,279,0.293,0.35298,0.3933,0.47212,3.4683685546875,2.9049652734375,2.4137080078125,1.9858154541015625
28,CIFAR100,fedavg,0,0.3,100,0.01,2,289,0.2169,0.24118,0.3945,0.4773,4.68418671875,4.186969921875,2.4027384765625,1.957046884765625
29,CIFAR100,fedavg,0,0.3,100,0.01,2,299,0.2088,0.23654,0.3973,0.48212,4.680791796875,4.2017023828125,2.391028125,1.934338134765625
30,CIFAR100,fedavg,0,0.3,100,0.01,2,309,0.2151,0.24952,0.4031,0.489,4.4242572265625,3.983436875,2.37930869140625,1.9117326318359376
31,CIFAR100,fedavg,0,0.3,100,0.01,2,319,0.3235,0.3824,0.4036,0.4966,3.0023587890625,2.51644720703125,2.36311103515625,1.883631923828125
32,CIFAR100,fedavg,0,0.3,100,0.01,2,329,0.2191,0.25486,0.4053,0.49952,4.61079921875,4.08826748046875,2.35175498046875,1.872373330078125
33,CIFAR100,fedavg,0,0.3,100,0.01,2,339,0.2315,0.26922,0.408,0.50318,4.5039443359375,3.970590703125,2.3386375,1.85688765625
34,CIFAR100,fedavg,0,0.3,100,0.01,2,349,0.2263,0.26362,0.4087,0.50498,4.3103474609375,3.794210927734375,2.32903544921875,1.8482173291015624
35,CIFAR100,fedavg,0,0.3,100,0.01,2,359,0.2305,0.2661,0.411,0.50768,4.3227779296875,3.787347314453125,2.31889716796875,1.833895419921875
36,CIFAR100,fedavg,0,0.3,100,0.01,2,369,0.2283,0.25352,0.4106,0.5124,4.4864171875,4.005213525390625,2.3101814453125,1.81278390625
37,CIFAR100,fedavg,0,0.3,100,0.01,2,379,0.2181,0.25858,0.4115,0.51488,4.5055919921875,3.954708251953125,2.30350634765625,1.8046096142578125
38,CIFAR100,fedavg,0,0.3,100,0.01,2,389,0.2366,0.27538,0.4143,0.51626,4.543158203125,3.9658576171875,2.29671103515625,1.7948958203125
39,CIFAR100,fedavg,0,0.3,100,0.01,2,399,0.2526,0.29966,0.4163,0.51868,4.143524609375,3.560158671875,2.28613828125,1.7799299609375
40,CIFAR100,fedavg,0,0.3,100,0.01,2,409,0.3022,0.36424,0.4205,0.52388,3.510051953125,2.896306865234375,2.275570703125,1.7595360693359374
41,CIFAR100,fedavg,0,0.3,100,0.01,2,419,0.232,0.25836,0.4223,0.52472,4.8027654296875,4.205755556640625,2.271191796875,1.7500532080078126
42,CIFAR100,fedavg,0,0.3,100,0.01,2,429,0.3208,0.39022,0.4242,0.52726,3.28679482421875,2.6730738671875,2.264309375,1.7423367333984374
43,CIFAR100,fedavg,0,0.3,100,0.01,2,439,0.3313,0.40392,0.4244,0.53172,3.1019791015625,2.48269693359375,2.25624677734375,1.7245044287109375
44,CIFAR100,fedavg,0,0.3,100,0.01,2,449,0.263,0.30268,0.4259,0.5357,4.37913359375,3.727383740234375,2.25654365234375,1.7029222021484376
45,CIFAR100,fedavg,0,0.3,100,0.01,2,459,0.2576,0.29892,0.4264,0.53874,4.1669892578125,3.58870142578125,2.25214345703125,1.698189228515625
46,CIFAR100,fedavg,0,0.3,100,0.01,2,469,0.2219,0.26292,0.4301,0.54298,4.7540583984375,4.153238720703125,2.24607470703125,1.6817772900390624
47,CIFAR100,fedavg,0,0.3,100,0.01,2,479,0.3063,0.36808,0.4299,0.54436,3.3180953125,2.757686064453125,2.2369849609375,1.670616123046875
48,CIFAR100,fedavg,0,0.3,100,0.01,2,489,0.2478,0.28638,0.4314,0.54482,4.4188958984375,3.81775205078125,2.23183857421875,1.664169111328125
49,CIFAR100,fedavg,0,0.3,100,0.01,2,499,0.3411,0.4195,0.4338,0.5464,2.99028076171875,2.376662255859375,2.22539111328125,1.652377578125
50,CIFAR100,fedavg,0,0.3,100,0.01,2,509,0.2542,0.29558,0.435,0.55056,4.3968291015625,3.76830400390625,2.22342373046875,1.6340340771484374
51,CIFAR100,fedavg,0,0.3,100,0.01,2,519,0.3188,0.38104,0.4361,0.5523,3.4493333984375,2.813473291015625,2.21296318359375,1.622133525390625
52,CIFAR100,fedavg,0,0.3,100,0.01,2,529,0.3147,0.38258,0.4379,0.55438,3.26940380859375,2.6493914453125,2.2047662109375,1.6160478076171876
53,CIFAR100,fedavg,0,0.3,100,0.01,2,539,0.2406,0.28124,0.4431,0.55864,4.2846291015625,3.6822723046875,2.206336328125,1.5963301611328125
54,CIFAR100,fedavg,0,0.3,100,0.01,2,549,0.2448,0.29004,0.4452,0.561,4.41239140625,3.758676533203125,2.19909326171875,1.5834234423828124
55,CIFAR100,fedavg,0,0.3,100,0.01,2,559,0.3474,0.4205,0.4459,0.5639,3.2433515625,2.5324347265625,2.197235546875,1.575450703125
56,CIFAR100,fedavg,0,0.3,100,0.01,2,569,0.2531,0.3013,0.4456,0.56706,4.27635390625,3.60198388671875,2.19348662109375,1.562564296875
57,CIFAR100,fedavg,0,0.3,100,0.01,2,579,0.3285,0.3986,0.4455,0.5698,3.240562890625,2.5966271337890623,2.18648017578125,1.54891474609375
58,CIFAR100,fedavg,0,0.3,100,0.01,2,589,0.2448,0.2945,0.4515,0.57364,4.516778125,3.887725537109375,2.1831048828125,1.5348617822265624
59,CIFAR100,fedavg,0,0.3,100,0.01,2,599,0.2474,0.28604,0.453,0.57754,4.7942435546875,4.122458515625,2.178941796875,1.5242075537109374
60,CIFAR100,fedavg,0,0.3,100,0.01,2,609,0.3535,0.42656,0.4543,0.58022,3.09278603515625,2.40760236328125,2.175107421875,1.5106523095703126
61,CIFAR100,fedavg,0,0.3,100,0.01,2,619,0.259,0.3058,0.4564,0.58374,4.17313515625,3.497360859375,2.1704583984375,1.48951931640625
62,CIFAR100,fedavg,0,0.3,100,0.01,2,629,0.2529,0.2955,0.4556,0.58572,4.36127265625,3.719866259765625,2.16518818359375,1.4831263427734376
