,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedavg,0,0.3,100,0.01,1,9,0.0705,0.0698,0.0222,0.02212,4.3460716796875,4.352407744140625,4.5941189453125,4.59416708984375
1,CIFAR100,fedavg,0,0.3,100,0.01,1,19,0.0947,0.09576,0.0552,0.0543,4.153573828125,4.1243025390625,4.5444037109375,4.5437626953125
2,CIFAR100,fedavg,0,0.3,100,0.01,1,29,0.1536,0.1633,0.0929,0.09436,3.8030970703125,3.731231875,4.48558984375,4.48331001953125
3,CIFAR100,fedavg,0,0.3,100,0.01,1,39,0.1479,0.16098,0.1457,0.15172,4.0214291015625,3.903991669921875,4.3642123046875,4.358280546875
4,CIFAR100,fedavg,0,0.3,100,0.01,1,49,0.1966,0.20848,0.1951,0.20036,3.768112890625,3.628959599609375,4.165478125,4.1498069140625
5,CIFAR100,fedavg,0,0.3,100,0.01,1,59,0.2129,0.22738,0.2252,0.23068,3.58945078125,3.413879775390625,3.94290029296875,3.912583671875
6,CIFAR100,fedavg,0,0.3,100,0.01,1,69,0.1161,0.12236,0.244,0.25876,5.7345740234375,5.5503799609375,3.749379296875,3.70300029296875
7,CIFAR100,fedavg,0,0.3,100,0.01,1,79,0.1977,0.20758,0.2535,0.27336,3.92397900390625,3.732362919921875,3.63251328125,3.57410775390625
8,CIFAR100,fedavg,0,0.3,100,0.01,1,89,0.167,0.18168,0.2623,0.28324,4.616258984375,4.3971159375,3.51759677734375,3.446033935546875
9,CIFAR100,fedavg,0,0.3,100,0.01,1,99,0.2053,0.2281,0.2751,0.30022,3.9613849609375,3.6978042578125,3.3725677734375,3.282172529296875
10,CIFAR100,fedavg,0,0.3,100,0.01,1,109,0.1415,0.15828,0.2904,0.31544,5.8448201171875,5.489358125,3.23067314453125,3.1180446484375
11,CIFAR100,fedavg,0,0.3,100,0.01,1,119,0.2508,0.2926,0.3029,0.33214,3.443188671875,3.095798037109375,3.101776953125,2.962597314453125
12,CIFAR100,fedavg,0,0.3,100,0.01,1,129,0.2211,0.25284,0.3125,0.3461,3.64104169921875,3.354510927734375,2.9813787109375,2.810847275390625
