,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedavg,0,0.3,100,0.01,4,9,0.0358,0.0388,0.0146,0.0156,5.090489453125,5.071242421875,4.5975517578125,4.59701947265625
1,CIFAR100,fedavg,0,0.3,100,0.01,4,19,0.0653,0.06742,0.0231,0.02538,5.0709564453125,5.0293835546875,4.570933984375,4.56975912109375
2,CIFAR100,fedavg,0,0.3,100,0.01,4,29,0.0783,0.08264,0.0503,0.05272,5.2610337890625,5.19796302734375,4.5227876953125,4.52047525390625
3,CIFAR100,fedavg,0,0.3,100,0.01,4,39,0.1472,0.15578,0.095,0.09854,4.03744794921875,3.937287294921875,4.4442318359375,4.43963037109375
4,CIFAR100,fedavg,0,0.3,100,0.01,4,49,0.0944,0.09788,0.1439,0.15082,5.17663359375,5.0862279296875,4.239505859375,4.2267070703125
5,CIFAR100,fedavg,0,0.3,100,0.01,4,59,0.1085,0.11288,0.1655,0.17402,5.41825625,5.27242091796875,4.11283203125,4.093634423828125
6,CIFAR100,fedavg,0,0.3,100,0.01,4,69,0.1739,0.18576,0.1901,0.20512,3.93842275390625,3.810094794921875,3.8965716796875,3.8622226171875
7,CIFAR100,fedavg,0,0.3,100,0.01,4,79,0.1874,0.204,0.2037,0.2175,3.80885966796875,3.63052703125,3.7710056640625,3.726289619140625
8,CIFAR100,fedavg,0,0.3,100,0.01,4,89,0.1436,0.1557,0.2146,0.22992,4.7167001953125,4.531995859375,3.690579296875,3.637622236328125
9,CIFAR100,fedavg,0,0.3,100,0.01,4,99,0.1612,0.17002,0.2314,0.25164,4.520128125,4.32470212890625,3.49300048828125,3.415715263671875
10,CIFAR100,fedavg,0,0.3,100,0.01,4,109,0.1994,0.21492,0.2468,0.2755,3.956209765625,3.707515751953125,3.38871728515625,3.29375849609375
11,CIFAR100,fedavg,0,0.3,100,0.01,4,119,0.1564,0.17154,0.2589,0.28554,5.250324609375,4.98668990234375,3.31963232421875,3.210896923828125
12,CIFAR100,fedavg,0,0.3,100,0.01,4,129,0.1484,0.1685,0.2609,0.29118,5.0880353515625,4.777250078125,3.24696845703125,3.123045439453125
