,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedavg,0,0.3,100,0.1,1,9,0.1114,0.11414,0.0792,0.0782,3.83385625,3.820910869140625,4.41556171875,4.41325
1,CIFAR100,fedavg,0,0.3,100,0.1,1,19,0.187,0.19752,0.1763,0.17766,3.384147265625,3.33442626953125,3.80280634765625,3.78323
2,CIFAR100,fedavg,0,0.3,100,0.1,1,29,0.2155,0.2352,0.2159,0.22826,3.2183841796875,3.098345341796875,3.36740478515625,3.313578818359375
3,CIFAR100,fedavg,0,0.3,100,0.1,1,39,0.246,0.27312,0.2566,0.27098,3.09329580078125,2.9083086328125,3.10558779296875,2.9937926953125
4,CIFAR100,fedavg,0,0.3,100,0.1,1,49,0.2499,0.28432,0.2786,0.31084,3.12067763671875,2.853581064453125,2.94722412109375,2.74838271484375
5,CIFAR100,fedavg,0,0.3,100,0.1,1,59,0.2685,0.31856,0.2921,0.34162,3.04788583984375,2.689925498046875,2.882170703125,2.58940869140625
6,CIFAR100,fedavg,0,0.3,100,0.1,1,69,0.2792,0.32842,0.3033,0.35988,3.07521259765625,2.649868212890625,2.8478615234375,2.48723435546875
7,CIFAR100,fedavg,0,0.3,100,0.1,1,79,0.2914,0.35368,0.3137,0.37932,3.04938642578125,2.53436173828125,2.82193974609375,2.390355361328125
8,CIFAR100,fedavg,0,0.3,100,0.1,1,89,0.3031,0.36888,0.3226,0.39972,3.0180740234375,2.45110048828125,2.80024091796875,2.290159052734375
9,CIFAR100,fedavg,0,0.3,100,0.1,1,99,0.3074,0.3861,0.3285,0.41588,2.96546650390625,2.363147978515625,2.78105732421875,2.20970712890625
10,CIFAR100,fedavg,0,0.3,100,0.1,1,109,0.3069,0.39024,0.3353,0.43208,3.0165103515625,2.3489503515625,2.77668115234375,2.132658994140625
11,CIFAR100,fedavg,0,0.3,100,0.1,1,119,0.3089,0.40568,0.3388,0.44378,3.0135724609375,2.279481455078125,2.7652123046875,2.074918857421875
12,CIFAR100,fedavg,0,0.3,100,0.1,1,129,0.3275,0.43322,0.3473,0.45848,2.956265625,2.1610901171875,2.7564423828125,2.00946326171875
13,CIFAR100,fedavg,0,0.3,100,0.1,1,139,0.3295,0.43602,0.3544,0.47108,2.90938837890625,2.127582744140625,2.7353765625,1.953012734375
14,CIFAR100,fedavg,0,0.3,100,0.1,1,149,0.3343,0.44782,0.3583,0.48348,2.87787431640625,2.0581250146484376,2.716967578125,1.9013686962890626
15,CIFAR100,fedavg,0,0.3,100,0.1,1,159,0.3427,0.45976,0.3586,0.4924,2.87060166015625,2.01393154296875,2.70783525390625,1.85764048828125
16,CIFAR100,fedavg,0,0.3,100,0.1,1,169,0.3451,0.47484,0.3617,0.50252,2.84191748046875,1.936856201171875,2.69239609375,1.8090387841796876
17,CIFAR100,fedavg,0,0.3,100,0.1,1,179,0.3231,0.4436,0.37,0.51524,2.982195703125,2.089199755859375,2.6800685546875,1.7624587451171876
18,CIFAR100,fedavg,0,0.3,100,0.1,1,189,0.3414,0.47336,0.3709,0.52128,2.88512177734375,1.9482441015625,2.66616962890625,1.727913720703125
19,CIFAR100,fedavg,0,0.3,100,0.1,1,199,0.3554,0.4847,0.3696,0.52894,2.872123828125,1.905571328125,2.6575677734375,1.6942829638671875
20,CIFAR100,fedavg,0,0.3,100,0.1,1,209,0.3507,0.48958,0.3758,0.53738,2.8452935546875,1.86701890625,2.6533650390625,1.6658241259765625
21,CIFAR100,fedavg,0,0.3,100,0.1,1,219,0.3592,0.50852,0.3751,0.54514,2.75076552734375,1.760805263671875,2.647065234375,1.6317446728515625
