,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedavg,0,0.3,100,0.1,2,9,0.1227,0.11866,0.0907,0.09272,3.79161162109375,3.77198197265625,4.3457845703125,4.34302466796875
1,CIFAR100,fedavg,0,0.3,100,0.1,2,19,0.1621,0.17094,0.1642,0.16836,3.503413671875,3.43284837890625,3.77609296875,3.752752802734375
2,CIFAR100,fedavg,0,0.3,100,0.1,2,29,0.2249,0.23902,0.2241,0.23134,3.23245849609375,3.10025166015625,3.3095064453125,3.2374765625
3,CIFAR100,fedavg,0,0.3,100,0.1,2,39,0.2536,0.27954,0.2584,0.27552,3.0935986328125,2.893196728515625,3.07331142578125,2.937424072265625
4,CIFAR100,fedavg,0,0.3,100,0.1,2,49,0.2797,0.31358,0.2809,0.30702,3.017220703125,2.728648427734375,2.9628689453125,2.762777138671875
5,CIFAR100,fedavg,0,0.3,100,0.1,2,59,0.2779,0.31968,0.2958,0.33148,3.0680962890625,2.70098658203125,2.9016541015625,2.629388544921875
6,CIFAR100,fedavg,0,0.3,100,0.1,2,69,0.2998,0.3511,0.3142,0.35776,2.993739453125,2.54177541015625,2.85651337890625,2.48316935546875
7,CIFAR100,fedavg,0,0.3,100,0.1,2,79,0.3101,0.36778,0.3276,0.37898,3.00391640625,2.475162548828125,2.83995908203125,2.38243712890625
8,CIFAR100,fedavg,0,0.3,100,0.1,2,89,0.3134,0.38156,0.3323,0.39596,2.990973828125,2.404063662109375,2.83389609375,2.298039736328125
9,CIFAR100,fedavg,0,0.3,100,0.1,2,99,0.3216,0.40394,0.3373,0.41446,2.92831533203125,2.273015439453125,2.829406640625,2.21440029296875
10,CIFAR100,fedavg,0,0.3,100,0.1,2,109,0.32,0.4101,0.3404,0.43058,2.977531640625,2.2522180859375,2.82458134765625,2.1383906005859377
11,CIFAR100,fedavg,0,0.3,100,0.1,2,119,0.3268,0.42476,0.3444,0.44248,2.95539462890625,2.1788012060546875,2.82189990234375,2.08404009765625
12,CIFAR100,fedavg,0,0.3,100,0.1,2,129,0.323,0.42492,0.3441,0.45448,3.00786484375,2.19165255859375,2.8235083984375,2.034575947265625
13,CIFAR100,fedavg,0,0.3,100,0.1,2,139,0.3359,0.44146,0.3477,0.46454,2.95915390625,2.0955881005859376,2.8195296875,1.9808266455078125
14,CIFAR100,fedavg,0,0.3,100,0.1,2,149,0.3373,0.45648,0.3483,0.4744,2.93506171875,2.033648486328125,2.81896689453125,1.934740439453125
15,CIFAR100,fedavg,0,0.3,100,0.1,2,159,0.3407,0.46646,0.3527,0.48424,2.93988193359375,1.977408955078125,2.8210861328125,1.8925481005859375
16,CIFAR100,fedavg,0,0.3,100,0.1,2,169,0.3307,0.44362,0.3571,0.49406,3.052326953125,2.0915884765625,2.80938857421875,1.8454518798828126
17,CIFAR100,fedavg,0,0.3,100,0.1,2,179,0.3446,0.47538,0.3596,0.50274,2.96352099609375,1.93202421875,2.81273505859375,1.8030535205078124
18,CIFAR100,fedavg,0,0.3,100,0.1,2,189,0.3407,0.482,0.3624,0.5104,2.95242646484375,1.9042062109375,2.805419921875,1.76501962890625
19,CIFAR100,fedavg,0,0.3,100,0.1,2,199,0.3461,0.48044,0.3634,0.51866,2.9908607421875,1.9139025830078125,2.81145625,1.7315621533203125
20,CIFAR100,fedavg,0,0.3,100,0.1,2,209,0.3506,0.49834,0.3659,0.52486,2.93298427734375,1.818398408203125,2.80838994140625,1.700010009765625
21,CIFAR100,fedavg,0,0.3,100,0.1,2,219,0.328,0.45444,0.365,0.53038,3.16272001953125,2.02848546875,2.8027529296875,1.666232763671875
22,CIFAR100,fedavg,0,0.3,100,0.1,2,229,0.3537,0.51402,0.3694,0.53818,2.93547578125,1.7426993359375,2.80763759765625,1.635248310546875
23,CIFAR100,fedavg,0,0.3,100,0.1,2,239,0.3508,0.50924,0.3734,0.5449,2.98744443359375,1.7561310791015625,2.80606904296875,1.6021065478515626
24,CIFAR100,fedavg,0,0.3,100,0.1,2,249,0.3549,0.51594,0.3731,0.5504,2.98177724609375,1.745575419921875,2.801099609375,1.5772921337890624
25,CIFAR100,fedavg,0,0.3,100,0.1,2,259,0.3533,0.50782,0.3761,0.55434,3.0254091796875,1.7768370068359376,2.80092841796875,1.56063783203125
26,CIFAR100,fedavg,0,0.3,100,0.1,2,269,0.3458,0.49758,0.3794,0.56036,3.05888310546875,1.8248636376953125,2.79229873046875,1.536138515625
27,CIFAR100,fedavg,0,0.3,100,0.1,2,279,0.3638,0.54088,0.3781,0.56928,2.9317,1.6254580224609374,2.79563193359375,1.5080356689453125
28,CIFAR100,fedavg,0,0.3,100,0.1,2,289,0.3582,0.52638,0.3829,0.57304,3.01049052734375,1.698925625,2.7951052734375,1.4823348779296874
29,CIFAR100,fedavg,0,0.3,100,0.1,2,299,0.3627,0.53584,0.3806,0.57832,2.93205595703125,1.642933671875,2.79818759765625,1.4604948876953125
30,CIFAR100,fedavg,0,0.3,100,0.1,2,309,0.3574,0.5418,0.3806,0.58412,2.9622916015625,1.595800751953125,2.792905859375,1.4406469921875
31,CIFAR100,fedavg,0,0.3,100,0.1,2,319,0.3688,0.56556,0.3806,0.58912,2.920832421875,1.5292092529296875,2.79398759765625,1.4218860791015624
32,CIFAR100,fedavg,0,0.3,100,0.1,2,329,0.3583,0.54346,0.3849,0.59478,3.02043759765625,1.609797158203125,2.80039853515625,1.4030083984375
33,CIFAR100,fedavg,0,0.3,100,0.1,2,339,0.3605,0.54978,0.3836,0.5977,3.0709984375,1.6034021337890625,2.81057255859375,1.386223740234375
34,CIFAR100,fedavg,0,0.3,100,0.1,2,349,0.3649,0.5551,0.3843,0.60302,3.01017919921875,1.561499892578125,2.80874111328125,1.365326318359375
35,CIFAR100,fedavg,0,0.3,100,0.1,2,359,0.3701,0.5751,0.3899,0.60716,2.96336435546875,1.4865933056640626,2.81073583984375,1.347943525390625
36,CIFAR100,fedavg,0,0.3,100,0.1,2,369,0.3657,0.5596,0.3847,0.6112,2.984698046875,1.5357601611328124,2.8106427734375,1.3323455810546876
37,CIFAR100,fedavg,0,0.3,100,0.1,2,379,0.3775,0.58814,0.388,0.61512,2.92008583984375,1.420042158203125,2.8014326171875,1.3135587451171875
38,CIFAR100,fedavg,0,0.3,100,0.1,2,389,0.3749,0.5892,0.39,0.61864,2.92252587890625,1.41796076171875,2.80330244140625,1.297143486328125
39,CIFAR100,fedavg,0,0.3,100,0.1,2,399,0.3716,0.58264,0.3902,0.62248,2.9744125,1.447748193359375,2.8077369140625,1.281453291015625
40,CIFAR100,fedavg,0,0.3,100,0.1,2,409,0.378,0.58732,0.392,0.62414,2.93111630859375,1.4198123583984374,2.80312265625,1.27344373046875
41,CIFAR100,fedavg,0,0.3,100,0.1,2,419,0.3783,0.59564,0.394,0.62566,2.9301263671875,1.3852042041015624,2.80439296875,1.260832177734375
42,CIFAR100,fedavg,0,0.3,100,0.1,2,429,0.3802,0.59978,0.3906,0.63242,2.9211875,1.37246759765625,2.80338564453125,1.2402612109375
43,CIFAR100,fedavg,0,0.3,100,0.1,2,439,0.374,0.58278,0.3941,0.63626,3.0071310546875,1.43681283203125,2.80705302734375,1.23023845703125
44,CIFAR100,fedavg,0,0.3,100,0.1,2,449,0.3842,0.60448,0.3972,0.63908,2.92957783203125,1.3543009912109376,2.80034541015625,1.217795205078125
45,CIFAR100,fedavg,0,0.3,100,0.1,2,459,0.3808,0.59938,0.3985,0.6415,2.9607048828125,1.3697815966796876,2.8048810546875,1.2070223291015625
46,CIFAR100,fedavg,0,0.3,100,0.1,2,469,0.3789,0.6068,0.3969,0.64624,2.9564767578125,1.332739794921875,2.80628076171875,1.1929294384765625
47,CIFAR100,fedavg,0,0.3,100,0.1,2,479,0.377,0.60162,0.396,0.64744,2.9840119140625,1.357918232421875,2.8087568359375,1.180211220703125
48,CIFAR100,fedavg,0,0.3,100,0.1,2,489,0.3802,0.60302,0.3932,0.649,2.96909892578125,1.348502626953125,2.8145876953125,1.1731491845703126
