,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedavg,0,0.3,100,0.1,1,9,0.1211,0.12058,0.0866,0.08602,3.83022353515625,3.815749365234375,4.4296673828125,4.42790119140625
1,CIFAR100,fedavg,0,0.3,100,0.1,1,19,0.1935,0.19818,0.1776,0.17694,3.40547900390625,3.346523974609375,3.81641982421875,3.79322779296875
2,CIFAR100,fedavg,0,0.3,100,0.1,1,29,0.2163,0.23388,0.2189,0.22376,3.22515224609375,3.105981552734375,3.38741884765625,3.3280981640625
3,CIFAR100,fedavg,0,0.3,100,0.1,1,39,0.2564,0.27564,0.2546,0.26972,3.05773525390625,2.8863155859375,3.12701015625,3.014926728515625
4,CIFAR100,fedavg,0,0.3,100,0.1,1,49,0.2535,0.28342,0.2797,0.3083,3.08029365234375,2.844167294921875,2.94859375,2.76686216796875
5,CIFAR100,fedavg,0,0.3,100,0.1,1,59,0.2856,0.32802,0.2971,0.3383,2.97414814453125,2.660201171875,2.86462939453125,2.60499330078125
6,CIFAR100,fedavg,0,0.3,100,0.1,1,69,0.2934,0.34204,0.3103,0.35894,2.9908767578125,2.602720537109375,2.81197587890625,2.490046708984375
7,CIFAR100,fedavg,0,0.3,100,0.1,1,79,0.2976,0.36094,0.3196,0.38004,2.96051083984375,2.49922810546875,2.7837439453125,2.39001275390625
8,CIFAR100,fedavg,0,0.3,100,0.1,1,89,0.3102,0.37372,0.3308,0.3997,2.97737841796875,2.458880966796875,2.7580419921875,2.29247919921875
9,CIFAR100,fedavg,0,0.3,100,0.1,1,99,0.3204,0.39996,0.3412,0.41702,2.90683037109375,2.3348956640625,2.73489541015625,2.208825439453125
10,CIFAR100,fedavg,0,0.3,100,0.1,1,109,0.3176,0.40424,0.345,0.4356,2.95025087890625,2.306754306640625,2.7251232421875,2.13187572265625
11,CIFAR100,fedavg,0,0.3,100,0.1,1,119,0.3271,0.41458,0.3519,0.45058,2.918894921875,2.23084375,2.71443779296875,2.068420439453125
12,CIFAR100,fedavg,0,0.3,100,0.1,1,129,0.3395,0.44174,0.3573,0.4638,2.8861908203125,2.127428017578125,2.7043412109375,2.00469845703125
13,CIFAR100,fedavg,0,0.3,100,0.1,1,139,0.3435,0.45044,0.3623,0.47804,2.82036044921875,2.0585721875,2.6887890625,1.938186162109375
14,CIFAR100,fedavg,0,0.3,100,0.1,1,149,0.3565,0.45906,0.3694,0.48922,2.818871484375,2.0254294970703124,2.67119912109375,1.8840690771484374
15,CIFAR100,fedavg,0,0.3,100,0.1,1,159,0.3548,0.46674,0.3735,0.49928,2.846435546875,1.990905703125,2.660190625,1.832214453125
16,CIFAR100,fedavg,0,0.3,100,0.1,1,169,0.3592,0.48578,0.3781,0.51004,2.787003125,1.8994761279296875,2.6448595703125,1.7813523876953126
17,CIFAR100,fedavg,0,0.3,100,0.1,1,179,0.3378,0.448,0.3802,0.5196,3.0100740234375,2.11143814453125,2.64871982421875,1.742071083984375
18,CIFAR100,fedavg,0,0.3,100,0.1,1,189,0.3598,0.4878,0.3851,0.52854,2.8092705078125,1.8801219140625,2.6388671875,1.702426708984375
19,CIFAR100,fedavg,0,0.3,100,0.1,1,199,0.3683,0.49446,0.3879,0.53666,2.84340087890625,1.8772012353515626,2.631837109375,1.6662681982421874
20,CIFAR100,fedavg,0,0.3,100,0.1,1,209,0.3737,0.50606,0.3907,0.5455,2.79074501953125,1.812770625,2.6168837890625,1.6294923486328126
21,CIFAR100,fedavg,0,0.3,100,0.1,1,219,0.3797,0.53098,0.3926,0.55342,2.71524521484375,1.683483759765625,2.60960078125,1.5915395556640626
22,CIFAR100,fedavg,0,0.3,100,0.1,1,229,0.3721,0.5125,0.3952,0.55982,2.80845517578125,1.778103564453125,2.59999970703125,1.5631242236328124
23,CIFAR100,fedavg,0,0.3,100,0.1,1,239,0.3697,0.50958,0.3978,0.56566,2.839784765625,1.791188818359375,2.59567958984375,1.5372191552734376
24,CIFAR100,fedavg,0,0.3,100,0.1,1,249,0.3638,0.51084,0.4008,0.57198,2.81562001953125,1.770597265625,2.58146552734375,1.50578046875
25,CIFAR100,fedavg,0,0.3,100,0.1,1,259,0.3881,0.55074,0.4043,0.57688,2.71948916015625,1.607436455078125,2.580154296875,1.4803299169921875
26,CIFAR100,fedavg,0,0.3,100,0.1,1,269,0.3953,0.5515,0.4064,0.58258,2.71499892578125,1.59613560546875,2.57867373046875,1.4577214892578125
27,CIFAR100,fedavg,0,0.3,100,0.1,1,279,0.3954,0.55976,0.4101,0.58728,2.68849755859375,1.559389267578125,2.573093359375,1.4367428759765626
28,CIFAR100,fedavg,0,0.3,100,0.1,1,289,0.389,0.55438,0.4123,0.59348,2.74256259765625,1.5699407080078125,2.5681810546875,1.40945953125
29,CIFAR100,fedavg,0,0.3,100,0.1,1,299,0.3856,0.54184,0.4163,0.59694,2.82242529296875,1.6322121337890625,2.565818359375,1.390378466796875
30,CIFAR100,fedavg,0,0.3,100,0.1,1,309,0.3968,0.56782,0.4197,0.6025,2.71313427734375,1.5125014697265624,2.5622927734375,1.368807802734375
31,CIFAR100,fedavg,0,0.3,100,0.1,1,319,0.3987,0.5839,0.4175,0.6079,2.64998193359375,1.444194365234375,2.55639658203125,1.3450609228515624
32,CIFAR100,fedavg,0,0.3,100,0.1,1,329,0.3993,0.582,0.4175,0.61484,2.69098623046875,1.454327158203125,2.5547015625,1.323189560546875
33,CIFAR100,fedavg,0,0.3,100,0.1,1,339,0.4022,0.584,0.422,0.61906,2.71335341796875,1.4384672705078125,2.56230498046875,1.3043406787109375
34,CIFAR100,fedavg,0,0.3,100,0.1,1,349,0.4092,0.60078,0.4216,0.62248,2.65785791015625,1.378376142578125,2.55781376953125,1.2868407275390625
35,CIFAR100,fedavg,0,0.3,100,0.1,1,359,0.4116,0.60532,0.4222,0.62778,2.636980859375,1.3498330126953124,2.549754296875,1.2680463232421875
36,CIFAR100,fedavg,0,0.3,100,0.1,1,369,0.3954,0.5785,0.4229,0.63066,2.7378845703125,1.474594775390625,2.5447421875,1.2548368115234374
37,CIFAR100,fedavg,0,0.3,100,0.1,1,379,0.4052,0.59164,0.4228,0.63008,2.71176298828125,1.427754443359375,2.54770966796875,1.2603411865234375
38,CIFAR100,fedavg,0,0.3,100,0.1,1,389,0.4103,0.61292,0.4223,0.63538,2.64765830078125,1.3234941015625,2.55164814453125,1.2408651171875
39,CIFAR100,fedavg,0,0.3,100,0.1,1,399,0.4087,0.60096,0.4238,0.63756,2.69915478515625,1.377614033203125,2.56012197265625,1.2251048486328124
40,CIFAR100,fedavg,0,0.3,100,0.1,1,409,0.4131,0.6129,0.4249,0.6427,2.68689208984375,1.32141267578125,2.56535546875,1.2066764697265624
41,CIFAR100,fedavg,0,0.3,100,0.1,1,419,0.4043,0.60504,0.428,0.64746,2.7730005859375,1.3606970703125,2.56121064453125,1.1907090234375
42,CIFAR100,fedavg,0,0.3,100,0.1,1,429,0.4037,0.60998,0.4271,0.65176,2.734599609375,1.3434971826171875,2.55713642578125,1.175534814453125
43,CIFAR100,fedavg,0,0.3,100,0.1,1,439,0.4126,0.62368,0.4289,0.65488,2.68296337890625,1.288439599609375,2.55556591796875,1.162662451171875
44,CIFAR100,fedavg,0,0.3,100,0.1,1,449,0.4176,0.62994,0.4302,0.65784,2.6453015625,1.2454899658203125,2.549953515625,1.1504532421875
45,CIFAR100,fedavg,0,0.3,100,0.1,1,459,0.4128,0.6186,0.4344,0.66062,2.70378955078125,1.2968749072265624,2.54983876953125,1.1369772412109376
46,CIFAR100,fedavg,0,0.3,100,0.1,1,469,0.4192,0.6273,0.4353,0.66166,2.69577001953125,1.2627603564453125,2.55260634765625,1.129384599609375
47,CIFAR100,fedavg,0,0.3,100,0.1,1,479,0.4102,0.62004,0.4353,0.66474,2.75122080078125,1.29589419921875,2.56050068359375,1.118123046875
48,CIFAR100,fedavg,0,0.3,100,0.1,1,489,0.4125,0.62622,0.4348,0.6671,2.72985126953125,1.2754413525390624,2.56535771484375,1.107208046875
49,CIFAR100,fedavg,0,0.3,100,0.1,1,499,0.41,0.62682,0.4336,0.6686,2.72795849609375,1.2602396435546874,2.567158984375,1.096128984375
