,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedavgm,0,0,100,0.01,1,9,0.0536,0.056,0.0172,0.01576,4.4132576171875,4.38639853515625,4.5987818359375,4.59868984375
1,CIFAR100,fedavgm,0,0,100,0.01,1,19,0.098,0.0963,0.0486,0.0513,3.97301943359375,3.96319873046875,4.5586189453125,4.55762369140625
2,CIFAR100,fedavgm,0,0,100,0.01,1,29,0.1265,0.1288,0.0766,0.07728,3.88299013671875,3.858849677734375,4.5101541015625,4.50837458984375
3,CIFAR100,fedavgm,0,0,100,0.01,1,39,0.1492,0.15322,0.115,0.11934,3.7158923828125,3.6577009765625,4.415273046875,4.41127171875
4,CIFAR100,fedavgm,0,0,100,0.01,1,49,0.1651,0.18386,0.1527,0.15616,3.715558203125,3.573599267578125,4.2542703125,4.24373025390625
5,CIFAR100,fedavgm,0,0,100,0.01,1,59,0.1916,0.20138,0.1748,0.18234,3.6146822265625,3.47958734375,4.080987890625,4.05972548828125
6,CIFAR100,fedavgm,0,0,100,0.01,1,69,0.1893,0.2103,0.1937,0.20266,3.72415634765625,3.517360927734375,3.929540234375,3.89559365234375
7,CIFAR100,fedavgm,0,0,100,0.01,1,79,0.1831,0.20652,0.2035,0.21468,3.830367578125,3.618022099609375,3.83015810546875,3.7872933203125
8,CIFAR100,fedavgm,0,0,100,0.01,1,89,0.1873,0.21744,0.209,0.22482,4.02594619140625,3.70350953125,3.743062109375,3.690751689453125
9,CIFAR100,fedavgm,0,0,100,0.01,1,99,0.206,0.2313,0.2189,0.23906,3.7647861328125,3.493907490234375,3.63879931640625,3.57109609375
10,CIFAR100,fedavgm,0,0,100,0.01,1,109,0.2176,0.25018,0.2288,0.25222,3.931675390625,3.54191666015625,3.5157568359375,3.429569130859375
11,CIFAR100,fedavgm,0,0,100,0.01,1,119,0.21,0.24286,0.2402,0.26596,3.923314453125,3.547584697265625,3.39497138671875,3.285383115234375
12,CIFAR100,fedavgm,0,0,100,0.01,1,129,0.214,0.2519,0.2526,0.27732,3.82346787109375,3.434606025390625,3.27943291015625,3.14174568359375
13,CIFAR100,fedavgm,0,0,100,0.01,1,139,0.2316,0.26986,0.2615,0.29062,3.72753173828125,3.33056416015625,3.17815322265625,3.00826533203125
14,CIFAR100,fedavgm,0,0,100,0.01,1,149,0.2412,0.27764,0.2689,0.30484,3.80107333984375,3.38631712890625,3.10986083984375,2.9146776171875
15,CIFAR100,fedavgm,0,0,100,0.01,1,159,0.2472,0.28414,0.2734,0.31514,3.72886904296875,3.314507470703125,3.0814619140625,2.87828421875
16,CIFAR100,fedavgm,0,0,100,0.01,1,169,0.2416,0.28638,0.2836,0.32382,3.7759171875,3.362946708984375,3.02908857421875,2.80515419921875
17,CIFAR100,fedavgm,0,0,100,0.01,1,179,0.2537,0.2991,0.2914,0.33476,3.63493505859375,3.20959197265625,2.96920986328125,2.725070830078125
18,CIFAR100,fedavgm,0,0,100,0.01,1,189,0.267,0.31972,0.2949,0.33918,3.67756181640625,3.200575673828125,2.95008232421875,2.706850400390625
19,CIFAR100,fedavgm,0,0,100,0.01,1,199,0.273,0.32182,0.2994,0.34966,3.61248525390625,3.086099208984375,2.91373603515625,2.660009345703125
20,CIFAR100,fedavgm,0,0,100,0.01,1,209,0.2856,0.3426,0.3105,0.3687,3.4563845703125,2.89510322265625,2.8433232421875,2.541011455078125
21,CIFAR100,fedavgm,0,0,100,0.01,1,219,0.2814,0.33376,0.3166,0.3792,3.61551044921875,3.0636119921875,2.81047001953125,2.45423546875
22,CIFAR100,fedavgm,0,0,100,0.01,1,229,0.2831,0.33438,0.3257,0.38834,3.47892041015625,2.982004638671875,2.78840595703125,2.396958642578125
23,CIFAR100,fedavgm,0,0,100,0.01,1,239,0.2918,0.34492,0.3305,0.3972,3.60495419921875,3.033883369140625,2.7601626953125,2.354193486328125
24,CIFAR100,fedavgm,0,0,100,0.01,1,249,0.2835,0.34618,0.3351,0.40588,3.4435921875,2.919133818359375,2.7302435546875,2.311999921875
25,CIFAR100,fedavgm,0,0,100,0.01,1,259,0.284,0.33414,0.3407,0.41222,3.55645703125,3.0543720703125,2.73191171875,2.279691630859375
26,CIFAR100,fedavgm,0,0,100,0.01,1,269,0.2888,0.34184,0.343,0.41586,3.47606484375,2.958757939453125,2.71066494140625,2.25422935546875
27,CIFAR100,fedavgm,0,0,100,0.01,1,279,0.302,0.3551,0.3521,0.42062,3.52744716796875,2.988652099609375,2.68602265625,2.225663994140625
28,CIFAR100,fedavgm,0,0,100,0.01,1,289,0.3006,0.35878,0.3565,0.42874,3.3005357421875,2.804456083984375,2.66782783203125,2.190565439453125
29,CIFAR100,fedavgm,0,0,100,0.01,1,299,0.2996,0.36158,0.3579,0.43378,3.50306728515625,2.92044177734375,2.6602994140625,2.1717114453125
30,CIFAR100,fedavgm,0,0,100,0.01,1,309,0.3121,0.36648,0.3594,0.43962,3.431255078125,2.911727255859375,2.64332353515625,2.14836833984375
31,CIFAR100,fedavgm,0,0,100,0.01,1,319,0.3042,0.3702,0.362,0.4448,3.49683896484375,2.938519951171875,2.615363671875,2.1235800390625
32,CIFAR100,fedavgm,0,0,100,0.01,1,329,0.313,0.38106,0.3668,0.45088,3.2655203125,2.69870056640625,2.59823017578125,2.092521982421875
33,CIFAR100,fedavgm,0,0,100,0.01,1,339,0.3257,0.38896,0.3715,0.45764,3.3382369140625,2.77425634765625,2.5886173828125,2.069148544921875
34,CIFAR100,fedavgm,0,0,100,0.01,1,349,0.3149,0.38348,0.3766,0.46608,3.24937705078125,2.695146376953125,2.58707724609375,2.0382801025390624
35,CIFAR100,fedavgm,0,0,100,0.01,1,359,0.3196,0.38788,0.3828,0.46926,3.41513955078125,2.7993301953125,2.5702345703125,2.0205182568359374
36,CIFAR100,fedavgm,0,0,100,0.01,1,369,0.3287,0.39438,0.3868,0.47646,3.26103564453125,2.66398146484375,2.5524646484375,1.9920961083984374
37,CIFAR100,fedavgm,0,0,100,0.01,1,379,0.3278,0.39338,0.3899,0.47972,3.386619140625,2.74421154296875,2.54143251953125,1.9726188623046874
38,CIFAR100,fedavgm,0,0,100,0.01,1,389,0.3459,0.42292,0.3957,0.4841,3.1504919921875,2.502497900390625,2.52924765625,1.9514344482421875
39,CIFAR100,fedavgm,0,0,100,0.01,1,399,0.3293,0.4076,0.3956,0.48598,3.4364453125,2.734777861328125,2.5224583984375,1.9394141455078124
40,CIFAR100,fedavgm,0,0,100,0.01,1,409,0.3231,0.39752,0.3983,0.49286,3.230039453125,2.61622720703125,2.51164931640625,1.915038291015625
41,CIFAR100,fedavgm,0,0,100,0.01,1,419,0.3327,0.40194,0.401,0.49696,3.399087109375,2.76366982421875,2.50256826171875,1.89680673828125
42,CIFAR100,fedavgm,0,0,100,0.01,1,429,0.3401,0.41492,0.4016,0.50204,3.2174236328125,2.5847902001953127,2.49475322265625,1.87750255859375
43,CIFAR100,fedavgm,0,0,100,0.01,1,439,0.3328,0.41772,0.4025,0.5062,3.2235291015625,2.585553583984375,2.4836568359375,1.8607665869140626
44,CIFAR100,fedavgm,0,0,100,0.01,1,449,0.3508,0.42868,0.4062,0.50872,3.17336162109375,2.50420666015625,2.46762587890625,1.84639328125
45,CIFAR100,fedavgm,0,0,100,0.01,1,459,0.3478,0.42992,0.4094,0.5121,3.202288671875,2.5326312939453124,2.45835263671875,1.8334778564453125
46,CIFAR100,fedavgm,0,0,100,0.01,1,469,0.3572,0.43658,0.4106,0.51626,3.124919921875,2.462900166015625,2.44283779296875,1.8168719970703124
