,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,feddecorr,0,0,100,0.01,2,9,0.0548,0.05688,0.0099,0.01034,4.1646744140625,4.1518001171875,4.6039833984375,4.60380814453125
1,CIFAR100,feddecorr,0,0,100,0.01,2,19,0.0858,0.08406,0.0201,0.01948,3.9721765625,3.95447361328125,4.5897556640625,4.58946220703125
2,CIFAR100,feddecorr,0,0,100,0.01,2,29,0.0923,0.09692,0.0439,0.04384,4.0179951171875,3.974467666015625,4.5493759765625,4.54861798828125
3,CIFAR100,feddecorr,0,0,100,0.01,2,39,0.133,0.13884,0.062,0.06304,3.731914453125,3.68140556640625,4.4964568359375,4.49471865234375
4,CIFAR100,feddecorr,0,0,100,0.01,2,49,0.1478,0.15492,0.0877,0.09162,3.6945220703125,3.632633408203125,4.4423611328125,4.43927888671875
5,CIFAR100,feddecorr,0,0,100,0.01,2,59,0.1712,0.17564,0.1279,0.12846,3.72618037109375,3.638659921875,4.337690625,4.33187958984375
6,CIFAR100,feddecorr,0,0,100,0.01,2,69,0.2288,0.24544,0.1628,0.1627,3.322408203125,3.201826982421875,4.20761796875,4.19726666015625
7,CIFAR100,feddecorr,0,0,100,0.01,2,79,0.2469,0.2641,0.1921,0.19856,3.190747265625,3.04889478515625,4.03333388671875,4.0155609375
8,CIFAR100,feddecorr,0,0,100,0.01,2,89,0.2198,0.23712,0.214,0.22162,3.5968568359375,3.416655029296875,3.9212271484375,3.89717970703125
9,CIFAR100,feddecorr,0,0,100,0.01,2,99,0.2937,0.32642,0.2397,0.25362,2.981675390625,2.77654408203125,3.8226001953125,3.7898742578125
10,CIFAR100,feddecorr,0,0,100,0.01,2,109,0.2308,0.25232,0.2538,0.27292,3.654937890625,3.449772998046875,3.708496875,3.666855673828125
11,CIFAR100,feddecorr,0,0,100,0.01,2,119,0.2779,0.31352,0.2711,0.29564,3.4232447265625,3.148641279296875,3.52150654296875,3.465540625
12,CIFAR100,feddecorr,0,0,100,0.01,2,129,0.3017,0.3397,0.2893,0.31816,3.1069333984375,2.81904369140625,3.35465126953125,3.282531611328125
13,CIFAR100,feddecorr,0,0,100,0.01,2,139,0.2564,0.28072,0.3001,0.32948,3.40827392578125,3.161853798828125,3.2300162109375,3.1446701953125
14,CIFAR100,feddecorr,0,0,100,0.01,2,149,0.2704,0.30542,0.3136,0.34454,3.399471484375,3.118673173828125,3.14646044921875,3.04900912109375
15,CIFAR100,feddecorr,0,0,100,0.01,2,159,0.2598,0.29076,0.3273,0.35942,3.43282041015625,3.1791025,3.02536875,2.91101376953125
16,CIFAR100,feddecorr,0,0,100,0.01,2,169,0.2638,0.29144,0.3398,0.37718,3.39809990234375,3.172313994140625,2.801328125,2.650063408203125
17,CIFAR100,feddecorr,0,0,100,0.01,2,179,0.2721,0.30978,0.3441,0.3857,3.8027015625,3.4661158203125,2.76509091796875,2.6065787109375
18,CIFAR100,feddecorr,0,0,100,0.01,2,189,0.3187,0.37354,0.354,0.40162,3.11233740234375,2.710452177734375,2.672138671875,2.488376611328125
19,CIFAR100,feddecorr,0,0,100,0.01,2,199,0.3252,0.37688,0.3623,0.41698,3.07769208984375,2.69680921875,2.59522236328125,2.3853331640625
20,CIFAR100,feddecorr,0,0,100,0.01,2,209,0.3047,0.34748,0.3713,0.42648,3.32391513671875,2.95351123046875,2.560324609375,2.336268544921875
21,CIFAR100,feddecorr,0,0,100,0.01,2,219,0.2945,0.34138,0.3757,0.4352,3.3997720703125,3.015379599609375,2.5276787109375,2.290059453125
22,CIFAR100,feddecorr,0,0,100,0.01,2,229,0.3085,0.35414,0.3808,0.44548,3.08078701171875,2.72231205078125,2.49494189453125,2.23950443359375
23,CIFAR100,feddecorr,0,0,100,0.01,2,239,0.284,0.33578,0.3816,0.4467,3.6111234375,3.162662607421875,2.48585439453125,2.22619255859375
24,CIFAR100,feddecorr,0,0,100,0.01,2,249,0.3458,0.41632,0.3891,0.45672,2.78583173828125,2.369473505859375,2.44097353515625,2.1488196923828125
25,CIFAR100,feddecorr,0,0,100,0.01,2,259,0.29,0.33804,0.3918,0.46232,3.254705078125,2.886232607421875,2.41969873046875,2.1055436669921876
26,CIFAR100,feddecorr,0,0,100,0.01,2,269,0.3337,0.39764,0.396,0.46934,3.05186650390625,2.56296357421875,2.4025421875,2.07479203125
27,CIFAR100,feddecorr,0,0,100,0.01,2,279,0.3342,0.39964,0.398,0.47256,3.18628203125,2.671946708984375,2.39288798828125,2.060014482421875
28,CIFAR100,feddecorr,0,0,100,0.01,2,289,0.2869,0.33784,0.4005,0.4772,3.438604296875,2.984989521484375,2.3801568359375,2.028734111328125
29,CIFAR100,feddecorr,0,0,100,0.01,2,299,0.3185,0.37174,0.4057,0.48222,3.1994310546875,2.793064697265625,2.36396484375,2.0047992578125
30,CIFAR100,feddecorr,0,0,100,0.01,2,309,0.3021,0.35856,0.4089,0.48724,3.16992958984375,2.794430068359375,2.34953642578125,1.97957
31,CIFAR100,feddecorr,0,0,100,0.01,2,319,0.3683,0.43776,0.4136,0.4934,2.80094765625,2.326331064453125,2.332566015625,1.948752802734375
32,CIFAR100,feddecorr,0,0,100,0.01,2,329,0.3182,0.37814,0.4168,0.49694,3.2875806640625,2.81408185546875,2.32200546875,1.9361096826171875
33,CIFAR100,feddecorr,0,0,100,0.01,2,339,0.333,0.3907,0.42,0.5022,3.37297392578125,2.858875595703125,2.31104970703125,1.91904642578125
34,CIFAR100,feddecorr,0,0,100,0.01,2,349,0.3198,0.3782,0.4214,0.5029,3.19803955078125,2.74305091796875,2.3047951171875,1.911784375
35,CIFAR100,feddecorr,0,0,100,0.01,2,359,0.2889,0.3436,0.4238,0.5081,3.514273828125,3.02308904296875,2.29206005859375,1.894315869140625
36,CIFAR100,feddecorr,0,0,100,0.01,2,369,0.3332,0.3917,0.4249,0.51254,3.122111328125,2.654703349609375,2.2772330078125,1.8663319580078126
37,CIFAR100,feddecorr,0,0,100,0.01,2,379,0.3225,0.38326,0.4277,0.51522,3.31575771484375,2.86758177734375,2.26700458984375,1.8526557177734375
38,CIFAR100,feddecorr,0,0,100,0.01,2,389,0.3347,0.39786,0.4308,0.51842,3.18725341796875,2.705886220703125,2.255165625,1.840713916015625
39,CIFAR100,feddecorr,0,0,100,0.01,2,399,0.3538,0.42232,0.4365,0.524,3.0698705078125,2.515255400390625,2.24270908203125,1.8207918408203125
40,CIFAR100,feddecorr,0,0,100,0.01,2,409,0.3737,0.46438,0.4393,0.52762,3.0031138671875,2.3582956298828126,2.23296708984375,1.7971448974609374
41,CIFAR100,feddecorr,0,0,100,0.01,2,419,0.309,0.37304,0.4393,0.53208,3.245546875,2.78997708984375,2.2250619140625,1.7853098095703126
42,CIFAR100,feddecorr,0,0,100,0.01,2,429,0.3831,0.45586,0.4391,0.5347,2.80270166015625,2.26569333984375,2.2172724609375,1.77548486328125
43,CIFAR100,feddecorr,0,0,100,0.01,2,439,0.3844,0.4738,0.4378,0.53764,2.7211375,2.165235244140625,2.20990380859375,1.760876708984375
44,CIFAR100,feddecorr,0,0,100,0.01,2,449,0.3464,0.40928,0.4406,0.54124,3.24296083984375,2.691406123046875,2.20556123046875,1.7372159375
45,CIFAR100,feddecorr,0,0,100,0.01,2,459,0.3443,0.40424,0.4399,0.54268,3.050754296875,2.561926474609375,2.20180947265625,1.73344484375
