,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,feddecorr,0,0,100,0.01,4,9,0.0547,0.05306,0.0115,0.01434,4.1745873046875,4.16522234375,4.604465625,4.604524765625
1,CIFAR100,feddecorr,0,0,100,0.01,4,19,0.0847,0.08518,0.0228,0.0231,4.06696982421875,4.053221044921875,4.593279296875,4.592957734375
2,CIFAR100,feddecorr,0,0,100,0.01,4,29,0.1014,0.10356,0.0431,0.04352,3.89593955078125,3.8758055859375,4.5650736328125,4.56435123046875
3,CIFAR100,feddecorr,0,0,100,0.01,4,39,0.1564,0.16244,0.0723,0.07556,3.57058291015625,3.52789041015625,4.505005859375,4.50352404296875
4,CIFAR100,feddecorr,0,0,100,0.01,4,49,0.1875,0.19272,0.099,0.10106,3.4346197265625,3.381152109375,4.4409150390625,4.4382235546875
5,CIFAR100,feddecorr,0,0,100,0.01,4,59,0.1704,0.1802,0.1246,0.12774,3.79047451171875,3.69069982421875,4.375954296875,4.37179943359375
6,CIFAR100,feddecorr,0,0,100,0.01,4,69,0.2291,0.24358,0.1464,0.1497,3.33439443359375,3.230106396484375,4.31214375,4.306119921875
7,CIFAR100,feddecorr,0,0,100,0.01,4,79,0.2046,0.21872,0.1865,0.18998,3.72490087890625,3.56964478515625,4.1646486328125,4.1538305078125
8,CIFAR100,feddecorr,0,0,100,0.01,4,89,0.2387,0.25932,0.2165,0.22724,3.422497265625,3.268670234375,4.0542939453125,4.03812984375
9,CIFAR100,feddecorr,0,0,100,0.01,4,99,0.2427,0.26138,0.255,0.26936,3.539558984375,3.3407526171875,3.7652767578125,3.734767421875
10,CIFAR100,feddecorr,0,0,100,0.01,4,109,0.2792,0.31042,0.2747,0.29346,3.186969140625,2.975947255859375,3.6450076171875,3.60432521484375
11,CIFAR100,feddecorr,0,0,100,0.01,4,119,0.2567,0.2866,0.2946,0.32106,3.68568134765625,3.415489306640625,3.4530888671875,3.394747666015625
12,CIFAR100,feddecorr,0,0,100,0.01,4,129,0.2638,0.29422,0.3043,0.33534,3.3986123046875,3.165257587890625,3.35437158203125,3.284701337890625
13,CIFAR100,feddecorr,0,0,100,0.01,4,139,0.3239,0.368,0.3151,0.35464,2.927376171875,2.628906943359375,3.25565126953125,3.171423564453125
14,CIFAR100,feddecorr,0,0,100,0.01,4,149,0.266,0.3034,0.3283,0.36988,3.7202310546875,3.40519994140625,3.18055048828125,3.084468671875
15,CIFAR100,feddecorr,0,0,100,0.01,4,159,0.277,0.3067,0.3365,0.3822,3.64792431640625,3.335339677734375,3.140550390625,3.03607740234375
16,CIFAR100,feddecorr,0,0,100,0.01,4,169,0.2994,0.33772,0.3432,0.38982,3.3329126953125,3.014549052734375,3.06326953125,2.948036650390625
17,CIFAR100,feddecorr,0,0,100,0.01,4,179,0.2802,0.32364,0.3516,0.4015,3.771835546875,3.352725546875,2.90827197265625,2.768737119140625
18,CIFAR100,feddecorr,0,0,100,0.01,4,189,0.3249,0.38484,0.3593,0.40896,3.0864380859375,2.67494044921875,2.8698736328125,2.719677138671875
19,CIFAR100,feddecorr,0,0,100,0.01,4,199,0.3102,0.36584,0.3663,0.42172,3.4206708984375,2.954051962890625,2.73165556640625,2.54984669921875
20,CIFAR100,feddecorr,0,0,100,0.01,4,209,0.3,0.35104,0.3732,0.43416,3.29154765625,2.87234486328125,2.6268466796875,2.414651630859375
