,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,feddecorr,0,0,100,0.1,1,9,0.0287,0.02812,0.0139,0.01238,4.58569453125,4.5853318359375,4.603755078125,4.6037040625
1,CIFAR100,feddecorr,0,0,100,0.1,1,19,0.083,0.08562,0.064,0.06632,3.98189453125,3.970571767578125,4.3456916015625,4.3421903125
2,CIFAR100,feddecorr,0,0,100,0.1,1,29,0.1253,0.12134,0.0962,0.097,3.74499453125,3.730037041015625,3.99835703125,3.98960185546875
3,CIFAR100,feddecorr,0,0,100,0.1,1,39,0.1652,0.16606,0.1328,0.13364,3.527873046875,3.49779611328125,3.74336513671875,3.7258442578125
4,CIFAR100,feddecorr,0,0,100,0.1,1,49,0.1921,0.19514,0.1727,0.17674,3.37246943359375,3.32386951171875,3.49786220703125,3.46699306640625
5,CIFAR100,feddecorr,0,0,100,0.1,1,59,0.2239,0.23296,0.21,0.21402,3.20205732421875,3.135742158203125,3.2975236328125,3.250050576171875
6,CIFAR100,feddecorr,0,0,100,0.1,1,69,0.2463,0.26444,0.2323,0.24434,3.08865185546875,2.988283408203125,3.1675341796875,3.099512841796875
7,CIFAR100,feddecorr,0,0,100,0.1,1,79,0.2735,0.29824,0.2569,0.27688,2.94914208984375,2.81702708984375,3.030622265625,2.9333473828125
8,CIFAR100,feddecorr,0,0,100,0.1,1,89,0.2911,0.32494,0.2852,0.31138,2.8787541015625,2.699445146484375,2.8997265625,2.7650041015625
9,CIFAR100,feddecorr,0,0,100,0.1,1,99,0.3108,0.3515,0.3095,0.34252,2.81810625,2.59465478515625,2.80275625,2.626533701171875
10,CIFAR100,feddecorr,0,0,100,0.1,1,109,0.3256,0.37594,0.3276,0.37054,2.7549744140625,2.47225271484375,2.7204376953125,2.49350994140625
11,CIFAR100,feddecorr,0,0,100,0.1,1,119,0.3424,0.3977,0.3425,0.39168,2.6893751953125,2.3613053125,2.66011357421875,2.38689658203125
12,CIFAR100,feddecorr,0,0,100,0.1,1,129,0.3545,0.41766,0.3545,0.41432,2.68783349609375,2.286022685546875,2.6110466796875,2.279672373046875
13,CIFAR100,feddecorr,0,0,100,0.1,1,139,0.3612,0.436,0.3649,0.43704,2.64647841796875,2.195527314453125,2.579359375,2.17934412109375
14,CIFAR100,feddecorr,0,0,100,0.1,1,149,0.3712,0.45436,0.3784,0.45596,2.615835546875,2.1272871337890624,2.55461943359375,2.09530818359375
15,CIFAR100,feddecorr,0,0,100,0.1,1,159,0.3781,0.46744,0.3863,0.47244,2.62395302734375,2.0610691796875,2.525512109375,2.017512021484375
16,CIFAR100,feddecorr,0,0,100,0.1,1,169,0.3841,0.48402,0.3943,0.49008,2.60650302734375,1.984758232421875,2.51395166015625,1.94207669921875
17,CIFAR100,feddecorr,0,0,100,0.1,1,179,0.3743,0.47582,0.4003,0.5061,2.68585810546875,2.0373188623046876,2.5069005859375,1.8771342724609374
18,CIFAR100,feddecorr,0,0,100,0.1,1,189,0.386,0.4999,0.4029,0.51934,2.65060234375,1.9180834619140625,2.50175341796875,1.81904583984375
19,CIFAR100,feddecorr,0,0,100,0.1,1,199,0.3883,0.5101,0.4046,0.52938,2.61843173828125,1.8706234033203124,2.49739296875,1.7686305712890624
20,CIFAR100,feddecorr,0,0,100,0.1,1,209,0.3975,0.52192,0.4052,0.54058,2.6017154296875,1.805971943359375,2.48249501953125,1.7195573388671874
21,CIFAR100,feddecorr,0,0,100,0.1,1,219,0.4039,0.54448,0.4089,0.55266,2.54133916015625,1.7059926513671875,2.47632578125,1.6641532958984375
22,CIFAR100,feddecorr,0,0,100,0.1,1,229,0.3977,0.53652,0.4096,0.5613,2.625791796875,1.7535715478515626,2.48076396484375,1.633395419921875
23,CIFAR100,feddecorr,0,0,100,0.1,1,239,0.4005,0.5411,0.4118,0.57018,2.6376552734375,1.7360632666015625,2.4823216796875,1.5907273046875
24,CIFAR100,feddecorr,0,0,100,0.1,1,249,0.3987,0.54554,0.4154,0.57936,2.64929638671875,1.7086420166015626,2.4736734375,1.5519104345703125
25,CIFAR100,feddecorr,0,0,100,0.1,1,259,0.4086,0.57472,0.4174,0.58704,2.58032080078125,1.5771740576171875,2.473881640625,1.5156793505859374
26,CIFAR100,feddecorr,0,0,100,0.1,1,269,0.4182,0.5812,0.4214,0.59656,2.57924287109375,1.5569651513671876,2.47869072265625,1.4816821337890624
27,CIFAR100,feddecorr,0,0,100,0.1,1,279,0.4175,0.5824,0.4251,0.60374,2.5713580078125,1.541601767578125,2.4836462890625,1.453170615234375
28,CIFAR100,feddecorr,0,0,100,0.1,1,289,0.4182,0.59026,0.4269,0.61016,2.59507021484375,1.5117301171875,2.4814232421875,1.418639501953125
