,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,feddecorr,0,0,100,0.1,3,9,0.0242,0.0247,0.0251,0.02542,4.4685314453125,4.469013046875,4.591621484375,4.5917265234375
1,CIFAR100,feddecorr,0,0,100,0.1,3,19,0.0784,0.07748,0.061,0.05836,4.04232353515625,4.03256373046875,4.3465736328125,4.34520763671875
2,CIFAR100,feddecorr,0,0,100,0.1,3,29,0.1093,0.10522,0.0926,0.0919,3.853600390625,3.843023779296875,4.02989482421875,4.022977099609375
3,CIFAR100,feddecorr,0,0,100,0.1,3,39,0.1364,0.13178,0.117,0.11246,3.70052109375,3.68517759765625,3.8381099609375,3.82919958984375
4,CIFAR100,feddecorr,0,0,100,0.1,3,49,0.1648,0.16448,0.1415,0.14234,3.55098671875,3.519094775390625,3.6951134765625,3.678978916015625
5,CIFAR100,feddecorr,0,0,100,0.1,3,59,0.1867,0.1917,0.1753,0.17338,3.4121552734375,3.366890732421875,3.51689453125,3.486209638671875
6,CIFAR100,feddecorr,0,0,100,0.1,3,69,0.2106,0.21874,0.1941,0.20206,3.300557421875,3.24033740234375,3.3765607421875,3.331124501953125
7,CIFAR100,feddecorr,0,0,100,0.1,3,79,0.2306,0.24182,0.2191,0.22792,3.19164072265625,3.110677587890625,3.26244453125,3.19679951171875
8,CIFAR100,feddecorr,0,0,100,0.1,3,89,0.2599,0.2739,0.2444,0.25748,3.065833203125,2.953488564453125,3.13602978515625,3.049986533203125
9,CIFAR100,feddecorr,0,0,100,0.1,3,99,0.2737,0.29328,0.268,0.28362,2.9829390625,2.857447646484375,3.03556923828125,2.927102724609375
10,CIFAR100,feddecorr,0,0,100,0.1,3,109,0.2946,0.31988,0.2893,0.31042,2.89084716796875,2.72130361328125,2.92536318359375,2.78259583984375
11,CIFAR100,feddecorr,0,0,100,0.1,3,119,0.3071,0.33942,0.3059,0.33464,2.84357158203125,2.632326240234375,2.84566220703125,2.667044833984375
12,CIFAR100,feddecorr,0,0,100,0.1,3,129,0.3197,0.3638,0.3169,0.35934,2.77556953125,2.52241609375,2.770752734375,2.5508605078125
13,CIFAR100,feddecorr,0,0,100,0.1,3,139,0.3342,0.3822,0.3356,0.37932,2.7176171875,2.432444775390625,2.70520771484375,2.443286640625
14,CIFAR100,feddecorr,0,0,100,0.1,3,149,0.3454,0.40266,0.3481,0.39946,2.67185068359375,2.32828734375,2.64624892578125,2.338977529296875
15,CIFAR100,feddecorr,0,0,100,0.1,3,159,0.3552,0.41878,0.3564,0.41656,2.628144140625,2.249583154296875,2.6111986328125,2.27244330078125
16,CIFAR100,feddecorr,0,0,100,0.1,3,169,0.365,0.43596,0.3709,0.43542,2.607887890625,2.172226064453125,2.5648806640625,2.17417548828125
17,CIFAR100,feddecorr,0,0,100,0.1,3,179,0.3758,0.45578,0.3799,0.45462,2.585747265625,2.08924576171875,2.53068955078125,2.0829611328125
