,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,feddecorr,0,0.3,100,0.01,3,9,0.0496,0.04788,0.0126,0.0131,4.5420591796875,4.5352866015625,4.6033310546875,4.603169296875
1,CIFAR100,feddecorr,0,0.3,100,0.01,3,19,0.0736,0.07428,0.0234,0.02316,4.03708212890625,4.010833798828125,4.5911666015625,4.5907498828125
2,CIFAR100,feddecorr,0,0.3,100,0.01,3,29,0.0838,0.09024,0.0347,0.03502,4.357394921875,4.336138359375,4.5538341796875,4.5527387109375
3,CIFAR100,feddecorr,0,0.3,100,0.01,3,39,0.0772,0.08154,0.0626,0.06328,4.9712310546875,4.93953361328125,4.4943330078125,4.4923475390625
4,CIFAR100,feddecorr,0,0.3,100,0.01,3,49,0.097,0.10166,0.0927,0.09188,4.7898107421875,4.7566596484375,4.442280078125,4.43951189453125
5,CIFAR100,feddecorr,0,0.3,100,0.01,3,59,0.1057,0.11016,0.1281,0.12862,4.9007044921875,4.77106228515625,4.3733546875,4.36883701171875
6,CIFAR100,feddecorr,0,0.3,100,0.01,3,69,0.1006,0.10514,0.1546,0.15594,5.1703283203125,5.10252966796875,4.3126796875,4.30603609375
7,CIFAR100,feddecorr,0,0.3,100,0.01,3,79,0.132,0.14068,0.1906,0.19566,4.7058466796875,4.5831277734375,4.1766962890625,4.16514181640625
8,CIFAR100,feddecorr,0,0.3,100,0.01,3,89,0.1444,0.15266,0.2131,0.22148,4.484651171875,4.3485886328125,4.0836333984375,4.067662734375
9,CIFAR100,feddecorr,0,0.3,100,0.01,3,99,0.1923,0.2064,0.2301,0.24182,3.8382404296875,3.6663478125,3.9649,3.9422395703125
10,CIFAR100,feddecorr,0,0.3,100,0.01,3,109,0.2021,0.22294,0.2699,0.28266,3.81287109375,3.561617255859375,3.70310537109375,3.6624355859375
11,CIFAR100,feddecorr,0,0.3,100,0.01,3,119,0.2239,0.24192,0.2876,0.316,3.51927646484375,3.314436083984375,3.3926904296875,3.325696630859375
12,CIFAR100,feddecorr,0,0.3,100,0.01,3,129,0.1726,0.19158,0.3056,0.33654,4.824396875,4.55361638671875,3.1530046875,3.05851845703125
13,CIFAR100,feddecorr,0,0.3,100,0.01,3,139,0.192,0.2059,0.3131,0.35078,4.541359765625,4.29428474609375,3.088025390625,2.980183017578125
14,CIFAR100,feddecorr,0,0.3,100,0.01,3,149,0.1705,0.18538,0.3219,0.36116,4.97536953125,4.68840138671875,2.94974736328125,2.8199303125
15,CIFAR100,feddecorr,0,0.3,100,0.01,3,159,0.2387,0.26064,0.3249,0.36642,3.4005716796875,3.12365197265625,2.8978501953125,2.756784404296875
16,CIFAR100,feddecorr,0,0.3,100,0.01,3,169,0.1936,0.22278,0.3341,0.37786,4.57283046875,4.290748603515625,2.825224609375,2.667381240234375
17,CIFAR100,feddecorr,0,0.3,100,0.01,3,179,0.2765,0.3163,0.3401,0.38838,3.36517705078125,3.010177158203125,2.77412900390625,2.60207767578125
