,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,feddecorr,0,0.3,100,0.01,4,9,0.0402,0.0419,0.0104,0.01024,4.488636328125,4.47886984375,4.604197265625,4.6041753515625
1,CIFAR100,feddecorr,0,0.3,100,0.01,4,19,0.0541,0.05456,0.0184,0.01946,5.011709765625,4.99783931640625,4.5931064453125,4.59305404296875
2,CIFAR100,feddecorr,0,0.3,100,0.01,4,29,0.0503,0.05054,0.0327,0.0331,5.070666796875,5.03857935546875,4.5659630859375,4.5655740234375
3,CIFAR100,feddecorr,0,0.3,100,0.01,4,39,0.108,0.1096,0.0589,0.05658,3.96911484375,3.939364150390625,4.507949609375,4.5067879296875
4,CIFAR100,feddecorr,0,0.3,100,0.01,4,49,0.0894,0.09422,0.0842,0.0806,4.07946201171875,4.0533489453125,4.4428328125,4.44075828125
5,CIFAR100,feddecorr,0,0.3,100,0.01,4,59,0.0869,0.0902,0.1091,0.10554,4.2393849609375,4.20984091796875,4.376603125,4.373098125
6,CIFAR100,feddecorr,0,0.3,100,0.01,4,69,0.1678,0.17606,0.1272,0.12466,3.5740720703125,3.508970888671875,4.3084654296875,4.3036851171875
7,CIFAR100,feddecorr,0,0.3,100,0.01,4,79,0.123,0.12862,0.1665,0.16464,4.52517265625,4.424060234375,4.15277734375,4.14489134765625
8,CIFAR100,feddecorr,0,0.3,100,0.01,4,89,0.1592,0.16584,0.194,0.1948,4.3839453125,4.30017921875,4.04284951171875,4.0314282421875
9,CIFAR100,feddecorr,0,0.3,100,0.01,4,99,0.1679,0.17832,0.2273,0.23434,4.2374052734375,4.132907578125,3.7608498046875,3.738831044921875
10,CIFAR100,feddecorr,0,0.3,100,0.01,4,109,0.2026,0.22014,0.2511,0.26064,3.59581806640625,3.4333573828125,3.6371501953125,3.608104375
11,CIFAR100,feddecorr,0,0.3,100,0.01,4,119,0.1805,0.18868,0.2698,0.29022,4.0440865234375,3.90261333984375,3.46855361328125,3.4281612109375
12,CIFAR100,feddecorr,0,0.3,100,0.01,4,129,0.137,0.15288,0.2831,0.30578,5.063819140625,4.8145576171875,3.3716865234375,3.324081083984375
13,CIFAR100,feddecorr,0,0.3,100,0.01,4,139,0.2682,0.2939,0.3017,0.32372,3.07328095703125,2.861282255859375,3.27544208984375,3.218454970703125
14,CIFAR100,feddecorr,0,0.3,100,0.01,4,149,0.194,0.2156,0.314,0.33878,3.909719921875,3.68842048828125,3.21347822265625,3.14776484375
15,CIFAR100,feddecorr,0,0.3,100,0.01,4,159,0.2019,0.22288,0.3206,0.35004,4.3515193359375,4.09965916015625,3.18175234375,3.108069814453125
16,CIFAR100,feddecorr,0,0.3,100,0.01,4,169,0.169,0.19064,0.3274,0.35986,4.863275,4.582973046875,3.111327734375,3.029006708984375
17,CIFAR100,feddecorr,0,0.3,100,0.01,4,179,0.1843,0.20324,0.3381,0.37424,4.6967291015625,4.414237626953125,2.9673552734375,2.86844466796875
18,CIFAR100,feddecorr,0,0.3,100,0.01,4,189,0.2581,0.29066,0.345,0.38148,3.44143818359375,3.14478037109375,2.92985712890625,2.823956474609375
19,CIFAR100,feddecorr,0,0.3,100,0.01,4,199,0.2119,0.233,0.3573,0.3985,4.4959494140625,4.1764653125,2.786681640625,2.65870009765625
