,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,feddecorr,0,0.3,100,0.01,2,9,0.0323,0.03296,0.0113,0.0108,4.7613236328125,4.75150609375,4.6029509765625,4.602824296875
1,CIFAR100,feddecorr,0,0.3,100,0.01,2,19,0.0441,0.04468,0.0124,0.01278,4.3849392578125,4.3762846875,4.5890693359375,4.58894529296875
2,CIFAR100,feddecorr,0,0.3,100,0.01,2,29,0.0424,0.04474,0.0218,0.02202,4.743728515625,4.72203908203125,4.555234375,4.55511265625
3,CIFAR100,feddecorr,0,0.3,100,0.01,2,39,0.0634,0.06522,0.0325,0.03396,4.5251521484375,4.51374583984375,4.51391171875,4.513452578125
4,CIFAR100,feddecorr,0,0.3,100,0.01,2,49,0.074,0.0747,0.051,0.05152,4.8128587890625,4.77519005859375,4.4686662109375,4.46772478515625
5,CIFAR100,feddecorr,0,0.3,100,0.01,2,59,0.0895,0.09306,0.0771,0.07784,4.30881875,4.2749576171875,4.3851337890625,4.3828751953125
6,CIFAR100,feddecorr,0,0.3,100,0.01,2,69,0.1296,0.13466,0.0971,0.10464,3.80089560546875,3.76350572265625,4.274519921875,4.27007234375
7,CIFAR100,feddecorr,0,0.3,100,0.01,2,79,0.1737,0.18054,0.1268,0.13628,3.4783263671875,3.434970126953125,4.12704765625,4.1196309765625
8,CIFAR100,feddecorr,0,0.3,100,0.01,2,89,0.1182,0.12326,0.1517,0.15754,4.5599599609375,4.5041719140625,4.0239541015625,4.013861025390625
9,CIFAR100,feddecorr,0,0.3,100,0.01,2,99,0.2234,0.23072,0.1794,0.1854,3.17494951171875,3.10383970703125,3.926242578125,3.912614375
10,CIFAR100,feddecorr,0,0.3,100,0.01,2,109,0.1513,0.15888,0.2018,0.20796,4.3052216796875,4.19219478515625,3.817292578125,3.79985017578125
11,CIFAR100,feddecorr,0,0.3,100,0.01,2,119,0.1854,0.1967,0.224,0.23052,3.5801078125,3.47385291015625,3.6474830078125,3.62418341796875
12,CIFAR100,feddecorr,0,0.3,100,0.01,2,129,0.2428,0.25906,0.2475,0.25858,3.137521875,3.009488857421875,3.4983412109375,3.467400712890625
13,CIFAR100,feddecorr,0,0.3,100,0.01,2,139,0.1586,0.17122,0.2621,0.27392,3.90647333984375,3.789594794921875,3.383956640625,3.34678759765625
14,CIFAR100,feddecorr,0,0.3,100,0.01,2,149,0.1714,0.18838,0.2813,0.29232,3.94561318359375,3.806361943359375,3.3012609375,3.256965703125
15,CIFAR100,feddecorr,0,0.3,100,0.01,2,159,0.1636,0.16804,0.2928,0.30816,4.2802283203125,4.12618341796875,3.18732236328125,3.13363275390625
16,CIFAR100,feddecorr,0,0.3,100,0.01,2,169,0.1856,0.1999,0.3119,0.33138,3.9751900390625,3.821019091796875,2.9561224609375,2.882111787109375
17,CIFAR100,feddecorr,0,0.3,100,0.01,2,179,0.2093,0.22076,0.3218,0.34222,3.82317841796875,3.641758642578125,2.91626015625,2.83489634765625
18,CIFAR100,feddecorr,0,0.3,100,0.01,2,189,0.2597,0.28134,0.3326,0.35964,3.268590234375,3.0700197265625,2.806825,2.708030830078125
19,CIFAR100,feddecorr,0,0.3,100,0.01,2,199,0.2673,0.30114,0.3439,0.37646,3.15910732421875,2.9189507421875,2.71289150390625,2.595945205078125
20,CIFAR100,feddecorr,0,0.3,100,0.01,2,209,0.2043,0.21992,0.3505,0.38564,3.9089314453125,3.649326923828125,2.67007783203125,2.541020341796875
21,CIFAR100,feddecorr,0,0.3,100,0.01,2,219,0.2101,0.23278,0.3576,0.3962,3.599196875,3.3888491015625,2.6342189453125,2.49242650390625
22,CIFAR100,feddecorr,0,0.3,100,0.01,2,229,0.1937,0.21718,0.3638,0.4068,4.0976984375,3.832652802734375,2.589509765625,2.432495166015625
