,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,feddecorr,0,0.3,100,0.1,1,9,0.0768,0.07562,0.0508,0.05024,4.02239091796875,4.01576408203125,4.5017978515625,4.50041072265625
1,CIFAR100,feddecorr,0,0.3,100,0.1,1,19,0.1307,0.13244,0.1222,0.12356,3.6619294921875,3.641983291015625,4.02844521484375,4.019932998046875
2,CIFAR100,feddecorr,0,0.3,100,0.1,1,29,0.155,0.16116,0.1599,0.16084,3.4539904296875,3.41443779296875,3.65243232421875,3.6338785546875
3,CIFAR100,feddecorr,0,0.3,100,0.1,1,39,0.2093,0.21586,0.1985,0.2064,3.2193244140625,3.16503466796875,3.37498857421875,3.34221451171875
4,CIFAR100,feddecorr,0,0.3,100,0.1,1,49,0.2177,0.23098,0.2373,0.2488,3.174985546875,3.0719837890625,3.12832373046875,3.066289228515625
5,CIFAR100,feddecorr,0,0.3,100,0.1,1,59,0.2433,0.26568,0.2676,0.28428,3.06435537109375,2.9113441796875,2.97897578125,2.8691551953125
6,CIFAR100,feddecorr,0,0.3,100,0.1,1,69,0.2673,0.2962,0.2879,0.3093,2.983598046875,2.7816991015625,2.88410888671875,2.734875869140625
7,CIFAR100,feddecorr,0,0.3,100,0.1,1,79,0.2871,0.32142,0.3072,0.33762,2.92057080078125,2.6576751953125,2.7988455078125,2.59867005859375
8,CIFAR100,feddecorr,0,0.3,100,0.1,1,89,0.2903,0.32972,0.3215,0.36376,2.97225205078125,2.646116591796875,2.7378115234375,2.47514595703125
9,CIFAR100,feddecorr,0,0.3,100,0.1,1,99,0.3055,0.36374,0.3257,0.3821,2.86412666015625,2.487794697265625,2.70014892578125,2.38247560546875
10,CIFAR100,feddecorr,0,0.3,100,0.1,1,109,0.3027,0.36272,0.3381,0.4022,2.92012177734375,2.484714970703125,2.6718521484375,2.28905224609375
11,CIFAR100,feddecorr,0,0.3,100,0.1,1,119,0.3094,0.37398,0.3445,0.41694,2.88324296875,2.401100634765625,2.6535,2.2207371875
12,CIFAR100,feddecorr,0,0.3,100,0.1,1,129,0.3288,0.40718,0.3507,0.43056,2.8203599609375,2.28060947265625,2.6350740234375,2.148043955078125
13,CIFAR100,feddecorr,0,0.3,100,0.1,1,139,0.3298,0.41238,0.3568,0.4483,2.80216767578125,2.2461308203125,2.61062587890625,2.07705583984375
14,CIFAR100,feddecorr,0,0.3,100,0.1,1,149,0.3412,0.42998,0.3646,0.46256,2.76062333984375,2.16554419921875,2.59950341796875,2.020544619140625
15,CIFAR100,feddecorr,0,0.3,100,0.1,1,159,0.3514,0.43664,0.3688,0.47234,2.7977365234375,2.143195400390625,2.587174609375,1.969361044921875
16,CIFAR100,feddecorr,0,0.3,100,0.1,1,169,0.3539,0.45372,0.3774,0.48414,2.738146484375,2.056995595703125,2.577728515625,1.9192435302734374
17,CIFAR100,feddecorr,0,0.3,100,0.1,1,179,0.3222,0.41112,0.3804,0.49494,2.95061455078125,2.265215703125,2.5640830078125,1.8716613427734374
18,CIFAR100,feddecorr,0,0.3,100,0.1,1,189,0.3547,0.4599,0.3818,0.504,2.77764921875,2.029166533203125,2.55428779296875,1.8321777197265625
19,CIFAR100,feddecorr,0,0.3,100,0.1,1,199,0.3564,0.46468,0.3864,0.51392,2.7858974609375,2.02514021484375,2.545806640625,1.799696328125
20,CIFAR100,feddecorr,0,0.3,100,0.1,1,209,0.3514,0.4664,0.3855,0.52154,2.7804560546875,2.0091119140625,2.538433203125,1.7706164306640626
21,CIFAR100,feddecorr,0,0.3,100,0.1,1,219,0.3686,0.48958,0.3884,0.5256,2.67468212890625,1.8723468603515625,2.532573828125,1.735442265625
22,CIFAR100,feddecorr,0,0.3,100,0.1,1,229,0.3501,0.46526,0.3921,0.53252,2.7833828125,1.9868683935546876,2.52675556640625,1.7118100634765625
23,CIFAR100,feddecorr,0,0.3,100,0.1,1,239,0.3536,0.46246,0.3939,0.53608,2.815271875,2.01000359375,2.5215638671875,1.6905506982421874
24,CIFAR100,feddecorr,0,0.3,100,0.1,1,249,0.3503,0.46504,0.397,0.53906,2.82737431640625,1.9963816064453126,2.5067798828125,1.6692096044921876
25,CIFAR100,feddecorr,0,0.3,100,0.1,1,259,0.3719,0.5098,0.3959,0.54632,2.67573603515625,1.799542275390625,2.50065546875,1.6426652490234375
26,CIFAR100,feddecorr,0,0.3,100,0.1,1,269,0.3765,0.51218,0.4025,0.55252,2.66114609375,1.7890221728515625,2.48489306640625,1.6177490478515626
27,CIFAR100,feddecorr,0,0.3,100,0.1,1,279,0.381,0.51988,0.4023,0.55644,2.63247099609375,1.7562440283203125,2.4794423828125,1.600533291015625
28,CIFAR100,feddecorr,0,0.3,100,0.1,1,289,0.3687,0.50872,0.4012,0.56166,2.7120408203125,1.805678193359375,2.47193525390625,1.5807310400390624
29,CIFAR100,feddecorr,0,0.3,100,0.1,1,299,0.3656,0.49594,0.4053,0.5642,2.7734560546875,1.8534300830078125,2.47182158203125,1.56171599609375
30,CIFAR100,feddecorr,0,0.3,100,0.1,1,309,0.3786,0.52872,0.4107,0.5684,2.6468568359375,1.7122717822265625,2.46840439453125,1.546639130859375
31,CIFAR100,feddecorr,0,0.3,100,0.1,1,319,0.3911,0.53678,0.4077,0.57512,2.60607568359375,1.6708825537109375,2.4581041015625,1.5272685400390624
32,CIFAR100,feddecorr,0,0.3,100,0.1,1,329,0.3879,0.54024,0.4123,0.5781,2.63046298828125,1.6641835595703125,2.45963994140625,1.50822017578125
33,CIFAR100,feddecorr,0,0.3,100,0.1,1,339,0.3854,0.53778,0.4158,0.58258,2.640205078125,1.667974833984375,2.45600712890625,1.48920705078125
34,CIFAR100,feddecorr,0,0.3,100,0.1,1,349,0.4031,0.5579,0.4181,0.58708,2.56321240234375,1.58396291015625,2.4504455078125,1.4738191748046876
35,CIFAR100,feddecorr,0,0.3,100,0.1,1,359,0.4005,0.55808,0.4194,0.59248,2.5494205078125,1.56403138671875,2.435890234375,1.4562530322265625
36,CIFAR100,feddecorr,0,0.3,100,0.1,1,369,0.3802,0.52304,0.4206,0.59436,2.70773955078125,1.75090939453125,2.43093779296875,1.4491698193359375
37,CIFAR100,feddecorr,0,0.3,100,0.1,1,379,0.3881,0.53882,0.4156,0.59154,2.650434375,1.689887880859375,2.42710537109375,1.4685373291015624
38,CIFAR100,feddecorr,0,0.3,100,0.1,1,389,0.4006,0.5648,0.4195,0.59398,2.560643359375,1.5720850244140625,2.43786279296875,1.45371611328125
39,CIFAR100,feddecorr,0,0.3,100,0.1,1,399,0.3917,0.55094,0.4204,0.5986,2.6129666015625,1.6199381494140626,2.43704765625,1.4418392529296875
40,CIFAR100,feddecorr,0,0.3,100,0.1,1,409,0.4004,0.56254,0.4228,0.6015,2.58442099609375,1.5703168017578124,2.428472265625,1.4241592236328124
41,CIFAR100,feddecorr,0,0.3,100,0.1,1,419,0.3872,0.54698,0.4234,0.60656,2.683384765625,1.6402854345703124,2.428948046875,1.41207890625
42,CIFAR100,feddecorr,0,0.3,100,0.1,1,429,0.3956,0.55274,0.426,0.60708,2.61579462890625,1.6138872802734374,2.41705927734375,1.4032793798828125
43,CIFAR100,feddecorr,0,0.3,100,0.1,1,439,0.3957,0.56422,0.4254,0.60824,2.56716884765625,1.569384033203125,2.408243359375,1.3955209619140625
