,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,feddyn,0,0,100,0.1,1,9,0.1479,0.1502,0.0982,0.10102,3.6509861328125,3.61370630859375,4.3593462890625,4.3545300390625
1,CIFAR100,feddyn,0,0,100,0.1,1,19,0.2137,0.22834,0.1994,0.20822,3.3817341796875,3.22959314453125,3.582480859375,3.5282045703125
2,CIFAR100,feddyn,0,0,100,0.1,1,29,0.2321,0.2622,0.2341,0.2533,3.47647333984375,3.131458818359375,3.2503197265625,3.09242201171875
3,CIFAR100,feddyn,0,0,100,0.1,1,39,0.2404,0.2953,0.2489,0.2927,3.629593359375,3.047488037109375,3.19510458984375,2.8653320703125
4,CIFAR100,feddyn,0,0,100,0.1,1,49,0.2456,0.31458,0.2613,0.32328,3.75209814453125,2.9766124609375,3.31486259765625,2.75019783203125
5,CIFAR100,feddyn,0,0,100,0.1,1,59,0.2656,0.35356,0.2693,0.35122,3.6795662109375,2.72564443359375,3.41899931640625,2.631703671875
6,CIFAR100,feddyn,0,0,100,0.1,1,69,0.2731,0.37022,0.282,0.38072,3.70996552734375,2.658582626953125,3.43802177734375,2.49528865234375
7,CIFAR100,feddyn,0,0,100,0.1,1,79,0.2836,0.39884,0.2916,0.408,3.61107978515625,2.454413056640625,3.40933193359375,2.350458935546875
8,CIFAR100,feddyn,0,0,100,0.1,1,89,0.2922,0.42374,0.3038,0.43538,3.62499541015625,2.37529244140625,3.365541015625,2.199294951171875
9,CIFAR100,feddyn,0,0,100,0.1,1,99,0.3104,0.44694,0.3137,0.46432,3.4682275390625,2.22159798828125,3.30241435546875,2.0641494287109374
10,CIFAR100,feddyn,0,0,100,0.1,1,109,0.3179,0.46874,0.3289,0.48658,3.4068568359375,2.107878798828125,3.221786328125,1.9471579931640626
11,CIFAR100,feddyn,0,0,100,0.1,1,119,0.3322,0.4856,0.3433,0.50832,3.2617046875,2.005574287109375,3.1294828125,1.8523855126953126
12,CIFAR100,feddyn,0,0,100,0.1,1,129,0.3441,0.50574,0.3527,0.52666,3.15432890625,1.904551982421875,3.03401845703125,1.7653988037109376
13,CIFAR100,feddyn,0,0,100,0.1,1,139,0.3549,0.518,0.3632,0.5466,3.048294921875,1.832856611328125,2.9442125,1.68410275390625
14,CIFAR100,feddyn,0,0,100,0.1,1,149,0.3688,0.53392,0.3744,0.55924,2.9714830078125,1.7743662451171875,2.87390634765625,1.621217099609375
