,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,feddyn,0,0,100,0.1,2,9,0.1546,0.15786,0.1182,0.12012,3.61788271484375,3.581237900390625,4.2810154296875,4.275597109375
1,CIFAR100,feddyn,0,0,100,0.1,2,19,0.2084,0.22704,0.1937,0.20482,3.41616357421875,3.234459580078125,3.5656509765625,3.515980185546875
2,CIFAR100,feddyn,0,0,100,0.1,2,29,0.2341,0.27024,0.2416,0.26392,3.47735546875,3.088933486328125,3.21398203125,3.010183388671875
3,CIFAR100,feddyn,0,0,100,0.1,2,39,0.2502,0.30218,0.2595,0.30282,3.61284580078125,2.98323876953125,3.228879296875,2.818969833984375
4,CIFAR100,feddyn,0,0,100,0.1,2,49,0.2565,0.3323,0.2664,0.332,3.65570771484375,2.840473779296875,3.2710109375,2.685210263671875
5,CIFAR100,feddyn,0,0,100,0.1,2,59,0.2643,0.35766,0.2713,0.3607,3.6988787109375,2.735873935546875,3.308610546875,2.56188248046875
6,CIFAR100,feddyn,0,0,100,0.1,2,69,0.282,0.39366,0.2828,0.39542,3.6052048828125,2.512152158203125,3.391131640625,2.423342802734375
7,CIFAR100,feddyn,0,0,100,0.1,2,79,0.2928,0.4248,0.2964,0.42704,3.55008564453125,2.328676630859375,3.3440025390625,2.2496314794921877
8,CIFAR100,feddyn,0,0,100,0.1,2,89,0.3095,0.44496,0.3125,0.45466,3.43146962890625,2.19047783203125,3.3174908203125,2.10391232421875
9,CIFAR100,feddyn,0,0,100,0.1,2,99,0.3269,0.48462,0.3285,0.48486,3.2892484375,2.0004170556640624,3.23100478515625,1.950836337890625
10,CIFAR100,feddyn,0,0,100,0.1,2,109,0.3397,0.50222,0.3399,0.51256,3.20573134765625,1.9079543359375,3.1412974609375,1.830910986328125
11,CIFAR100,feddyn,0,0,100,0.1,2,119,0.3562,0.51786,0.3554,0.53328,3.06093857421875,1.829911396484375,3.0203400390625,1.7311880029296876
12,CIFAR100,feddyn,0,0,100,0.1,2,129,0.3609,0.52666,0.367,0.54636,2.99552939453125,1.804490986328125,2.90762666015625,1.668463896484375
13,CIFAR100,feddyn,0,0,100,0.1,2,139,0.3767,0.54152,0.38,0.56306,2.91887353515625,1.732097900390625,2.820196484375,1.612705693359375
14,CIFAR100,feddyn,0,0,100,0.1,2,149,0.3859,0.55902,0.39,0.57528,2.81188837890625,1.6496653515625,2.7331583984375,1.5491246337890625
15,CIFAR100,feddyn,0,0,100,0.1,2,159,0.395,0.57206,0.4011,0.59034,2.80262802734375,1.5988931494140626,2.6680783203125,1.489020849609375
16,CIFAR100,feddyn,0,0,100,0.1,2,169,0.3996,0.5629,0.4087,0.60218,2.79041953125,1.6298635986328125,2.6282908203125,1.439118828125
17,CIFAR100,feddyn,0,0,100,0.1,2,179,0.4157,0.59662,0.4195,0.61542,2.71146767578125,1.4756261669921875,2.5925796875,1.38713166015625
18,CIFAR100,feddyn,0,0,100,0.1,2,189,0.4148,0.60228,0.4283,0.62686,2.698829296875,1.463013427734375,2.56055458984375,1.33486634765625
19,CIFAR100,feddyn,0,0,100,0.1,2,199,0.4167,0.60914,0.4321,0.63724,2.6948947265625,1.417958564453125,2.52957138671875,1.29048533203125
20,CIFAR100,feddyn,0,0,100,0.1,2,209,0.4302,0.62648,0.4347,0.64668,2.5961529296875,1.34617216796875,2.51504599609375,1.24826935546875
21,CIFAR100,feddyn,0,0,100,0.1,2,219,0.4218,0.60982,0.443,0.65572,2.67055244140625,1.418110185546875,2.488151953125,1.2076019921875
22,CIFAR100,feddyn,0,0,100,0.1,2,229,0.4377,0.64502,0.4481,0.66768,2.55156513671875,1.2625911767578124,2.4459931640625,1.162094677734375
23,CIFAR100,feddyn,0,0,100,0.1,2,239,0.442,0.65902,0.451,0.67924,2.53426552734375,1.2043242578125,2.4361302734375,1.118171669921875
24,CIFAR100,feddyn,0,0,100,0.1,2,249,0.4458,0.66138,0.4602,0.68958,2.55344501953125,1.19812728515625,2.40052470703125,1.0726938427734376
25,CIFAR100,feddyn,0,0,100,0.1,2,259,0.4458,0.658,0.4647,0.69454,2.5512166015625,1.2132556982421876,2.39343095703125,1.0574172412109375
26,CIFAR100,feddyn,0,0,100,0.1,2,269,0.4461,0.65058,0.4607,0.69912,2.534216796875,1.236619951171875,2.37884091796875,1.0441575927734374
27,CIFAR100,feddyn,0,0,100,0.1,2,279,0.4526,0.67338,0.4664,0.6994,2.463109375,1.146137998046875,2.35245966796875,1.037390458984375
28,CIFAR100,feddyn,0,0,100,0.1,2,289,0.4507,0.66772,0.4704,0.70578,2.48303701171875,1.187151640625,2.33753447265625,1.0131784033203124
29,CIFAR100,feddyn,0,0,100,0.1,2,299,0.4548,0.66842,0.4711,0.70926,2.4457287109375,1.167517734375,2.3184296875,1.007810712890625
30,CIFAR100,feddyn,0,0,100,0.1,2,309,0.4634,0.6795,0.4756,0.71308,2.44655908203125,1.1364941943359375,2.298693359375,0.9951211572265625
31,CIFAR100,feddyn,0,0,100,0.1,2,319,0.4629,0.68668,0.4754,0.716,2.41343857421875,1.103291494140625,2.2890904296875,0.987166474609375
32,CIFAR100,feddyn,0,0,100,0.1,2,329,0.4643,0.68898,0.4806,0.71978,2.44795,1.0961638745117188,2.2952263671875,0.975867900390625
33,CIFAR100,feddyn,0,0,100,0.1,2,339,0.4603,0.69002,0.4791,0.72578,2.4555748046875,1.0979656518554688,2.2998255859375,0.9478287890625
34,CIFAR100,feddyn,0,0,100,0.1,2,349,0.4651,0.70168,0.4812,0.73292,2.3939427734375,1.0425594506835938,2.29006416015625,0.9336236059570312
35,CIFAR100,feddyn,0,0,100,0.1,2,359,0.4657,0.70822,0.4802,0.73484,2.4109509765625,1.0259339892578125,2.29361357421875,0.9207472119140625
36,CIFAR100,feddyn,0,0,100,0.1,2,369,0.4594,0.69316,0.4808,0.73454,2.4135654296875,1.076022802734375,2.290021875,0.918266728515625
