,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,feddyn,0,0,100,0.1,1,9,0.1382,0.14008,0.1,0.10266,3.693303515625,3.669160361328125,4.37054296875,4.36757771484375
1,CIFAR100,feddyn,0,0,100,0.1,1,19,0.2175,0.22692,0.1955,0.20234,3.31966650390625,3.205495166015625,3.622044921875,3.58045705078125
2,CIFAR100,feddyn,0,0,100,0.1,1,29,0.2483,0.2708,0.2362,0.25256,3.2683431640625,3.006551513671875,3.2173697265625,3.096108359375
3,CIFAR100,feddyn,0,0,100,0.1,1,39,0.2665,0.31596,0.2647,0.29854,3.39709697265625,2.906835439453125,3.093125,2.8212540625
4,CIFAR100,feddyn,0,0,100,0.1,1,49,0.2817,0.34762,0.2844,0.34114,3.363669921875,2.722393193359375,3.12784130859375,2.643628203125
5,CIFAR100,feddyn,0,0,100,0.1,1,59,0.2965,0.38826,0.298,0.3811,3.32730400390625,2.52244275390625,3.17552822265625,2.491852431640625
6,CIFAR100,feddyn,0,0,100,0.1,1,69,0.3083,0.40966,0.3175,0.41178,3.36272861328125,2.43489681640625,3.17158662109375,2.346768974609375
7,CIFAR100,feddyn,0,0,100,0.1,1,79,0.3181,0.44154,0.3295,0.4462,3.2941619140625,2.235574853515625,3.152533203125,2.190536591796875
8,CIFAR100,feddyn,0,0,100,0.1,1,89,0.3315,0.4699,0.3369,0.4757,3.33928974609375,2.130348671875,3.14086083984375,2.030567958984375
9,CIFAR100,feddyn,0,0,100,0.1,1,99,0.3458,0.50036,0.3519,0.50812,3.2287390625,1.94362515625,3.0878607421875,1.875302646484375
10,CIFAR100,feddyn,0,0,100,0.1,1,109,0.3589,0.52718,0.3618,0.53526,3.1733734375,1.8167461767578126,3.0436341796875,1.73907169921875
11,CIFAR100,feddyn,0,0,100,0.1,1,119,0.3683,0.54978,0.3719,0.56264,3.0930048828125,1.7093325439453124,2.98978623046875,1.6190442529296876
12,CIFAR100,feddyn,0,0,100,0.1,1,129,0.3844,0.57532,0.3859,0.58666,3.04712763671875,1.60218818359375,2.91153681640625,1.5086854248046875
13,CIFAR100,feddyn,0,0,100,0.1,1,139,0.3928,0.58746,0.3993,0.6098,2.8646501953125,1.5121655712890625,2.839069140625,1.4190933349609376
14,CIFAR100,feddyn,0,0,100,0.1,1,149,0.4044,0.60678,0.4086,0.6246,2.788483984375,1.4319253271484376,2.75575712890625,1.34878734375
15,CIFAR100,feddyn,0,0,100,0.1,1,159,0.4167,0.61484,0.4193,0.6387,2.7710498046875,1.3976156494140626,2.6732400390625,1.2826446728515626
