,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,feddyn,0,0,100,0.1,2,9,0.1475,0.14684,0.1051,0.1055,3.67300634765625,3.643695966796875,4.3080146484375,4.30154046875
1,CIFAR100,feddyn,0,0,100,0.1,2,19,0.2132,0.22448,0.1828,0.19042,3.34115224609375,3.213736474609375,3.61902509765625,3.578801298828125
2,CIFAR100,feddyn,0,0,100,0.1,2,29,0.2419,0.27428,0.2438,0.26366,3.29281240234375,3.011537451171875,3.1799537109375,3.03330662109375
3,CIFAR100,feddyn,0,0,100,0.1,2,39,0.2725,0.3226,0.2728,0.30976,3.335828515625,2.82738935546875,3.0981572265625,2.780043369140625
4,CIFAR100,feddyn,0,0,100,0.1,2,49,0.2878,0.36174,0.2845,0.34688,3.3918044921875,2.674936279296875,3.08859453125,2.597440986328125
5,CIFAR100,feddyn,0,0,100,0.1,2,59,0.2905,0.39112,0.2972,0.38418,3.508723828125,2.58750435546875,3.12077568359375,2.44767912109375
6,CIFAR100,feddyn,0,0,100,0.1,2,69,0.3136,0.43126,0.3092,0.42686,3.39917685546875,2.339843232421875,3.20101904296875,2.2887933056640626
7,CIFAR100,feddyn,0,0,100,0.1,2,79,0.325,0.465,0.3234,0.46066,3.39169423828125,2.166761103515625,3.20433662109375,2.121467265625
8,CIFAR100,feddyn,0,0,100,0.1,2,89,0.3413,0.49364,0.3376,0.493,3.23894130859375,1.98042837890625,3.1913962890625,1.9645725634765625
9,CIFAR100,feddyn,0,0,100,0.1,2,99,0.3532,0.52534,0.3549,0.5271,3.235205859375,1.8368624072265625,3.1407453125,1.8014994091796874
10,CIFAR100,feddyn,0,0,100,0.1,2,109,0.3603,0.55178,0.3664,0.55534,3.144558203125,1.6878203466796875,3.0776298828125,1.659357900390625
11,CIFAR100,feddyn,0,0,100,0.1,2,119,0.3787,0.57248,0.3752,0.57996,3.01306826171875,1.5768386962890626,2.9852099609375,1.5346203125
12,CIFAR100,feddyn,0,0,100,0.1,2,129,0.386,0.5827,0.3875,0.59854,2.960782421875,1.5420726123046875,2.89093486328125,1.442147783203125
13,CIFAR100,feddyn,0,0,100,0.1,2,139,0.4033,0.60596,0.4017,0.61918,2.8873,1.4563695263671874,2.78947919921875,1.3637781396484374
14,CIFAR100,feddyn,0,0,100,0.1,2,149,0.4079,0.61304,0.4141,0.63166,2.7321328125,1.3915488671875,2.709050390625,1.3113639892578124
15,CIFAR100,feddyn,0,0,100,0.1,2,159,0.4245,0.62402,0.4224,0.64526,2.71395341796875,1.35971755859375,2.62684208984375,1.25649740234375
16,CIFAR100,feddyn,0,0,100,0.1,2,169,0.4136,0.61594,0.4317,0.65548,2.7340802734375,1.3945626025390625,2.57928955078125,1.2171600927734374
17,CIFAR100,feddyn,0,0,100,0.1,2,179,0.4359,0.64618,0.4421,0.66392,2.59650361328125,1.26731564453125,2.5225703125,1.1804115966796875
18,CIFAR100,feddyn,0,0,100,0.1,2,189,0.4405,0.65612,0.4492,0.67418,2.54812275390625,1.2349622265625,2.4744658203125,1.1434637475585938
19,CIFAR100,feddyn,0,0,100,0.1,2,199,0.4483,0.65526,0.4518,0.68352,2.544250390625,1.2314387255859376,2.4441359375,1.1132703735351563
20,CIFAR100,feddyn,0,0,100,0.1,2,209,0.4552,0.6737,0.4594,0.69018,2.4959875,1.157448330078125,2.42724384765625,1.0843431469726563
21,CIFAR100,feddyn,0,0,100,0.1,2,219,0.4455,0.65536,0.4696,0.69716,2.61203427734375,1.2390000146484375,2.41813212890625,1.0541454956054688
22,CIFAR100,feddyn,0,0,100,0.1,2,229,0.4625,0.68636,0.4695,0.70544,2.5174673828125,1.1083248681640625,2.40685966796875,1.0218151782226563
23,CIFAR100,feddyn,0,0,100,0.1,2,239,0.4664,0.6938,0.4746,0.71224,2.5054953125,1.0608059130859375,2.41591298828125,0.9887167553710937
24,CIFAR100,feddyn,0,0,100,0.1,2,249,0.4648,0.70306,0.4763,0.72392,2.52663671875,1.0361507421875,2.40320751953125,0.9436114819335938
25,CIFAR100,feddyn,0,0,100,0.1,2,259,0.4645,0.7029,0.4798,0.73146,2.5099734375,1.030286533203125,2.40121943359375,0.9204893676757813
26,CIFAR100,feddyn,0,0,100,0.1,2,269,0.4659,0.70218,0.4795,0.73574,2.47983974609375,1.03503330078125,2.39694619140625,0.9023631958007813
27,CIFAR100,feddyn,0,0,100,0.1,2,279,0.4742,0.72004,0.4797,0.74,2.46718291015625,0.9583104467773438,2.40398994140625,0.8835540185546875
28,CIFAR100,feddyn,0,0,100,0.1,2,289,0.4713,0.71176,0.4846,0.74626,2.4915140625,0.9887409912109375,2.3845259765625,0.8574551708984375
29,CIFAR100,feddyn,0,0,100,0.1,2,299,0.4833,0.72202,0.4893,0.74738,2.44091494140625,0.9505740454101562,2.36193427734375,0.8401836743164063
30,CIFAR100,feddyn,0,0,100,0.1,2,309,0.4849,0.7302,0.493,0.75656,2.432373828125,0.9177802685546875,2.3389044921875,0.8174530590820313
31,CIFAR100,feddyn,0,0,100,0.1,2,319,0.4874,0.73638,0.4971,0.75888,2.4308375,0.90250685546875,2.3334251953125,0.8106165795898438
32,CIFAR100,feddyn,0,0,100,0.1,2,329,0.4802,0.7373,0.4985,0.76246,2.44754052734375,0.8940971313476562,2.32715390625,0.7998813159179687
33,CIFAR100,feddyn,0,0,100,0.1,2,339,0.4845,0.7406,0.5007,0.76854,2.4789087890625,0.8888488427734375,2.329421484375,0.7794805908203125
34,CIFAR100,feddyn,0,0,100,0.1,2,349,0.4925,0.74948,0.4982,0.77522,2.38836181640625,0.8500055224609375,2.312969140625,0.7621554467773437
35,CIFAR100,feddyn,0,0,100,0.1,2,359,0.4973,0.7575,0.499,0.77722,2.38071201171875,0.8229694799804688,2.30409755859375,0.7491498876953125
36,CIFAR100,feddyn,0,0,100,0.1,2,369,0.4941,0.7538,0.5018,0.7796,2.3750189453125,0.8359491015625,2.2959810546875,0.7421944775390625
37,CIFAR100,feddyn,0,0,100,0.1,2,379,0.498,0.76094,0.5058,0.78054,2.35371181640625,0.8012998876953125,2.2814412109375,0.7335207373046875
38,CIFAR100,feddyn,0,0,100,0.1,2,389,0.4949,0.75874,0.5086,0.78396,2.37647783203125,0.8127387524414063,2.2813912109375,0.724704921875
39,CIFAR100,feddyn,0,0,100,0.1,2,399,0.4944,0.7631,0.5095,0.78492,2.349331640625,0.8015562915039063,2.2841392578125,0.7185947998046875
40,CIFAR100,feddyn,0,0,100,0.1,2,409,0.4988,0.76182,0.507,0.78808,2.36237099609375,0.8022369604492188,2.27433515625,0.7098876684570312
41,CIFAR100,feddyn,0,0,100,0.1,2,419,0.503,0.76884,0.5097,0.78932,2.33882724609375,0.7761572607421875,2.25981416015625,0.7047604907226562
42,CIFAR100,feddyn,0,0,100,0.1,2,429,0.5051,0.76946,0.5133,0.79214,2.3329859375,0.7698489428710937,2.25091572265625,0.691805703125
43,CIFAR100,feddyn,0,0,100,0.1,2,439,0.5058,0.76756,0.5157,0.79426,2.33768828125,0.7766142041015625,2.24442216796875,0.6825053344726563
44,CIFAR100,feddyn,0,0,100,0.1,2,449,0.5072,0.77188,0.5155,0.79868,2.328165234375,0.7636074877929687,2.24382607421875,0.6733581787109375
45,CIFAR100,feddyn,0,0,100,0.1,2,459,0.5065,0.77116,0.5162,0.7975,2.34899931640625,0.7682101538085937,2.25420048828125,0.680731884765625
46,CIFAR100,feddyn,0,0,100,0.1,2,469,0.5103,0.78092,0.5188,0.79938,2.31251337890625,0.732523408203125,2.2477384765625,0.672105576171875
47,CIFAR100,feddyn,0,0,100,0.1,2,479,0.5091,0.77932,0.5202,0.80364,2.31969990234375,0.740149755859375,2.23872060546875,0.6565605688476562
48,CIFAR100,feddyn,0,0,100,0.1,2,489,0.5071,0.77116,0.5197,0.8057,2.31348525390625,0.7693448510742188,2.22156435546875,0.6477558081054687
49,CIFAR100,feddyn,0,0,100,0.1,2,499,0.5133,0.77414,0.5219,0.80236,2.28208427734375,0.7550870971679687,2.20744775390625,0.656771494140625
