,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,feddyn,0,0.3,100,0.01,4,9,0.0576,0.05794,0.0216,0.0237,4.3194021484375,4.31017830078125,4.597564453125,4.597774140625
1,CIFAR100,feddyn,0,0.3,100,0.01,4,19,0.084,0.08582,0.0377,0.03612,4.95535625,4.936995546875,4.5693857421875,4.5693244921875
2,CIFAR100,feddyn,0,0.3,100,0.01,4,29,0.0967,0.10132,0.0625,0.06208,4.841366015625,4.78220576171875,4.518068359375,4.51695798828125
3,CIFAR100,feddyn,0,0.3,100,0.01,4,39,0.1608,0.17384,0.1243,0.12404,3.8460498046875,3.733209384765625,4.4274064453125,4.42381755859375
4,CIFAR100,feddyn,0,0.3,100,0.01,4,49,0.1415,0.15202,0.1598,0.16642,4.1182107421875,3.99590322265625,4.3340921875,4.32688533203125
5,CIFAR100,feddyn,0,0.3,100,0.01,4,59,0.1323,0.14744,0.1869,0.19768,4.83693515625,4.6892132421875,4.2490888671875,4.23641498046875
6,CIFAR100,feddyn,0,0.3,100,0.01,4,69,0.1937,0.21462,0.2062,0.2184,3.97648779296875,3.742299970703125,4.1660806640625,4.1477390234375
7,CIFAR100,feddyn,0,0.3,100,0.01,4,79,0.1574,0.17724,0.2316,0.25184,4.8648591796875,4.60132177734375,3.98543955078125,3.95126865234375
8,CIFAR100,feddyn,0,0.3,100,0.01,4,89,0.1706,0.18874,0.2519,0.2779,4.8558998046875,4.59086666015625,3.86296162109375,3.81395173828125
9,CIFAR100,feddyn,0,0.3,100,0.01,4,99,0.1828,0.20088,0.2703,0.30718,4.65071484375,4.37291958984375,3.549825,3.465735341796875
10,CIFAR100,feddyn,0,0.3,100,0.01,4,109,0.2249,0.26044,0.2802,0.32148,3.8644744140625,3.47283404296875,3.4400873046875,3.337582890625
11,CIFAR100,feddyn,0,0.3,100,0.01,4,119,0.1792,0.20534,0.2924,0.33842,4.633070703125,4.22893373046875,3.27664697265625,3.1436325390625
12,CIFAR100,feddyn,0,0.3,100,0.01,4,129,0.1738,0.19988,0.2981,0.3473,5.090764453125,4.63231060546875,3.1908083984375,3.037747314453125
13,CIFAR100,feddyn,0,0.3,100,0.01,4,139,0.2698,0.32676,0.3083,0.36208,3.49374375,2.995160771484375,3.1188078125,2.942274755859375
14,CIFAR100,feddyn,0,0.3,100,0.01,4,149,0.1879,0.22924,0.3151,0.37398,4.956384765625,4.4307959765625,3.062438671875,2.868305546875
15,CIFAR100,feddyn,0,0.3,100,0.01,4,159,0.2113,0.247,0.3191,0.38392,4.97934765625,4.3857141015625,3.0357859375,2.82991291015625
16,CIFAR100,feddyn,0,0.3,100,0.01,4,169,0.1936,0.22696,0.3217,0.39312,4.88345546875,4.3618840234375,2.975660546875,2.753542236328125
17,CIFAR100,feddyn,0,0.3,100,0.01,4,179,0.2116,0.25188,0.3298,0.40294,4.97441875,4.38488890625,2.860165625,2.601600205078125
18,CIFAR100,feddyn,0,0.3,100,0.01,4,189,0.2574,0.32006,0.3372,0.41036,3.95117236328125,3.298839775390625,2.83290185546875,2.5641645703125
19,CIFAR100,feddyn,0,0.3,100,0.01,4,199,0.2377,0.28138,0.3465,0.42374,4.625857421875,3.93122166015625,2.73719150390625,2.430372880859375
20,CIFAR100,feddyn,0,0.3,100,0.01,4,209,0.198,0.22944,0.3549,0.43472,4.791376171875,4.24856326171875,2.66079970703125,2.31234673828125
21,CIFAR100,feddyn,0,0.3,100,0.01,4,219,0.227,0.26182,0.3619,0.44218,4.6105494140625,4.06178275390625,2.62166259765625,2.252096416015625
22,CIFAR100,feddyn,0,0.3,100,0.01,4,229,0.3042,0.3756,0.3688,0.45454,3.1778556640625,2.5994409375,2.56431640625,2.15907919921875
23,CIFAR100,feddyn,0,0.3,100,0.01,4,239,0.2198,0.25762,0.3741,0.4628,4.9962599609375,4.3657630078125,2.530544921875,2.08762029296875
24,CIFAR100,feddyn,0,0.3,100,0.01,4,249,0.282,0.33048,0.3773,0.47224,3.53400537109375,2.980880556640625,2.502428515625,2.03585029296875
25,CIFAR100,feddyn,0,0.3,100,0.01,4,259,0.3066,0.37846,0.3835,0.48152,3.3699939453125,2.716890439453125,2.47185380859375,1.986904453125
26,CIFAR100,feddyn,0,0.3,100,0.01,4,269,0.2563,0.29574,0.3844,0.48584,4.2480357421875,3.621152470703125,2.4499498046875,1.95596564453125
27,CIFAR100,feddyn,0,0.3,100,0.01,4,279,0.3199,0.39782,0.3913,0.49382,3.201551171875,2.5698466455078126,2.4213216796875,1.9207739892578124
28,CIFAR100,feddyn,0,0.3,100,0.01,4,289,0.3017,0.36672,0.3969,0.50248,3.40994423828125,2.780202080078125,2.3949474609375,1.879435537109375
29,CIFAR100,feddyn,0,0.3,100,0.01,4,299,0.2562,0.3069,0.4002,0.51088,4.0615330078125,3.447765048828125,2.370422265625,1.8359908447265625
30,CIFAR100,feddyn,0,0.3,100,0.01,4,309,0.2656,0.3115,0.404,0.51454,4.57013515625,3.905447177734375,2.35399423828125,1.8185663623046875
