,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,feddyn,0,0.3,100,0.01,4,9,0.0372,0.0385,0.0152,0.0159,4.4686900390625,4.46127103515625,4.6012060546875,4.60121267578125
1,CIFAR100,feddyn,0,0.3,100,0.01,4,19,0.045,0.04716,0.0265,0.02728,4.9101958984375,4.90311654296875,4.5821603515625,4.5820649609375
2,CIFAR100,feddyn,0,0.3,100,0.01,4,29,0.0694,0.07168,0.0448,0.04732,4.4832435546875,4.46852642578125,4.5430072265625,4.5427294140625
3,CIFAR100,feddyn,0,0.3,100,0.01,4,39,0.1245,0.1307,0.0844,0.08556,3.79668671875,3.760972685546875,4.4711642578125,4.47010939453125
4,CIFAR100,feddyn,0,0.3,100,0.01,4,49,0.1353,0.1429,0.1192,0.1159,3.652183203125,3.612868369140625,4.3965353515625,4.3944303515625
5,CIFAR100,feddyn,0,0.3,100,0.01,4,59,0.1089,0.11642,0.1439,0.14442,4.226970703125,4.173157548828125,4.314973046875,4.31066541015625
6,CIFAR100,feddyn,0,0.3,100,0.01,4,69,0.1952,0.20694,0.1619,0.16228,3.4466048828125,3.379031669921875,4.2363025390625,4.2297858203125
7,CIFAR100,feddyn,0,0.3,100,0.01,4,79,0.166,0.17308,0.1939,0.19794,4.2020302734375,4.092118642578125,4.0578646484375,4.046373642578125
8,CIFAR100,feddyn,0,0.3,100,0.01,4,89,0.1704,0.17926,0.218,0.22418,4.4071662109375,4.28762759765625,3.9271794921875,3.9101295703125
9,CIFAR100,feddyn,0,0.3,100,0.01,4,99,0.1908,0.20424,0.2501,0.26548,4.07737890625,3.9155305078125,3.62237939453125,3.591625791015625
10,CIFAR100,feddyn,0,0.3,100,0.01,4,109,0.2491,0.26338,0.2745,0.29056,3.3280228515625,3.16230798828125,3.48917392578125,3.44934185546875
11,CIFAR100,feddyn,0,0.3,100,0.01,4,119,0.1961,0.21374,0.2918,0.31538,3.9924259765625,3.801337021484375,3.29849541015625,3.24364099609375
12,CIFAR100,feddyn,0,0.3,100,0.01,4,129,0.2094,0.23412,0.3029,0.33094,4.02034716796875,3.73903390625,3.1924482421875,3.12653615234375
13,CIFAR100,feddyn,0,0.3,100,0.01,4,139,0.3155,0.35108,0.3201,0.35218,2.90960380859375,2.643812119140625,3.08268896484375,3.00007505859375
14,CIFAR100,feddyn,0,0.3,100,0.01,4,149,0.2219,0.25218,0.3306,0.3669,4.1724484375,3.85807484375,3.01438505859375,2.919133583984375
15,CIFAR100,feddyn,0,0.3,100,0.01,4,159,0.2194,0.24324,0.3388,0.37922,4.422265625,4.048118046875,2.963484375,2.856639296875
16,CIFAR100,feddyn,0,0.3,100,0.01,4,169,0.2201,0.24832,0.3478,0.39014,4.547544140625,4.168570546875,2.882009375,2.75917052734375
17,CIFAR100,feddyn,0,0.3,100,0.01,4,179,0.2276,0.261,0.3561,0.40624,4.11247109375,3.736035712890625,2.743237890625,2.59185294921875
18,CIFAR100,feddyn,0,0.3,100,0.01,4,189,0.3029,0.34866,0.3593,0.41672,3.30798564453125,2.881355478515625,2.70188173828125,2.53736400390625
19,CIFAR100,feddyn,0,0.3,100,0.01,4,199,0.2625,0.28988,0.372,0.4326,4.2613447265625,3.817554736328125,2.58813232421875,2.386344931640625
20,CIFAR100,feddyn,0,0.3,100,0.01,4,209,0.2276,0.2597,0.3809,0.44716,3.8481927734375,3.46723873046875,2.500897265625,2.263911884765625
21,CIFAR100,feddyn,0,0.3,100,0.01,4,219,0.2406,0.27834,0.3864,0.4552,3.9530875,3.554583427734375,2.45866318359375,2.201029873046875
22,CIFAR100,feddyn,0,0.3,100,0.01,4,229,0.3453,0.40858,0.3926,0.46734,2.84292255859375,2.36274564453125,2.405268359375,2.107870302734375
23,CIFAR100,feddyn,0,0.3,100,0.01,4,239,0.2581,0.2959,0.3953,0.47482,3.95512021484375,3.4873849609375,2.3722111328125,2.04267203125
24,CIFAR100,feddyn,0,0.3,100,0.01,4,249,0.3226,0.37872,0.3997,0.48262,2.966262109375,2.539600029296875,2.3472337890625,1.991039970703125
25,CIFAR100,feddyn,0,0.3,100,0.01,4,259,0.328,0.40224,0.4071,0.49318,3.06879755859375,2.5283596484375,2.31994453125,1.939228037109375
26,CIFAR100,feddyn,0,0.3,100,0.01,4,269,0.2626,0.30228,0.4097,0.50036,3.86287666015625,3.38783048828125,2.3054568359375,1.909655537109375
27,CIFAR100,feddyn,0,0.3,100,0.01,4,279,0.3614,0.44036,0.4142,0.50718,2.804684765625,2.2420861181640626,2.29093115234375,1.8758635302734374
28,CIFAR100,feddyn,0,0.3,100,0.01,4,289,0.3352,0.40272,0.4146,0.5131,3.02751689453125,2.4855794921875,2.28045986328125,1.841493671875
29,CIFAR100,feddyn,0,0.3,100,0.01,4,299,0.2593,0.3045,0.423,0.51992,3.7497392578125,3.21470369140625,2.26769912109375,1.802052080078125
30,CIFAR100,feddyn,0,0.3,100,0.01,4,309,0.2815,0.32456,0.4273,0.52356,3.76028916015625,3.2314641015625,2.2546654296875,1.7832398095703126
31,CIFAR100,feddyn,0,0.3,100,0.01,4,319,0.2831,0.33096,0.4295,0.52984,3.56432119140625,3.07700169921875,2.24481259765625,1.7569796044921875
32,CIFAR100,feddyn,0,0.3,100,0.01,4,329,0.298,0.35076,0.4319,0.5347,3.39240771484375,2.857021005859375,2.224155859375,1.7326751318359375
33,CIFAR100,feddyn,0,0.3,100,0.01,4,339,0.2751,0.3284,0.435,0.53938,3.5873046875,3.068343447265625,2.20680537109375,1.7131230615234374
34,CIFAR100,feddyn,0,0.3,100,0.01,4,349,0.243,0.28246,0.4396,0.54476,3.6668140625,3.247312314453125,2.20493173828125,1.678145263671875
35,CIFAR100,feddyn,0,0.3,100,0.01,4,359,0.243,0.28642,0.4428,0.54918,3.887343359375,3.372416865234375,2.19654228515625,1.6565102294921874
36,CIFAR100,feddyn,0,0.3,100,0.01,4,369,0.3562,0.43458,0.445,0.5541,2.919303125,2.3158327734375,2.18677548828125,1.641484970703125
37,CIFAR100,feddyn,0,0.3,100,0.01,4,379,0.3673,0.4448,0.4495,0.55774,2.86969130859375,2.2618848974609373,2.17492646484375,1.626885068359375
38,CIFAR100,feddyn,0,0.3,100,0.01,4,389,0.2235,0.26572,0.4518,0.56078,4.3180328125,3.80080275390625,2.16700830078125,1.60959447265625
39,CIFAR100,feddyn,0,0.3,100,0.01,4,399,0.2488,0.2821,0.4517,0.56268,4.06708408203125,3.57213486328125,2.15678701171875,1.6008483984375
40,CIFAR100,feddyn,0,0.3,100,0.01,4,409,0.3411,0.41086,0.4525,0.5654,2.85966416015625,2.372183828125,2.1500306640625,1.5927941162109376
41,CIFAR100,feddyn,0,0.3,100,0.01,4,419,0.3854,0.475,0.4553,0.56976,2.6966873046875,2.1062336279296874,2.139535546875,1.5826933349609376
42,CIFAR100,feddyn,0,0.3,100,0.01,4,429,0.2608,0.31188,0.458,0.57194,3.81896201171875,3.263007490234375,2.14061240234375,1.5726523193359374
43,CIFAR100,feddyn,0,0.3,100,0.01,4,439,0.2677,0.31266,0.4603,0.57272,3.70672587890625,3.2421170703125,2.1375921875,1.572272021484375
44,CIFAR100,feddyn,0,0.3,100,0.01,4,449,0.2956,0.34402,0.4594,0.5743,3.21362353515625,2.77594904296875,2.1330466796875,1.5752144775390624
45,CIFAR100,feddyn,0,0.3,100,0.01,4,459,0.2666,0.31336,0.4606,0.57446,3.56494189453125,3.09060998046875,2.13050751953125,1.5686065771484374
46,CIFAR100,feddyn,0,0.3,100,0.01,4,469,0.2509,0.29412,0.4605,0.5754,3.86216767578125,3.36450669921875,2.1249416015625,1.565434501953125
47,CIFAR100,feddyn,0,0.3,100,0.01,4,479,0.3909,0.48142,0.4647,0.57706,2.581691015625,1.998467333984375,2.113825,1.5602682373046874
48,CIFAR100,feddyn,0,0.3,100,0.01,4,489,0.3528,0.4263,0.4636,0.57986,2.87691025390625,2.323775166015625,2.1131671875,1.5497451318359374
49,CIFAR100,feddyn,0,0.3,100,0.01,4,499,0.3553,0.42476,0.4634,0.581,2.809029296875,2.300039306640625,2.1124583984375,1.54472197265625
50,CIFAR100,feddyn,0,0.3,100,0.01,4,509,0.2365,0.28036,0.4656,0.58112,3.85498359375,3.379507822265625,2.1088833984375,1.5376638720703124
51,CIFAR100,feddyn,0,0.3,100,0.01,4,519,0.2717,0.32066,0.464,0.58116,3.6516697265625,3.12961611328125,2.10663857421875,1.536542353515625
52,CIFAR100,feddyn,0,0.3,100,0.01,4,529,0.2575,0.29758,0.4677,0.5825,3.921712109375,3.381633544921875,2.1033849609375,1.5327321337890625
53,CIFAR100,feddyn,0,0.3,100,0.01,4,539,0.2915,0.33772,0.469,0.58412,3.46141904296875,2.947145537109375,2.0991447265625,1.5308066015625
54,CIFAR100,feddyn,0,0.3,100,0.01,4,549,0.2821,0.3314,0.4699,0.58634,3.96853291015625,3.327553271484375,2.09999072265625,1.5216392138671875
55,CIFAR100,feddyn,0,0.3,100,0.01,4,559,0.2578,0.30652,0.4745,0.5871,4.0830958984375,3.4988123828125,2.0938072265625,1.5161434228515625
56,CIFAR100,feddyn,0,0.3,100,0.01,4,569,0.3736,0.45332,0.4739,0.58898,2.83545478515625,2.215705087890625,2.0917994140625,1.5143411669921876
57,CIFAR100,feddyn,0,0.3,100,0.01,4,579,0.3022,0.36236,0.4702,0.5881,3.37476240234375,2.799342734375,2.0884375,1.5157417138671876
58,CIFAR100,feddyn,0,0.3,100,0.01,4,589,0.4054,0.48842,0.4719,0.58816,2.622198828125,2.023658095703125,2.0835453125,1.5196651171875
59,CIFAR100,feddyn,0,0.3,100,0.01,4,599,0.2676,0.31586,0.4704,0.5881,3.8230759765625,3.311776181640625,2.08874814453125,1.5194355126953125
60,CIFAR100,feddyn,0,0.3,100,0.01,4,609,0.2796,0.33476,0.4683,0.5853,3.53233935546875,3.008715166015625,2.09284208984375,1.5263731298828125
61,CIFAR100,feddyn,0,0.3,100,0.01,4,619,0.3621,0.43892,0.4712,0.58714,2.83827958984375,2.2604473828125,2.0876482421875,1.5202302392578124
62,CIFAR100,feddyn,0,0.3,100,0.01,4,629,0.3897,0.47068,0.4706,0.5886,2.6556794921875,2.095632607421875,2.09013818359375,1.5175984130859375
63,CIFAR100,feddyn,0,0.3,100,0.01,4,639,0.2941,0.3471,0.474,0.59088,3.49046708984375,2.9499874609375,2.08566494140625,1.5098636328125
64,CIFAR100,feddyn,0,0.3,100,0.01,4,649,0.3438,0.42312,0.475,0.59404,2.9386818359375,2.34689056640625,2.08049794921875,1.497746552734375
65,CIFAR100,feddyn,0,0.3,100,0.01,4,659,0.377,0.46036,0.4743,0.59476,2.749859375,2.158880654296875,2.07783193359375,1.492710068359375
66,CIFAR100,feddyn,0,0.3,100,0.01,4,669,0.2683,0.31524,0.4736,0.59558,4.0613353515625,3.45138525390625,2.0745677734375,1.48887958984375
67,CIFAR100,feddyn,0,0.3,100,0.01,4,679,0.3153,0.3832,0.4757,0.59502,3.47302392578125,2.8423054296875,2.0682650390625,1.4838932177734374
68,CIFAR100,feddyn,0,0.3,100,0.01,4,689,0.2641,0.31492,0.4746,0.59412,3.6190416015625,3.114155146484375,2.06929609375,1.4896117041015624
