,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,feddyn,0,0.3,100,0.01,1,9,0.0315,0.0297,0.01,0.00996,4.4458095703125,4.44433921875,4.602027734375,4.60213609375
1,CIFAR100,feddyn,0,0.3,100,0.01,1,19,0.0352,0.03634,0.016,0.01658,4.3661623046875,4.358484140625,4.580590625,4.58057009765625
2,CIFAR100,feddyn,0,0.3,100,0.01,1,29,0.0719,0.07218,0.0368,0.03616,4.1228765625,4.1071559765625,4.5536666015625,4.553359453125
3,CIFAR100,feddyn,0,0.3,100,0.01,1,39,0.0883,0.09428,0.0602,0.0629,3.969615625,3.945958876953125,4.498704296875,4.497358984375
4,CIFAR100,feddyn,0,0.3,100,0.01,1,49,0.1239,0.12968,0.0885,0.0907,3.757142578125,3.732015146484375,4.405422265625,4.40218103515625
5,CIFAR100,feddyn,0,0.3,100,0.01,1,59,0.1539,0.15866,0.121,0.12168,3.59280439453125,3.5614071875,4.28673984375,4.28148111328125
6,CIFAR100,feddyn,0,0.3,100,0.01,1,69,0.0764,0.07958,0.1475,0.15052,4.514682421875,4.48266154296875,4.179580859375,4.17191455078125
7,CIFAR100,feddyn,0,0.3,100,0.01,1,79,0.162,0.16302,0.1662,0.1684,3.5657310546875,3.516690927734375,4.10348984375,4.094244775390625
8,CIFAR100,feddyn,0,0.3,100,0.01,1,89,0.1483,0.15474,0.1858,0.18536,3.749487109375,3.67322044921875,4.02079443359375,4.00898232421875
9,CIFAR100,feddyn,0,0.3,100,0.01,1,99,0.1984,0.21196,0.2118,0.21324,3.3416314453125,3.25889287109375,3.9027955078125,3.8858326953125
10,CIFAR100,feddyn,0,0.3,100,0.01,1,109,0.1317,0.13894,0.2267,0.23248,4.5695908203125,4.41806978515625,3.776176953125,3.753304580078125
11,CIFAR100,feddyn,0,0.3,100,0.01,1,119,0.2607,0.28088,0.2499,0.25654,3.02125654296875,2.9172903515625,3.63168603515625,3.600577060546875
12,CIFAR100,feddyn,0,0.3,100,0.01,1,129,0.2433,0.25402,0.2679,0.27902,3.11308359375,3.015495419921875,3.46972255859375,3.42873390625
13,CIFAR100,feddyn,0,0.3,100,0.01,1,139,0.2644,0.28346,0.2903,0.30124,3.08873876953125,2.940989365234375,3.29886708984375,3.244480830078125
14,CIFAR100,feddyn,0,0.3,100,0.01,1,149,0.2569,0.27558,0.3025,0.32338,3.2301861328125,3.079345615234375,3.18013564453125,3.112152939453125
15,CIFAR100,feddyn,0,0.3,100,0.01,1,159,0.1739,0.19658,0.3095,0.33304,3.720859765625,3.5602919921875,3.13040986328125,3.054402978515625
16,CIFAR100,feddyn,0,0.3,100,0.01,1,169,0.2051,0.22464,0.318,0.34638,3.76127568359375,3.592034521484375,3.03586259765625,2.947905341796875
17,CIFAR100,feddyn,0,0.3,100,0.01,1,179,0.2215,0.23814,0.3305,0.36458,3.65550634765625,3.4788400390625,2.905034765625,2.795914150390625
18,CIFAR100,feddyn,0,0.3,100,0.01,1,189,0.3082,0.35538,0.3358,0.375,2.96408359375,2.669668310546875,2.8696126953125,2.750151337890625
19,CIFAR100,feddyn,0,0.3,100,0.01,1,199,0.2837,0.33016,0.3466,0.39004,3.0328369140625,2.75295451171875,2.8052779296875,2.668340185546875
20,CIFAR100,feddyn,0,0.3,100,0.01,1,209,0.3068,0.33976,0.3516,0.40704,3.02531484375,2.74112912109375,2.6772439453125,2.504768623046875
21,CIFAR100,feddyn,0,0.3,100,0.01,1,219,0.2692,0.31454,0.3597,0.41752,3.35293466796875,2.996121962890625,2.58354716796875,2.377913525390625
22,CIFAR100,feddyn,0,0.3,100,0.01,1,229,0.2665,0.29444,0.365,0.42536,3.6824203125,3.334448544921875,2.53933046875,2.30886375
23,CIFAR100,feddyn,0,0.3,100,0.01,1,239,0.2349,0.26478,0.3643,0.4332,3.5949189453125,3.303214921875,2.5171892578125,2.269453837890625
24,CIFAR100,feddyn,0,0.3,100,0.01,1,249,0.2218,0.25344,0.3707,0.44122,3.7719572265625,3.442939189453125,2.4956763671875,2.232249345703125
25,CIFAR100,feddyn,0,0.3,100,0.01,1,259,0.2894,0.34174,0.3765,0.44638,3.15552119140625,2.7898386328125,2.47184453125,2.179311494140625
26,CIFAR100,feddyn,0,0.3,100,0.01,1,269,0.295,0.33956,0.3799,0.45084,3.04749755859375,2.716845634765625,2.45976787109375,2.155529033203125
27,CIFAR100,feddyn,0,0.3,100,0.01,1,279,0.2906,0.33884,0.3813,0.45408,3.06890888671875,2.727473232421875,2.44945859375,2.130450986328125
28,CIFAR100,feddyn,0,0.3,100,0.01,1,289,0.3147,0.366,0.384,0.46,3.10512578125,2.70810697265625,2.4418462890625,2.100492998046875
29,CIFAR100,feddyn,0,0.3,100,0.01,1,299,0.2153,0.25238,0.385,0.46466,3.5760748046875,3.242449208984375,2.43474482421875,2.077457626953125
30,CIFAR100,feddyn,0,0.3,100,0.01,1,309,0.2211,0.26148,0.3872,0.4693,3.63076083984375,3.28768412109375,2.429036328125,2.05910150390625
31,CIFAR100,feddyn,0,0.3,100,0.01,1,319,0.331,0.4083,0.3864,0.47246,2.86430283203125,2.4004399609375,2.4259666015625,2.045450302734375
32,CIFAR100,feddyn,0,0.3,100,0.01,1,329,0.2515,0.288,0.3884,0.47546,3.6747919921875,3.276209326171875,2.425053515625,2.024611357421875
33,CIFAR100,feddyn,0,0.3,100,0.01,1,339,0.2587,0.30354,0.3917,0.4784,3.5492794921875,3.1161954296875,2.4221400390625,2.007350869140625
34,CIFAR100,feddyn,0,0.3,100,0.01,1,349,0.2968,0.35794,0.3897,0.48244,3.0845580078125,2.65632490234375,2.4308361328125,1.988838583984375
35,CIFAR100,feddyn,0,0.3,100,0.01,1,359,0.2418,0.27736,0.3916,0.48402,3.6604625,3.303181982421875,2.4263158203125,1.978472763671875
36,CIFAR100,feddyn,0,0.3,100,0.01,1,369,0.3219,0.38328,0.3919,0.4874,2.9316162109375,2.4802030078125,2.42513271484375,1.963695654296875
37,CIFAR100,feddyn,0,0.3,100,0.01,1,379,0.3053,0.36414,0.3947,0.49118,3.04407685546875,2.61221666015625,2.420059765625,1.9496423486328125
38,CIFAR100,feddyn,0,0.3,100,0.01,1,389,0.34,0.41204,0.3982,0.49462,2.82325625,2.352135966796875,2.409876171875,1.9299395361328124
39,CIFAR100,feddyn,0,0.3,100,0.01,1,399,0.2291,0.26806,0.3985,0.49728,4.01075107421875,3.559701572265625,2.40563076171875,1.9196786962890624
40,CIFAR100,feddyn,0,0.3,100,0.01,1,409,0.3061,0.36256,0.3979,0.4985,3.01512265625,2.5870885546875,2.40377607421875,1.9092393212890626
41,CIFAR100,feddyn,0,0.3,100,0.01,1,419,0.2426,0.282,0.4002,0.50066,3.65300712890625,3.2570021484375,2.40060029296875,1.89994732421875
42,CIFAR100,feddyn,0,0.3,100,0.01,1,429,0.2319,0.27632,0.4007,0.50162,4.06999892578125,3.551164541015625,2.40070166015625,1.8925277685546875
43,CIFAR100,feddyn,0,0.3,100,0.01,1,439,0.2432,0.2862,0.4044,0.50372,3.968587890625,3.507298681640625,2.39984404296875,1.8850226513671875
44,CIFAR100,feddyn,0,0.3,100,0.01,1,449,0.2281,0.26664,0.4085,0.50452,4.0310625,3.582828818359375,2.394416015625,1.8753980712890626
45,CIFAR100,feddyn,0,0.3,100,0.01,1,459,0.2595,0.3058,0.4081,0.5046,3.6513474609375,3.18023435546875,2.38907041015625,1.8688915185546875
46,CIFAR100,feddyn,0,0.3,100,0.01,1,469,0.2021,0.23226,0.4092,0.50818,4.6864853515625,4.26326859375,2.38305009765625,1.8594694921875
47,CIFAR100,feddyn,0,0.3,100,0.01,1,479,0.3137,0.37748,0.4105,0.5092,3.01404130859375,2.541403515625,2.3769615234375,1.85545185546875
48,CIFAR100,feddyn,0,0.3,100,0.01,1,489,0.3288,0.40164,0.4116,0.50998,3.01365693359375,2.49313203125,2.36815302734375,1.847111875
49,CIFAR100,feddyn,0,0.3,100,0.01,1,499,0.2962,0.352,0.409,0.51236,3.210828515625,2.748496201171875,2.36716796875,1.8423753857421874
50,CIFAR100,feddyn,0,0.3,100,0.01,1,509,0.3519,0.42438,0.4097,0.5121,2.7860763671875,2.291032158203125,2.3588283203125,1.835297041015625
51,CIFAR100,feddyn,0,0.3,100,0.01,1,519,0.3428,0.4073,0.4116,0.51384,2.86594580078125,2.386319677734375,2.3532947265625,1.8274340869140624
52,CIFAR100,feddyn,0,0.3,100,0.01,1,529,0.3108,0.36572,0.4162,0.51554,3.0180400390625,2.56591244140625,2.3416607421875,1.815699921875
53,CIFAR100,feddyn,0,0.3,100,0.01,1,539,0.3243,0.3782,0.4168,0.5176,2.9182146484375,2.502808779296875,2.33392783203125,1.8072552685546874
54,CIFAR100,feddyn,0,0.3,100,0.01,1,549,0.3035,0.36308,0.4184,0.51884,3.10584990234375,2.6482968359375,2.3278486328125,1.8037974755859374
55,CIFAR100,feddyn,0,0.3,100,0.01,1,559,0.2419,0.28502,0.4189,0.52196,3.652493359375,3.187276376953125,2.31401337890625,1.792985185546875
56,CIFAR100,feddyn,0,0.3,100,0.01,1,569,0.2755,0.3222,0.4233,0.5237,3.31456845703125,2.886518876953125,2.30947783203125,1.7846157568359375
57,CIFAR100,feddyn,0,0.3,100,0.01,1,579,0.3219,0.38892,0.4227,0.52386,3.07933935546875,2.569036826171875,2.30117890625,1.7773429345703124
58,CIFAR100,feddyn,0,0.3,100,0.01,1,589,0.2429,0.28898,0.4231,0.52566,3.59871337890625,3.17530158203125,2.29910771484375,1.769003642578125
59,CIFAR100,feddyn,0,0.3,100,0.01,1,599,0.2585,0.30186,0.4231,0.52658,3.33510419921875,2.938299208984375,2.29300859375,1.7655706884765625
60,CIFAR100,feddyn,0,0.3,100,0.01,1,609,0.2477,0.28904,0.4241,0.529,3.665352734375,3.246597763671875,2.28541796875,1.7606379638671874
61,CIFAR100,feddyn,0,0.3,100,0.01,1,619,0.2652,0.30822,0.4259,0.52944,3.572934765625,3.11090314453125,2.27728759765625,1.759495791015625
62,CIFAR100,feddyn,0,0.3,100,0.01,1,629,0.3424,0.41094,0.4289,0.53044,2.8926796875,2.390451884765625,2.26576435546875,1.756317109375
63,CIFAR100,feddyn,0,0.3,100,0.01,1,639,0.3246,0.38782,0.4294,0.5332,2.935498828125,2.472399755859375,2.26920908203125,1.749733046875
64,CIFAR100,feddyn,0,0.3,100,0.01,1,649,0.2951,0.34722,0.4315,0.5347,3.13889033203125,2.7011926171875,2.2661353515625,1.7443970458984375
65,CIFAR100,feddyn,0,0.3,100,0.01,1,659,0.2486,0.2872,0.4351,0.53758,3.7767837890625,3.331828056640625,2.25849443359375,1.7373636083984374
66,CIFAR100,feddyn,0,0.3,100,0.01,1,669,0.3538,0.4128,0.4353,0.5374,2.80298798828125,2.344730361328125,2.2578466796875,1.73677732421875
67,CIFAR100,feddyn,0,0.3,100,0.01,1,679,0.2586,0.303,0.4372,0.53932,3.693758984375,3.2071780859375,2.249785546875,1.72824287109375
68,CIFAR100,feddyn,0,0.3,100,0.01,1,689,0.3318,0.39248,0.4376,0.54146,2.97592236328125,2.4908426953125,2.24637587890625,1.7242641650390624
69,CIFAR100,feddyn,0,0.3,100,0.01,1,699,0.3533,0.41538,0.4394,0.54102,2.8481189453125,2.35373771484375,2.2434064453125,1.722125283203125
