,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,feddyn,0,0.3,100,0.1,1,9,0.1267,0.12542,0.0901,0.0927,3.74058388671875,3.726141572265625,4.383276171875,4.38096783203125
1,CIFAR100,feddyn,0,0.3,100,0.1,1,19,0.2148,0.23016,0.1964,0.20448,3.242939453125,3.154479609375,3.63253740234375,3.602529619140625
2,CIFAR100,feddyn,0,0.3,100,0.1,1,29,0.239,0.27458,0.2456,0.26844,3.197307421875,2.950585068359375,3.16571455078125,3.06594521484375
3,CIFAR100,feddyn,0,0.3,100,0.1,1,39,0.2643,0.31858,0.2758,0.31632,3.273284765625,2.796249306640625,2.97267568359375,2.73010251953125
4,CIFAR100,feddyn,0,0.3,100,0.1,1,49,0.2591,0.32584,0.2923,0.35348,3.426559375,2.762700576171875,2.991312109375,2.53126900390625
5,CIFAR100,feddyn,0,0.3,100,0.1,1,59,0.2831,0.36692,0.2954,0.38184,3.372498828125,2.5575955078125,3.07846005859375,2.39995736328125
6,CIFAR100,feddyn,0,0.3,100,0.1,1,69,0.2883,0.38404,0.3047,0.4088,3.41137275390625,2.467879375,3.09698515625,2.275759052734375
7,CIFAR100,feddyn,0,0.3,100,0.1,1,79,0.2991,0.4161,0.3174,0.43358,3.33907841796875,2.291168427734375,3.09063134765625,2.141432392578125
8,CIFAR100,feddyn,0,0.3,100,0.1,1,89,0.3126,0.43744,0.3275,0.46314,3.32696044921875,2.1925149072265624,3.06852431640625,2.00716396484375
9,CIFAR100,feddyn,0,0.3,100,0.1,1,99,0.3244,0.46146,0.3364,0.48898,3.15485517578125,2.039655498046875,3.013512890625,1.8836000830078126
10,CIFAR100,feddyn,0,0.3,100,0.1,1,109,0.3305,0.47664,0.3524,0.512,3.06462333984375,1.9581219677734376,2.92112841796875,1.774444833984375
11,CIFAR100,feddyn,0,0.3,100,0.1,1,119,0.3472,0.49124,0.3619,0.53122,2.9898287109375,1.8883994921875,2.83611435546875,1.692562939453125
12,CIFAR100,feddyn,0,0.3,100,0.1,1,129,0.3683,0.51812,0.3771,0.54864,2.85406123046875,1.782857412109375,2.73683330078125,1.6250003662109376
13,CIFAR100,feddyn,0,0.3,100,0.1,1,139,0.3774,0.52488,0.3924,0.56236,2.7641779296875,1.7421364990234376,2.64883759765625,1.5677372412109376
14,CIFAR100,feddyn,0,0.3,100,0.1,1,149,0.3912,0.53544,0.403,0.57358,2.70987919921875,1.6964559423828125,2.5718916015625,1.5268395458984374
15,CIFAR100,feddyn,0,0.3,100,0.1,1,159,0.3995,0.54426,0.4109,0.58174,2.66211337890625,1.645594443359375,2.5119599609375,1.48223767578125
16,CIFAR100,feddyn,0,0.3,100,0.1,1,169,0.4034,0.5586,0.4211,0.59298,2.61063798828125,1.589043388671875,2.4665966796875,1.4437099755859375
17,CIFAR100,feddyn,0,0.3,100,0.1,1,179,0.3896,0.535,0.4263,0.60428,2.74269013671875,1.704988134765625,2.449516015625,1.39582326171875
18,CIFAR100,feddyn,0,0.3,100,0.1,1,189,0.4096,0.57084,0.4339,0.61308,2.59648408203125,1.53351640625,2.4341296875,1.360098671875
19,CIFAR100,feddyn,0,0.3,100,0.1,1,199,0.4092,0.58066,0.4335,0.62232,2.59644296875,1.5029997265625,2.4076775390625,1.322947958984375
20,CIFAR100,feddyn,0,0.3,100,0.1,1,209,0.4124,0.57666,0.4386,0.63006,2.6398923828125,1.52586890625,2.3872591796875,1.3036784765625
21,CIFAR100,feddyn,0,0.3,100,0.1,1,219,0.4268,0.60154,0.4386,0.63468,2.50481142578125,1.403804375,2.3770017578125,1.2820646337890624
22,CIFAR100,feddyn,0,0.3,100,0.1,1,229,0.4187,0.58736,0.4415,0.64264,2.5821296875,1.4749822998046875,2.36455986328125,1.251266220703125
23,CIFAR100,feddyn,0,0.3,100,0.1,1,239,0.4116,0.58644,0.4441,0.6438,2.60467802734375,1.479394189453125,2.37769482421875,1.24786716796875
24,CIFAR100,feddyn,0,0.3,100,0.1,1,249,0.4149,0.58916,0.4477,0.64836,2.57668935546875,1.460681171875,2.3588583984375,1.2265509814453126
25,CIFAR100,feddyn,0,0.3,100,0.1,1,259,0.4294,0.61792,0.448,0.65282,2.47897861328125,1.3316801904296875,2.33905361328125,1.19702693359375
26,CIFAR100,feddyn,0,0.3,100,0.1,1,269,0.4352,0.62174,0.45,0.65718,2.43843427734375,1.3216707373046874,2.32283349609375,1.177936513671875
27,CIFAR100,feddyn,0,0.3,100,0.1,1,279,0.4348,0.63212,0.4554,0.66378,2.42071923828125,1.284624033203125,2.29091904296875,1.1510564721679688
28,CIFAR100,feddyn,0,0.3,100,0.1,1,289,0.4401,0.63142,0.4586,0.6706,2.424923046875,1.2796300390625,2.27301982421875,1.130370537109375
29,CIFAR100,feddyn,0,0.3,100,0.1,1,299,0.4347,0.61894,0.4664,0.67528,2.4708564453125,1.3228798388671874,2.2558533203125,1.1094844775390624
30,CIFAR100,feddyn,0,0.3,100,0.1,1,309,0.443,0.6383,0.4646,0.67838,2.406859375,1.2511205322265626,2.25101748046875,1.099877158203125
31,CIFAR100,feddyn,0,0.3,100,0.1,1,319,0.4508,0.65268,0.4662,0.6819,2.35594248046875,1.2014239599609375,2.24181083984375,1.0883905712890625
32,CIFAR100,feddyn,0,0.3,100,0.1,1,329,0.4515,0.6512,0.466,0.68484,2.3596587890625,1.19883591796875,2.24355439453125,1.078695302734375
33,CIFAR100,feddyn,0,0.3,100,0.1,1,339,0.4483,0.6562,0.4724,0.69028,2.34252158203125,1.1883395263671874,2.23759140625,1.0599575048828125
34,CIFAR100,feddyn,0,0.3,100,0.1,1,349,0.4577,0.66594,0.4727,0.69364,2.3162404296875,1.1477851220703126,2.223171875,1.0480315771484374
35,CIFAR100,feddyn,0,0.3,100,0.1,1,359,0.4629,0.67258,0.4776,0.69824,2.30771357421875,1.1191597631835937,2.20971357421875,1.026877724609375
36,CIFAR100,feddyn,0,0.3,100,0.1,1,369,0.4519,0.64396,0.4744,0.69892,2.36040087890625,1.2355451147460939,2.212568359375,1.0254635473632812
37,CIFAR100,feddyn,0,0.3,100,0.1,1,379,0.4584,0.65068,0.4703,0.6929,2.339652734375,1.2268456982421876,2.20518974609375,1.0500173120117187
38,CIFAR100,feddyn,0,0.3,100,0.1,1,389,0.4559,0.66314,0.4762,0.69268,2.3009060546875,1.1658868701171874,2.200962890625,1.0534203930664063
39,CIFAR100,feddyn,0,0.3,100,0.1,1,399,0.4581,0.6583,0.4771,0.69612,2.3235255859375,1.1767324560546875,2.18635048828125,1.0410060107421875
40,CIFAR100,feddyn,0,0.3,100,0.1,1,409,0.4668,0.67184,0.4801,0.69886,2.27198046875,1.131438671875,2.1796568359375,1.032765849609375
41,CIFAR100,feddyn,0,0.3,100,0.1,1,419,0.4626,0.66466,0.4854,0.70394,2.31366982421875,1.1630919311523438,2.16424970703125,1.0108911767578126
42,CIFAR100,feddyn,0,0.3,100,0.1,1,429,0.4632,0.66798,0.4818,0.70722,2.317428515625,1.1495528515625,2.16831748046875,1.0057783349609375
43,CIFAR100,feddyn,0,0.3,100,0.1,1,439,0.4681,0.67264,0.4875,0.70812,2.2883115234375,1.1305440185546876,2.16237412109375,1.0014657421875
44,CIFAR100,feddyn,0,0.3,100,0.1,1,449,0.4716,0.67726,0.486,0.705,2.24666875,1.108872919921875,2.167615234375,1.0099178466796874
45,CIFAR100,feddyn,0,0.3,100,0.1,1,459,0.4622,0.66652,0.4853,0.70882,2.312503125,1.1484118798828125,2.15382236328125,0.99212953125
46,CIFAR100,feddyn,0,0.3,100,0.1,1,469,0.4678,0.67314,0.485,0.71062,2.29254365234375,1.1264572998046876,2.14314560546875,0.9856993701171874
47,CIFAR100,feddyn,0,0.3,100,0.1,1,479,0.4605,0.66606,0.4875,0.7115,2.30490048828125,1.1584628515625,2.14464892578125,0.9856301391601563
48,CIFAR100,feddyn,0,0.3,100,0.1,1,489,0.4696,0.67702,0.4858,0.7134,2.2689552734375,1.114934951171875,2.14519169921875,0.9785415185546875
49,CIFAR100,feddyn,0,0.3,100,0.1,1,499,0.4666,0.67342,0.4871,0.71534,2.27146142578125,1.116526044921875,2.1357029296875,0.9720648046875
50,CIFAR100,feddyn,0,0.3,100,0.1,1,509,0.4746,0.69044,0.4894,0.71744,2.247783984375,1.0587881494140625,2.14329970703125,0.9662235693359374
51,CIFAR100,feddyn,0,0.3,100,0.1,1,519,0.4619,0.66496,0.4909,0.72066,2.296060546875,1.146602275390625,2.13028017578125,0.9521765771484375
