,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedexp,0,0,100,0.01,1,9,0.116,0.11854,0.022,0.02318,3.84851103515625,3.819173916015625,4.589587890625,4.58931451171875
1,CIFAR100,fedexp,0,0,100,0.01,1,19,0.1459,0.14742,0.075,0.07828,3.6757462890625,3.645436513671875,4.5274396484375,4.52576177734375
2,CIFAR100,fedexp,0,0,100,0.01,1,29,0.1752,0.18296,0.1158,0.12022,3.77931298828125,3.694967626953125,4.4620314453125,4.4587238671875
3,CIFAR100,fedexp,0,0,100,0.01,1,39,0.1596,0.17174,0.1591,0.16538,4.1641986328125,3.995335625,4.34134609375,4.3339909765625
4,CIFAR100,fedexp,0,0,100,0.01,1,49,0.1782,0.19906,0.2034,0.21134,4.54757265625,4.26338427734375,4.1469431640625,4.1295028515625
5,CIFAR100,fedexp,0,0,100,0.01,1,59,0.2172,0.23732,0.225,0.2418,3.92268798828125,3.639023671875,3.92765576171875,3.8955072265625
6,CIFAR100,fedexp,0,0,100,0.01,1,69,0.1924,0.21606,0.2477,0.2693,4.1692220703125,3.927057060546875,3.74904013671875,3.698673203125
7,CIFAR100,fedexp,0,0,100,0.01,1,79,0.2004,0.22918,0.2595,0.28422,3.9748646484375,3.693771259765625,3.64076064453125,3.5783898046875
8,CIFAR100,fedexp,0,0,100,0.01,1,89,0.1898,0.2167,0.2681,0.29712,4.2733326171875,3.973251357421875,3.536093359375,3.461059169921875
9,CIFAR100,fedexp,0,0,100,0.01,1,99,0.2312,0.2652,0.282,0.31346,4.0362158203125,3.653560537109375,3.39986728515625,3.30395685546875
10,CIFAR100,fedexp,0,0,100,0.01,1,109,0.2396,0.28094,0.2921,0.32862,4.1988208984375,3.748510546875,3.25320390625,3.133345185546875
11,CIFAR100,fedexp,0,0,100,0.01,1,119,0.2348,0.2752,0.3039,0.3488,3.84484921875,3.4315646484375,3.1206888671875,2.97209248046875
12,CIFAR100,fedexp,0,0,100,0.01,1,129,0.2322,0.26972,0.315,0.36484,3.9492771484375,3.551031103515625,2.98672587890625,2.804954501953125
13,CIFAR100,fedexp,0,0,100,0.01,1,139,0.2561,0.30452,0.3251,0.3801,3.76455380859375,3.3505641796875,2.86962392578125,2.650359521484375
14,CIFAR100,fedexp,0,0,100,0.01,1,149,0.271,0.3132,0.3339,0.39414,3.80242099609375,3.342581669921875,2.80307783203125,2.5610278125
15,CIFAR100,fedexp,0,0,100,0.01,1,159,0.2644,0.31078,0.3409,0.40086,3.6311193359375,3.201551455078125,2.77901025390625,2.531262216796875
16,CIFAR100,fedexp,0,0,100,0.01,1,169,0.2622,0.31092,0.3472,0.41078,3.688311328125,3.231975908203125,2.72220791015625,2.452753056640625
17,CIFAR100,fedexp,0,0,100,0.01,1,179,0.2732,0.32314,0.3547,0.42244,3.81597138671875,3.331184951171875,2.65192109375,2.35041970703125
18,CIFAR100,fedexp,0,0,100,0.01,1,189,0.2887,0.34528,0.3625,0.42946,3.60928349609375,3.081644375,2.62814833984375,2.321222802734375
19,CIFAR100,fedexp,0,0,100,0.01,1,199,0.2864,0.3476,0.3661,0.44014,3.33643984375,2.88006333984375,2.59450634765625,2.27301607421875
20,CIFAR100,fedexp,0,0,100,0.01,1,209,0.2998,0.34654,0.3746,0.45926,3.6169740234375,3.106706181640625,2.512171875,2.142871025390625
21,CIFAR100,fedexp,0,0,100,0.01,1,219,0.3016,0.35382,0.3814,0.46832,3.76150224609375,3.221557919921875,2.46966181640625,2.0489166552734375
