,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedexp,0,0,100,0.01,2,9,0.1032,0.10896,0.0191,0.02208,3.86879189453125,3.85157119140625,4.5942888671875,4.594140859375
1,CIFAR100,fedexp,0,0,100,0.01,2,19,0.1472,0.15582,0.0733,0.07276,3.86239072265625,3.787571572265625,4.5526521484375,4.5518615625
2,CIFAR100,fedexp,0,0,100,0.01,2,29,0.1402,0.15462,0.123,0.12584,4.625375,4.46652130859375,4.465976171875,4.4629307421875
3,CIFAR100,fedexp,0,0,100,0.01,2,39,0.1713,0.18198,0.1607,0.16426,4.08859140625,3.93923212890625,4.3727357421875,4.3656784375
4,CIFAR100,fedexp,0,0,100,0.01,2,49,0.1704,0.1954,0.187,0.19008,4.2415017578125,4.00848107421875,4.2925015625,4.2809146875
5,CIFAR100,fedexp,0,0,100,0.01,2,59,0.1826,0.20152,0.2123,0.22104,4.141450390625,3.914616376953125,4.1432900390625,4.1224655078125
6,CIFAR100,fedexp,0,0,100,0.01,2,69,0.1968,0.21774,0.2347,0.24934,4.0023515625,3.74807802734375,3.9576880859375,3.922934755859375
7,CIFAR100,fedexp,0,0,100,0.01,2,79,0.2141,0.23102,0.2523,0.27264,3.966059375,3.703233251953125,3.72426123046875,3.670709482421875
8,CIFAR100,fedexp,0,0,100,0.01,2,89,0.2031,0.22634,0.2635,0.28476,4.00921513671875,3.73080458984375,3.5807958984375,3.512923388671875
9,CIFAR100,fedexp,0,0,100,0.01,2,99,0.2487,0.27922,0.2774,0.30592,3.75219912109375,3.406397490234375,3.48088486328125,3.3989157421875
10,CIFAR100,fedexp,0,0,100,0.01,2,109,0.2273,0.25886,0.2879,0.3209,3.9809919921875,3.659941552734375,3.36048955078125,3.2635400390625
11,CIFAR100,fedexp,0,0,100,0.01,2,119,0.2538,0.28572,0.2977,0.33514,4.1822814453125,3.782168310546875,3.17984375,3.05699015625
12,CIFAR100,fedexp,0,0,100,0.01,2,129,0.2548,0.29062,0.3125,0.35096,4.1023279296875,3.6849316796875,3.05500380859375,2.910256181640625
13,CIFAR100,fedexp,0,0,100,0.01,2,139,0.2431,0.2806,0.3208,0.35958,3.8437953125,3.494608095703125,2.96341455078125,2.79919861328125
14,CIFAR100,fedexp,0,0,100,0.01,2,149,0.2522,0.28712,0.3278,0.37072,3.9663685546875,3.60572125,2.90534990234375,2.7268038671875
15,CIFAR100,fedexp,0,0,100,0.01,2,159,0.2572,0.2951,0.3365,0.3829,3.771782421875,3.409956962890625,2.82221572265625,2.62335109375
16,CIFAR100,fedexp,0,0,100,0.01,2,169,0.2753,0.31564,0.3492,0.39694,3.43465234375,3.090704892578125,2.688135546875,2.43931884765625
17,CIFAR100,fedexp,0,0,100,0.01,2,179,0.2612,0.3032,0.3513,0.40432,4.03343681640625,3.628818154296875,2.66334619140625,2.407770341796875
18,CIFAR100,fedexp,0,0,100,0.01,2,189,0.2714,0.32258,0.361,0.41884,4.0905123046875,3.551494814453125,2.6030767578125,2.319063515625
19,CIFAR100,fedexp,0,0,100,0.01,2,199,0.2748,0.33284,0.369,0.43206,3.8889416015625,3.4005344921875,2.55226640625,2.238122421875
20,CIFAR100,fedexp,0,0,100,0.01,2,209,0.3045,0.36058,0.3747,0.4413,3.6812453125,3.127497626953125,2.5196849609375,2.192475302734375
21,CIFAR100,fedexp,0,0,100,0.01,2,219,0.2978,0.34386,0.3816,0.45002,3.47345859375,3.028577861328125,2.4873697265625,2.148333271484375
22,CIFAR100,fedexp,0,0,100,0.01,2,229,0.2833,0.33752,0.3879,0.462,3.480201953125,3.005177734375,2.45122373046875,2.0962203515625
23,CIFAR100,fedexp,0,0,100,0.01,2,239,0.2914,0.34682,0.3893,0.46544,3.68912314453125,3.190877734375,2.4395611328125,2.0816134326171873
24,CIFAR100,fedexp,0,0,100,0.01,2,249,0.301,0.35316,0.392,0.4759,3.4795115234375,2.975920244140625,2.414748046875,2.0153334423828126
25,CIFAR100,fedexp,0,0,100,0.01,2,259,0.3024,0.36234,0.3962,0.48224,3.36491796875,2.886628388671875,2.4016353515625,1.9748839208984375
26,CIFAR100,fedexp,0,0,100,0.01,2,269,0.3189,0.38398,0.3999,0.49004,3.42052060546875,2.84175865234375,2.38073154296875,1.9403738037109375
27,CIFAR100,fedexp,0,0,100,0.01,2,279,0.3145,0.38262,0.4045,0.49232,3.62186474609375,2.983207158203125,2.3709052734375,1.9273944775390626
28,CIFAR100,fedexp,0,0,100,0.01,2,289,0.2998,0.35956,0.4094,0.49848,3.482880859375,2.960192177734375,2.35826064453125,1.897460986328125
29,CIFAR100,fedexp,0,0,100,0.01,2,299,0.3276,0.38468,0.4126,0.5043,3.2909138671875,2.78869712890625,2.3405658203125,1.87075412109375
30,CIFAR100,fedexp,0,0,100,0.01,2,309,0.3187,0.38144,0.4183,0.5113,3.32882529296875,2.8152361328125,2.324316015625,1.842050078125
31,CIFAR100,fedexp,0,0,100,0.01,2,319,0.3362,0.40198,0.421,0.52122,3.161331640625,2.638081708984375,2.30578125,1.80508521484375
32,CIFAR100,fedexp,0,0,100,0.01,2,329,0.3245,0.39024,0.4222,0.5232,3.45519296875,2.9094230859375,2.29315244140625,1.7888461328125
33,CIFAR100,fedexp,0,0,100,0.01,2,339,0.3228,0.39092,0.4232,0.52958,3.64559521484375,2.962568623046875,2.2801705078125,1.7670253125
34,CIFAR100,fedexp,0,0,100,0.01,2,349,0.3239,0.39018,0.426,0.53248,3.385364453125,2.817466875,2.27270341796875,1.75780134765625
35,CIFAR100,fedexp,0,0,100,0.01,2,359,0.3258,0.39656,0.4266,0.53762,3.340267578125,2.752062822265625,2.260993359375,1.7388832373046874
36,CIFAR100,fedexp,0,0,100,0.01,2,369,0.3235,0.39012,0.431,0.54218,3.25207705078125,2.720200029296875,2.2515591796875,1.711376162109375
37,CIFAR100,fedexp,0,0,100,0.01,2,379,0.3241,0.39568,0.4321,0.54414,3.3932369140625,2.819013681640625,2.2437439453125,1.7009768603515625
38,CIFAR100,fedexp,0,0,100,0.01,2,389,0.332,0.3975,0.4337,0.54666,3.45412216796875,2.80473984375,2.2359759765625,1.6920044970703125
39,CIFAR100,fedexp,0,0,100,0.01,2,399,0.3252,0.3936,0.4385,0.54896,3.6676353515625,2.97556244140625,2.2260109375,1.6764236181640626
40,CIFAR100,fedexp,0,0,100,0.01,2,409,0.3424,0.42266,0.44,0.55418,3.44051669921875,2.7364946875,2.21899990234375,1.657442978515625
41,CIFAR100,fedexp,0,0,100,0.01,2,419,0.3319,0.40358,0.4416,0.55546,3.3393212890625,2.7318024609375,2.21264033203125,1.65071890625
42,CIFAR100,fedexp,0,0,100,0.01,2,429,0.3552,0.42882,0.4414,0.55648,3.3511611328125,2.6577102978515623,2.20593193359375,1.64628294921875
43,CIFAR100,fedexp,0,0,100,0.01,2,439,0.339,0.41312,0.4455,0.56048,3.33254609375,2.671739677734375,2.19485166015625,1.6318726416015625
44,CIFAR100,fedexp,0,0,100,0.01,2,449,0.3415,0.41302,0.4455,0.56552,3.5025978515625,2.809797705078125,2.1940169921875,1.60949853515625
45,CIFAR100,fedexp,0,0,100,0.01,2,459,0.3436,0.4091,0.4476,0.568,3.28664541015625,2.6755887109375,2.18564287109375,1.604462197265625
46,CIFAR100,fedexp,0,0,100,0.01,2,469,0.3308,0.40858,0.4507,0.57158,3.3876708984375,2.7009583984375,2.181173046875,1.5854394580078126
47,CIFAR100,fedexp,0,0,100,0.01,2,479,0.3315,0.4074,0.4522,0.57466,3.13923828125,2.562336435546875,2.16974365234375,1.573486611328125
48,CIFAR100,fedexp,0,0,100,0.01,2,489,0.3285,0.40296,0.452,0.57586,3.48448203125,2.832115244140625,2.16049892578125,1.567092138671875
49,CIFAR100,fedexp,0,0,100,0.01,2,499,0.3523,0.4292,0.4542,0.5776,3.41129990234375,2.7358906201171873,2.154558984375,1.5567972607421876
50,CIFAR100,fedexp,0,0,100,0.01,2,509,0.3449,0.41466,0.4584,0.5809,3.33231611328125,2.713823349609375,2.1467130859375,1.5376393701171875
51,CIFAR100,fedexp,0,0,100,0.01,2,519,0.3483,0.41966,0.463,0.5824,3.3832181640625,2.72390859375,2.13777392578125,1.5289611669921874
52,CIFAR100,fedexp,0,0,100,0.01,2,529,0.3387,0.40926,0.4623,0.5825,3.36828818359375,2.75791150390625,2.12858251953125,1.527009609375
53,CIFAR100,fedexp,0,0,100,0.01,2,539,0.3561,0.43598,0.463,0.58568,3.1152462890625,2.4701085546875,2.13286572265625,1.50686509765625
54,CIFAR100,fedexp,0,0,100,0.01,2,549,0.3548,0.43186,0.464,0.58962,3.26375947265625,2.591891845703125,2.12984697265625,1.49380595703125
55,CIFAR100,fedexp,0,0,100,0.01,2,559,0.3584,0.44032,0.464,0.59322,3.56931650390625,2.785948779296875,2.11984892578125,1.483822998046875
56,CIFAR100,fedexp,0,0,100,0.01,2,569,0.3575,0.42528,0.4657,0.59544,3.2329607421875,2.592172529296875,2.11957451171875,1.473466416015625
57,CIFAR100,fedexp,0,0,100,0.01,2,579,0.3569,0.42576,0.4672,0.598,3.11938232421875,2.5417142822265624,2.11199638671875,1.46421501953125
58,CIFAR100,fedexp,0,0,100,0.01,2,589,0.3499,0.43036,0.4693,0.60234,3.20458671875,2.568372890625,2.111666796875,1.4480389306640624
59,CIFAR100,fedexp,0,0,100,0.01,2,599,0.3704,0.45052,0.4724,0.60412,3.04763154296875,2.38459017578125,2.10844697265625,1.4385126171875
60,CIFAR100,fedexp,0,0,100,0.01,2,609,0.3687,0.45204,0.4736,0.6064,3.3707091796875,2.5744433203125,2.10759833984375,1.4250188671875
61,CIFAR100,fedexp,0,0,100,0.01,2,619,0.3672,0.445,0.4754,0.61168,3.26125263671875,2.554761435546875,2.11137705078125,1.40517146484375
62,CIFAR100,fedexp,0,0,100,0.01,2,629,0.3531,0.4398,0.4771,0.61188,3.44386171875,2.631409814453125,2.10830498046875,1.39773822265625
63,CIFAR100,fedexp,0,0,100,0.01,2,639,0.3721,0.46404,0.4769,0.61336,3.2756779296875,2.47641400390625,2.10879111328125,1.3924591748046875
64,CIFAR100,fedexp,0,0,100,0.01,2,649,0.3684,0.45374,0.4764,0.6156,3.40028955078125,2.6199474609375,2.10846513671875,1.3859771337890625
65,CIFAR100,fedexp,0,0,100,0.01,2,659,0.3687,0.45078,0.478,0.61602,3.17897177734375,2.4667855224609374,2.1068732421875,1.3820884814453125
66,CIFAR100,fedexp,0,0,100,0.01,2,669,0.3524,0.43524,0.4783,0.6181,3.2317283203125,2.545272705078125,2.1040994140625,1.3775426513671876
67,CIFAR100,fedexp,0,0,100,0.01,2,679,0.3567,0.4327,0.4786,0.62028,3.20847265625,2.5362681640625,2.10232763671875,1.3750051171875
68,CIFAR100,fedexp,0,0,100,0.01,2,689,0.3578,0.4344,0.4801,0.6213,3.41686748046875,2.67043794921875,2.09541162109375,1.3685448779296876
69,CIFAR100,fedexp,0,0,100,0.01,2,699,0.3622,0.44648,0.4794,0.62202,3.15628876953125,2.4666251171875,2.0868181640625,1.36274146484375
70,CIFAR100,fedexp,0,0,100,0.01,2,709,0.373,0.4489,0.4829,0.62402,3.078624609375,2.405869833984375,2.08169794921875,1.3565764990234375
71,CIFAR100,fedexp,0,0,100,0.01,2,719,0.3551,0.43704,0.4844,0.62524,3.25678232421875,2.55644029296875,2.07526455078125,1.3484141357421875
72,CIFAR100,fedexp,0,0,100,0.01,2,729,0.3563,0.44576,0.4832,0.62672,3.31065283203125,2.5555752734375,2.07203125,1.343706982421875
73,CIFAR100,fedexp,0,0,100,0.01,2,739,0.3426,0.42188,0.4824,0.62746,3.1693978515625,2.534989423828125,2.068688671875,1.340682568359375
74,CIFAR100,fedexp,0,0,100,0.01,2,749,0.3714,0.45142,0.485,0.62814,3.041619921875,2.376574619140625,2.06545341796875,1.3383467724609375
75,CIFAR100,fedexp,0,0,100,0.01,2,759,0.3682,0.4546,0.4884,0.62874,3.33165380859375,2.566774736328125,2.0628310546875,1.3372245703125
76,CIFAR100,fedexp,0,0,100,0.01,2,769,0.3753,0.46514,0.4867,0.63056,3.2225384765625,2.4568926953125,2.069484765625,1.3338429833984375
77,CIFAR100,fedexp,0,0,100,0.01,2,779,0.3718,0.44886,0.4875,0.63214,3.24653310546875,2.51019890625,2.06469560546875,1.3279883056640625
78,CIFAR100,fedexp,0,0,100,0.01,2,789,0.361,0.43946,0.4885,0.63246,3.15783369140625,2.514494736328125,2.05996328125,1.3267028515625
79,CIFAR100,fedexp,0,0,100,0.01,2,799,0.3669,0.4541,0.4889,0.63248,3.1612431640625,2.4299355859375,2.05439931640625,1.32522732421875
80,CIFAR100,fedexp,0,0,100,0.01,2,809,0.3762,0.45834,0.4904,0.63286,3.251819921875,2.505069912109375,2.05232998046875,1.3231075390625
81,CIFAR100,fedexp,0,0,100,0.01,2,819,0.3707,0.45828,0.491,0.63288,3.127689453125,2.409421591796875,2.05390673828125,1.322293515625
82,CIFAR100,fedexp,0,0,100,0.01,2,829,0.3676,0.4496,0.4914,0.63436,3.0339533203125,2.353266923828125,2.0499884765625,1.3197552978515625
83,CIFAR100,fedexp,0,0,100,0.01,2,839,0.3945,0.49094,0.4932,0.63786,2.8640091796875,2.1454968310546874,2.04420703125,1.30955935546875
84,CIFAR100,fedexp,0,0,100,0.01,2,849,0.3757,0.46236,0.4967,0.64062,3.0304751953125,2.330036845703125,2.03950615234375,1.2988538134765626
85,CIFAR100,fedexp,0,0,100,0.01,2,859,0.3574,0.44906,0.4944,0.64182,3.23152626953125,2.512001650390625,2.0339578125,1.2914842236328126
86,CIFAR100,fedexp,0,0,100,0.01,2,869,0.3795,0.46326,0.4945,0.6436,3.31881103515625,2.5305108203125,2.0299689453125,1.2843939501953126
