,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedexp,0,0,100,0.01,2,9,0.106,0.10682,0.0207,0.01904,3.87663447265625,3.864081416015625,4.5945041015625,4.5944031640625
1,CIFAR100,fedexp,0,0,100,0.01,2,19,0.1498,0.15632,0.0678,0.06832,3.70155439453125,3.649421826171875,4.5494544921875,4.54845708984375
2,CIFAR100,fedexp,0,0,100,0.01,2,29,0.1402,0.14874,0.1272,0.12674,4.2838087890625,4.1627375390625,4.4618365234375,4.4583590234375
3,CIFAR100,fedexp,0,0,100,0.01,2,39,0.1618,0.17658,0.1597,0.16094,3.8034521484375,3.703904833984375,4.365906640625,4.358730078125
4,CIFAR100,fedexp,0,0,100,0.01,2,49,0.1849,0.20194,0.18,0.18482,3.6994689453125,3.54686763671875,4.27947890625,4.26809140625
5,CIFAR100,fedexp,0,0,100,0.01,2,59,0.2082,0.2294,0.2117,0.21914,3.685558203125,3.4971848828125,4.1172453125,4.097623671875
6,CIFAR100,fedexp,0,0,100,0.01,2,69,0.2245,0.24598,0.2419,0.2551,3.56625078125,3.36734669921875,3.91354580078125,3.8811620703125
7,CIFAR100,fedexp,0,0,100,0.01,2,79,0.2458,0.27872,0.2669,0.28532,3.5127076171875,3.2810922265625,3.66309970703125,3.61221669921875
8,CIFAR100,fedexp,0,0,100,0.01,2,89,0.2456,0.28402,0.28,0.30188,3.4976244140625,3.232402734375,3.5015759765625,3.436399052734375
9,CIFAR100,fedexp,0,0,100,0.01,2,99,0.271,0.31684,0.295,0.32654,3.419651953125,3.07879767578125,3.38174189453125,3.301609580078125
10,CIFAR100,fedexp,0,0,100,0.01,2,109,0.2406,0.28162,0.3077,0.34454,3.83396572265625,3.4791784765625,3.24990810546875,3.152786435546875
11,CIFAR100,fedexp,0,0,100,0.01,2,119,0.2837,0.32456,0.3228,0.36284,3.845062109375,3.43291353515625,3.04790771484375,2.92285958984375
12,CIFAR100,fedexp,0,0,100,0.01,2,129,0.2822,0.32644,0.3383,0.38246,3.58800068359375,3.170468251953125,2.9005087890625,2.748508818359375
13,CIFAR100,fedexp,0,0,100,0.01,2,139,0.2873,0.33244,0.3478,0.39454,3.44288671875,3.054264345703125,2.79881748046875,2.625259267578125
14,CIFAR100,fedexp,0,0,100,0.01,2,149,0.2963,0.34618,0.3552,0.4097,3.49449921875,3.111316845703125,2.728898828125,2.53747666015625
15,CIFAR100,fedexp,0,0,100,0.01,2,159,0.2978,0.35196,0.364,0.42254,3.3587650390625,2.939683857421875,2.63939306640625,2.421993505859375
16,CIFAR100,fedexp,0,0,100,0.01,2,169,0.2907,0.34112,0.377,0.44298,3.59125791015625,3.1226377734375,2.4957134765625,2.217433935546875
17,CIFAR100,fedexp,0,0,100,0.01,2,179,0.3019,0.35354,0.3809,0.44984,3.6655357421875,3.214856103515625,2.4701087890625,2.1804172265625
18,CIFAR100,fedexp,0,0,100,0.01,2,189,0.2983,0.35976,0.3911,0.46638,3.63546767578125,3.075848349609375,2.40435478515625,2.08422974609375
19,CIFAR100,fedexp,0,0,100,0.01,2,199,0.3328,0.40346,0.3992,0.4805,3.394341796875,2.83292279296875,2.35139287109375,2.0016148779296876
20,CIFAR100,fedexp,0,0,100,0.01,2,209,0.3184,0.38382,0.4094,0.4897,3.4495810546875,2.915342685546875,2.32208876953125,1.9583828076171874
21,CIFAR100,fedexp,0,0,100,0.01,2,219,0.3292,0.38898,0.4182,0.49864,3.33136875,2.801104765625,2.2953236328125,1.919363447265625
