,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedexp,0,0,100,0.1,1,9,0.1299,0.13474,0.0912,0.09074,3.73438603515625,3.710717744140625,4.387509375,4.3858789453125
1,CIFAR100,fedexp,0,0,100,0.1,1,19,0.1918,0.20516,0.178,0.18432,3.4089787109375,3.31639490234375,3.72336201171875,3.692349140625
2,CIFAR100,fedexp,0,0,100,0.1,1,29,0.2134,0.23348,0.2057,0.22436,3.3754994140625,3.19385435546875,3.350578515625,3.258154443359375
3,CIFAR100,fedexp,0,0,100,0.1,1,39,0.2395,0.27644,0.2409,0.26634,3.35270751953125,3.021928310546875,3.1655912109375,2.983445830078125
4,CIFAR100,fedexp,0,0,100,0.1,1,49,0.2054,0.23892,0.2635,0.30484,3.79921279296875,3.3853196484375,3.10715458984375,2.7908821484375
5,CIFAR100,fedexp,0,0,100,0.1,1,59,0.2659,0.3101,0.2787,0.33326,3.488173828125,2.95993162109375,3.11957509765625,2.676553330078125
6,CIFAR100,fedexp,0,0,100,0.1,1,69,0.2592,0.31652,0.2943,0.35576,3.72789501953125,3.0892522265625,3.08793525390625,2.55975484375
7,CIFAR100,fedexp,0,0,100,0.1,1,79,0.2692,0.33318,0.3059,0.37864,3.5750998046875,2.87359537109375,3.08569521484375,2.471000654296875
8,CIFAR100,fedexp,0,0,100,0.1,1,89,0.2693,0.34328,0.3125,0.40324,3.79000546875,2.990535087890625,3.06461474609375,2.349645498046875
9,CIFAR100,fedexp,0,0,100,0.1,1,99,0.2886,0.36898,0.3206,0.42342,3.35684306640625,2.621757666015625,3.02158466796875,2.246876171875
10,CIFAR100,fedexp,0,0,100,0.1,1,109,0.2994,0.39846,0.3311,0.44266,3.4695544921875,2.5553449609375,3.000051171875,2.1621632080078124
11,CIFAR100,fedexp,0,0,100,0.1,1,119,0.3067,0.40892,0.3409,0.46072,3.4252375,2.498750927734375,2.966545703125,2.08183568359375
12,CIFAR100,fedexp,0,0,100,0.1,1,129,0.3332,0.45734,0.3528,0.47896,3.200239453125,2.189863310546875,2.93535625,1.9925240234375
13,CIFAR100,fedexp,0,0,100,0.1,1,139,0.3138,0.42092,0.3603,0.4969,3.1876765625,2.30957794921875,2.92255048828125,1.9124708837890625
14,CIFAR100,fedexp,0,0,100,0.1,1,149,0.3399,0.45716,0.3595,0.50528,3.07786806640625,2.135004814453125,2.88671728515625,1.8578252978515626
15,CIFAR100,fedexp,0,0,100,0.1,1,159,0.3489,0.47856,0.366,0.51716,3.190471875,2.078136806640625,2.87236279296875,1.80996689453125
16,CIFAR100,fedexp,0,0,100,0.1,1,169,0.3538,0.50214,0.3721,0.53006,3.06172333984375,1.931485869140625,2.84776015625,1.74766244140625
17,CIFAR100,fedexp,0,0,100,0.1,1,179,0.2756,0.35676,0.3782,0.54708,4.0432505859375,3.01605283203125,2.82795029296875,1.6788265234375
18,CIFAR100,fedexp,0,0,100,0.1,1,189,0.3419,0.46666,0.3811,0.5486,3.243075,2.120446748046875,2.81149443359375,1.6522417919921875
19,CIFAR100,fedexp,0,0,100,0.1,1,199,0.3566,0.49002,0.3827,0.55842,3.11766884765625,2.003914501953125,2.77616240234375,1.6156671728515626
20,CIFAR100,fedexp,0,0,100,0.1,1,209,0.3458,0.48946,0.3875,0.56318,3.21137080078125,2.012258125,2.77380966796875,1.59871859375
21,CIFAR100,fedexp,0,0,100,0.1,1,219,0.3811,0.5495,0.3947,0.57388,2.88858720703125,1.6655493115234374,2.770071484375,1.5453699609375
22,CIFAR100,fedexp,0,0,100,0.1,1,229,0.3448,0.48558,0.3965,0.58098,3.1721466796875,2.0274974365234373,2.74676201171875,1.513097314453125
23,CIFAR100,fedexp,0,0,100,0.1,1,239,0.3224,0.4336,0.4016,0.5866,3.73466591796875,2.56008890625,2.72541669921875,1.492427841796875
24,CIFAR100,fedexp,0,0,100,0.1,1,249,0.3219,0.44432,0.4047,0.59246,3.44370078125,2.322918427734375,2.70292802734375,1.4691750048828125
25,CIFAR100,fedexp,0,0,100,0.1,1,259,0.3917,0.56844,0.4083,0.60044,2.86368115234375,1.5967013037109374,2.68323427734375,1.433011708984375
26,CIFAR100,fedexp,0,0,100,0.1,1,269,0.3887,0.56826,0.4087,0.60772,2.8786283203125,1.5903386328125,2.6762689453125,1.402121201171875
27,CIFAR100,fedexp,0,0,100,0.1,1,279,0.3845,0.54776,0.4124,0.61134,2.879679296875,1.69759740234375,2.6472998046875,1.385601181640625
28,CIFAR100,fedexp,0,0,100,0.1,1,289,0.3861,0.5548,0.4113,0.61018,2.92348994140625,1.655627578125,2.65832763671875,1.3800935302734374
29,CIFAR100,fedexp,0,0,100,0.1,1,299,0.3621,0.51424,0.4162,0.61518,3.25461318359375,1.9379474853515626,2.65680712890625,1.3631600732421876
30,CIFAR100,fedexp,0,0,100,0.1,1,309,0.3936,0.58622,0.414,0.6219,2.83252578125,1.5134099951171875,2.6555302734375,1.3403282763671875
31,CIFAR100,fedexp,0,0,100,0.1,1,319,0.4012,0.5925,0.413,0.62762,2.8037744140625,1.4854026904296875,2.65007080078125,1.3184614892578126
32,CIFAR100,fedexp,0,0,100,0.1,1,329,0.4071,0.61234,0.4165,0.63658,2.7899662109375,1.40349560546875,2.64564990234375,1.281069345703125
33,CIFAR100,fedexp,0,0,100,0.1,1,339,0.3999,0.5977,0.4227,0.64632,2.8501810546875,1.4714132421875,2.63045654296875,1.242341669921875
34,CIFAR100,fedexp,0,0,100,0.1,1,349,0.4152,0.6324,0.4261,0.65488,2.70135126953125,1.3030428076171876,2.615605078125,1.21574912109375
35,CIFAR100,fedexp,0,0,100,0.1,1,359,0.4168,0.6402,0.4261,0.6593,2.687481640625,1.2687282958984376,2.6067017578125,1.189835517578125
36,CIFAR100,fedexp,0,0,100,0.1,1,369,0.3827,0.54772,0.4273,0.657,2.90164091796875,1.6913033056640625,2.58658203125,1.192862646484375
37,CIFAR100,fedexp,0,0,100,0.1,1,379,0.3977,0.58948,0.4226,0.64768,2.86422353515625,1.5197072802734375,2.58934609375,1.237383359375
38,CIFAR100,fedexp,0,0,100,0.1,1,389,0.4185,0.62818,0.4258,0.65532,2.6922005859375,1.3306300830078126,2.58697109375,1.21616578125
39,CIFAR100,fedexp,0,0,100,0.1,1,399,0.4045,0.6033,0.4286,0.65928,2.8275046875,1.455410849609375,2.57447734375,1.19330888671875
40,CIFAR100,fedexp,0,0,100,0.1,1,409,0.4162,0.63526,0.4316,0.66686,2.68323623046875,1.2965003857421875,2.56234638671875,1.1619980297851562
41,CIFAR100,fedexp,0,0,100,0.1,1,419,0.4048,0.61726,0.432,0.67052,2.7990451171875,1.39466392578125,2.55856748046875,1.1461000390625
42,CIFAR100,fedexp,0,0,100,0.1,1,429,0.4103,0.6114,0.4366,0.6735,2.775936328125,1.4075780615234375,2.5360873046875,1.13792580078125
43,CIFAR100,fedexp,0,0,100,0.1,1,439,0.4208,0.62634,0.4387,0.67296,2.709053515625,1.3408000341796875,2.5249240234375,1.137260283203125
44,CIFAR100,fedexp,0,0,100,0.1,1,449,0.4196,0.62774,0.439,0.67216,2.67122421875,1.33032517578125,2.532580078125,1.1414231298828126
45,CIFAR100,fedexp,0,0,100,0.1,1,459,0.4069,0.60518,0.4403,0.67472,2.80208271484375,1.4312576171875,2.5353046875,1.133009296875
46,CIFAR100,fedexp,0,0,100,0.1,1,469,0.4259,0.63996,0.4437,0.67762,2.6970400390625,1.291770126953125,2.5250064453125,1.1211260302734376
47,CIFAR100,fedexp,0,0,100,0.1,1,479,0.4141,0.6026,0.4437,0.68414,2.830772265625,1.4454297607421875,2.51821435546875,1.0999958544921875
48,CIFAR100,fedexp,0,0,100,0.1,1,489,0.4229,0.62804,0.4491,0.6872,2.71590556640625,1.33379189453125,2.4981955078125,1.08266158203125
49,CIFAR100,fedexp,0,0,100,0.1,1,499,0.415,0.62954,0.4461,0.69034,2.7042669921875,1.334247021484375,2.4982427734375,1.074632236328125
50,CIFAR100,fedexp,0,0,100,0.1,1,509,0.4411,0.67654,0.4465,0.69598,2.56186669921875,1.1275841015625,2.49213994140625,1.060242841796875
51,CIFAR100,fedexp,0,0,100,0.1,1,519,0.3855,0.5716,0.4451,0.69924,2.95486787109375,1.6054637744140625,2.49188876953125,1.0427167041015626
52,CIFAR100,fedexp,0,0,100,0.1,1,529,0.3749,0.54724,0.4461,0.7001,3.25873740234375,1.794353837890625,2.49379755859375,1.041832158203125
53,CIFAR100,fedexp,0,0,100,0.1,1,539,0.4251,0.65072,0.4483,0.69796,2.69908291015625,1.241966005859375,2.49104189453125,1.0493105224609376
54,CIFAR100,fedexp,0,0,100,0.1,1,549,0.3965,0.58402,0.4465,0.70218,2.93627490234375,1.5478751708984375,2.4892478515625,1.0363538940429688
55,CIFAR100,fedexp,0,0,100,0.1,1,559,0.3387,0.47132,0.4475,0.7025,3.60908154296875,2.267760966796875,2.48603115234375,1.030327314453125
56,CIFAR100,fedexp,0,0,100,0.1,1,569,0.4275,0.65156,0.4506,0.70206,2.646523828125,1.2195635302734376,2.4719798828125,1.030923046875
57,CIFAR100,fedexp,0,0,100,0.1,1,579,0.3729,0.5457,0.4501,0.70462,3.11743583984375,1.74493388671875,2.459673046875,1.020295732421875
58,CIFAR100,fedexp,0,0,100,0.1,1,589,0.414,0.63652,0.449,0.70398,2.711903125,1.2961003271484375,2.46803896484375,1.0208579638671875
59,CIFAR100,fedexp,0,0,100,0.1,1,599,0.4242,0.64868,0.4499,0.71094,2.6742490234375,1.2362354931640624,2.4642751953125,0.9992870239257813
