,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedexp,0,0,100,0.1,2,9,0.14,0.1365,0.1039,0.10414,3.7045017578125,3.680803623046875,4.2936294921875,4.2904005859375
1,CIFAR100,fedexp,0,0,100,0.1,2,19,0.1989,0.21052,0.1741,0.17744,3.39623828125,3.3002251953125,3.67906640625,3.649958701171875
2,CIFAR100,fedexp,0,0,100,0.1,2,29,0.2167,0.23858,0.2208,0.2367,3.3803439453125,3.163008115234375,3.28385341796875,3.174585869140625
3,CIFAR100,fedexp,0,0,100,0.1,2,39,0.2437,0.28028,0.2513,0.27952,3.387576171875,3.03854927734375,3.14863359375,2.9268181640625
4,CIFAR100,fedexp,0,0,100,0.1,2,49,0.262,0.31604,0.2664,0.31064,3.309720703125,2.841521474609375,3.09282734375,2.768943271484375
5,CIFAR100,fedexp,0,0,100,0.1,2,59,0.2706,0.33062,0.2777,0.3356,3.4082818359375,2.845515458984375,3.0622884765625,2.64633564453125
6,CIFAR100,fedexp,0,0,100,0.1,2,69,0.288,0.36022,0.2983,0.36564,3.3214677734375,2.66515388671875,3.058406640625,2.50732912109375
7,CIFAR100,fedexp,0,0,100,0.1,2,79,0.294,0.38522,0.3071,0.3909,3.3194869140625,2.531219951171875,3.05465185546875,2.39424818359375
8,CIFAR100,fedexp,0,0,100,0.1,2,89,0.2954,0.3768,0.3185,0.41356,3.34915126953125,2.577413046875,3.04330205078125,2.28884685546875
9,CIFAR100,fedexp,0,0,100,0.1,2,99,0.326,0.43756,0.3296,0.43792,3.13526875,2.233045869140625,3.02907451171875,2.1839522900390627
10,CIFAR100,fedexp,0,0,100,0.1,2,109,0.3189,0.43218,0.3368,0.45866,3.17360341796875,2.2420532373046873,3.00758037109375,2.0825974951171875
11,CIFAR100,fedexp,0,0,100,0.1,2,119,0.3318,0.453,0.3439,0.46924,3.119781640625,2.1550414697265623,2.98022158203125,2.0255046142578124
12,CIFAR100,fedexp,0,0,100,0.1,2,129,0.3254,0.43382,0.3513,0.47778,3.17777998046875,2.253092236328125,2.9664326171875,1.9862359326171874
13,CIFAR100,fedexp,0,0,100,0.1,2,139,0.3384,0.4615,0.3539,0.49134,3.1316255859375,2.1157951953125,2.9463400390625,1.9266577880859375
14,CIFAR100,fedexp,0,0,100,0.1,2,149,0.3499,0.48766,0.3653,0.50614,3.05278671875,1.970328818359375,2.93129755859375,1.863117529296875
15,CIFAR100,fedexp,0,0,100,0.1,2,159,0.357,0.50462,0.3678,0.51652,3.04500810546875,1.908305224609375,2.9120140625,1.8103435595703126
16,CIFAR100,fedexp,0,0,100,0.1,2,169,0.2847,0.3826,0.3708,0.52808,3.75358232421875,2.68528251953125,2.89134150390625,1.74825748046875
17,CIFAR100,fedexp,0,0,100,0.1,2,179,0.3655,0.51874,0.3758,0.5404,3.00440068359375,1.8031603564453125,2.8733033203125,1.6911741845703125
18,CIFAR100,fedexp,0,0,100,0.1,2,189,0.3579,0.51634,0.3799,0.5499,3.03060302734375,1.8573806640625,2.8408798828125,1.6578318115234374
19,CIFAR100,fedexp,0,0,100,0.1,2,199,0.3385,0.47446,0.3814,0.55934,3.3389693359375,2.097765224609375,2.827457421875,1.6183668017578126
20,CIFAR100,fedexp,0,0,100,0.1,2,209,0.3698,0.528,0.385,0.56284,2.97213740234375,1.7858802783203125,2.81673388671875,1.5901032177734375
21,CIFAR100,fedexp,0,0,100,0.1,2,219,0.3052,0.40856,0.3904,0.5721,3.59290048828125,2.520469150390625,2.80366396484375,1.5515908349609375
22,CIFAR100,fedexp,0,0,100,0.1,2,229,0.3791,0.55244,0.3911,0.57798,2.93277568359375,1.6556289990234374,2.7834373046875,1.524025107421875
23,CIFAR100,fedexp,0,0,100,0.1,2,239,0.3731,0.55242,0.3919,0.59036,2.90553759765625,1.6441065283203125,2.7791158203125,1.478262548828125
24,CIFAR100,fedexp,0,0,100,0.1,2,249,0.3769,0.55334,0.3946,0.59298,2.97483515625,1.671598671875,2.7522529296875,1.457989169921875
25,CIFAR100,fedexp,0,0,100,0.1,2,259,0.3647,0.52772,0.3983,0.5956,3.145609375,1.81527998046875,2.7410884765625,1.4479863037109375
26,CIFAR100,fedexp,0,0,100,0.1,2,269,0.3342,0.46856,0.3997,0.60168,3.200496484375,2.106340078125,2.71687421875,1.4266901025390626
27,CIFAR100,fedexp,0,0,100,0.1,2,279,0.3823,0.57108,0.4022,0.60722,2.89835400390625,1.5768961328125,2.73327529296875,1.4044902783203126
28,CIFAR100,fedexp,0,0,100,0.1,2,289,0.3659,0.52478,0.4055,0.6137,3.10208154296875,1.82030953125,2.7160458984375,1.3742773046875
29,CIFAR100,fedexp,0,0,100,0.1,2,299,0.3716,0.52866,0.4094,0.61714,3.09763515625,1.8134146337890624,2.700137109375,1.35857875
30,CIFAR100,fedexp,0,0,100,0.1,2,309,0.3888,0.5832,0.4066,0.61952,2.8693197265625,1.531102666015625,2.69705107421875,1.3475594287109376
31,CIFAR100,fedexp,0,0,100,0.1,2,319,0.3947,0.59986,0.4049,0.62874,2.83806708984375,1.4647407568359374,2.6920578125,1.323278447265625
32,CIFAR100,fedexp,0,0,100,0.1,2,329,0.3838,0.56834,0.412,0.6351,3.040874609375,1.621917353515625,2.70006572265625,1.2965045654296874
33,CIFAR100,fedexp,0,0,100,0.1,2,339,0.3911,0.58596,0.4158,0.64088,2.91294453125,1.5278870166015626,2.68648818359375,1.270900830078125
34,CIFAR100,fedexp,0,0,100,0.1,2,349,0.3875,0.58628,0.4124,0.64682,2.9190734375,1.5064775341796874,2.66833154296875,1.24270908203125
