,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedexp,0,0,100,0.1,2,9,0.1434,0.14452,0.1057,0.10632,3.6872771484375,3.662066806640625,4.3163310546875,4.31233943359375
1,CIFAR100,fedexp,0,0,100,0.1,2,19,0.1927,0.20278,0.1709,0.17686,3.41495947265625,3.32023837890625,3.69033583984375,3.66157498046875
2,CIFAR100,fedexp,0,0,100,0.1,2,29,0.2257,0.2456,0.2173,0.23042,3.2934310546875,3.10064056640625,3.29987109375,3.197433232421875
3,CIFAR100,fedexp,0,0,100,0.1,2,39,0.2587,0.28758,0.2518,0.27352,3.2413982421875,2.950257529296875,3.133644140625,2.94169626953125
4,CIFAR100,fedexp,0,0,100,0.1,2,49,0.2771,0.31426,0.2664,0.30182,3.20567255859375,2.813088623046875,3.0790208984375,2.805158525390625
5,CIFAR100,fedexp,0,0,100,0.1,2,59,0.2793,0.33086,0.2852,0.32746,3.26172021484375,2.76675244140625,3.04957333984375,2.690429384765625
6,CIFAR100,fedexp,0,0,100,0.1,2,69,0.2991,0.36154,0.2995,0.35858,3.170450390625,2.59803244140625,3.045783984375,2.5528945703125
7,CIFAR100,fedexp,0,0,100,0.1,2,79,0.3044,0.38322,0.3108,0.38134,3.1973802734375,2.503640458984375,3.0410140625,2.44823904296875
8,CIFAR100,fedexp,0,0,100,0.1,2,89,0.3168,0.39168,0.3209,0.40516,3.1750048828125,2.469020517578125,3.03415830078125,2.352948818359375
9,CIFAR100,fedexp,0,0,100,0.1,2,99,0.3283,0.42624,0.3279,0.4265,3.10347275390625,2.281895693359375,3.0224587890625,2.251371162109375
10,CIFAR100,fedexp,0,0,100,0.1,2,109,0.3308,0.43422,0.3372,0.4454,3.110521875,2.2284343359375,3.00896025390625,2.157606025390625
11,CIFAR100,fedexp,0,0,100,0.1,2,119,0.3326,0.44836,0.3392,0.45564,3.09882607421875,2.1677765380859375,2.99650458984375,2.097691611328125
12,CIFAR100,fedexp,0,0,100,0.1,2,129,0.335,0.44836,0.3467,0.4685,3.16297265625,2.1896459716796874,2.99198681640625,2.04402896484375
13,CIFAR100,fedexp,0,0,100,0.1,2,139,0.3452,0.47002,0.3549,0.48138,3.09519033203125,2.06852994140625,2.97140830078125,1.9765946484375
14,CIFAR100,fedexp,0,0,100,0.1,2,149,0.3548,0.48644,0.3578,0.4946,3.04228564453125,1.9703739697265625,2.96137255859375,1.91902896484375
15,CIFAR100,fedexp,0,0,100,0.1,2,159,0.3584,0.5002,0.3605,0.50608,3.02443583984375,1.9108296142578125,2.946284765625,1.8638946484375
16,CIFAR100,fedexp,0,0,100,0.1,2,169,0.3247,0.4487,0.3648,0.5188,3.26272060546875,2.192420859375,2.9371451171875,1.804668349609375
17,CIFAR100,fedexp,0,0,100,0.1,2,179,0.3611,0.52088,0.3689,0.53114,3.0168142578125,1.808557509765625,2.932114453125,1.75350244140625
18,CIFAR100,fedexp,0,0,100,0.1,2,189,0.3601,0.52054,0.3726,0.53734,3.0485595703125,1.81650203125,2.9196076171875,1.709028740234375
19,CIFAR100,fedexp,0,0,100,0.1,2,199,0.3626,0.52272,0.3755,0.54894,3.04617509765625,1.7970958837890625,2.91697939453125,1.65844333984375
20,CIFAR100,fedexp,0,0,100,0.1,2,209,0.3664,0.54414,0.3785,0.55984,2.9789984375,1.6938768896484375,2.90201181640625,1.6111426953125
21,CIFAR100,fedexp,0,0,100,0.1,2,219,0.3512,0.5072,0.3817,0.5687,3.21484189453125,1.9109897998046874,2.89049130859375,1.5735506640625
22,CIFAR100,fedexp,0,0,100,0.1,2,229,0.3746,0.56086,0.3839,0.5761,2.96492763671875,1.6135961279296875,2.87983349609375,1.5344898779296876
23,CIFAR100,fedexp,0,0,100,0.1,2,239,0.3776,0.56614,0.3889,0.5843,2.9878833984375,1.57940482421875,2.88191220703125,1.4914051904296874
24,CIFAR100,fedexp,0,0,100,0.1,2,249,0.3839,0.56806,0.3918,0.5908,2.9991357421875,1.5884047314453125,2.87140087890625,1.4674924658203126
25,CIFAR100,fedexp,0,0,100,0.1,2,259,0.3771,0.57026,0.3933,0.59654,3.01346962890625,1.576992841796875,2.8693490234375,1.4449045361328126
26,CIFAR100,fedexp,0,0,100,0.1,2,269,0.3733,0.5603,0.3936,0.60326,3.0115255859375,1.6315450927734374,2.8554462890625,1.4187840625
27,CIFAR100,fedexp,0,0,100,0.1,2,279,0.3849,0.59124,0.393,0.6089,2.920528515625,1.46372173828125,2.862825,1.39240201171875
28,CIFAR100,fedexp,0,0,100,0.1,2,289,0.3833,0.5873,0.3951,0.6152,2.9807595703125,1.49660431640625,2.8562560546875,1.3638001123046875
29,CIFAR100,fedexp,0,0,100,0.1,2,299,0.3837,0.5898,0.3995,0.62152,2.957222265625,1.480901572265625,2.84123427734375,1.3308682373046874
30,CIFAR100,fedexp,0,0,100,0.1,2,309,0.3897,0.60836,0.4004,0.62878,2.91235634765625,1.393296171875,2.83933056640625,1.3054932275390625
31,CIFAR100,fedexp,0,0,100,0.1,2,319,0.3927,0.6176,0.4008,0.63394,2.94477607421875,1.3640564453125,2.8462517578125,1.2830187548828125
32,CIFAR100,fedexp,0,0,100,0.1,2,329,0.3925,0.61512,0.4008,0.64054,2.96913037109375,1.3759976708984376,2.849499609375,1.2566759228515625
33,CIFAR100,fedexp,0,0,100,0.1,2,339,0.3889,0.61392,0.4,0.6466,3.00689150390625,1.3846086376953124,2.842845703125,1.235729150390625
34,CIFAR100,fedexp,0,0,100,0.1,2,349,0.3999,0.62966,0.4034,0.65232,2.9376162109375,1.302987216796875,2.84085771484375,1.2129719482421875
35,CIFAR100,fedexp,0,0,100,0.1,2,359,0.3981,0.63948,0.4056,0.65754,2.94644873046875,1.2662764794921875,2.84234677734375,1.190655400390625
36,CIFAR100,fedexp,0,0,100,0.1,2,369,0.3943,0.62978,0.4086,0.66174,2.9692853515625,1.304062041015625,2.83698779296875,1.1704038134765624
37,CIFAR100,fedexp,0,0,100,0.1,2,379,0.4015,0.64784,0.4077,0.6667,2.93136708984375,1.2293930615234374,2.83392890625,1.1505798779296874
38,CIFAR100,fedexp,0,0,100,0.1,2,389,0.406,0.65162,0.4127,0.67244,2.91967236328125,1.2147060766601563,2.83078603515625,1.12974458984375
39,CIFAR100,fedexp,0,0,100,0.1,2,399,0.3998,0.65348,0.4122,0.67702,2.9312701171875,1.2027583154296875,2.83004716796875,1.1086611206054688
40,CIFAR100,fedexp,0,0,100,0.1,2,409,0.4048,0.65988,0.4102,0.6799,2.91669365234375,1.1859580517578125,2.83792431640625,1.0978875146484375
41,CIFAR100,fedexp,0,0,100,0.1,2,419,0.4066,0.6677,0.4114,0.6817,2.91116005859375,1.1516160400390625,2.8407693359375,1.0853768505859376
42,CIFAR100,fedexp,0,0,100,0.1,2,429,0.4043,0.67002,0.4154,0.68884,2.91972568359375,1.1394856958007813,2.83731591796875,1.060574599609375
43,CIFAR100,fedexp,0,0,100,0.1,2,439,0.4038,0.66358,0.4147,0.69374,2.98433818359375,1.1728946215820313,2.8384365234375,1.0429368823242187
44,CIFAR100,fedexp,0,0,100,0.1,2,449,0.4046,0.67294,0.4153,0.69782,2.92194482421875,1.1294336987304687,2.835111328125,1.0282200415039062
45,CIFAR100,fedexp,0,0,100,0.1,2,459,0.4095,0.67896,0.4148,0.7013,2.9234142578125,1.1035725244140624,2.8388865234375,1.0181245483398438
46,CIFAR100,fedexp,0,0,100,0.1,2,469,0.4125,0.68354,0.4161,0.7044,2.9359181640625,1.081807978515625,2.84435458984375,1.0011388525390625
47,CIFAR100,fedexp,0,0,100,0.1,2,479,0.4077,0.68168,0.4178,0.70812,2.94980859375,1.0842472973632813,2.84326552734375,0.9847859497070313
48,CIFAR100,fedexp,0,0,100,0.1,2,489,0.4077,0.6772,0.4209,0.7099,2.95817041015625,1.1040668798828126,2.84084384765625,0.9759845922851562
49,CIFAR100,fedexp,0,0,100,0.1,2,499,0.4109,0.68306,0.4208,0.71194,2.94925703125,1.0829449438476562,2.83727314453125,0.969189580078125
