,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedexp,0,0.3,100,0.01,2,9,0.051,0.05014,0.02,0.01946,4.6006845703125,4.59214705078125,4.5966845703125,4.59660076171875
1,CIFAR100,fedexp,0,0.3,100,0.01,2,19,0.094,0.09614,0.0516,0.05438,4.28561875,4.24970470703125,4.5602796875,4.5596121484375
2,CIFAR100,fedexp,0,0.3,100,0.01,2,29,0.0833,0.08852,0.0948,0.09438,5.61055703125,5.53903189453125,4.4843296875,4.482514609375
3,CIFAR100,fedexp,0,0.3,100,0.01,2,39,0.1112,0.1177,0.1267,0.12948,4.6548517578125,4.57741052734375,4.4014947265625,4.3975475
4,CIFAR100,fedexp,0,0.3,100,0.01,2,49,0.1341,0.13684,0.1516,0.15422,4.9190904296875,4.81617974609375,4.323673828125,4.31715404296875
5,CIFAR100,fedexp,0,0.3,100,0.01,2,59,0.1293,0.1392,0.185,0.19244,4.986758203125,4.79656837890625,4.183908984375,4.17168408203125
6,CIFAR100,fedexp,0,0.3,100,0.01,2,69,0.1974,0.2161,0.2224,0.23144,3.7603318359375,3.557896513671875,4.01846806640625,3.99702697265625
7,CIFAR100,fedexp,0,0.3,100,0.01,2,79,0.2171,0.24178,0.246,0.26072,3.519613671875,3.3164593359375,3.81125458984375,3.775878310546875
8,CIFAR100,fedexp,0,0.3,100,0.01,2,89,0.1415,0.15642,0.2592,0.2783,5.164620703125,4.91186666015625,3.6719052734375,3.624483828125
9,CIFAR100,fedexp,0,0.3,100,0.01,2,99,0.2527,0.29028,0.2784,0.30008,3.3305458984375,3.03294986328125,3.572713671875,3.51105775390625
10,CIFAR100,fedexp,0,0.3,100,0.01,2,109,0.1765,0.19448,0.2891,0.31314,4.804798828125,4.53579263671875,3.456841015625,3.380826171875
11,CIFAR100,fedexp,0,0.3,100,0.01,2,119,0.222,0.24542,0.2983,0.32736,3.97728173828125,3.682074482421875,3.27168798828125,3.174576435546875
12,CIFAR100,fedexp,0,0.3,100,0.01,2,129,0.2533,0.28936,0.3108,0.34384,3.4087056640625,3.10706078125,3.13223486328125,3.01221916015625
13,CIFAR100,fedexp,0,0.3,100,0.01,2,139,0.1524,0.17236,0.3162,0.35248,5.4903220703125,5.11529021484375,3.0332853515625,2.8945630859375
14,CIFAR100,fedexp,0,0.3,100,0.01,2,149,0.1643,0.18418,0.3244,0.36248,5.4240853515625,5.04447939453125,2.9735623046875,2.819321650390625
15,CIFAR100,fedexp,0,0.3,100,0.01,2,159,0.1934,0.20968,0.3308,0.37398,4.7076494140625,4.34080029296875,2.89003203125,2.71514712890625
16,CIFAR100,fedexp,0,0.3,100,0.01,2,169,0.1925,0.21728,0.3431,0.38732,4.4925693359375,4.178485078125,2.7287603515625,2.505929228515625
17,CIFAR100,fedexp,0,0.3,100,0.01,2,179,0.1991,0.22664,0.3485,0.39342,4.9102125,4.47036212890625,2.70648212890625,2.47614115234375
18,CIFAR100,fedexp,0,0.3,100,0.01,2,189,0.2539,0.28882,0.3563,0.40664,3.69213681640625,3.29494537109375,2.644441015625,2.386010751953125
19,CIFAR100,fedexp,0,0.3,100,0.01,2,199,0.266,0.31788,0.3623,0.41736,3.486026953125,3.034065302734375,2.5906369140625,2.305276494140625
20,CIFAR100,fedexp,0,0.3,100,0.01,2,209,0.2049,0.23336,0.3701,0.4254,4.656486328125,4.2200484375,2.56216220703125,2.263399951171875
21,CIFAR100,fedexp,0,0.3,100,0.01,2,219,0.1768,0.20336,0.3735,0.43272,4.808941796875,4.42298337890625,2.53768935546875,2.22765865234375
22,CIFAR100,fedexp,0,0.3,100,0.01,2,229,0.1874,0.21338,0.3795,0.44172,4.8629267578125,4.434575078125,2.5050291015625,2.181262021484375
23,CIFAR100,fedexp,0,0.3,100,0.01,2,239,0.2053,0.23896,0.3825,0.4464,4.8023134765625,4.30430060546875,2.4895568359375,2.1611065234375
24,CIFAR100,fedexp,0,0.3,100,0.01,2,249,0.2999,0.35716,0.3866,0.45534,3.199241796875,2.750689091796875,2.45322470703125,2.0888910693359377
25,CIFAR100,fedexp,0,0.3,100,0.01,2,259,0.2128,0.24484,0.3893,0.46156,4.323748828125,3.9180866015625,2.43681318359375,2.0516293359375
26,CIFAR100,fedexp,0,0.3,100,0.01,2,269,0.2999,0.35628,0.3923,0.46852,3.468021875,2.9316371484375,2.41836845703125,2.020672626953125
27,CIFAR100,fedexp,0,0.3,100,0.01,2,279,0.2974,0.36046,0.3943,0.47218,3.37064658203125,2.83626396484375,2.4095169921875,2.00608732421875
28,CIFAR100,fedexp,0,0.3,100,0.01,2,289,0.2176,0.24624,0.3983,0.47708,4.2458478515625,3.8401675,2.3992572265625,1.977765263671875
29,CIFAR100,fedexp,0,0.3,100,0.01,2,299,0.2055,0.23284,0.4024,0.48246,4.8248486328125,4.350752265625,2.38365029296875,1.9539545556640625
30,CIFAR100,fedexp,0,0.3,100,0.01,2,309,0.2024,0.23436,0.4048,0.4877,4.602622265625,4.11975662109375,2.3722361328125,1.9294724951171875
31,CIFAR100,fedexp,0,0.3,100,0.01,2,319,0.3191,0.38006,0.4068,0.49374,3.06529541015625,2.556631806640625,2.36091435546875,1.900726044921875
32,CIFAR100,fedexp,0,0.3,100,0.01,2,329,0.2142,0.25556,0.4075,0.49692,4.6781982421875,4.1143078125,2.351675,1.886532138671875
33,CIFAR100,fedexp,0,0.3,100,0.01,2,339,0.2334,0.27014,0.4116,0.50048,4.5392271484375,4.03128880859375,2.3404224609375,1.8694770947265624
34,CIFAR100,fedexp,0,0.3,100,0.01,2,349,0.2004,0.24178,0.4139,0.50394,4.6637966796875,4.145680078125,2.3346041015625,1.862516396484375
35,CIFAR100,fedexp,0,0.3,100,0.01,2,359,0.2296,0.26794,0.4137,0.50664,4.3653259765625,3.82551099609375,2.32596806640625,1.84844884765625
36,CIFAR100,fedexp,0,0.3,100,0.01,2,369,0.2291,0.26088,0.4182,0.51224,4.7981529296875,4.27790671875,2.31471064453125,1.823965263671875
37,CIFAR100,fedexp,0,0.3,100,0.01,2,379,0.2188,0.2522,0.4208,0.51474,4.5834107421875,4.03665296875,2.30381103515625,1.8132603564453125
38,CIFAR100,fedexp,0,0.3,100,0.01,2,389,0.2362,0.27634,0.4254,0.51562,4.584805859375,4.04594255859375,2.29564736328125,1.8062157470703124
39,CIFAR100,fedexp,0,0.3,100,0.01,2,399,0.2407,0.28766,0.4252,0.51888,4.35811484375,3.7300630859375,2.2855892578125,1.79022701171875
40,CIFAR100,fedexp,0,0.3,100,0.01,2,409,0.3152,0.37438,0.4297,0.52566,3.5132369140625,2.882919306640625,2.27235849609375,1.7668683837890624
41,CIFAR100,fedexp,0,0.3,100,0.01,2,419,0.2431,0.28214,0.4334,0.5283,4.449298828125,3.834052451171875,2.26406474609375,1.7555537451171874
42,CIFAR100,fedexp,0,0.3,100,0.01,2,429,0.3307,0.40014,0.4337,0.53,3.23231474609375,2.622866572265625,2.25585458984375,1.7454751123046874
43,CIFAR100,fedexp,0,0.3,100,0.01,2,439,0.3172,0.38674,0.4339,0.5354,3.258998828125,2.667013125,2.24782939453125,1.726909501953125
44,CIFAR100,fedexp,0,0.3,100,0.01,2,449,0.2565,0.29194,0.4363,0.53906,4.3405537109375,3.76819294921875,2.2446734375,1.702198994140625
45,CIFAR100,fedexp,0,0.3,100,0.01,2,459,0.2469,0.2893,0.4381,0.5424,4.29878359375,3.70071349609375,2.24132314453125,1.698558095703125
46,CIFAR100,fedexp,0,0.3,100,0.01,2,469,0.2283,0.26898,0.4371,0.54488,4.6382396484375,4.08385267578125,2.23948505859375,1.6833887548828126
47,CIFAR100,fedexp,0,0.3,100,0.01,2,479,0.316,0.37278,0.436,0.54922,3.27131201171875,2.74323048828125,2.23200859375,1.6745645068359376
48,CIFAR100,fedexp,0,0.3,100,0.01,2,489,0.2523,0.299,0.4359,0.55054,4.1269171875,3.5579763671875,2.22295576171875,1.6685657373046876
49,CIFAR100,fedexp,0,0.3,100,0.01,2,499,0.3374,0.4097,0.4398,0.55222,3.063986328125,2.4612112744140626,2.2135193359375,1.65765658203125
50,CIFAR100,fedexp,0,0.3,100,0.01,2,509,0.2669,0.31012,0.4429,0.55586,4.3426134765625,3.69982564453125,2.2078626953125,1.6378388720703125
51,CIFAR100,fedexp,0,0.3,100,0.01,2,519,0.3241,0.3835,0.4447,0.55784,3.3725091796875,2.760342412109375,2.20034814453125,1.6282641650390626
52,CIFAR100,fedexp,0,0.3,100,0.01,2,529,0.315,0.38312,0.4472,0.55802,3.274876171875,2.65589478515625,2.19095751953125,1.622942705078125
53,CIFAR100,fedexp,0,0.3,100,0.01,2,539,0.2237,0.26326,0.4508,0.56192,4.4597345703125,3.913735673828125,2.18912333984375,1.6004061328125
54,CIFAR100,fedexp,0,0.3,100,0.01,2,549,0.2508,0.29878,0.4522,0.565,4.3904482421875,3.708564189453125,2.17907734375,1.586814580078125
55,CIFAR100,fedexp,0,0.3,100,0.01,2,559,0.3456,0.42166,0.4539,0.56788,3.3636177734375,2.62853404296875,2.175041796875,1.578029697265625
56,CIFAR100,fedexp,0,0.3,100,0.01,2,569,0.2622,0.31378,0.4527,0.57094,4.120195703125,3.487237529296875,2.17188759765625,1.56442822265625
57,CIFAR100,fedexp,0,0.3,100,0.01,2,579,0.3408,0.41458,0.4562,0.57372,3.194662890625,2.5250290673828126,2.1661619140625,1.5500634814453125
58,CIFAR100,fedexp,0,0.3,100,0.01,2,589,0.267,0.31312,0.4567,0.57656,4.129341015625,3.53153517578125,2.1646890625,1.535065546875
59,CIFAR100,fedexp,0,0.3,100,0.01,2,599,0.2558,0.29726,0.461,0.57812,4.49986171875,3.888072138671875,2.1571611328125,1.525529501953125
60,CIFAR100,fedexp,0,0.3,100,0.01,2,609,0.3434,0.41414,0.4592,0.58196,3.2890126953125,2.60310216796875,2.1534146484375,1.513030498046875
61,CIFAR100,fedexp,0,0.3,100,0.01,2,619,0.2523,0.30294,0.4613,0.58686,4.3036306640625,3.637665068359375,2.149158984375,1.48872576171875
62,CIFAR100,fedexp,0,0.3,100,0.01,2,629,0.2568,0.303,0.4619,0.58914,4.2292236328125,3.58212927734375,2.14235966796875,1.4832763818359376
63,CIFAR100,fedexp,0,0.3,100,0.01,2,639,0.2479,0.29088,0.462,0.58858,4.6964255859375,4.01153939453125,2.136611328125,1.479026181640625
64,CIFAR100,fedexp,0,0.3,100,0.01,2,649,0.2564,0.2952,0.465,0.58974,4.538651953125,3.8572594140625,2.13257021484375,1.475292646484375
65,CIFAR100,fedexp,0,0.3,100,0.01,2,659,0.3366,0.40744,0.4674,0.59004,3.18818759765625,2.5657169580078123,2.125553125,1.4730122314453125
66,CIFAR100,fedexp,0,0.3,100,0.01,2,669,0.2602,0.30608,0.4658,0.59012,3.974274609375,3.38637283203125,2.122520703125,1.4691772705078125
67,CIFAR100,fedexp,0,0.3,100,0.01,2,679,0.2342,0.27232,0.4684,0.58998,4.4992310546875,3.962927734375,2.11812490234375,1.467299794921875
68,CIFAR100,fedexp,0,0.3,100,0.01,2,689,0.2419,0.2873,0.4677,0.5916,4.5465216796875,3.90115810546875,2.1111103515625,1.465882158203125
69,CIFAR100,fedexp,0,0.3,100,0.01,2,699,0.2671,0.3112,0.4686,0.59072,4.0246955078125,3.463620986328125,2.1058791015625,1.4663710595703126
70,CIFAR100,fedexp,0,0.3,100,0.01,2,709,0.2803,0.33708,0.4697,0.59232,4.1275224609375,3.485565029296875,2.102986328125,1.464000224609375
71,CIFAR100,fedexp,0,0.3,100,0.01,2,719,0.2671,0.307,0.4726,0.59478,4.22977109375,3.6349726953125,2.099277734375,1.4570212158203124
72,CIFAR100,fedexp,0,0.3,100,0.01,2,729,0.3505,0.423,0.4723,0.59364,3.09593662109375,2.445898017578125,2.1017765625,1.458092783203125
73,CIFAR100,fedexp,0,0.3,100,0.01,2,739,0.2489,0.30018,0.473,0.59348,4.562855078125,3.89525189453125,2.10072060546875,1.456013017578125
74,CIFAR100,fedexp,0,0.3,100,0.01,2,749,0.2602,0.30514,0.4759,0.59402,4.06875791015625,3.476547373046875,2.093062109375,1.452227060546875
75,CIFAR100,fedexp,0,0.3,100,0.01,2,759,0.2658,0.3208,0.4731,0.59452,3.98193330078125,3.333308447265625,2.0896568359375,1.4493234619140625
76,CIFAR100,fedexp,0,0.3,100,0.01,2,769,0.2678,0.32442,0.476,0.59608,4.31125703125,3.534127392578125,2.09124296875,1.44046857421875
77,CIFAR100,fedexp,0,0.3,100,0.01,2,779,0.2606,0.30618,0.4746,0.59996,4.5026115234375,3.83822564453125,2.08644619140625,1.433605283203125
78,CIFAR100,fedexp,0,0.3,100,0.01,2,789,0.2901,0.34338,0.4744,0.60092,3.93440673828125,3.279106123046875,2.0873455078125,1.43149845703125
79,CIFAR100,fedexp,0,0.3,100,0.01,2,799,0.2537,0.30354,0.4743,0.60098,4.4214689453125,3.755416748046875,2.0868400390625,1.4299158056640624
80,CIFAR100,fedexp,0,0.3,100,0.01,2,809,0.2764,0.32344,0.4763,0.60184,4.3321408203125,3.6194065234375,2.0841388671875,1.42485087890625
81,CIFAR100,fedexp,0,0.3,100,0.01,2,819,0.2609,0.3101,0.4768,0.60446,4.14122265625,3.482639970703125,2.0861857421875,1.4228053369140625
82,CIFAR100,fedexp,0,0.3,100,0.01,2,829,0.3559,0.42736,0.4793,0.6049,3.08209013671875,2.423000341796875,2.08447861328125,1.4211962353515626
83,CIFAR100,fedexp,0,0.3,100,0.01,2,839,0.3545,0.4319,0.4802,0.60604,3.03213798828125,2.35955328125,2.0846455078125,1.4124033154296876
84,CIFAR100,fedexp,0,0.3,100,0.01,2,849,0.2607,0.31196,0.4778,0.60696,4.3346416015625,3.645295078125,2.0869947265625,1.4043260498046874
85,CIFAR100,fedexp,0,0.3,100,0.01,2,859,0.3334,0.39402,0.4803,0.60916,3.3118572265625,2.683135048828125,2.0833521484375,1.399232314453125
86,CIFAR100,fedexp,0,0.3,100,0.01,2,869,0.3398,0.4182,0.4805,0.60978,3.2022583984375,2.515886865234375,2.07726259765625,1.391675947265625
87,CIFAR100,fedexp,0,0.3,100,0.01,2,879,0.3649,0.45152,0.4808,0.61124,2.94719365234375,2.243255166015625,2.0775802734375,1.3859752587890626
88,CIFAR100,fedexp,0,0.3,100,0.01,2,889,0.2913,0.35146,0.4799,0.613,3.8359767578125,3.139052236328125,2.07603671875,1.3732896923828124
89,CIFAR100,fedexp,0,0.3,100,0.01,2,899,0.274,0.32726,0.4794,0.61432,4.1974787109375,3.513175146484375,2.06997744140625,1.368423681640625
90,CIFAR100,fedexp,0,0.3,100,0.01,2,909,0.3672,0.44582,0.4813,0.61562,3.03433154296875,2.34175951171875,2.063808203125,1.363701708984375
91,CIFAR100,fedexp,0,0.3,100,0.01,2,919,0.2613,0.30752,0.4825,0.6165,4.5771267578125,3.877185703125,2.06297392578125,1.359091708984375
92,CIFAR100,fedexp,0,0.3,100,0.01,2,929,0.35,0.42964,0.4812,0.61752,3.061234765625,2.388578681640625,2.058785546875,1.355430048828125
93,CIFAR100,fedexp,0,0.3,100,0.01,2,939,0.3185,0.3941,0.483,0.61854,3.335948046875,2.660138857421875,2.052113232421875,1.3522698583984376
94,CIFAR100,fedexp,0,0.3,100,0.01,2,949,0.3267,0.40648,0.4849,0.61926,3.28118642578125,2.540431533203125,2.05001806640625,1.34587728515625
95,CIFAR100,fedexp,0,0.3,100,0.01,2,959,0.3413,0.41876,0.4821,0.6232,3.1262009765625,2.44985310546875,2.050009765625,1.337016552734375
96,CIFAR100,fedexp,0,0.3,100,0.01,2,969,0.3721,0.46946,0.4831,0.62448,2.8931611328125,2.177092177734375,2.047318310546875,1.331200703125
97,CIFAR100,fedexp,0,0.3,100,0.01,2,979,0.267,0.3223,0.483,0.626,4.206422265625,3.48043103515625,2.044921630859375,1.3301931103515625
98,CIFAR100,fedexp,0,0.3,100,0.01,2,989,0.2311,0.26894,0.4828,0.6263,4.853388671875,4.171898515625,2.039089794921875,1.3291330859375
99,CIFAR100,fedexp,0,0.3,100,0.01,2,999,0.2933,0.35266,0.4873,0.6262,3.94583125,3.2007990234375,2.03830078125,1.327773056640625
