,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedexp,0,0.3,100,0.01,2,9,0.055,0.0521,0.0153,0.01548,4.4567990234375,4.44539,4.5983353515625,4.59792060546875
1,CIFAR100,fedexp,0,0.3,100,0.01,2,19,0.094,0.09428,0.0536,0.0561,4.4021501953125,4.37009263671875,4.5635412109375,4.56265916015625
2,CIFAR100,fedexp,0,0.3,100,0.01,2,29,0.0973,0.1017,0.0908,0.09578,5.5409533203125,5.45653197265625,4.490061328125,4.48791333984375
3,CIFAR100,fedexp,0,0.3,100,0.01,2,39,0.1044,0.11204,0.1218,0.13172,4.849857421875,4.7527963671875,4.407930859375,4.403685234375
4,CIFAR100,fedexp,0,0.3,100,0.01,2,49,0.1332,0.14042,0.1493,0.15856,4.5360955078125,4.4205975390625,4.334917578125,4.32794451171875
5,CIFAR100,fedexp,0,0.3,100,0.01,2,59,0.1239,0.1346,0.1855,0.1943,5.0361994140625,4.86620951171875,4.2013263671875,4.1880930078125
6,CIFAR100,fedexp,0,0.3,100,0.01,2,69,0.1684,0.18478,0.2209,0.23182,4.2958931640625,4.06838712890625,4.03929990234375,4.0158669140625
7,CIFAR100,fedexp,0,0.3,100,0.01,2,79,0.1692,0.17746,0.241,0.26078,4.3633716796875,4.18237759765625,3.8289404296875,3.789816162109375
8,CIFAR100,fedexp,0,0.3,100,0.01,2,89,0.1372,0.14786,0.2589,0.27808,5.4765716796875,5.23749439453125,3.69215361328125,3.64090388671875
9,CIFAR100,fedexp,0,0.3,100,0.01,2,99,0.2073,0.22578,0.2747,0.30214,4.26407578125,3.98159505859375,3.59318671875,3.527905712890625
10,CIFAR100,fedexp,0,0.3,100,0.01,2,109,0.1856,0.20372,0.2859,0.31806,5.0342828125,4.72329537109375,3.47530400390625,3.394914013671875
11,CIFAR100,fedexp,0,0.3,100,0.01,2,119,0.1678,0.18166,0.2972,0.33448,5.2087201171875,4.90183205078125,3.2919314453125,3.187958046875
12,CIFAR100,fedexp,0,0.3,100,0.01,2,129,0.2252,0.2553,0.3078,0.35096,3.93189970703125,3.61513380859375,3.15455693359375,3.026215048828125
13,CIFAR100,fedexp,0,0.3,100,0.01,2,139,0.166,0.18404,0.3139,0.36056,4.727740234375,4.46235001953125,3.05263955078125,2.904783837890625
14,CIFAR100,fedexp,0,0.3,100,0.01,2,149,0.1848,0.20708,0.3215,0.37054,4.8743640625,4.55306640625,2.98861748046875,2.826320556640625
15,CIFAR100,fedexp,0,0.3,100,0.01,2,159,0.179,0.20266,0.3283,0.38072,4.7677046875,4.418467265625,2.8982048828125,2.714663642578125
16,CIFAR100,fedexp,0,0.3,100,0.01,2,169,0.1948,0.22132,0.3402,0.39552,4.72225390625,4.362775625,2.72650517578125,2.492658154296875
17,CIFAR100,fedexp,0,0.3,100,0.01,2,179,0.2017,0.23314,0.3478,0.4033,5.180628515625,4.68195794921875,2.69966953125,2.455663212890625
18,CIFAR100,fedexp,0,0.3,100,0.01,2,189,0.2392,0.26708,0.3575,0.41722,4.253209375,3.805092568359375,2.631191015625,2.356837919921875
19,CIFAR100,fedexp,0,0.3,100,0.01,2,199,0.2019,0.23964,0.3664,0.43126,4.6821310546875,4.18493505859375,2.5672900390625,2.267311513671875
20,CIFAR100,fedexp,0,0.3,100,0.01,2,209,0.2066,0.24062,0.3736,0.43906,4.4299748046875,3.936916005859375,2.5333908203125,2.22242572265625
21,CIFAR100,fedexp,0,0.3,100,0.01,2,219,0.2088,0.23948,0.3787,0.44906,4.488412890625,4.057748046875,2.50396728515625,2.181244189453125
22,CIFAR100,fedexp,0,0.3,100,0.01,2,229,0.19,0.2202,0.3836,0.45872,4.872687109375,4.42544638671875,2.47297255859375,2.134877490234375
