,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedexp,0,0.3,100,0.01,4,9,0.0484,0.04928,0.017,0.0167,4.35955078125,4.34855828125,4.59768046875,4.59799998046875
1,CIFAR100,fedexp,0,0.3,100,0.01,4,19,0.0695,0.07098,0.0244,0.02564,4.914401171875,4.8894200390625,4.5726888671875,4.572711328125
2,CIFAR100,fedexp,0,0.3,100,0.01,4,29,0.0796,0.08324,0.0545,0.05392,4.765228515625,4.70535267578125,4.525378125,4.52472412109375
3,CIFAR100,fedexp,0,0.3,100,0.01,4,39,0.1546,0.16736,0.1029,0.10422,3.73920126953125,3.6707200390625,4.4371654296875,4.43455892578125
4,CIFAR100,fedexp,0,0.3,100,0.01,4,49,0.1118,0.12108,0.1424,0.14284,4.426938671875,4.361264609375,4.348448828125,4.34363580078125
5,CIFAR100,fedexp,0,0.3,100,0.01,4,59,0.1108,0.1184,0.1768,0.18284,4.5022373046875,4.40875056640625,4.2613455078125,4.25283083984375
6,CIFAR100,fedexp,0,0.3,100,0.01,4,69,0.1907,0.20222,0.2009,0.20926,3.62059775390625,3.48624970703125,4.1710630859375,4.1582512109375
7,CIFAR100,fedexp,0,0.3,100,0.01,4,79,0.1696,0.18268,0.2374,0.25036,4.366594921875,4.15664525390625,3.9726326171875,3.9494146875
8,CIFAR100,fedexp,0,0.3,100,0.01,4,89,0.185,0.1937,0.2616,0.28022,4.4140609375,4.2391408984375,3.838401171875,3.805555126953125
9,CIFAR100,fedexp,0,0.3,100,0.01,4,99,0.1958,0.20972,0.2887,0.3147,4.2365677734375,4.03807642578125,3.50668896484375,3.449928974609375
10,CIFAR100,fedexp,0,0.3,100,0.01,4,109,0.1922,0.21074,0.306,0.33546,4.0249962890625,3.8061158984375,3.36997314453125,3.29917806640625
11,CIFAR100,fedexp,0,0.3,100,0.01,4,119,0.2052,0.22438,0.3241,0.3597,4.3233923828125,4.08230556640625,3.17712294921875,3.085088994140625
12,CIFAR100,fedexp,0,0.3,100,0.01,4,129,0.1802,0.19988,0.3345,0.37224,4.965146875,4.619299921875,3.0724490234375,2.968220595703125
13,CIFAR100,fedexp,0,0.3,100,0.01,4,139,0.2648,0.29304,0.3505,0.38974,3.46656455078125,3.14940705078125,2.971487109375,2.8516133203125
14,CIFAR100,fedexp,0,0.3,100,0.01,4,149,0.2035,0.23046,0.3569,0.40296,4.448599609375,4.1049243359375,2.90891513671875,2.776342685546875
15,CIFAR100,fedexp,0,0.3,100,0.01,4,159,0.2423,0.27134,0.3665,0.41326,4.3783740234375,3.96506705078125,2.8732158203125,2.7305009765625
16,CIFAR100,fedexp,0,0.3,100,0.01,4,169,0.21,0.23968,0.3723,0.4234,4.443389453125,4.0485648828125,2.80251328125,2.646621923828125
17,CIFAR100,fedexp,0,0.3,100,0.01,4,179,0.2216,0.25302,0.3793,0.4358,4.43162109375,4.039794345703125,2.66788505859375,2.4844416796875
18,CIFAR100,fedexp,0,0.3,100,0.01,4,189,0.24,0.27216,0.3843,0.44422,4.0965431640625,3.62140076171875,2.63676826171875,2.443082021484375
19,CIFAR100,fedexp,0,0.3,100,0.01,4,199,0.2346,0.2632,0.393,0.45878,4.4494671875,3.98446357421875,2.52438681640625,2.298908896484375
20,CIFAR100,fedexp,0,0.3,100,0.01,4,209,0.2258,0.26104,0.4008,0.47036,3.96009873046875,3.554340576171875,2.440179296875,2.182516201171875
21,CIFAR100,fedexp,0,0.3,100,0.01,4,219,0.241,0.27126,0.4042,0.47706,4.41655625,3.94503703125,2.39566240234375,2.119656494140625
22,CIFAR100,fedexp,0,0.3,100,0.01,4,229,0.3069,0.356,0.413,0.4876,3.2816830078125,2.82323314453125,2.33727880859375,2.027164384765625
23,CIFAR100,fedexp,0,0.3,100,0.01,4,239,0.2319,0.25558,0.4172,0.4943,4.35077265625,3.9385665625,2.296722265625,1.9582884814453125
24,CIFAR100,fedexp,0,0.3,100,0.01,4,249,0.231,0.26638,0.4228,0.50516,4.2023521484375,3.741193798828125,2.26513056640625,1.9055039453125
25,CIFAR100,fedexp,0,0.3,100,0.01,4,259,0.2606,0.30006,0.4307,0.51238,3.98346123046875,3.4856968359375,2.23738818359375,1.8564659228515625
26,CIFAR100,fedexp,0,0.3,100,0.01,4,269,0.2618,0.28904,0.4345,0.51704,4.215743359375,3.724510341796875,2.221854296875,1.8302695263671875
27,CIFAR100,fedexp,0,0.3,100,0.01,4,279,0.3009,0.35542,0.4391,0.52486,3.5097228515625,2.981806650390625,2.20484736328125,1.8004213916015626
28,CIFAR100,fedexp,0,0.3,100,0.01,4,289,0.2574,0.30158,0.4411,0.53236,3.796338671875,3.320890830078125,2.18633544921875,1.7658372314453126
29,CIFAR100,fedexp,0,0.3,100,0.01,4,299,0.2584,0.30444,0.4448,0.53698,3.969839453125,3.4429483203125,2.168261328125,1.727706083984375
30,CIFAR100,fedexp,0,0.3,100,0.01,4,309,0.2737,0.31564,0.4456,0.5396,4.281950390625,3.72429298828125,2.16112099609375,1.716360927734375
31,CIFAR100,fedexp,0,0.3,100,0.01,4,319,0.2648,0.30058,0.4489,0.54506,4.0876658203125,3.597576708984375,2.1464970703125,1.6882349072265626
32,CIFAR100,fedexp,0,0.3,100,0.01,4,329,0.2744,0.31714,0.4519,0.5506,3.8724763671875,3.320190361328125,2.132722265625,1.6698348974609376
33,CIFAR100,fedexp,0,0.3,100,0.01,4,339,0.2177,0.25646,0.4539,0.55446,4.7346048828125,4.151083583984375,2.1243568359375,1.655669296875
34,CIFAR100,fedexp,0,0.3,100,0.01,4,349,0.2512,0.2867,0.4591,0.56178,4.07545869140625,3.569707744140625,2.1126208984375,1.6147232421875
35,CIFAR100,fedexp,0,0.3,100,0.01,4,359,0.2334,0.27702,0.4612,0.56634,4.350916015625,3.801360986328125,2.10771318359375,1.5928102001953126
36,CIFAR100,fedexp,0,0.3,100,0.01,4,369,0.2748,0.321,0.4635,0.56946,3.98853837890625,3.3860371875,2.10122587890625,1.577007763671875
37,CIFAR100,fedexp,0,0.3,100,0.01,4,379,0.3052,0.35864,0.4632,0.56996,3.50314052734375,2.9435390234375,2.0963921875,1.569131640625
38,CIFAR100,fedexp,0,0.3,100,0.01,4,389,0.2319,0.26728,0.4673,0.57458,4.332024609375,3.82651810546875,2.0875779296875,1.5503741357421874
39,CIFAR100,fedexp,0,0.3,100,0.01,4,399,0.2416,0.27642,0.4691,0.5767,4.251606640625,3.75401302734375,2.07903818359375,1.5409485107421874
40,CIFAR100,fedexp,0,0.3,100,0.01,4,409,0.2726,0.31366,0.469,0.57912,3.667550390625,3.225608896484375,2.07222275390625,1.5340825439453125
