,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedexp,0,0.3,100,0.01,2,9,0.0302,0.03066,0.0167,0.01748,4.6634869140625,4.66337744140625,4.6014314453125,4.601318671875
1,CIFAR100,fedexp,0,0.3,100,0.01,2,19,0.0474,0.04654,0.023,0.02344,4.307551171875,4.29431484375,4.5832150390625,4.58287306640625
2,CIFAR100,fedexp,0,0.3,100,0.01,2,29,0.0519,0.05148,0.0362,0.03928,4.9324451171875,4.906772578125,4.544683203125,4.54404904296875
3,CIFAR100,fedexp,0,0.3,100,0.01,2,39,0.0554,0.05726,0.0448,0.0488,4.4381865234375,4.42726408203125,4.499819921875,4.498837890625
4,CIFAR100,fedexp,0,0.3,100,0.01,2,49,0.0767,0.07558,0.0597,0.06508,4.618408984375,4.6137715234375,4.45546953125,4.454066484375
5,CIFAR100,fedexp,0,0.3,100,0.01,2,59,0.0617,0.06674,0.0949,0.09598,4.9308421875,4.88443275390625,4.36761171875,4.36510251953125
6,CIFAR100,fedexp,0,0.3,100,0.01,2,69,0.1547,0.15662,0.1215,0.12482,3.5911353515625,3.55713279296875,4.2595158203125,4.25523431640625
7,CIFAR100,fedexp,0,0.3,100,0.01,2,79,0.1766,0.18074,0.1501,0.15276,3.44866826171875,3.4134253515625,4.121297265625,4.11408037109375
8,CIFAR100,fedexp,0,0.3,100,0.01,2,89,0.1044,0.1073,0.1688,0.1699,4.4299306640625,4.37587591796875,4.02206923828125,4.0125214453125
9,CIFAR100,fedexp,0,0.3,100,0.01,2,99,0.2341,0.23682,0.1906,0.19372,3.15957900390625,3.1013105859375,3.93691455078125,3.9243938671875
10,CIFAR100,fedexp,0,0.3,100,0.01,2,109,0.1588,0.16656,0.209,0.2113,3.78678369140625,3.70869666015625,3.8417779296875,3.826207119140625
11,CIFAR100,fedexp,0,0.3,100,0.01,2,119,0.1931,0.20426,0.2278,0.22936,3.45001552734375,3.361878681640625,3.69749951171875,3.676781142578125
12,CIFAR100,fedexp,0,0.3,100,0.01,2,129,0.2509,0.26698,0.2498,0.25268,3.05062216796875,2.9522331640625,3.55914951171875,3.53190482421875
13,CIFAR100,fedexp,0,0.3,100,0.01,2,139,0.1414,0.15024,0.2613,0.26646,4.199270703125,4.06724744140625,3.45018466796875,3.41720298828125
14,CIFAR100,fedexp,0,0.3,100,0.01,2,149,0.193,0.20012,0.2769,0.28784,3.6143865234375,3.520154912109375,3.360603515625,3.321441240234375
15,CIFAR100,fedexp,0,0.3,100,0.01,2,159,0.1602,0.16822,0.2953,0.30544,4.02591318359375,3.9226209375,3.246897265625,3.19915630859375
16,CIFAR100,fedexp,0,0.3,100,0.01,2,169,0.1945,0.20854,0.3135,0.32922,3.6704951171875,3.551619306640625,3.0145025390625,2.9484675390625
17,CIFAR100,fedexp,0,0.3,100,0.01,2,179,0.2035,0.21368,0.323,0.3417,3.930876171875,3.75598470703125,2.9651412109375,2.893242490234375
18,CIFAR100,fedexp,0,0.3,100,0.01,2,189,0.2777,0.29966,0.3395,0.36176,3.11102783203125,2.92820099609375,2.84410712890625,2.757467041015625
19,CIFAR100,fedexp,0,0.3,100,0.01,2,199,0.2602,0.284,0.3532,0.38026,3.20317568359375,3.00225615234375,2.72462216796875,2.621725546875
20,CIFAR100,fedexp,0,0.3,100,0.01,2,209,0.2248,0.24198,0.3615,0.39204,3.65682685546875,3.441164365234375,2.67148876953125,2.557798681640625
21,CIFAR100,fedexp,0,0.3,100,0.01,2,219,0.2166,0.24038,0.3701,0.40248,3.502613671875,3.3115927734375,2.62809814453125,2.501790615234375
22,CIFAR100,fedexp,0,0.3,100,0.01,2,229,0.1874,0.20548,0.3781,0.41554,4.123105859375,3.899448466796875,2.5725193359375,2.432017939453125
23,CIFAR100,fedexp,0,0.3,100,0.01,2,239,0.2134,0.23282,0.3819,0.42068,3.8102396484375,3.5517703515625,2.56077802734375,2.41471490234375
24,CIFAR100,fedexp,0,0.3,100,0.01,2,249,0.2984,0.3246,0.3909,0.43194,3.08876513671875,2.84456234375,2.47583779296875,2.3080398828125
25,CIFAR100,fedexp,0,0.3,100,0.01,2,259,0.2493,0.2743,0.3976,0.43942,3.3777732421875,3.153780302734375,2.42770185546875,2.244576865234375
26,CIFAR100,fedexp,0,0.3,100,0.01,2,269,0.3147,0.35256,0.4037,0.44888,2.93534375,2.643285830078125,2.39324443359375,2.197293603515625
27,CIFAR100,fedexp,0,0.3,100,0.01,2,279,0.3135,0.35356,0.4082,0.4533,3.0323078125,2.71688064453125,2.3732455078125,2.169609345703125
28,CIFAR100,fedexp,0,0.3,100,0.01,2,289,0.2222,0.23982,0.4142,0.4602,4.006854296875,3.726571806640625,2.3419392578125,2.12343447265625
29,CIFAR100,fedexp,0,0.3,100,0.01,2,299,0.2408,0.27228,0.4201,0.46752,3.5499755859375,3.250864990234375,2.32137021484375,2.089815419921875
30,CIFAR100,fedexp,0,0.3,100,0.01,2,309,0.2209,0.2491,0.4243,0.47464,3.81064599609375,3.523869619140625,2.29652548828125,2.050740146484375
31,CIFAR100,fedexp,0,0.3,100,0.01,2,319,0.328,0.37178,0.4275,0.48354,2.7771849609375,2.469154287109375,2.268912109375,2.0063194140625
32,CIFAR100,fedexp,0,0.3,100,0.01,2,329,0.2415,0.26982,0.4292,0.4877,3.77300537109375,3.438290458984375,2.2556611328125,1.98692974609375
33,CIFAR100,fedexp,0,0.3,100,0.01,2,339,0.2516,0.27428,0.432,0.4935,4.3031095703125,3.93291822265625,2.23909951171875,1.96007748046875
34,CIFAR100,fedexp,0,0.3,100,0.01,2,349,0.2506,0.27938,0.4345,0.49708,3.71266474609375,3.327769052734375,2.232433984375,1.946455390625
35,CIFAR100,fedexp,0,0.3,100,0.01,2,359,0.24,0.27476,0.4345,0.50206,3.76437861328125,3.40190130859375,2.22162998046875,1.925642802734375
36,CIFAR100,fedexp,0,0.3,100,0.01,2,369,0.232,0.25548,0.4391,0.50746,4.06558046875,3.745755224609375,2.2030365234375,1.8932699169921876
37,CIFAR100,fedexp,0,0.3,100,0.01,2,379,0.2437,0.2806,0.4416,0.50994,3.460152734375,3.123063984375,2.19471318359375,1.879738701171875
