,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedprox,0,0,100,0.1,4,9,0.1364,0.13864,0.1042,0.10828,3.7347298828125,3.70576169921875,4.2807380859375,4.275184296875
1,CIFAR100,fedprox,0,0,100,0.1,4,19,0.1934,0.2017,0.1652,0.16954,3.43091884765625,3.335338271484375,3.70844150390625,3.67753123046875
2,CIFAR100,fedprox,0,0,100,0.1,4,29,0.2176,0.2406,0.2083,0.22074,3.33234599609375,3.14242453125,3.3527310546875,3.265202470703125
3,CIFAR100,fedprox,0,0,100,0.1,4,39,0.2421,0.28214,0.2437,0.26752,3.29167861328125,2.966271923828125,3.1770712890625,2.9837840625
4,CIFAR100,fedprox,0,0,100,0.1,4,49,0.2598,0.29886,0.2589,0.298,3.33901669921875,2.9061312109375,3.14441943359375,2.82768736328125
5,CIFAR100,fedprox,0,0,100,0.1,4,59,0.2696,0.3173,0.2746,0.32186,3.32298154296875,2.82651533203125,3.15461884765625,2.735508681640625
6,CIFAR100,fedprox,0,0,100,0.1,4,69,0.274,0.33496,0.2799,0.34484,3.33749169921875,2.7550206640625,3.15693203125,2.64105197265625
7,CIFAR100,fedprox,0,0,100,0.1,4,79,0.2802,0.35354,0.2861,0.35884,3.361162890625,2.690599248046875,3.1485142578125,2.5666826171875
8,CIFAR100,fedprox,0,0,100,0.1,4,89,0.2833,0.35356,0.2928,0.37466,3.4002044921875,2.7152791796875,3.153656640625,2.497043876953125
9,CIFAR100,fedprox,0,0,100,0.1,4,99,0.295,0.37898,0.303,0.39316,3.35835888671875,2.571191533203125,3.143691796875,2.410851328125
10,CIFAR100,fedprox,0,0,100,0.1,4,109,0.2852,0.37048,0.3095,0.40694,3.492819921875,2.638187666015625,3.15460078125,2.34367923828125
11,CIFAR100,fedprox,0,0,100,0.1,4,119,0.2963,0.3972,0.3145,0.41948,3.34319189453125,2.444759375,3.13991943359375,2.282973955078125
12,CIFAR100,fedprox,0,0,100,0.1,4,129,0.3028,0.41794,0.3172,0.4313,3.29635390625,2.3416837255859373,3.150587109375,2.22746169921875
13,CIFAR100,fedprox,0,0,100,0.1,4,139,0.3102,0.429,0.3208,0.44534,3.29890556640625,2.29590501953125,3.13377060546875,2.152496884765625
14,CIFAR100,fedprox,0,0,100,0.1,4,149,0.3166,0.44206,0.3271,0.45738,3.264934765625,2.20161208984375,3.120156640625,2.082775263671875
15,CIFAR100,fedprox,0,0,100,0.1,4,159,0.3213,0.45316,0.3313,0.46868,3.23711669921875,2.13846509765625,3.107361328125,2.0287461181640625
16,CIFAR100,fedprox,0,0,100,0.1,4,169,0.3255,0.45746,0.3331,0.47632,3.22344482421875,2.11965080078125,3.1026564453125,1.9883757568359375
17,CIFAR100,fedprox,0,0,100,0.1,4,179,0.3197,0.45232,0.3387,0.4866,3.31041103515625,2.1573034765625,3.098218359375,1.9400271923828125
18,CIFAR100,fedprox,0,0,100,0.1,4,189,0.3195,0.45112,0.3427,0.49804,3.38245185546875,2.17014171875,3.08269482421875,1.881303095703125
19,CIFAR100,fedprox,0,0,100,0.1,4,199,0.335,0.47806,0.3454,0.5074,3.26115478515625,2.01413134765625,3.07893857421875,1.8349070849609375
20,CIFAR100,fedprox,0,0,100,0.1,4,209,0.3271,0.48134,0.3488,0.51702,3.29562255859375,2.0128862841796873,3.07050341796875,1.787250810546875
21,CIFAR100,fedprox,0,0,100,0.1,4,219,0.3384,0.50128,0.3491,0.52476,3.16361845703125,1.873894853515625,3.06166689453125,1.7554442333984375
22,CIFAR100,fedprox,0,0,100,0.1,4,229,0.3448,0.50902,0.3537,0.53198,3.180266015625,1.8570987451171874,3.0469095703125,1.720847412109375
23,CIFAR100,fedprox,0,0,100,0.1,4,239,0.3425,0.512,0.3555,0.53764,3.1979181640625,1.8490932275390626,3.03618955078125,1.6926713330078125
24,CIFAR100,fedprox,0,0,100,0.1,4,249,0.3524,0.5263,0.3579,0.54696,3.1628837890625,1.77387728515625,3.03612275390625,1.664057001953125
25,CIFAR100,fedprox,0,0,100,0.1,4,259,0.355,0.53728,0.3631,0.55582,3.13762744140625,1.7197573681640625,3.0297056640625,1.6218065185546875
26,CIFAR100,fedprox,0,0,100,0.1,4,269,0.3477,0.53644,0.3674,0.56238,3.16542529296875,1.7281869921875,3.024936328125,1.5934313330078125
27,CIFAR100,fedprox,0,0,100,0.1,4,279,0.358,0.54794,0.3657,0.56864,3.14124150390625,1.6791508349609374,3.0205298828125,1.5648612841796874
