,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedprox,0,0,100,0.1,4,9,0.1376,0.13812,0.1024,0.10746,3.70358330078125,3.677515341796875,4.28382578125,4.27797025390625
1,CIFAR100,fedprox,0,0,100,0.1,4,19,0.1931,0.20206,0.1695,0.1722,3.4167994140625,3.332192724609375,3.68460166015625,3.659042021484375
2,CIFAR100,fedprox,0,0,100,0.1,4,29,0.2317,0.24972,0.2191,0.22706,3.2399943359375,3.08855205078125,3.3153220703125,3.24276095703125
3,CIFAR100,fedprox,0,0,100,0.1,4,39,0.2584,0.29052,0.2535,0.27572,3.1593236328125,2.8945460546875,3.1083732421875,2.949653427734375
4,CIFAR100,fedprox,0,0,100,0.1,4,49,0.2737,0.31272,0.2735,0.30766,3.1926935546875,2.818724765625,3.057842578125,2.784094091796875
5,CIFAR100,fedprox,0,0,100,0.1,4,59,0.292,0.33558,0.293,0.33382,3.20234130859375,2.734928974609375,3.03987431640625,2.66615625
6,CIFAR100,fedprox,0,0,100,0.1,4,69,0.2918,0.35366,0.3013,0.35688,3.18026630859375,2.62902376953125,3.0327248046875,2.55828220703125
7,CIFAR100,fedprox,0,0,100,0.1,4,79,0.3074,0.37248,0.3111,0.37438,3.19298369140625,2.550671455078125,3.01843349609375,2.4662472265625
8,CIFAR100,fedprox,0,0,100,0.1,4,89,0.3028,0.37676,0.3163,0.39366,3.24326572265625,2.544335126953125,3.02741064453125,2.3900935546875
9,CIFAR100,fedprox,0,0,100,0.1,4,99,0.3133,0.39948,0.3236,0.4136,3.229285546875,2.44327431640625,3.02574677734375,2.301249931640625
10,CIFAR100,fedprox,0,0,100,0.1,4,109,0.3125,0.39946,0.3336,0.43016,3.30575625,2.474412470703125,3.021025390625,2.222160498046875
11,CIFAR100,fedprox,0,0,100,0.1,4,119,0.3225,0.42708,0.3387,0.44376,3.16412529296875,2.275644130859375,3.00127587890625,2.1563833203125
12,CIFAR100,fedprox,0,0,100,0.1,4,129,0.3339,0.4464,0.3432,0.45746,3.1027541015625,2.170794921875,3.00031435546875,2.0955368896484377
13,CIFAR100,fedprox,0,0,100,0.1,4,139,0.3359,0.45778,0.3486,0.4713,3.1205810546875,2.124043642578125,2.981811328125,2.015178271484375
14,CIFAR100,fedprox,0,0,100,0.1,4,149,0.3408,0.47124,0.3546,0.4848,3.1130322265625,2.0547715625,2.96960185546875,1.9454375341796875
15,CIFAR100,fedprox,0,0,100,0.1,4,159,0.3492,0.4856,0.3585,0.49744,3.067241796875,1.975624453125,2.9588943359375,1.88959705078125
16,CIFAR100,fedprox,0,0,100,0.1,4,169,0.348,0.48824,0.3615,0.50576,3.07240087890625,1.9720139306640625,2.9573654296875,1.8521660595703124
17,CIFAR100,fedprox,0,0,100,0.1,4,179,0.3448,0.49102,0.3664,0.51682,3.0886728515625,1.94176546875,2.93184326171875,1.7941989013671875
18,CIFAR100,fedprox,0,0,100,0.1,4,189,0.3406,0.48028,0.3699,0.52732,3.19493466796875,2.02486359375,2.925210546875,1.7484284716796874
19,CIFAR100,fedprox,0,0,100,0.1,4,199,0.3612,0.50898,0.3741,0.53734,3.10988212890625,1.868483154296875,2.92583583984375,1.7001907470703126
20,CIFAR100,fedprox,0,0,100,0.1,4,209,0.3589,0.51874,0.3768,0.54964,3.069528125,1.819931298828125,2.9078302734375,1.64747564453125
21,CIFAR100,fedprox,0,0,100,0.1,4,219,0.3676,0.5352,0.3773,0.55822,3.00715009765625,1.73009376953125,2.9071013671875,1.616991962890625
22,CIFAR100,fedprox,0,0,100,0.1,4,229,0.3715,0.54708,0.3784,0.56438,2.99474658203125,1.6876297509765625,2.89771435546875,1.5845800048828125
23,CIFAR100,fedprox,0,0,100,0.1,4,239,0.3693,0.5424,0.3785,0.57102,3.04388955078125,1.7010762890625,2.89243671875,1.5600769873046876
24,CIFAR100,fedprox,0,0,100,0.1,4,249,0.3748,0.55914,0.3816,0.57878,3.00862294921875,1.626756513671875,2.89319541015625,1.52611962890625
25,CIFAR100,fedprox,0,0,100,0.1,4,259,0.3813,0.56822,0.3871,0.58844,2.9577478515625,1.572584140625,2.88424091796875,1.488587099609375
26,CIFAR100,fedprox,0,0,100,0.1,4,269,0.3776,0.57296,0.3885,0.59484,2.99068740234375,1.56677640625,2.87253994140625,1.45779646484375
27,CIFAR100,fedprox,0,0,100,0.1,4,279,0.3865,0.5824,0.3914,0.601,2.95501298828125,1.519595751953125,2.8605369140625,1.4284240478515624
28,CIFAR100,fedprox,0,0,100,0.1,4,289,0.3806,0.58278,0.3964,0.60756,2.9928466796875,1.5213594970703126,2.85614326171875,1.4012575244140626
29,CIFAR100,fedprox,0,0,100,0.1,4,299,0.3766,0.57148,0.3955,0.61272,3.07832724609375,1.58633509765625,2.85470263671875,1.3793382861328125
30,CIFAR100,fedprox,0,0,100,0.1,4,309,0.3839,0.59114,0.3956,0.61676,2.95509130859375,1.490207607421875,2.85626015625,1.362938037109375
31,CIFAR100,fedprox,0,0,100,0.1,4,319,0.3762,0.57064,0.3949,0.6206,3.08360185546875,1.603802197265625,2.84806708984375,1.3478381787109375
32,CIFAR100,fedprox,0,0,100,0.1,4,329,0.3897,0.60188,0.4,0.6286,2.99944697265625,1.4436695458984374,2.844707421875,1.3161620361328126
33,CIFAR100,fedprox,0,0,100,0.1,4,339,0.3945,0.61788,0.3994,0.63528,2.9074001953125,1.356523232421875,2.84487744140625,1.2850818798828125
34,CIFAR100,fedprox,0,0,100,0.1,4,349,0.3941,0.62946,0.4009,0.64276,2.90234482421875,1.3013256787109375,2.836391015625,1.2462835107421875
35,CIFAR100,fedprox,0,0,100,0.1,4,359,0.3989,0.63136,0.4034,0.64796,2.8966169921875,1.300108388671875,2.83183583984375,1.2227534033203125
36,CIFAR100,fedprox,0,0,100,0.1,4,369,0.3975,0.63474,0.4025,0.6547,2.9334552734375,1.2887774072265625,2.83035927734375,1.199378310546875
37,CIFAR100,fedprox,0,0,100,0.1,4,379,0.3944,0.6312,0.4044,0.65886,2.96325029296875,1.309782265625,2.8372087890625,1.184231083984375
38,CIFAR100,fedprox,0,0,100,0.1,4,389,0.3898,0.62218,0.4067,0.66334,2.99954013671875,1.34913759765625,2.8371078125,1.16632259765625
39,CIFAR100,fedprox,0,0,100,0.1,4,399,0.3948,0.6395,0.4048,0.6678,2.9487115234375,1.2708129833984374,2.84278271484375,1.15170830078125
40,CIFAR100,fedprox,0,0,100,0.1,4,409,0.3973,0.65226,0.4084,0.67166,2.90950068359375,1.21321572265625,2.84125009765625,1.1362608740234375
41,CIFAR100,fedprox,0,0,100,0.1,4,419,0.3973,0.6588,0.4062,0.67766,2.9201376953125,1.187371337890625,2.84139091796875,1.1149198388671875
42,CIFAR100,fedprox,0,0,100,0.1,4,429,0.4068,0.66706,0.4069,0.68122,2.92021474609375,1.1607567553710938,2.85067744140625,1.0968194946289063
43,CIFAR100,fedprox,0,0,100,0.1,4,439,0.3988,0.66158,0.4105,0.68504,2.95240146484375,1.184747958984375,2.85347998046875,1.0814400317382813
44,CIFAR100,fedprox,0,0,100,0.1,4,449,0.403,0.66096,0.4109,0.68744,2.9327228515625,1.1788170263671875,2.8411208984375,1.0735323706054687
45,CIFAR100,fedprox,0,0,100,0.1,4,459,0.398,0.67118,0.4128,0.69092,2.9366681640625,1.137367109375,2.8486685546875,1.0571454296875
46,CIFAR100,fedprox,0,0,100,0.1,4,469,0.4063,0.6704,0.4126,0.69486,2.9184037109375,1.13616798828125,2.84335478515625,1.0462307373046875
47,CIFAR100,fedprox,0,0,100,0.1,4,479,0.4015,0.67702,0.4112,0.7004,2.93727626953125,1.11285646484375,2.84219169921875,1.0221544482421876
