,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedprox,0,0,100,0.1,4,9,0.1321,0.13654,0.106,0.10526,3.74529248046875,3.72175533203125,4.295703515625,4.2898101953125
1,CIFAR100,fedprox,0,0,100,0.1,4,19,0.1943,0.19962,0.1655,0.16868,3.43519677734375,3.3467728125,3.7266861328125,3.697639375
2,CIFAR100,fedprox,0,0,100,0.1,4,29,0.2301,0.24834,0.2105,0.22022,3.24517978515625,3.08789158203125,3.3725826171875,3.29518763671875
3,CIFAR100,fedprox,0,0,100,0.1,4,39,0.255,0.28806,0.2477,0.26872,3.1748283203125,2.910361787109375,3.14991279296875,2.989963798828125
4,CIFAR100,fedprox,0,0,100,0.1,4,49,0.2697,0.30516,0.27,0.30164,3.1873859375,2.845935546875,3.06335888671875,2.806522275390625
5,CIFAR100,fedprox,0,0,100,0.1,4,59,0.286,0.3357,0.2847,0.3287,3.144124609375,2.706022626953125,3.03062138671875,2.683589775390625
6,CIFAR100,fedprox,0,0,100,0.1,4,69,0.2915,0.35506,0.2997,0.35692,3.15380966796875,2.630798271484375,2.99778095703125,2.56272556640625
7,CIFAR100,fedprox,0,0,100,0.1,4,79,0.3037,0.37552,0.3111,0.37438,3.09521806640625,2.514214921875,2.97330009765625,2.468789326171875
8,CIFAR100,fedprox,0,0,100,0.1,4,89,0.3069,0.38,0.3176,0.39248,3.14164599609375,2.508945302734375,2.96901669921875,2.385648076171875
9,CIFAR100,fedprox,0,0,100,0.1,4,99,0.3185,0.4039,0.3314,0.41546,3.165421484375,2.412391904296875,2.94724306640625,2.277440078125
10,CIFAR100,fedprox,0,0,100,0.1,4,109,0.3209,0.4108,0.3374,0.43402,3.16288408203125,2.381432119140625,2.945246875,2.196418173828125
11,CIFAR100,fedprox,0,0,100,0.1,4,119,0.3285,0.43626,0.3425,0.44792,3.06876103515625,2.22292544921875,2.93396376953125,2.1261689306640625
12,CIFAR100,fedprox,0,0,100,0.1,4,129,0.3453,0.45834,0.3477,0.46362,3.030673046875,2.1133708837890626,2.93139794921875,2.055722548828125
13,CIFAR100,fedprox,0,0,100,0.1,4,139,0.3498,0.46882,0.3575,0.47872,3.02289453125,2.0648421484375,2.91284814453125,1.9784664990234375
14,CIFAR100,fedprox,0,0,100,0.1,4,149,0.3536,0.48376,0.3615,0.49682,2.95767841796875,1.9736393603515625,2.88515322265625,1.9044444482421874
15,CIFAR100,fedprox,0,0,100,0.1,4,159,0.3635,0.4988,0.3693,0.50976,2.9398029296875,1.906119599609375,2.86723798828125,1.84148966796875
16,CIFAR100,fedprox,0,0,100,0.1,4,169,0.3649,0.49956,0.3717,0.52072,2.9848751953125,1.91819365234375,2.86267626953125,1.794561845703125
17,CIFAR100,fedprox,0,0,100,0.1,4,179,0.3635,0.50138,0.376,0.5309,3.00526923828125,1.8969687548828125,2.84960556640625,1.7422080712890624
18,CIFAR100,fedprox,0,0,100,0.1,4,189,0.3591,0.49836,0.3818,0.54008,3.10233544921875,1.9480870556640626,2.82986826171875,1.6894927734375
19,CIFAR100,fedprox,0,0,100,0.1,4,199,0.3726,0.52232,0.3822,0.5532,3.00420634765625,1.8046227197265625,2.82687275390625,1.6405102490234376
20,CIFAR100,fedprox,0,0,100,0.1,4,209,0.3726,0.53368,0.3866,0.5623,2.9879412109375,1.75957724609375,2.82155078125,1.5968874267578126
21,CIFAR100,fedprox,0,0,100,0.1,4,219,0.3811,0.55508,0.3913,0.57242,2.91091650390625,1.65375947265625,2.8157662109375,1.5603036865234374
22,CIFAR100,fedprox,0,0,100,0.1,4,229,0.388,0.56282,0.3928,0.58114,2.91139169921875,1.620111748046875,2.80970263671875,1.5250741943359376
23,CIFAR100,fedprox,0,0,100,0.1,4,239,0.385,0.55664,0.3985,0.58748,2.9545556640625,1.650695625,2.79560859375,1.4957276171875
24,CIFAR100,fedprox,0,0,100,0.1,4,249,0.3978,0.5786,0.4028,0.59388,2.8710580078125,1.548010478515625,2.78631767578125,1.463584873046875
25,CIFAR100,fedprox,0,0,100,0.1,4,259,0.3975,0.5894,0.4056,0.6033,2.85681904296875,1.49705806640625,2.77625810546875,1.4215795947265626
26,CIFAR100,fedprox,0,0,100,0.1,4,269,0.398,0.59188,0.4082,0.61026,2.85251787109375,1.481943916015625,2.765411328125,1.3913130126953126
27,CIFAR100,fedprox,0,0,100,0.1,4,279,0.3982,0.59856,0.4066,0.61756,2.869059765625,1.4576268896484375,2.76333056640625,1.36619955078125
28,CIFAR100,fedprox,0,0,100,0.1,4,289,0.3971,0.60002,0.4113,0.62332,2.854315625,1.445525517578125,2.75276201171875,1.3359641357421874
29,CIFAR100,fedprox,0,0,100,0.1,4,299,0.3913,0.5923,0.4092,0.62808,2.94745078125,1.49245435546875,2.756967578125,1.3162978125
30,CIFAR100,fedprox,0,0,100,0.1,4,309,0.4035,0.6044,0.4115,0.63114,2.8891513671875,1.4349013427734374,2.7679208984375,1.3047895166015624
31,CIFAR100,fedprox,0,0,100,0.1,4,319,0.3877,0.58974,0.4136,0.63642,2.96545673828125,1.502804658203125,2.7579396484375,1.286089423828125
32,CIFAR100,fedprox,0,0,100,0.1,4,329,0.4085,0.61668,0.4159,0.64154,2.88054375,1.3787052294921875,2.75058125,1.2584224072265624
33,CIFAR100,fedprox,0,0,100,0.1,4,339,0.4045,0.62652,0.4159,0.65124,2.82822421875,1.317190517578125,2.75231552734375,1.2258459130859376
34,CIFAR100,fedprox,0,0,100,0.1,4,349,0.4155,0.64486,0.4205,0.65888,2.815270703125,1.2444666650390626,2.74448583984375,1.1860686401367186
35,CIFAR100,fedprox,0,0,100,0.1,4,359,0.4125,0.64614,0.4191,0.66474,2.80587216796875,1.235796279296875,2.746403515625,1.1623206909179689
36,CIFAR100,fedprox,0,0,100,0.1,4,369,0.4168,0.64976,0.4184,0.67014,2.79264970703125,1.21716474609375,2.73344326171875,1.1385073974609374
37,CIFAR100,fedprox,0,0,100,0.1,4,379,0.4165,0.6493,0.4229,0.67548,2.83241650390625,1.2334277490234375,2.73356123046875,1.1172789208984375
38,CIFAR100,fedprox,0,0,100,0.1,4,389,0.4043,0.6357,0.4214,0.67996,2.90460771484375,1.27736755859375,2.73756318359375,1.101893359375
39,CIFAR100,fedprox,0,0,100,0.1,4,399,0.4109,0.65172,0.4226,0.68328,2.8473328125,1.2152907958984376,2.740374609375,1.0878814282226563
40,CIFAR100,fedprox,0,0,100,0.1,4,409,0.415,0.6685,0.4237,0.68696,2.81450703125,1.146441474609375,2.7347755859375,1.0711453955078125
41,CIFAR100,fedprox,0,0,100,0.1,4,419,0.4192,0.67514,0.4248,0.6941,2.80344443359375,1.117217958984375,2.7345494140625,1.047902841796875
42,CIFAR100,fedprox,0,0,100,0.1,4,429,0.4226,0.68328,0.4279,0.69732,2.783776953125,1.0860916870117188,2.73889853515625,1.0316959912109376
43,CIFAR100,fedprox,0,0,100,0.1,4,439,0.4164,0.67858,0.429,0.70282,2.83520517578125,1.1116195678710938,2.7397173828125,1.0155762133789064
44,CIFAR100,fedprox,0,0,100,0.1,4,449,0.4169,0.67534,0.4262,0.70378,2.8271041015625,1.1169248071289062,2.739051953125,1.0079201831054687
45,CIFAR100,fedprox,0,0,100,0.1,4,459,0.421,0.69108,0.43,0.70886,2.7909935546875,1.057517314453125,2.73062294921875,0.9906328100585937
46,CIFAR100,fedprox,0,0,100,0.1,4,469,0.419,0.68688,0.4315,0.71126,2.812157421875,1.06783703125,2.7330265625,0.9809415942382812
47,CIFAR100,fedprox,0,0,100,0.1,4,479,0.4209,0.69712,0.4305,0.7167,2.82960107421875,1.0397173828125,2.74139736328125,0.9594483471679688
48,CIFAR100,fedprox,0,0,100,0.1,4,489,0.4249,0.6918,0.4303,0.71916,2.852003125,1.05899318359375,2.73902255859375,0.9434178515625
49,CIFAR100,fedprox,0,0,100,0.1,4,499,0.425,0.70302,0.4318,0.72434,2.818569921875,1.0127841943359375,2.7433904296875,0.931506025390625
