,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedprox,0,0.3,100,0.01,1,9,0.0742,0.0728,0.0288,0.02866,4.1626279296875,4.153743271484375,4.5976876953125,4.597694609375
1,CIFAR100,fedprox,0,0.3,100,0.01,1,19,0.0835,0.08122,0.0649,0.06526,4.2780205078125,4.2429366796875,4.5564298828125,4.55565712890625
2,CIFAR100,fedprox,0,0.3,100,0.01,1,29,0.152,0.15826,0.0919,0.09326,3.75134326171875,3.67157166015625,4.50803203125,4.50594578125
3,CIFAR100,fedprox,0,0.3,100,0.01,1,39,0.1357,0.14912,0.1315,0.1355,4.0993595703125,3.978569130859375,4.4083,4.40288814453125
4,CIFAR100,fedprox,0,0.3,100,0.01,1,49,0.1925,0.208,0.1838,0.18922,3.73487666015625,3.5846493359375,4.231485546875,4.2178075
5,CIFAR100,fedprox,0,0.3,100,0.01,1,59,0.2095,0.2286,0.2152,0.22832,3.496134765625,3.311202353515625,4.02826884765625,4.00271564453125
6,CIFAR100,fedprox,0,0.3,100,0.01,1,69,0.1128,0.12104,0.2404,0.26034,5.8552556640625,5.671424609375,3.85816455078125,3.81832765625
7,CIFAR100,fedprox,0,0.3,100,0.01,1,79,0.1819,0.20062,0.2498,0.27382,3.967434375,3.765828779296875,3.7516583984375,3.7002415234375
8,CIFAR100,fedprox,0,0.3,100,0.01,1,89,0.1506,0.16024,0.2607,0.28484,4.7277568359375,4.5127994921875,3.6410986328125,3.57812857421875
9,CIFAR100,fedprox,0,0.3,100,0.01,1,99,0.1945,0.21836,0.274,0.30282,3.885674609375,3.634076650390625,3.50567744140625,3.424640849609375
10,CIFAR100,fedprox,0,0.3,100,0.01,1,109,0.1494,0.16776,0.2857,0.3204,6.0136953125,5.6365891796875,3.36353203125,3.262620859375
11,CIFAR100,fedprox,0,0.3,100,0.01,1,119,0.2432,0.28704,0.2973,0.33638,3.4321134765625,3.089787509765625,3.22447255859375,3.09976548828125
12,CIFAR100,fedprox,0,0.3,100,0.01,1,129,0.2193,0.24978,0.3039,0.34882,3.72088125,3.38034697265625,3.085299609375,2.93121865234375
13,CIFAR100,fedprox,0,0.3,100,0.01,1,139,0.2346,0.2696,0.3136,0.36294,3.689004296875,3.32038205078125,2.9618609375,2.775309697265625
14,CIFAR100,fedprox,0,0.3,100,0.01,1,149,0.2288,0.26174,0.32,0.37638,3.8811455078125,3.4922198046875,2.89740048828125,2.68949130859375
15,CIFAR100,fedprox,0,0.3,100,0.01,1,159,0.1336,0.15598,0.3235,0.38302,5.307919921875,4.99384171875,2.8749501953125,2.660407890625
16,CIFAR100,fedprox,0,0.3,100,0.01,1,169,0.1802,0.20284,0.3296,0.3911,4.661771875,4.34089111328125,2.817789453125,2.5842146484375
17,CIFAR100,fedprox,0,0.3,100,0.01,1,179,0.1913,0.2133,0.3386,0.40136,4.7762517578125,4.383456015625,2.74001240234375,2.4798451171875
18,CIFAR100,fedprox,0,0.3,100,0.01,1,189,0.2871,0.34204,0.3445,0.40716,3.40368798828125,2.89648884765625,2.71944755859375,2.452818583984375
19,CIFAR100,fedprox,0,0.3,100,0.01,1,199,0.2583,0.3167,0.3505,0.41564,3.39607861328125,2.917804951171875,2.6901119140625,2.410863359375
20,CIFAR100,fedprox,0,0.3,100,0.01,1,209,0.2653,0.30866,0.3584,0.43086,3.61166484375,3.139741171875,2.60877265625,2.28498166015625
21,CIFAR100,fedprox,0,0.3,100,0.01,1,219,0.2572,0.30488,0.3673,0.43884,3.73607548828125,3.22863259765625,2.55731455078125,2.185288876953125
22,CIFAR100,fedprox,0,0.3,100,0.01,1,229,0.2074,0.23986,0.3683,0.44556,4.9551802734375,4.44916568359375,2.53636171875,2.133968154296875
23,CIFAR100,fedprox,0,0.3,100,0.01,1,239,0.1934,0.221,0.3713,0.45098,4.5950984375,4.20228953125,2.5208337890625,2.1069748046875
24,CIFAR100,fedprox,0,0.3,100,0.01,1,249,0.1709,0.19528,0.3746,0.45792,5.2820103515625,4.797887734375,2.50047705078125,2.07816484375
25,CIFAR100,fedprox,0,0.3,100,0.01,1,259,0.2729,0.31772,0.3809,0.46466,3.5484447265625,3.07369650390625,2.48553427734375,2.035675810546875
26,CIFAR100,fedprox,0,0.3,100,0.01,1,269,0.272,0.31818,0.3805,0.46836,3.32405,2.9226730078125,2.4704048828125,2.020163671875
27,CIFAR100,fedprox,0,0.3,100,0.01,1,279,0.2589,0.30212,0.3818,0.47008,3.5640345703125,3.143103046875,2.45414521484375,2.005088564453125
28,CIFAR100,fedprox,0,0.3,100,0.01,1,289,0.284,0.33614,0.3845,0.47606,3.60285869140625,3.090740439453125,2.43283017578125,1.972952099609375
29,CIFAR100,fedprox,0,0.3,100,0.01,1,299,0.181,0.21048,0.3861,0.47918,4.588600390625,4.15889375,2.4220228515625,1.9523755078125
30,CIFAR100,fedprox,0,0.3,100,0.01,1,309,0.1979,0.2269,0.3904,0.4836,4.61746171875,4.160733974609375,2.4091708984375,1.935210751953125
31,CIFAR100,fedprox,0,0.3,100,0.01,1,319,0.3281,0.39578,0.3959,0.48708,2.97669873046875,2.468845830078125,2.39683388671875,1.922974462890625
32,CIFAR100,fedprox,0,0.3,100,0.01,1,329,0.2325,0.26832,0.3991,0.493,4.2922310546875,3.8216308203125,2.3832634765625,1.8953230615234375
33,CIFAR100,fedprox,0,0.3,100,0.01,1,339,0.2065,0.24252,0.4005,0.49694,4.85409140625,4.36740451171875,2.37262294921875,1.874475263671875
34,CIFAR100,fedprox,0,0.3,100,0.01,1,349,0.2956,0.34578,0.4061,0.50206,3.38884130859375,2.872183486328125,2.36165107421875,1.845556044921875
35,CIFAR100,fedprox,0,0.3,100,0.01,1,359,0.2041,0.23452,0.4066,0.50526,5.08063828125,4.59565533203125,2.35222158203125,1.8361014111328124
36,CIFAR100,fedprox,0,0.3,100,0.01,1,369,0.3149,0.37414,0.41,0.51022,3.24937802734375,2.71853333984375,2.3407578125,1.81765501953125
37,CIFAR100,fedprox,0,0.3,100,0.01,1,379,0.2744,0.32916,0.4125,0.5121,3.530305078125,3.003053193359375,2.33514033203125,1.804830732421875
38,CIFAR100,fedprox,0,0.3,100,0.01,1,389,0.3278,0.40202,0.4139,0.5154,3.10146298828125,2.506598046875,2.3293703125,1.7901154052734376
39,CIFAR100,fedprox,0,0.3,100,0.01,1,399,0.2037,0.23906,0.4138,0.51716,4.9595380859375,4.40668251953125,2.3241158203125,1.7804897216796876
40,CIFAR100,fedprox,0,0.3,100,0.01,1,409,0.2972,0.3583,0.4176,0.52068,3.3015328125,2.7842312890625,2.31549091796875,1.7699477294921875
41,CIFAR100,fedprox,0,0.3,100,0.01,1,419,0.2266,0.26138,0.4203,0.522,4.6190927734375,4.049131767578125,2.30635517578125,1.758716650390625
42,CIFAR100,fedprox,0,0.3,100,0.01,1,429,0.2294,0.27174,0.4212,0.52472,4.4865931640625,3.938192197265625,2.3043802734375,1.7479083642578126
43,CIFAR100,fedprox,0,0.3,100,0.01,1,439,0.221,0.2557,0.4206,0.52604,4.4360697265625,3.9595955859375,2.30040224609375,1.7402514501953126
44,CIFAR100,fedprox,0,0.3,100,0.01,1,449,0.2253,0.2591,0.4197,0.52774,4.5745330078125,3.963651533203125,2.29400927734375,1.7316835595703124
45,CIFAR100,fedprox,0,0.3,100,0.01,1,459,0.2146,0.25564,0.4212,0.53014,4.8679751953125,4.1825718359375,2.287687109375,1.7188093896484375
46,CIFAR100,fedprox,0,0.3,100,0.01,1,469,0.215,0.25356,0.4234,0.53354,4.559650390625,4.045156748046875,2.28647685546875,1.7088077587890624
47,CIFAR100,fedprox,0,0.3,100,0.01,1,479,0.3106,0.37576,0.4272,0.53616,3.25778544921875,2.695944951171875,2.27676513671875,1.6966088671875
48,CIFAR100,fedprox,0,0.3,100,0.01,1,489,0.327,0.39796,0.4304,0.53814,3.23841845703125,2.6484991796875,2.26827705078125,1.687282158203125
49,CIFAR100,fedprox,0,0.3,100,0.01,1,499,0.2946,0.3498,0.4313,0.54304,3.62037294921875,3.03164458984375,2.2631060546875,1.6714194580078126
50,CIFAR100,fedprox,0,0.3,100,0.01,1,509,0.344,0.42596,0.4335,0.54448,2.94261845703125,2.3431198876953125,2.25581298828125,1.6635519677734374
51,CIFAR100,fedprox,0,0.3,100,0.01,1,519,0.3206,0.38902,0.4345,0.54786,3.19828525390625,2.588367412109375,2.25279873046875,1.6496139697265626
52,CIFAR100,fedprox,0,0.3,100,0.01,1,529,0.2874,0.34292,0.4368,0.55154,3.52971494140625,2.936513427734375,2.24309453125,1.6338815576171875
