,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedprox,0,0.3,100,0.01,1,9,0.0301,0.02876,0.0119,0.01236,4.4798521484375,4.47634939453125,4.601429296875,4.601238125
1,CIFAR100,fedprox,0,0.3,100,0.01,1,19,0.0347,0.03326,0.0207,0.02162,4.4392810546875,4.43416236328125,4.580321484375,4.57975015625
2,CIFAR100,fedprox,0,0.3,100,0.01,1,29,0.0829,0.08118,0.0369,0.03798,4.08922255859375,4.079052431640625,4.553551953125,4.552659140625
3,CIFAR100,fedprox,0,0.3,100,0.01,1,39,0.0809,0.07986,0.0547,0.05692,3.98754111328125,3.972297333984375,4.4984552734375,4.49707591796875
4,CIFAR100,fedprox,0,0.3,100,0.01,1,49,0.115,0.11528,0.0849,0.0884,3.81536708984375,3.789110029296875,4.3999884765625,4.39786306640625
5,CIFAR100,fedprox,0,0.3,100,0.01,1,59,0.1544,0.1496,0.1174,0.12028,3.5877087890625,3.56737193359375,4.2797708984375,4.27643578125
6,CIFAR100,fedprox,0,0.3,100,0.01,1,69,0.0789,0.07854,0.1495,0.15136,4.777698828125,4.747823828125,4.1649544921875,4.15961248046875
7,CIFAR100,fedprox,0,0.3,100,0.01,1,79,0.1359,0.1413,0.1692,0.16696,3.792973046875,3.73759330078125,4.08564111328125,4.078365439453125
8,CIFAR100,fedprox,0,0.3,100,0.01,1,89,0.1219,0.13192,0.1843,0.18492,4.03966328125,3.943847412109375,4.00425595703125,3.994453330078125
9,CIFAR100,fedprox,0,0.3,100,0.01,1,99,0.1963,0.19962,0.2087,0.21352,3.3867751953125,3.312537021484375,3.89698994140625,3.882606015625
10,CIFAR100,fedprox,0,0.3,100,0.01,1,109,0.1313,0.14074,0.2303,0.23676,4.5523390625,4.4442186328125,3.7715224609375,3.751426435546875
11,CIFAR100,fedprox,0,0.3,100,0.01,1,119,0.2565,0.27308,0.2516,0.26006,3.01486904296875,2.91370267578125,3.63058984375,3.60294146484375
12,CIFAR100,fedprox,0,0.3,100,0.01,1,129,0.2326,0.24866,0.2686,0.2823,3.16933681640625,3.0739097265625,3.47042333984375,3.43345984375
13,CIFAR100,fedprox,0,0.3,100,0.01,1,139,0.2463,0.26,0.2838,0.30288,3.17765703125,3.039109384765625,3.29761572265625,3.2486313671875
14,CIFAR100,fedprox,0,0.3,100,0.01,1,149,0.2485,0.26442,0.3012,0.32252,3.22829052734375,3.079281044921875,3.18830546875,3.129932041015625
15,CIFAR100,fedprox,0,0.3,100,0.01,1,159,0.1257,0.1409,0.3083,0.3305,4.534583203125,4.38176787109375,3.14405166015625,3.080000146484375
16,CIFAR100,fedprox,0,0.3,100,0.01,1,169,0.1971,0.2063,0.3182,0.3436,3.74333935546875,3.61527869140625,3.0604533203125,2.987260693359375
17,CIFAR100,fedprox,0,0.3,100,0.01,1,179,0.192,0.1992,0.3302,0.35944,4.2309712890625,4.04314052734375,2.933919921875,2.845987431640625
18,CIFAR100,fedprox,0,0.3,100,0.01,1,189,0.3176,0.35178,0.3368,0.36922,2.8235388671875,2.61205802734375,2.90347119140625,2.809986787109375
19,CIFAR100,fedprox,0,0.3,100,0.01,1,199,0.3057,0.33948,0.3481,0.38542,2.786732421875,2.582447578125,2.84062607421875,2.736854462890625
20,CIFAR100,fedprox,0,0.3,100,0.01,1,209,0.2943,0.32168,0.3638,0.40294,2.96614609375,2.75296115234375,2.69135185546875,2.563168974609375
21,CIFAR100,fedprox,0,0.3,100,0.01,1,219,0.3002,0.3325,0.3732,0.41352,3.03909375,2.77192474609375,2.57360263671875,2.4221723046875
22,CIFAR100,fedprox,0,0.3,100,0.01,1,229,0.2468,0.2741,0.3807,0.42266,3.5935173828125,3.340629140625,2.50587958984375,2.33720630859375
23,CIFAR100,fedprox,0,0.3,100,0.01,1,239,0.2401,0.26078,0.3879,0.4308,3.42508369140625,3.21186150390625,2.47091474609375,2.290346728515625
