,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedprox,0,0.3,100,0.01,1,9,0.0324,0.03102,0.0097,0.01018,4.467841015625,4.45983958984375,4.6026923828125,4.6028083984375
1,CIFAR100,fedprox,0,0.3,100,0.01,1,19,0.0253,0.0269,0.0239,0.02258,4.4936328125,4.48934330078125,4.5842603515625,4.58413740234375
2,CIFAR100,fedprox,0,0.3,100,0.01,1,29,0.0611,0.06294,0.0369,0.03714,4.1236966796875,4.11018134765625,4.5614814453125,4.56116275390625
3,CIFAR100,fedprox,0,0.3,100,0.01,1,39,0.0787,0.07914,0.0641,0.06666,4.1111658203125,4.08441369140625,4.5121892578125,4.51134146484375
4,CIFAR100,fedprox,0,0.3,100,0.01,1,49,0.1216,0.12306,0.0916,0.09084,3.8264705078125,3.805450400390625,4.423142578125,4.42152064453125
5,CIFAR100,fedprox,0,0.3,100,0.01,1,59,0.1394,0.14152,0.1138,0.11596,3.68994755859375,3.66202619140625,4.3151794921875,4.31205828125
6,CIFAR100,fedprox,0,0.3,100,0.01,1,69,0.0868,0.08776,0.1383,0.14152,4.3242138671875,4.2985494140625,4.2122248046875,4.2069081640625
7,CIFAR100,fedprox,0,0.3,100,0.01,1,79,0.1541,0.15498,0.1568,0.16034,3.64058935546875,3.6009294140625,4.1417048828125,4.13464318359375
8,CIFAR100,fedprox,0,0.3,100,0.01,1,89,0.1095,0.11528,0.1745,0.17466,3.9983654296875,3.947277490234375,4.06926162109375,4.06043142578125
9,CIFAR100,fedprox,0,0.3,100,0.01,1,99,0.1717,0.17812,0.1917,0.19442,3.5342951171875,3.475957900390625,3.970883984375,3.958379375
10,CIFAR100,fedprox,0,0.3,100,0.01,1,109,0.125,0.12996,0.2114,0.21504,4.3435349609375,4.2773761328125,3.85879345703125,3.842014541015625
11,CIFAR100,fedprox,0,0.3,100,0.01,1,119,0.2391,0.25272,0.2296,0.2361,3.16634052734375,3.092392890625,3.7334978515625,3.71086462890625
12,CIFAR100,fedprox,0,0.3,100,0.01,1,129,0.2276,0.23574,0.2485,0.2579,3.19593818359375,3.122761591796875,3.590863671875,3.560709208984375
13,CIFAR100,fedprox,0,0.3,100,0.01,1,139,0.2441,0.25762,0.2646,0.27808,3.11621572265625,3.008443271484375,3.441369921875,3.400997939453125
14,CIFAR100,fedprox,0,0.3,100,0.01,1,149,0.2404,0.25468,0.2777,0.29472,3.17931484375,3.055153671875,3.34652509765625,3.297579658203125
15,CIFAR100,fedprox,0,0.3,100,0.01,1,159,0.1229,0.13296,0.2889,0.30554,4.04097021484375,3.94554072265625,3.3051599609375,3.251162841796875
