,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,fedprox,0,0.3,100,0.1,2,9,0.1177,0.11672,0.0949,0.09888,3.79377001953125,3.775953134765625,4.3578357421875,4.35484220703125
1,CIFAR100,fedprox,0,0.3,100,0.1,2,19,0.1696,0.1788,0.1719,0.1748,3.45581943359375,3.388780234375,3.7691724609375,3.746904697265625
2,CIFAR100,fedprox,0,0.3,100,0.1,2,29,0.2298,0.23934,0.2234,0.23496,3.20678984375,3.084370546875,3.2945529296875,3.22459060546875
3,CIFAR100,fedprox,0,0.3,100,0.1,2,39,0.2588,0.28288,0.2603,0.27694,3.0559876953125,2.863794521484375,3.05422060546875,2.923607333984375
4,CIFAR100,fedprox,0,0.3,100,0.1,2,49,0.2767,0.3137,0.2825,0.30914,3.01118046875,2.714996923828125,2.94405048828125,2.7456453515625
5,CIFAR100,fedprox,0,0.3,100,0.1,2,59,0.2842,0.32656,0.2988,0.33316,3.03143505859375,2.65543384765625,2.878296484375,2.606338271484375
6,CIFAR100,fedprox,0,0.3,100,0.1,2,69,0.2984,0.35264,0.313,0.36164,2.96942109375,2.51369744140625,2.84314697265625,2.46045861328125
7,CIFAR100,fedprox,0,0.3,100,0.1,2,79,0.3102,0.3714,0.3222,0.38328,2.9912453125,2.451722958984375,2.82326220703125,2.357628359375
8,CIFAR100,fedprox,0,0.3,100,0.1,2,89,0.3096,0.38526,0.3253,0.40162,2.9587029296875,2.369090029296875,2.8195171875,2.27456291015625
9,CIFAR100,fedprox,0,0.3,100,0.1,2,99,0.3248,0.41094,0.3348,0.41854,2.90498310546875,2.23872591796875,2.8089310546875,2.186558662109375
10,CIFAR100,fedprox,0,0.3,100,0.1,2,109,0.3179,0.41246,0.3412,0.43556,2.968451171875,2.23606947265625,2.8037611328125,2.1093477490234376
11,CIFAR100,fedprox,0,0.3,100,0.1,2,119,0.3195,0.42602,0.3447,0.44742,2.967470703125,2.177194921875,2.80465166015625,2.058427294921875
12,CIFAR100,fedprox,0,0.3,100,0.1,2,129,0.3275,0.4276,0.3457,0.4563,2.98232041015625,2.1674756396484374,2.80860517578125,2.0126268212890626
13,CIFAR100,fedprox,0,0.3,100,0.1,2,139,0.3346,0.44558,0.3475,0.46898,2.94486513671875,2.076616943359375,2.79966611328125,1.9559596533203125
14,CIFAR100,fedprox,0,0.3,100,0.1,2,149,0.3438,0.46226,0.3506,0.47926,2.89339462890625,1.992000986328125,2.79370849609375,1.908301728515625
15,CIFAR100,fedprox,0,0.3,100,0.1,2,159,0.3456,0.47154,0.3546,0.4881,2.9038908203125,1.9586926416015624,2.79129951171875,1.8666814208984375
16,CIFAR100,fedprox,0,0.3,100,0.1,2,169,0.3398,0.45842,0.3608,0.4981,3.0208451171875,2.0411308056640625,2.78183828125,1.8182218359375
17,CIFAR100,fedprox,0,0.3,100,0.1,2,179,0.3477,0.48476,0.3644,0.5087,2.92571591796875,1.8883710595703125,2.78277490234375,1.772028994140625
18,CIFAR100,fedprox,0,0.3,100,0.1,2,189,0.3442,0.48524,0.3664,0.5168,2.9281943359375,1.8767055322265624,2.7838396484375,1.7383711962890624
19,CIFAR100,fedprox,0,0.3,100,0.1,2,199,0.3479,0.48222,0.3688,0.52304,2.95904287109375,1.8921604736328126,2.78410234375,1.70402154296875
20,CIFAR100,fedprox,0,0.3,100,0.1,2,209,0.3562,0.5035,0.3719,0.53028,2.88391474609375,1.78589447265625,2.77208046875,1.6683971435546876
21,CIFAR100,fedprox,0,0.3,100,0.1,2,219,0.337,0.46028,0.3748,0.53542,3.12420654296875,2.010008740234375,2.76639794921875,1.6409783056640626
