,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,scaffold,0,0,100,0.01,2,9,0.114,0.1143,0.0209,0.01796,3.84644521484375,3.82310056640625,4.5944828125,4.59435064453125
1,CIFAR100,scaffold,0,0,100,0.01,2,19,0.1631,0.16564,0.0747,0.07458,3.6653216796875,3.60417056640625,4.550402734375,4.5492956640625
2,CIFAR100,scaffold,0,0,100,0.01,2,29,0.1282,0.14266,0.1265,0.1313,3.916626171875,3.79717966796875,4.4651275390625,4.461365
3,CIFAR100,scaffold,0,0,100,0.01,2,39,0.154,0.16688,0.1612,0.16864,4.0995482421875,3.978728984375,4.372587890625,4.36517982421875
4,CIFAR100,scaffold,0,0,100,0.01,2,49,0.1671,0.186,0.1836,0.18968,4.3550265625,4.1676523046875,4.3055546875,4.294980859375
5,CIFAR100,scaffold,0,0,100,0.01,2,59,0.1717,0.19434,0.2021,0.20982,4.136916796875,3.91993326171875,4.19067421875,4.174259375
6,CIFAR100,scaffold,0,0,100,0.01,2,69,0.2194,0.24974,0.2213,0.23278,3.5447498046875,3.29655216796875,4.0472458984375,4.022011708984375
7,CIFAR100,scaffold,0,0,100,0.01,2,79,0.2528,0.28004,0.2366,0.25356,3.2843255859375,3.065865634765625,3.86306572265625,3.822884521484375
8,CIFAR100,scaffold,0,0,100,0.01,2,89,0.2266,0.25386,0.2442,0.26648,3.78986953125,3.531590859375,3.756646875,3.706123671875
9,CIFAR100,scaffold,0,0,100,0.01,2,99,0.2862,0.32154,0.2625,0.28502,3.078016015625,2.828299140625,3.69255419921875,3.63521787109375
10,CIFAR100,scaffold,0,0,100,0.01,2,109,0.2144,0.23872,0.2719,0.29808,3.88202021484375,3.658596494140625,3.609361328125,3.543134658203125
11,CIFAR100,scaffold,0,0,100,0.01,2,119,0.2809,0.3212,0.2792,0.30946,3.28615361328125,2.973637919921875,3.464180859375,3.37992896484375
12,CIFAR100,scaffold,0,0,100,0.01,2,129,0.284,0.32306,0.2901,0.32398,3.14281279296875,2.848818359375,3.35791796875,3.259423466796875
13,CIFAR100,scaffold,0,0,100,0.01,2,139,0.2336,0.25614,0.2934,0.33128,3.8588595703125,3.554133671875,3.26696748046875,3.156417021484375
14,CIFAR100,scaffold,0,0,100,0.01,2,149,0.2456,0.27816,0.3014,0.3402,3.62751298828125,3.34479349609375,3.21387275390625,3.09711083984375
15,CIFAR100,scaffold,0,0,100,0.01,2,159,0.2452,0.27526,0.3129,0.35082,3.62648134765625,3.342005107421875,3.13607021484375,3.00866630859375
16,CIFAR100,scaffold,0,0,100,0.01,2,169,0.2631,0.2868,0.3201,0.36302,3.451691796875,3.21898248046875,2.95314052734375,2.78912337890625
17,CIFAR100,scaffold,0,0,100,0.01,2,179,0.261,0.28802,0.323,0.36886,3.60889345703125,3.34322921875,2.9343166015625,2.76988091796875
18,CIFAR100,scaffold,0,0,100,0.01,2,189,0.2903,0.33646,0.3275,0.37528,3.10024150390625,2.793670927734375,2.8670005859375,2.692043828125
19,CIFAR100,scaffold,0,0,100,0.01,2,199,0.2956,0.33974,0.3322,0.38528,2.9895423828125,2.7343712109375,2.797250390625,2.606424248046875
20,CIFAR100,scaffold,0,0,100,0.01,2,209,0.2628,0.29384,0.3397,0.39036,3.52578212890625,3.258694423828125,2.76842890625,2.574512421875
21,CIFAR100,scaffold,0,0,100,0.01,2,219,0.2545,0.2918,0.3466,0.39674,3.48531630859375,3.17616982421875,2.7480078125,2.5528981640625
22,CIFAR100,scaffold,0,0,100,0.01,2,229,0.2635,0.3073,0.352,0.40432,3.5281990234375,3.202385556640625,2.70801591796875,2.505629580078125
23,CIFAR100,scaffold,0,0,100,0.01,2,239,0.2616,0.29888,0.354,0.40576,3.51106953125,3.227966171875,2.71950400390625,2.520801142578125
24,CIFAR100,scaffold,0,0,100,0.01,2,249,0.3177,0.36882,0.3625,0.41274,2.9570734375,2.622729521484375,2.65621240234375,2.437302919921875
25,CIFAR100,scaffold,0,0,100,0.01,2,259,0.2561,0.29544,0.3626,0.4182,3.44650078125,3.187227275390625,2.62411259765625,2.3938094140625
26,CIFAR100,scaffold,0,0,100,0.01,2,269,0.3088,0.35728,0.3612,0.42134,3.06320859375,2.735809853515625,2.6152421875,2.385111611328125
27,CIFAR100,scaffold,0,0,100,0.01,2,279,0.3092,0.36558,0.3629,0.42092,3.00459208984375,2.66004306640625,2.62269580078125,2.396155419921875
28,CIFAR100,scaffold,0,0,100,0.01,2,289,0.2811,0.3141,0.3656,0.42348,3.28716669921875,2.987228271484375,2.59837216796875,2.36417951171875
29,CIFAR100,scaffold,0,0,100,0.01,2,299,0.2538,0.27866,0.3685,0.42764,3.64094765625,3.357917978515625,2.5849388671875,2.352247666015625
30,CIFAR100,scaffold,0,0,100,0.01,2,309,0.2816,0.32208,0.3736,0.42826,3.206217578125,2.92217111328125,2.565323046875,2.331803076171875
31,CIFAR100,scaffold,0,0,100,0.01,2,319,0.3454,0.39334,0.3782,0.4333,2.797171875,2.495162021484375,2.5361078125,2.29901771484375
32,CIFAR100,scaffold,0,0,100,0.01,2,329,0.2865,0.3185,0.3776,0.43494,3.21998740234375,2.97469021484375,2.53383740234375,2.297515654296875
33,CIFAR100,scaffold,0,0,100,0.01,2,339,0.2679,0.2992,0.3828,0.43872,3.4631849609375,3.218343291015625,2.514437890625,2.27809208984375
34,CIFAR100,scaffold,0,0,100,0.01,2,349,0.2899,0.32776,0.3826,0.43772,3.160847265625,2.8790884765625,2.52271611328125,2.296228876953125
35,CIFAR100,scaffold,0,0,100,0.01,2,359,0.2886,0.32694,0.3849,0.43738,3.201116796875,2.93560755859375,2.5294724609375,2.31176255859375
36,CIFAR100,scaffold,0,0,100,0.01,2,369,0.3081,0.3396,0.3858,0.43864,3.27537822265625,2.9945516796875,2.51280126953125,2.297396767578125
37,CIFAR100,scaffold,0,0,100,0.01,2,379,0.3027,0.341,0.3843,0.44026,3.13658271484375,2.847915751953125,2.5223333984375,2.313271826171875
38,CIFAR100,scaffold,0,0,100,0.01,2,389,0.2725,0.31472,0.3827,0.44,3.251268359375,2.97980650390625,2.52365703125,2.31767404296875
39,CIFAR100,scaffold,0,0,100,0.01,2,399,0.3215,0.36804,0.3862,0.4399,2.95018544921875,2.640150615234375,2.517964453125,2.31397685546875
40,CIFAR100,scaffold,0,0,100,0.01,2,409,0.3553,0.41268,0.392,0.44612,2.74027900390625,2.382422138671875,2.49107724609375,2.279126572265625
41,CIFAR100,scaffold,0,0,100,0.01,2,419,0.3041,0.34724,0.3927,0.44724,3.1115373046875,2.79898939453125,2.483847265625,2.26667826171875
42,CIFAR100,scaffold,0,0,100,0.01,2,429,0.3427,0.38978,0.3947,0.45214,2.780008203125,2.4677357958984376,2.47291533203125,2.2508648046875
43,CIFAR100,scaffold,0,0,100,0.01,2,439,0.3485,0.40278,0.3986,0.45894,2.7932529296875,2.43144474609375,2.44721943359375,2.2106730859375
44,CIFAR100,scaffold,0,0,100,0.01,2,449,0.2976,0.34586,0.4005,0.46102,3.04370224609375,2.72056642578125,2.43373466796875,2.1850640625
45,CIFAR100,scaffold,0,0,100,0.01,2,459,0.2964,0.34292,0.3987,0.4581,3.1048970703125,2.792397197265625,2.44807509765625,2.20144103515625
46,CIFAR100,scaffold,0,0,100,0.01,2,469,0.3001,0.34626,0.4005,0.45962,3.111275,2.75803587890625,2.4260099609375,2.17176001953125
47,CIFAR100,scaffold,0,0,100,0.01,2,479,0.3267,0.38042,0.4006,0.46016,2.92746689453125,2.57380365234375,2.42342333984375,2.16506583984375
48,CIFAR100,scaffold,0,0,100,0.01,2,489,0.3134,0.3627,0.4011,0.46054,2.98153837890625,2.675665771484375,2.43931572265625,2.1862773046875
49,CIFAR100,scaffold,0,0,100,0.01,2,499,0.3476,0.4073,0.4003,0.46112,2.7528970703125,2.389652705078125,2.43787685546875,2.184907431640625
50,CIFAR100,scaffold,0,0,100,0.01,2,509,0.3076,0.3495,0.4001,0.46286,3.06461171875,2.734957763671875,2.4269833984375,2.16975244140625
51,CIFAR100,scaffold,0,0,100,0.01,2,519,0.3587,0.4096,0.4017,0.46456,2.73200625,2.38541337890625,2.42000537109375,2.162072607421875
52,CIFAR100,scaffold,0,0,100,0.01,2,529,0.3433,0.39648,0.4049,0.46608,2.8493673828125,2.49392525390625,2.4209259765625,2.1686170703125
53,CIFAR100,scaffold,0,0,100,0.01,2,539,0.3134,0.35444,0.408,0.46974,3.08815400390625,2.765468046875,2.3916482421875,2.132110810546875
54,CIFAR100,scaffold,0,0,100,0.01,2,549,0.3158,0.35828,0.4134,0.47166,3.0873361328125,2.722634755859375,2.377067578125,2.116130263671875
55,CIFAR100,scaffold,0,0,100,0.01,2,559,0.361,0.41964,0.4146,0.47436,2.65386982421875,2.30641658203125,2.36538583984375,2.107370068359375
56,CIFAR100,scaffold,0,0,100,0.01,2,569,0.3437,0.38896,0.4184,0.47972,2.94340703125,2.583731435546875,2.33814794921875,2.07323755859375
57,CIFAR100,scaffold,0,0,100,0.01,2,579,0.3801,0.4353,0.4221,0.48504,2.61527705078125,2.270881513671875,2.32313896484375,2.0578387890625
58,CIFAR100,scaffold,0,0,100,0.01,2,589,0.3339,0.37342,0.4279,0.49104,2.9868828125,2.6454787890625,2.28538720703125,2.0090270849609375
59,CIFAR100,scaffold,0,0,100,0.01,2,599,0.3302,0.3811,0.4268,0.49436,3.04051201171875,2.639296904296875,2.28024619140625,2.0006488623046876
60,CIFAR100,scaffold,0,0,100,0.01,2,609,0.3716,0.4291,0.4312,0.4988,2.6826234375,2.286879189453125,2.25629501953125,1.96237779296875
61,CIFAR100,scaffold,0,0,100,0.01,2,619,0.3258,0.36784,0.4348,0.50302,2.95632900390625,2.64055029296875,2.2252666015625,1.9066373583984375
62,CIFAR100,scaffold,0,0,100,0.01,2,629,0.3171,0.35886,0.4348,0.50518,2.94632255859375,2.632452314453125,2.22040908203125,1.9020485302734376
63,CIFAR100,scaffold,0,0,100,0.01,2,639,0.345,0.39476,0.4372,0.50662,2.8628439453125,2.50732830078125,2.220539453125,1.90289654296875
64,CIFAR100,scaffold,0,0,100,0.01,2,649,0.3222,0.37228,0.4354,0.50284,2.9681482421875,2.625745537109375,2.2240951171875,1.9083367041015624
65,CIFAR100,scaffold,0,0,100,0.01,2,659,0.3522,0.40308,0.4338,0.50004,2.73078544921875,2.4106154736328125,2.23457958984375,1.9255695458984374
66,CIFAR100,scaffold,0,0,100,0.01,2,669,0.303,0.34606,0.4366,0.49592,3.2362044921875,2.887777421875,2.2337498046875,1.930659130859375
67,CIFAR100,scaffold,0,0,100,0.01,2,679,0.3012,0.32884,0.435,0.49678,3.17857548828125,2.882032685546875,2.2319732421875,1.93171705078125
68,CIFAR100,scaffold,0,0,100,0.01,2,689,0.3294,0.37856,0.4346,0.49674,2.95089638671875,2.610999072265625,2.23452421875,1.9423709521484376
69,CIFAR100,scaffold,0,0,100,0.01,2,699,0.3327,0.374,0.4351,0.49846,2.965646484375,2.660777958984375,2.22802890625,1.93931517578125
70,CIFAR100,scaffold,0,0,100,0.01,2,709,0.3206,0.37494,0.4335,0.49948,2.978124609375,2.609628427734375,2.22352587890625,1.9356176806640626
71,CIFAR100,scaffold,0,0,100,0.01,2,719,0.3133,0.3577,0.4348,0.50054,3.01271162109375,2.688502412109375,2.2228708984375,1.936493642578125
72,CIFAR100,scaffold,0,0,100,0.01,2,729,0.3804,0.4318,0.4367,0.50348,2.62074814453125,2.279761943359375,2.2177388671875,1.9295745361328125
73,CIFAR100,scaffold,0,0,100,0.01,2,739,0.3173,0.35544,0.4373,0.5042,3.06302080078125,2.75861326171875,2.21451806640625,1.9278600537109376
74,CIFAR100,scaffold,0,0,100,0.01,2,749,0.3374,0.38154,0.4373,0.50342,2.8790521484375,2.553001767578125,2.2163205078125,1.93338228515625
75,CIFAR100,scaffold,0,0,100,0.01,2,759,0.3325,0.37134,0.4344,0.50004,3.0085603515625,2.694840498046875,2.23113935546875,1.9531595068359375
76,CIFAR100,scaffold,0,0,100,0.01,2,769,0.3409,0.39202,0.4359,0.50052,2.88591884765625,2.530326640625,2.2199734375,1.934357412109375
