,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,scaffold,0,0,100,0.01,4,9,0.1017,0.10566,0.0243,0.02904,3.9930109375,3.970829765625,4.58942265625,4.5892964453125
1,CIFAR100,scaffold,0,0,100,0.01,4,19,0.1091,0.11456,0.0563,0.05518,4.07122197265625,3.9949644921875,4.552033203125,4.551313359375
2,CIFAR100,scaffold,0,0,100,0.01,4,29,0.1351,0.14804,0.1014,0.1007,4.133248046875,3.99753248046875,4.4941701171875,4.49204005859375
3,CIFAR100,scaffold,0,0,100,0.01,4,39,0.1992,0.22042,0.1534,0.1556,3.52687294921875,3.35073111328125,4.403840625,4.39805140625
4,CIFAR100,scaffold,0,0,100,0.01,4,49,0.1919,0.21434,0.1772,0.18256,3.5548873046875,3.38667107421875,4.3065447265625,4.29579837890625
5,CIFAR100,scaffold,0,0,100,0.01,4,59,0.1708,0.19072,0.1968,0.20404,4.1293189453125,3.9185295703125,4.2310767578125,4.214122890625
6,CIFAR100,scaffold,0,0,100,0.01,4,69,0.2247,0.25188,0.2101,0.22062,3.48585712890625,3.28673759765625,4.1734974609375,4.15220201171875
7,CIFAR100,scaffold,0,0,100,0.01,4,79,0.2047,0.23238,0.2308,0.24364,3.9350724609375,3.695197333984375,4.01238154296875,3.978922021484375
8,CIFAR100,scaffold,0,0,100,0.01,4,89,0.2101,0.22666,0.2474,0.26342,4.0442421875,3.841618408203125,3.9216607421875,3.879159443359375
9,CIFAR100,scaffold,0,0,100,0.01,4,99,0.2213,0.24166,0.2679,0.29224,3.82923837890625,3.632024609375,3.63268837890625,3.565295537109375
10,CIFAR100,scaffold,0,0,100,0.01,4,109,0.2646,0.29644,0.2786,0.304,3.28240234375,3.0192111328125,3.55062138671875,3.478387412109375
11,CIFAR100,scaffold,0,0,100,0.01,4,119,0.244,0.27344,0.2915,0.31598,3.65975068359375,3.399641875,3.40708779296875,3.31931962890625
12,CIFAR100,scaffold,0,0,100,0.01,4,129,0.2199,0.24072,0.2948,0.32244,3.67235048828125,3.451983408203125,3.3527955078125,3.25796564453125
13,CIFAR100,scaffold,0,0,100,0.01,4,139,0.291,0.33154,0.2987,0.32852,3.07852802734375,2.790717294921875,3.3483103515625,3.25158048828125
14,CIFAR100,scaffold,0,0,100,0.01,4,149,0.2534,0.27646,0.3055,0.33534,3.61264072265625,3.356564228515625,3.32754345703125,3.2260817578125
15,CIFAR100,scaffold,0,0,100,0.01,4,159,0.2509,0.27906,0.3127,0.34644,3.4669609375,3.23115638671875,3.31839951171875,3.214497041015625
16,CIFAR100,scaffold,0,0,100,0.01,4,169,0.2371,0.26794,0.3127,0.34998,3.60821337890625,3.32523453125,3.288724609375,3.1811611328125
17,CIFAR100,scaffold,0,0,100,0.01,4,179,0.2539,0.2825,0.3144,0.35612,3.407024609375,3.162626435546875,3.17929267578125,3.05939158203125
18,CIFAR100,scaffold,0,0,100,0.01,4,189,0.2872,0.32642,0.3197,0.35826,3.15629580078125,2.863391982421875,3.1862130859375,3.064528427734375
19,CIFAR100,scaffold,0,0,100,0.01,4,199,0.2784,0.32076,0.3266,0.36644,3.43116142578125,3.066335390625,3.08067578125,2.9413609765625
20,CIFAR100,scaffold,0,0,100,0.01,4,209,0.2499,0.2878,0.3339,0.3792,3.664233203125,3.319376748046875,2.9652408203125,2.80467548828125
21,CIFAR100,scaffold,0,0,100,0.01,4,219,0.2649,0.3007,0.3378,0.38306,3.39462587890625,3.107429345703125,2.9168791015625,2.74491712890625
22,CIFAR100,scaffold,0,0,100,0.01,4,229,0.3203,0.36786,0.3448,0.39386,2.90198486328125,2.59504287109375,2.82252734375,2.631552724609375
23,CIFAR100,scaffold,0,0,100,0.01,4,239,0.2674,0.30394,0.348,0.3955,3.4014302734375,3.123530771484375,2.75590791015625,2.551074404296875
24,CIFAR100,scaffold,0,0,100,0.01,4,249,0.2889,0.33806,0.3527,0.40154,3.130405078125,2.799789912109375,2.70957236328125,2.4984249609375
25,CIFAR100,scaffold,0,0,100,0.01,4,259,0.3257,0.3804,0.3548,0.41006,2.93789150390625,2.586841494140625,2.67476767578125,2.45606970703125
26,CIFAR100,scaffold,0,0,100,0.01,4,269,0.2806,0.31368,0.3616,0.41928,3.34237109375,3.015267041015625,2.648037109375,2.423043701171875
27,CIFAR100,scaffold,0,0,100,0.01,4,279,0.3385,0.38784,0.3683,0.42542,2.82705791015625,2.511424287109375,2.6164138671875,2.388409765625
28,CIFAR100,scaffold,0,0,100,0.01,4,289,0.3287,0.3833,0.3755,0.43408,2.85870556640625,2.517684091796875,2.56798388671875,2.331180087890625
29,CIFAR100,scaffold,0,0,100,0.01,4,299,0.2952,0.3367,0.3763,0.43848,3.3402205078125,2.9442539453125,2.52341083984375,2.27367166015625
30,CIFAR100,scaffold,0,0,100,0.01,4,309,0.2875,0.3124,0.3805,0.44082,3.2540033203125,2.984477392578125,2.51794931640625,2.271171767578125
31,CIFAR100,scaffold,0,0,100,0.01,4,319,0.28,0.32096,0.3843,0.44684,3.31579560546875,3.0039153515625,2.497410546875,2.243616103515625
