,task,mode,balance,distribution,n_clients,act_prob,seed,epoch,a1,a2,a3,a4,l1,l2,l3,l4
0,CIFAR100,scaffold,0,0,100,0.01,1,9,0.0107,0.01082,0.0098,0.00992,4.6049919921875,4.60491591796875,4.6063537109375,4.60624955078125
1,CIFAR100,scaffold,0,0,100,0.01,1,19,0.0123,0.01234,0.0097,0.00992,4.6041357421875,4.6040917578125,4.6059576171875,4.60585294921875
2,CIFAR100,scaffold,0,0,100,0.01,1,29,0.0129,0.01342,0.0101,0.01012,4.60361640625,4.603552578125,4.6056275390625,4.60552759765625
3,CIFAR100,scaffold,0,0,100,0.01,1,39,0.0134,0.01356,0.0108,0.01074,4.6031357421875,4.60303119140625,4.6051587890625,4.6050665234375
4,CIFAR100,scaffold,0,0,100,0.01,1,49,0.0132,0.0138,0.0111,0.01124,4.6026349609375,4.60250439453125,4.6046033203125,4.6045119140625
5,CIFAR100,scaffold,0,0,100,0.01,1,59,0.0137,0.01394,0.0117,0.0118,4.602084375,4.60193720703125,4.6040919921875,4.60398025390625
6,CIFAR100,scaffold,0,0,100,0.01,1,69,0.0138,0.01436,0.0117,0.0125,4.601657421875,4.60151216796875,4.6036591796875,4.6035301171875
7,CIFAR100,scaffold,0,0,100,0.01,1,79,0.0131,0.01472,0.012,0.01288,4.6012349609375,4.60111029296875,4.603376171875,4.60324134765625
8,CIFAR100,scaffold,0,0,100,0.01,1,89,0.0131,0.01466,0.0126,0.01298,4.6008525390625,4.60072990234375,4.6030951171875,4.60295591796875
9,CIFAR100,scaffold,0,0,100,0.01,1,99,0.0137,0.01452,0.0129,0.01318,4.6004880859375,4.60037412109375,4.6027033203125,4.60255080078125
10,CIFAR100,scaffold,0,0,100,0.01,1,109,0.0141,0.01438,0.0134,0.0132,4.6001,4.60000935546875,4.6023349609375,4.60217794921875
11,CIFAR100,scaffold,0,0,100,0.01,1,119,0.0144,0.01452,0.0133,0.01364,4.59981484375,4.59970203125,4.6019173828125,4.6017654296875
